,0
0,"﻿Downloaded From www.AllSubs.org
"
1,"
"
2,"( ""The Barber of Seville"" by Rossini)
"
3,"
"
4,"Figaro, Figaro, Figaro, Figaro, Figaro,
"
5,"Figaro, Figaro, Figaro, Figaro, Figaro, Figaro
"
6,"
"
7,"Figaro! Son qua
"
8,"
"
9,"Figaro! Son qua
"
10,"
"
11,"Figaro qua, Figaro là, Figaro qua, Figaro là,
"
12,"Figaro su, Figaro giù, Figaro su, Figaro giù
"
13,"
"
14,"Pronto prontissimo, son come il fulmine,
"
15,"sono il factotum della città
"
16,"
"
17,"Della città, della città,
"
18,"della città, della città
"
19,"
"
20,"Phew!
"
21,"
"
22,"Ah bravo Figaro, bravo bravissimo,
"
23,"ah bravo Figaro, bravo bravissimo
"
24,"
"
25,"A te fortuna, a te fortuna,
"
26,"a te fortuna non mancherà
"
27,"
"
28,"La la la la la la, la la la la la la,
"
29,"la la la la la la, la la la la
"
30,"
"
31,"A te fortuna, a te fortuna,
"
32,"a te fortuna non mancherà
"
33,"
"
34,"Sono il factotum della città
"
35,"
"
36,"Sono il factotum della città
"
37,"
"
38,"Della città, della città
"
39,"
"
40,"Della città
"
41,"
"
42,"- Oops.
"
43,"- Salutations, snack.
"
44,"
"
45,"Yipe. On second thought...
"
46,"
"
47,"Yiiipe!
"
48,"
"
49,"9-1-1! 9-1-1!
"
50,"
"
51,"Police! Civic authorities! ASPCA! ASAP!
"
52,"
"
53,"Murder! Betrayal! Kidnapped!
"
54,"
"
55,"No, birdnapped!
"
56,"
"
57,"A cup of garlic, a twist of parakeet.
"
58,"
"
59,"Eat your heart out, Julia Child.
"
60,"
"
61,"Excuse me, but isn't it customary
"
62,"for the jailbird to get one telephone call?
"
63,"
"
64,"In your case, I think not.
"
65,"
"
66,"Afternoon snacks have few civil liberties.
"
67,"
"
68,"But I'm not wholly without heart.
"
69,"
"
70,"How about a nice soothing cigarette?
"
71,"
"
72,"Pah! Agh! Ugh!
"
73,"
"
74,"Oh, I will not do this. I cannot!
"
75,"
"
76,"Oh, what a foul way for a bird to die!
"
77,"I don't want to get beak cancer.
"
78,"
"
79,"No! My lungs are blackened!
"
80,"
"
81,"Here we go again. Cut, cut, cut! Roll it back.
"
82,"
"
83,"- Help me...
"
84,"- What are you doing? Daniel...
"
85,"
"
86,"That line is not in the script.
"
87,"Why did you add it?
"
88,"
"
89,"- I wanted to comment on the situation.
"
90,"- What situation?
"
91,"
"
92,"Shoving a cigarette into Pudgie's mouth
"
93,"is morally irresponsible.
"
94,"
"
95,"This is a cartoon,
"
96,"not a friggin' Oprah Winfrey Special.
"
97,"
"
98,"Lou, millions of kids see this cartoon.
"
99,"It's like telling them ""Light up.""
"
100,"
"
101,"You can't put words in Pudgie's mouth
"
102,"if his mouth isn't moving.
"
103,"
"
104,"It's voice-over. An interior monologue.
"
105,"Maybe even the voice of God.
"
106,"
"
107,"(imperious voice)
"
108,"Pudgie, don't smoke.
"
109,"
"
110,"- Actors.
"
111,"- What? Let's ask the technicians.
"
112,"
"
113,"Do you think it's morally right
"
114,"to promote smoking to the youth of America?
"
115,"
"
116,"(whistles)
"
117,"They're biased. That's a mistrial.
"
118,"
"
119,"Daniel, this session
"
120,"is costing the studio thousands.
"
121,"
"
122,"If you want a paycheck, stick to the script.
"
123,"
"
124,"If you want to play Gandhi,
"
125,"then do it on somebody else's time.
"
126,"
"
127,"(as Gandhi)
"
128,"Then I've got to do what I've got to do.
"
129,"
"
130,"That's very funny.
"
131,"Where the hell are you goin'?
"
132,"
"
133,"If you leave, you're not comin' back in.
"
134,"
"
135,"I'm not takin' any crap from you, pal.
"
136,"
"
137,"Well, in the words of Porky Pig:
"
138,"
"
139,"P-P-P-P-P-P-Piss off, Lou.
"
140,"
"
141,"- So what about that history test?
"
142,"- Don't ask.
"
143,"
"
144,"- Did you have fun in school?
"
145,"- I painted a picture of a rainbow.
"
146,"
"
147,"(whistles)
"
148,"
"
149,"-(both)
"
150,"Dad? - Daddy!
"
151,"
"
152,"Daddy!
"
153,"
"
154,"- I thought you couldn't pick us up.
"
155,"- Well, I got off early.
"
156,"
"
157,"- You mean you got fired?
"
158,"- No, I quit... for reasons of conscience.
"
159,"
"
160,"Actors.
"
161,"
"
162,"(California drawl) Dude, congratulations
"
163,"on your 12th birthday. Got a surprise for ya.
"
164,"
"
165,"- A stripper?
"
166,"- Ooh, please!
"
167,"
"
168,"- Two strippers?
"
169,"- Hoo-hah, boy!
"
170,"
"
171,"- A party?
"
172,"- Yes!
"
173,"
"
174,"No. No parties.
"
175,"
"
176,"Mom said you couldn't have one
"
177,"because of your report card.
"
178,"
"
179,"(as Jack Nicholson) Mom's not gonna be
"
180,"home for another four hours, is she?
"
181,"
"
182,"Prepare yourself... for the wild kingdom.
"
183,"
"
184,"(hisses like a snake)
"
185,"
"
186,"Coming up toward the very end.
"
187,"There she goes. And she wins that race.
"
188,"
"
189,"Come on off now. Here we go.
"
190,"
"
191,"You want to feed him?
"
192,"
"
193,"See if this guy will.
"
194,"
"
195,"Oops. Sorry.
"
196,"
"
197,"Shoo! Get out!
"
198,"
"
199,"Shoo! Shoo!
"
200,"
"
201,"- Gregory, Henderson and Hillard.
"
202,"- Miranda Hillard, please.
"
203,"
"
204,"I know what you're going for with these
"
205,"murals, but perhaps if they weren't so large.
"
206,"
"
207,"- And let's do steel windows, not wood.
"
208,"- Uh-huh.
"
209,"
"
210,"Eliminate the oriental rug.
"
211,"Let's try an Aubusson carpet.
"
212,"
"
213,"- More pink than red.
"
214,"- Good idea.
"
215,"
"
216,"Union Square lnn. This is better.
"
217,"
"
218,"More Arts and Crafts. A Dirk Van Erp lamp,
"
219,"a Stickley chair. Don't be seduced by chintz.
"
220,"
"
221,"Excuse me. Miranda,
"
222,"can I speak to you for a minute?
"
223,"
"
224,"- Yes. Excuse me.
"
225,"- Certainly.
"
226,"
"
227,"Just be one minute.
"
228,"
"
229,"I just got off the phone
"
230,"with a Stuart Dunmeyer.
"
231,"
"
232,"- Stuart Dunmeyer?
"
233,"- Mm-hm. He said you were acquaintances.
"
234,"
"
235,"Stuart Dunmeyer?
"
236,"
"
237,"He's putting millions into restoring
"
238,"the old Wellman mansion on Nob Hill.
"
239,"
"
240,"- He wants to make it into a $500-a-night B&B.
"
241,"- Yes, I read about it.
"
242,"
"
243,"- He's been doing very well.
"
244,"- Mm-hm, that's him.
"
245,"
"
246,"And he specifically asked for you, Miranda.
"
247,"
"
