,utterance,annotation_algo
0,﻿Have you seen Dr. Meade?,
1,Dr. Meade!,
2,"Oh, can you help me find Dr. Meade?",
3,"God, help us.",
4,"God, save the Confederacy!",
5,"Hello, my fellow Americans.",
6,They say we may have lost the battle but we didn't lose the war.,
7,"Yes, my friends, we are under attack.",
8,You may have read about this in your local newspapers or seen it on the evening news.,
9,That's right.,
10,We are living in an era marked by the spread of integration and miscegenation.,
11,The Brown decision.,
12,Ah-ah-ah!,
13,"The Brown decision, forced upon us by the Jewish-controlled puppets on the U.S. Supreme Court, compelling white children to go to school with an inferior race, is the final nail in a coffin.",
14,Is the final nail in a black coffin towards America becoming a mongrel nation.,
15,We had a great way of life. We had.,
16,"Ma, ma, ma, ma, ma!",
17,We had a great way of life.,
18,We had a great way of life until the Martin Luther Coons of this world and their army of Commies started their civil rights assault against our holy white Protestant values.,
19,Do you really want your precious white child going to school with Negroes?,
20,"They're lying, dirty monkeys, stopping at nothing to gain their equality with white men.",
21," Oh, my God.",
22," Rapists, murderers, craving the virgin white.",
23," Is it ""virgin pure""?",
24, Yes.,
25,"Rapists, murderers, craving the virgin pure flesh of white women.",
26,They are super predators!,
27,"And the Negro's insidious tactics, under the tutelage of high-ranking, blood-sucking Jews, using an army of outside northern black beast.",
28,"What is it? ""Black beast.""  ""Agitators.""  God, watch this! God!",
29,Using an army of outside northern black beast agitators determined to overthrow the God-commanded and biblically inspired rule of the white race.,
30,It's an international Jewish conspiracy.,
31,May God bless us all.,
32,"God bless you, too, sir.",
33,Why weren't you drafted into the Vietnam War?,
34,"I went to college, sir.",
35,How do you feel about Vietnam?,
36,"I have mixed feelings, sir.",
37,Would you call yourself a womanizer?,
38," No, I would not, sir.",
39, You frequent nightclubs?,
40," No, sir.",
41, Do you drink?,
42,"Only on special occasions, sir.",
43,Ever done any drugs?,
44,"Only those prescribed by my doctor, sir.",
45,"Well, that's kind of rare for a young, hip soul brother like you.",
46,"Uh, yes, sir.",
47,"But my father was in the military, and my parents, they raised me the right way.",
48,"How do you get along with people, generally?",
49,"Sir, they treat me right, I treat them right.",
50,"Like I said before, I was raised up the right way, so.",
51,"I mean, have you ever had any negative.",
52,What would you do if another cop called you a nigger?,
53,Or worse.,
54,"Would that happen, sir?",
55,Shit.,
56,There's never been a black cop in this city.,
57,"Now, if we make you an officer, you will, in effect, be the Jackie Robinson of the Colorado Springs Police Force.",
58,"And if you know anything about Jackie Robinson, you know he had to take a lot of, uh, guff from his fellow teammates, the fans, other teams and the press.",
59,"I know the Jackie Roosevelt Robinson story, sir.",
60,"Good. So, knowing that, if somebody calls you a nigger, will you be able to turn the other cheek?",
61,"If I had to, sir, yes.",
