,dialog
0,Subtitles by explosiveskull Do you know what time it is?
1,Can't sleep.
2,There are tabs for that.
3,"Yeah, but then I'd be sleeping."
4,Dreams again?
5,Wanna fight?
6,I slipped.
7,"Right, you slipped as a result of me punching you in the face."
8,I was already slipping when you happened to punch me in the face.
9,The two events were not related.
10,Tell me about this dream.
11, Anything new?
12, No.
13,You have to let go of the past.
14,I don't remember my past.
15,"It's causing you doubt, and doubt makes you vulnerable."
16,Control it.
17,"Lose control again, and you'll have to commune with the Supreme Intelligence."
18,There's nothing more dangerous to a warrior than emotion.
19,Humor is a distraction.
20,And anger?
21,Anger only serves the enemy.
22,One hundred twenty days since the last Skrull attack.
23,Has anyone ever seen what the Supreme Intelligence really looks like?
24,No one can look upon the Supreme Intelligence in its true form.
25,You know that.
26,Our subconscious chooses the way they appear to us.
27,So it's sacred.
28,It's personal.
29,"No Kree divulges it, ever."
30,Who do you see?
31, Your brother?
32, No.
33, Father?
34, No.
35, Your old commander?
36, Vers.
37,"It's me you see, isn't it?"
38,I see what you're trying to do.
39, Is it working?
40, Yes.
41,But you won't succeed in changing the subject.
42,What is the point of giving me these...
43,if you don't want me to use them?
44,I want you to use them.
45,The Supreme Intelligence gave me a responsibility...
46,of showing you how to use them.
47,I know how.
48,"Yeah, if that were true, you'd be able to knock me down without them."
49,Control your impulses.
50,"Stop using this, start using this."
51,I want you to be the best version of yourself.
52,Vers.
53,Intelligence.
54,Your commander insists that you're fit to serve.
55,I am.
56,You struggle with your emotions...
57,"with your past, which fuels them."
58,You are just one victim of the Skrull expansion...
59,that has threatened our civilization for centuries.
60,Imposters who silently infiltrate...
61,then take over our planets.
62,Horrors that you remember...
63,and so much that you do not.
64,It's all blank.
65,My life.
66,You're supposed to take the form of who I most admire...
67,but I don't even remember who this person was to me.
68,Perhaps this is a mercy sparing you from a deeper pain.
69,Freeing you to do what all Kree must...
70,put your people's needs before your own.
71,We've given you a great gift.
72,The chance to fight for the good of all Kree.
73,I want to serve.
74,Then master yourself.
75,What was given can be taken away.
76,I won't let you down.
77,We'll know soon enough.
78,You have a mission.
79,"Serve well, and with honor."
80,This can't be good.
81,Must be another Skrull attack.
82,"Whatever it is, it's big."
83,Has a Skrull ever simmed you?
84,Once.
85, It was deeply disturbing.
86, Why?
87,Because I stared into the face of my mortal enemy...
88,and the face staring back was my own.
89,"Maybe if you were more attractive, then it would be less disturbing."
90,"You think you're funny, but I'm not laughing."
91,You never laugh.
92,I laugh on the inside.
93,I'm not doing that now.
94,"It's funny 'cause, objectively speaking, you're quite handsome."
95,"Well, thank you."
96,"Listen up, team."
97,Knock it off.
98,All right.
99,Prepare for...
100,"a search and rescue of our spy, SohLarr."
101,The Skrulls have invaded yet another border planet.
102,"This time, Torfa."
103,SohLarr sent us a warning.
104,"The signal was intercepted, and his cover's blown."
105,"The Skrull general, Talos, has sent kill units to find him."
106,Should they reach him before we do...
107,the intelligence he's acquired over three years is as good as theirs.
108,The Accusers will bomb a Skrull stronghold here in the south.
109,"We slip in, we locate SohLarr..."
110,"and we get out, leaving them none the wiser."
111,The Torfan populace.
112,"We are not to interfere with them, nor them with us."
113,Nothing compromises the security of our mission.
114,Proceed with caution.
115,Follow protocol before extracting him.
116,This is a dangerous mission.
117,We must all be ready to join the Collective if that is our fate today.
118,For the good of all Kree.
119,For the good of all Kree!
120,"Vers, track SohLarr's beacon."
