,dialog
0,Everybody did pretty well.
1,"Uh, I'm gonna call your I'm headed this way."
2, Later.
3," So, what did we decide?"
4, About what?
5, About tonight.
6,"Oh, uh, look, I'll probably get, you know, hung up with the guys maybe, you know, later."
7, Why don't we just meet at the party?
8, All right.
9, Wouldn't want you waitin' around for me all night anyway.
10, All right. Whatever.
11, Cool. I'll see ya later?
12, Bye.
13,Bye.
14, Slatersan.
15," Hey, man."
16, How's it goin'?
17," Fixin' to be a lot better, man."
18," What time is your party tonight, man?"
19," 9:30, man."
20,"Okay. Um, I'll be there, man."
21,"Slater, alligator."
22,"Wait, wait. I gotta cruise by this afternoon..."
23,"on a little business, if you know what I'm talkin' about, so   That's what you're talkin'about."
24," That's what I'm talkin' about, man."
25,"Oh, man, I'm fuckin' wasted."
26,Walkin' down the hall by myself.
27,"Smokin' a ""J"" with 50 elves."
28, Later.
29, Woodward. Bernstein.
30,Guess that makes you Deep Throat.
31," So, is this a smoked or a liquid lunch?"
32, Hey.
33,"Smoked, right?"
34," So, guys, are we gonna play poker tonight?"
35, Count me out.
36, Sure.
37," Uh, I'll probably be going to Pickford's party later, okay? So   No. We should do somethin' like that."
38, Yeah.
39, Goodwin's on his senior trip. We can play poker anytime.
40, Go to a party?
41," ""Go to a p ""? Come on."
42, Come on.
43, Mike. Cynthia.
44, It's under control.
45, I don't feel comfortable at those kinds of things.
46, Pick us up at 8:00.
47, Okay. All right.
48, It's gonna be all right.
49, Guess we're going to the party. Okay.
50, All right.
51,"Oh, Mike. I gotta tell you about this dream I had last night."
52," Oh, yeah? Why's that?"
53," But, um..."
54, you gotta promise not to tell anyone.
55," Yeah, sure."
56," No. Say, ""I promise. ""  Jesus."
57, I promise not to tell anyone.
58," Okay, thank you."
59,"Um, well  Okay, there I am, and I'm gettin' it on  You know, with what had this perfect female body."
60,Uhhuh.
61,But   What? What? What?
62," Um, I can't say."
63,"Come on, man. You can't give a buildup like that and not deliver."
64,"I mean, come on. A perfect female body. It's not a bad start."
65,But the head of Abraham Lincoln.
66, Ah.
67," I mean, the hat and the beard."
68,"Oh, well. Best not think too deeply on this one, right?"
69, Best not.
70," Um, I gotta get some stuff from Mr. Birchfield."
71," Uh, see you in a few minutes."
72, I understand. Right. I'm sorry.
73,Gilligan's transistor radio mouth. Yeah. That was a good one.
74,Hey. What about that one where that sexy surfer guy catches that huge wave and lands on the island?
75," Oh, yeah!  Do you remember that?  ""Sexy surfer guy. ""  The Mosquitoes. Do you remember that?"
76," Pink, let's go."
77, Come on.
78," They were a rock group. Ginger and Mary Ann formed their own group Look, man. I can't go yet until Miss Wilk gets here."
79," So why don't you go get Benny and check me out on the way back, okay?"
80, All right.
81, What?
