,dialog
0," DOG BARKING IN THE DISTANCE   AIRPLANE FLYING OVERHEAD   MURMURING   BELL TOLLING  Mod fxsquare, dx."
1,So please finish Percival for next time.
2,"I know many of you had this as undergraduates, but it won´t hurt to brush up."
3,"Thank you, Steven."
4,I also put an advanced Fourier system on the main hallway chalkboard.
5,I´m hoping that one of you might prove it by the end of the semester.
6,Now the person to do so will not only be in my good graces...
7,but also go on to fame and fortune...
8,by having their accomplishment recorded and their name printed...
9,in the auspicious M.I.T. Tech.
10,"Former winners include Nobel laureates, Field´s medal winners..."
11,renowned astrophysicists and lowly M.I.T. professors.
12,"Well, that´s all."
13,If you have any questions...
14,I´m sure that Tom has the answers.
15," APPLAUSE   CHATTERING   DOOR CLOSES     COUNTRY   Hi, Will."
16," Kirsten, how you doing ?"
17, I´m all right. How are you ?
18, Good.
19, I didn´t get on Cathy last night.
20, No ?
21, No.
22, Why not ?
23, I don´t know.
24, Cathy !
25, What ?
26,Why didn´t you give me none of that nasty little hoochiewoochie...
27, you usually throw at me ?
28," Oh, fuck you..."
29,"and your lrish curse, Chuckie."
30,Like l´d waste my energy spreadin´ my legs for that Tootsie Roll dick ?
31, Go home and give it a tug yourself.
32,  BOY  Tootsie Roll !
33,TToots !
34," CHUCKLING  She´s missin´ a tooth, Will."
35,She´s got skin problems.
36,"I don´t Plus, it´s like 5to2 Morgan ends up marryin´ her, you know what I mean ?"
37,There´s only so many times you can bang your friend´s future wife.
38,It´s wrong.
39,Where you goin´ ?
40, I´m gonna take off.
41," Fuck you, you´re takin´ off."
42,"It´s, like, what, 10:00 ?"
43,"No, l´m tired."
44,Irish curse ?
45,She don´t know.
46,There ain´t no lrish curse.
47, BUFFER HUMMING   BUFFER CLICKS   CHALK CLICKING CHALKBOARD   CHATTERING  Out ! Stop pressuring me back.
48,Stop crowding the plate !
49,Which one will it be ?
50,"You´re gonna get charged, you know that ?"
51,"You think l´m afraid of you, you big fuck ? You´re crowdin´ the fuckin´ plate."
52,"Hey, uh, Casey´s bouncin´ up a bar at Harvard next week."
53,We should go up there.
54, What are we gonna do up there ?
55, I don´t know.
56,We´ll fuck up some smart kids.
57,Probably fit right in.
58,Ow ! Fuckin´ punk.
59," Oh, what´s up ? You still tough ?"
60, Come on !
61,Come on. Come on.
62,That´s it.
63, l´d hold you forever here   ln my arms   Professor Lambeau ?
64, Yes ?
65,I´m in your applied theories class. We´re all up at the math and science building.
66, Come here. It´s Saturday.
67,  CHUCKLES   Unless you wanna have a drink with me tonight.
68,  CHUCKLING Maybe.
69,We just couldn´t wait until Monday to find out.
70, Find out what ?
71, Who proved the theorem.
72,This is correct.
73,Who did this ?
74, Jack ?
75, It wasn´t me.
76, Nemesh ?
77,  Chuckling  NNo way.
78," Come on, Joey, now !"
79," Billy, McNamara´s up."
80," CHUCKIE  Come on, kid !"
81," Joey, dig it out ! Dig it out !"
82, Son of a bitch !
83,"Bring it down, Mac ! That´s how to do it ! Attaboy ! Take two, Mac."
84,"Hey, Morgan, who´s the girl with the striped pants ? She´s got a nice ass."
85,"  MORGAN  Yeah, that´s a real nice ass."
86, Who´s the guy she´s with ?
87,That fuckin´ guinea. I hate that little bitch. Will knows him.
88,"Yeah, I do."
89,"Yeah, fuckin´ Carmine Scarpaglia."
