,dialog
0,"Downloaded from YTS.MX Oh, man. That changes every time I see it."
1,I loved the ones where I don't do much.
2,"Official YIFY movies site: YTS.MX I liked, uh..."
3,laughs That's what I was waiting on.
4,Knew he was gonna say that.
5,Anything without Lin is really my favorite.
6,"Hello and welcome to ""The Undefeated Presents Hamilton InDepth."" I'm your host Kelley Carter."
7,We're going to be joined today by nine of the stars of the recordbreaking musical Hamilton as well as director Thomas Kail.
8,"Very few Broadway shows have had the massive cultural impact of Hamilton, which delves into the life of one of America's Founding Fathers, Alexander Hamilton, all set to a hiphop soundtrack."
9,"âª Two Virginians and an immigrant Walk into a room âª with company âª Diametrically opposed, foes âª Kelley Despite its massive success, the show's origins still had humble beginnings, especially when it was presented to the original cast."
10,"You know, we really wanted to, sort of, lay claim to this story and provide and just really get on the board in terms of musical theater, in terms of representation, in terms of what it means for us to tell the story of these flawed people who created a flawed country with ideals worth chasing to which we have fallen short for 200someodd years."
11,"man Lin said, ""Hey, I have this idea."" And I said, ""Okay, great. How can I help?"" You know, and then we just made the thing."
12,So we were gonna do this this way no matter what.
13,"And if somebody didn't wanna get on board with that, then they weren't gonna participate."
14,"But it was never a question from anyone involved with the production, our producers on down, that it would be anything else but this."
15,"My particular story with the show is unique, because I had seen it."
16,I had seen the very first reading of The Hamilton Mixtape in Poughkeepsie.
17,"And so I scored the very last folding chair in the very last row to see what was then The Hamilton the first act of Hamilton, then called The Hamilton Mixtape."
18,"So I knew what I was being invited into when he sent me that email, and I just made it my business to hold on for dear life."
19,I just I never wanted him to replace me.
20,"Because I knew I didn't know that America would feel the way it did, but I knew what I felt about it."
21,"It was just the boldest, freshest, most literate, exciting thing I'd ever seen."
22,"It's funny, 'cause when we were watching the film on our computer the other day, my husband said, ""Remember when you didn't wanna go to this audition?"" all laughing I mean, it's just one of those things, like, where could I hide in the world if I had not ended up going and at least trying my hand at it?"
23,"But I went to the audition, which is where I met Lin and Tommy and Alex Lacamoire and the creative team, and, um, fortunately they called me before I made it home to tell me that I was gonna get to do the workshop."
24,"And, like Leslie, I held on for dear life."
25,And I'm still holding on.
26,"I was onstage doing a performance of In the Heights when Lin Look, there was a moment in the show where where our characters go upstage and we're in Usnavi's bodega, and he said, ""So I got my next thing."" And I was like, ""Great."" And then my next thought was, ""What am I gonna do in it?"" But But before I could get to it..."
27,"laughing ...the time had come for us, in the middle of the show, to go out and perform the number ""96,000."" So the conversation was pretty it was abbreviated."
28,"Um, we hadn't, you know, just because we'd just had we hadn't had an opportunity to continue the conversation."
29,"But Tommy walked up to me a few days later at another show before the performance, he's like, ""So, what's up, Gdubbs?"" And I was like, ""What Huh? What?"" laughs And he's like, ""George Washington."
30,"Lin told you about the thing."" And I was like, ""Sort of. What do I do?"
31,"What do you Uh, what?"" I had no idea what was going on."
32,I was also sort of onstage.
33,"We were A band that we're both in called ""Freestyle Love Supreme"" was, uh, performing down in New Orleans when the Super Bowl was there."
34,"So we're, like, rapping live on ESPN about sports celebrities, and, uh, Tommy Kail comes up to me and says, ""Hey, uh, Lin's working on this new show."
35,"It's a rap show about Alexander Hamilton."" And I said, ""That's a terrible idea."" Uh... and he said, ""Do you wanna come do this reading of it?"" And I said, ""Are you gonna pay me?"" And he said, ""Yes."" And so I did."
36,"Christopher laughing I had just come back off from being a singer on a cruise ship, doing Saturday Night Fever, the musical, and, uh, I went and auditioned for a show that I wasn't right for."
