,dialog
0,"How fastidious you've become, Wormtail."
1,"As I recall, you once called the nearest gutter pipe home."
2,Could it be that the task of nursing me has become wearisome for you?
3,"Oh, no. No, no, my Lord Voldemort."
4,I only meant...
5,...perhaps if we were to do it without the boy.
6,No! The boy is everything!
7,It cannot be done without him.
8,And it will be done.
9,Exactly as I said.
10," I will not disappoint you, my Lord."
11, Good.
12,"First, gather our old comrades."
13,Send them a sign.
14,Nagini tells me the old Muggle caretaker...
15,...is standing just outside the door.
16,"Step aside, Wormtail, so I can give our guest a proper greeting."
17,Avada Kedavra!
18,Harry.
19,Harry!
20,Are you all right?
21,Hermione. Bad dream.
22, When did you get here?
23, Just now. You?
24,Last night.
25,"Wake up! Wake up, Ronald!"
26,Bloody hell.
27,"Honestly, get dressed."
28,And don't go back to sleep.
29,"Come on, Ron!"
30,Your mother says breakfast's ready!
31," Ron, where are we actually going?"
32, Don't know.
33," Hey, Dad. Where are we going?"
34, Haven't the foggiest.
35,Keep up!
36,Arthur!
37,"It's about time, son."
38,"Sorry, Amos. Some of us had a bit of a sleepy start."
39,"This is Amos Diggory, everyone."
40,Works with me at the Ministry.
41,"And this strapping young lad must be Cedric, am I right?"
42,"Yes, sir."
43,This way.
44,Merlin's beard!
45,You must be Harry Potter.
46," Yes, sir."
47," Great, great pleasure."
48,"Pleasure to meet you too, sir."
49,"Yes, it's just over there."
50, Shall we?
51," Oh, yeah."
52,We don't want to be late.
53,Come on. Nearly there now.
54,Get yourself into a good position.
55,Why are they all standing around that manky old boot?
56, That isn't just any manky old boot.
57, It's a Portkey.
58,Time to go!
59,What's a Portkey?
60," Ready! After three. One, two..."
61, Harry!
62,...three!
63,"Let go, kids!"
64, What?!
65, Let go!
66,"I'll bet that cleared your sinuses, eh?"
67," Total shambles, as per usual."
68, Thanks.
69,"Go on, look at that!"
70,"Well, kids, welcome to the Quidditch World Cup!"
71,"Stay together! Keep up, girls!"
72,Look!
73,"Come on! Keep up, girls!"
74,Blimey!
75,"Parting of the ways, I think, old chap."
76, See you at the match.
77, See you.
78, Cedric.
79," Ced, come on."
80,"See you later, Cedric."
81,Home sweet home.
82,What?
83," Excellent, excellent."
84," Ginny, look!"
85, All to the bath.
86, Look.
87,"Girls, choose a bunk and unpack."
88,"Ron, get out of the kitchen."
89,We're all hungry.
90," Yeah, get out of the kitchen, Ron!"
91, Feet off the table!
92, Feet off the table!
93, Feet off the table!
94,I love magic.
95,Get your Quidditch World Cup programs here!
96,"Blimey, Dad. How far up are we?"
97,"Well, put it this way: If it rains..."
98,...you'll be the first to know.
99,Father and I are in the minister's box...
100,...by personal invitation of Cornelius Fudge himself.
101,"Don't boast, Draco."
102,There's no need with these people.
103,"Do enjoy yourself, won't you?"
104,While you can.
105,Come on up. Take your seats. I told you these seats would be worth waiting for.
106,Come on!
107,It's the Irish! There's Troy!
108, And Mullet!
109, And Moran!
110,Ireland! Ireland! Ireland!
111, Here come the Bulgarians!
112, Yes!
113,Who's that?
114,"That, sis, is the best Seeker in the world."
115,Krum! Krum! Krum!
116,Krum!
117,Yes!
118,Good evening!
119,As Minister for Magic...
120,...it gives me great pleasure...
121,...to welcome each and every one of you...
122,...to the final of the 422nd Quidditch World Cup!
123,Let the match...
124,...begin!
125,Krum! Krum! Krum!
126,There's no one like Krum.
127, Krum?
128, Dumb Krum?
129,"He's like a bird, the way he rides the wind."
130, He's more than an athlete.
131, Dumb Krum.
132,He's an artist.
133," I think you're in love, Ron."
134, Shut up.
135,"Viktor, I love you Viktor, I do When we're apart My heart beats only for you Sounds like the Irish have got their pride on."
136,Stop! Stop it!
137,It's not the Irish.
138,We've gotta get out of here. Now!
139,"Get out, it's the Death Eaters!"
140,"Get back to the Portkey, everybody, and stick together!"
141,"Fred, George!"
142,Ginny is your responsibility.
143,Go!
144,Harry!
145," Keep up, you lot!"
146, Harry!
147,Harry! Harry!
148,Morsmordre!
149,Harry!
150, Where are you?
151, Harry!
152,We've been looking for you for ages!
153,"Thought we lost you, mate."
154,What is that?
155,Stupefy!
156,Stop!
157,That's my son!
158," Ron, Harry, Hermione, you all right?"
159, We came back for Harry.
160,Which of you conjured it?
161," Crouch, you can't possi..."
162, Do not lie!
163,You've been discovered at the scene of the crime.
164, Crime?
165, Barty! They're just kids.
166,What crime?
167,"It's the Dark Mark, Harry."
168,It's his mark.
169,"What, Voldemort?"
170,"Those people tonight, in the masks, they're his too, aren't they?"
171, His followers?
172, Yeah.
173,Death Eaters.
174, Follow me.
175," There was a man, before."
176,There!
177,"All of you, this way!"
178,"A man, Harry?"
179,Who?
180,I don't know.
181,I didn't see his face.
182,Anything from the trolley?
183,Anything from the trolley?
184,"Anything from the trolley, dears?"
185,Packet of Drooble's...
186,...and a Licorice penis.
187,"On second thought, just the Drooble's."
188," It's all right, I'll get it. Don't worry."
189, Just the Drooble's. Thanks.
190,"Two Pumpkin Pasties, please."
191,Thank you.
192,"Anything sweet for you, dear?"
193,"Oh, no, I'm not hungry. Thank you."
194,Anything from the trolley?
195,This is horrible.
196,How can the Ministry not know who conjured it?
197,Wasn't there any security or...?
198,"Loads, according to Dad."
199,That's what worried them so much.
200,Happened right under their noses.
201,"It's hurting again, isn't it?"
202,Your scar.
203,I'm fine.
204,You know Sirius will want to hear about this...
205,...what you saw at the World Cup and the dream.
206,Hedwig. There we go.
207,Clear the runway!
208,"Well, there's something you don't see every day."
209,"Well, now we're all settled in and sorted, I'd like to make an announcement."
210,This castle will not only be your home this year...
211,...but home to some very special guests as well.
212,"You see, Hogwarts has been chosen..."
213,"Yes, what is it?"
214,What is it?
215,Tell them to wait.
216,Tell them to wait. Wait.
217,So Hogwarts has been chosen to host a legendary event: The Triwizard Tournament.
218, For those of you who do not know...
219, Brilliant.
220,...the Triwizard Tournament brings together three schools...
221,...for a series of magical contests.
222,"From each school, a single student is selected to compete."
223,Now let me be clear.
224,"If chosen, you stand alone."
225,And trust me when I say...
226,...these contests are not for the fainthearted.
227,But more of that later.
228,"For now, please join me in welcoming..."
229,...the lovely ladies of the Beauxbatons Academy of Magic...
230,"...and their headmistress, Madame Maxime."
231,Bloody hell.
232,Blimey. That's one big woman.
233,And now our friends from the north.
234,Please greet the proud sons of Durmstrang...
235,"...and their high master, lgor Karkaroff."
236,"Oh, it's Krum!"
237,"Blimey, it's him!"
238,Viktor Krum!
239,Albus.
240,Igor.
241,"Professor Dumblydorr, my horses have traveled a long way."
242, They will need attending to.
243," Don't worry, Madame Maxime."
244,"Our gamekeeper, Hagrid, is more than capable of seeing to them."
245,"But you know, Monsieur Hagrid..."
246,...they drink only singlemalt whiskey.
247,You idiot!
248,"Your attention, please!"
249,I'd like to say a few words.
250,Eternal glory.
251,That is what awaits the student who wins the Triwizard Tournament.
252,"But to do this, that student must survive three tasks."
253,Three extremely dangerous tasks.
254, Wicked.
255, Wicked.
256,"For this reason, the Ministry has seen fit to impose a new rule."
257,To explain all this...
258,...we have the head of the Department of International Magical Cooperation...
259,...Mr. Bartemius Crouch.
260,Bloody hell. It's MadEye Moody.
261, Alastor Moody? The Auror?
262, Auror?
263,Darkwizard catcher. Half the cells in Azkaban are filled thanks to him.
264,"He's supposed to be mad as a hatter, though, these days."
265," My dear old friend, thanks for coming."
266, Stupid ceiling.
267,Thank you.
268,"What's that he's drinking, do you suppose?"
269,"I don't know, but I don't think it's pumpkin juice."
270,After due consideration...
271,"...the Ministry has concluded that, for their own safety..."
272,...no student under the age of 17...
273,...shall be allowed to put forth their name for the Triwizard Tournament.
274, This decision is final.
275, That's rubbish!
276,That's rubbish!
277,You don't know what you're doing!
278, Silence!
279," They're not too happy about that, then."
280,The Goblet of Fire.
281,Anyone wishing to submit themselves to the tournament...
282,...need only write their name upon a piece of parchment...
283,...and throw it in the flame before this hour on Thursday night.
284,Do not do so lightly.
285,"If chosen, there's no turning back."
286,"As from this moment, the Triwizard Tournament has begun."
287,Alastor Moody.
288,ExAuror...
289,...Ministry malcontent...
290,...and your new Defense Against the Dark Arts teacher.
291,I am here because Dumbledore asked me.
292,"End of story, goodbye, the end."
293,Any questions?
294,When it comes to the Dark Arts...
295,...I believe in a practical approach.
296,"But first, which of you can tell me how many Unforgivable Curses there are?"
297," Three, sir."
298, And they are so named?
299,Because they are unforgivable.
300,The use of any one of them will...
301,"Will earn you a oneway ticket to Azkaban, correct."
302,The Ministry says you're too young to see what these curses do.
303,I say different! You need to know what you're up against!
304,You need to be prepared.
305,You need to find another place to put your chewing gum...
306,"...besides the underside of your desk, Mr. Finnigan!"
307,No way. The old codger can see out the back of his head.
308,And hear across classrooms!
309,So which curse shall we see first?
310, Weasley!
311, Yes?
312,Stand.
313,Give us a curse.
314,"Well, my dad did tell me about one."
315,The lmperius Curse.
316,"Oh, yeah, your father would know all about that."
317,Gave the Ministry quite a bit of grief a few years ago.
318,Perhaps this will show you why.
319,Hello.
320,Lovely little beauty.
321,Engorgio.
322,Imperio!
323,Don't worry. It's completely harmless.
324,If she bites...
325,...she's lethal.
326,What are you laughing at?
327,Get off!
328,"Talented, isn't she?"
329,What should I have her do next?
330,Jump out the window?
331,Drown herself?
332,Scores of witches and wizards have claimed...
333,...that they only did YouKnowWho's bidding...
334,...under the influence of the lmperius Curse.
335,But here's the rub: How do we sort out the liars?
336,"Another, another."
337,"Up, up. Come on."
338,"Longbottom, is it?"
339,Up.
340,Professor Sprout tells me you have an aptitude for herbology.
341,There's the...
342,The Cruciatus Curse.
343,"Correct, correct. Come, come."
344,Particularly nasty.
345,The torture curse.
346,Crucio!
347,Stop it! Can't you see it's bothering him? Stop it!
348,"Perhaps you could give us the last Unforgivable Curse, Miss Granger."
349,No?
350,Avada Kedavra!
351,The Killing Curse.
352,Only one person is known to have survived it...
353,...and he's sitting in this room.
354,"Brilliant, isn't he?"
355,"Completely demented, of course, and terrifying to be in the same room with..."
356,"...but he's really been there, you know?"
357,He's looked evil in the eye.
358,There's a reason those curses are unforgivable.
359,To perform them in a classroom...
360,"I mean, did you see Neville's face?"
361,Neville?
362,Son?
363,You all right?
364,Come on. We'll have a cup of tea.
365,I want to show you something.
366,We're gonna be late!
367,"Come on, Cedric. Put it in!"
368,"Eternal glory. Be brilliant, wouldn't it?"
369,"Three years from now, when we're old enough to be chosen."
370,"Yeah, rather you than me."
371,Yes!
372,"Thank you, thank you."
373," Well, lads, we've done it."
374, Cooked it up just this morning.
375,It's not going to work.
376," Oh, yeah?"
377," And why is that, Granger?"
378,You see this? This is an Age Line.
379,Dumbledore drew it himself.
380,So?
381,So a genius like Dumbledore couldn't possibly be fooled...
382,...by a dodge as pathetically dimwitted as an Aging Potion.
383, But that's why it's so brilliant.
384, Because it's so pathetically dimwitted.
385," Ready, Fred?"
386," Ready, George."
387, Bottoms up.
388, Bottoms up.
389, Yes!
390, Yes!
391,Yeah!
392,Yes!
393,Ready?
394, Yes!
395, Yes!
396, You said!
397, You said!
398," Oh, right, you want a piece of me?!"
399, I'll tear your ears off!
400, Now you're making me laugh.
401, Take this! Come on!
402,Fight! Fight! Fight!
403,"We're ""old school,"" right?"
404,"Yeah, but you look older!"
405,Sit down. Please.
406,Now the moment you've all been waiting for: The champion selection.
407,The Durmstrang champion is Viktor Krum.
408,The champion for Beauxbatons...
409,...is Fleur Delacour.
410,"The Hogwarts champion, Cedric Diggory!"
411,Excellent! We now have our three champions.
412,"But in the end, only one will go down in history."
413,Only one will hoist this chalice of champions...
414,...this vessel of victory...
415,...the Triwizard Cup!
416,Harry Potter.
417,Harry Potter?
418,No. No.
419,Harry Potter!
420,"Go on, Harry."
421,"Harry, for goodness sake."
422,He's a cheat!
423,He's not even 17 yet!
424," It's wrong, I tell you!"
425, You French tart.
426, Everything is a conspiracy theory!
427, Quiet! I can't think!
428, Everything is a conspiracy theory!
429, I protest.
430, Harry.
431, I protest!
432,Did you put your name in the Goblet of Fire?
433," No, sir."
434, Did you ask one of the older students...
435,...to do it for you?
436," No, sir."
437, You're absolutely sure?
438," Yes. Yes, sir."
439, But of course he is lying.
440, The hell he is!
441,The Goblet of Fire is an exceptionally powerful magical object.
442,Only an exceptionally powerful Confundus Charm could've hoodwinked it.
443,Magic way beyond the talents of a fourth year.
444,"You seem to have given this a fair bit of thought, MadEye."
445,"It was once my job to think as dark wizards do, Karkaroff..."
446,...perhaps you remember.
447," This doesn't help, Alastor."
448,"Leave this to you, Barty."
449,The rules are absolute.
450,The Goblet of Fire constitutes a binding magical contract.
451,Mr. Potter has no choice.
452,"He is, as of tonight..."
