,dialog
0,I confess.
1,I confess to almighty God. To blessed Mary ever Virgin. To blessed Michael the archangel.
2,"To Blessed John the Baptist. To the Holy Apostles, Peter and Paul."
3,"And to all the Saints. I have sinned exceedingly, through thoughts, words, and deeds. Through my faults."
4,Through my faults. Through my most grievous faults.
5,"Therefore I beseech blessed Mary, evervirgin."
6,"Blessed Michael the archangel Blessed John the baptist And to the Holy Apostles, Peter and Paul and all the saints."
7,To pray for me to the Lord our God.
8,Amen.
9,Amen.
10,"In honor of the Father, the son and the holy spirit."
11,"Music And if it doesn't look proper for a person who is yellow or Chinese to be walking around the Murphy or Jones or Johnson or Bunch or Powell, I think it would be just as improper for a black person or the socalled Negro in this country as we're thought by the Honorable Elijah Muhammad to walk around with these names and therefore he teaches us that during slavery the same slave master who owned us put his last name on us to denote that we were his property. So when you see a Negro today who's named Johnson, if you go back in his history you'll find that he was once his grandfather or one of his forefathers was owned by a White man who was named Johnson. If his name was Bunch, his grandfather was owned..."
12,.. I get the point ...by a white man that was named Bunch.
13,Would you mind telling me what your father's last name was?
14,My father didn't know his last name.
15,My father got his last name from his grandfather and his grandfather got it from his grandfather who got it from the Slave Master The real names of our people were destroyed during slavery...
16,Radio shuts off Is that you Jamie?
17,"No son, it's me I brought you some new towels."
18,I'll be out in a second.
19,Shower turns off Jay! You are no longer a little boy.
20,Yes Daddy G.
21,And I'd appreciate it if you knock next time.
22,We are in the house of the lord.
23,We ought to have a level of decency Decency? That's ripe and rich coming from you...
24,How many bottles does that make for the night?
25,"Best get dressed, boy. The boys are here."
26,Door Knock What?
27,"Oh shit! Jesus, I'm sorry Big Brother, I shouldn't have even entered."
28,Jaime?
29,...I'm sorry.
30,...Jaime?
31,I'm so stupid.. stupid.. stupid JAIME!
32,What's the matter with you?
33,"Okay, this... this whole thing is new to me."
34,And you'll be fine.
35,If only I was half the leader you are.
36,Don't ever let me hear you call yourself stupid again.
37,Yes...
38,Yes.
39,clears throat The presentation tonight for the new candidates...
40,It's got my head all wrapped up.
41,And you'll be fine.
42,What is it?
43,...Nothing it's... it's...
44,"No, first it's nothing and then it turns into something."
45,What is it Jaime? You need to spit it out.
46,...He's terrifying Who?
47,You know...
48,You'll learn to love him.
49,Is there anything else?
50,I can't quite remember and I should because we've been studying this for so long.
51,How many Hail Mary's should I do around the rosary again?
52,"Like, I tried to pray tonight and... I forgot."
53,...and I didn't even know to ask Pete because you know he would have just looked at me.
54,Jaime.
55,because you know he would have just looked at me.
56,and think that I was crazy and laugh.
57,Jaime.
58,and think that I was crazy and laugh.
59,...and everybody's always laughing and I don't feel like myself anymore.
60,JAMIE!
61,...and everybody's always laughing and I don't feel like myself anymore.
62,"You're nervous, have a drink."
63,No.... I couldn't. I couldn't We are not supposed to indulge in the pleasures of the bottle.
64,Says who?
65,It's ungodly.
66,"Believe me you, he's not watching."
67,Drink it.
68,"Jamie, drink it."
69,Coughing Better?
70,No Another And you'll feel better Drink...
71,Now?
72,Much better.
73,Good.
74,As you were. I'll be downstairs in ten minutes.
75,I'm with your spirit I'm with your spirit Beeping Welcome to the House Invictus you may call me Daddy G.
76,I don't know where you come from.
77,I don't know what you've done.
78,But you're right where you need to be.
79,There's only one rule to surviving The House Invictus.
80,Get the bear. Don't let the bear get you.
81,Door shuts They're here.
82,How many?
83,Ten.
84,The newspaper?
85,Yes?
86,Anything interesting?
87,"No, a little government, politics..."
88,Things of that nature. Nothing that concerns any of you.
89,Good to meet all of you. My name is Jay. President of The House Invictus.
90,"To my right is Pete, Vice President and to my left is Jaime, Chair of Events."
91,... And That's Daddy G the old butler.
92,"Now, we are very happy to have you this evening."
93,Let's take a walk.
94,Now this house was built in 1619.
95,"Brickbybrick, young men just like yourself."
96,"Agile, able, strong with their bare hand."
97,It holds the power of history and it has a very peculiar sense of knowing everything about everyone who walks inside of it.
98,If you are selected you must continue this legacy of tradition.
99,"Tradition is important, but what's more important than tradition, is property."
100,This property sits on on an acreage of about a thousand.
101,We hope it's not too intimidating.
102,"In the summers we host golf and garden parties but the winters, obviously not much happens Follow me."
103,Now this next part of the house is my personal favorite.
104,It's where all the real magic happens.
105,"Please come in, gentlemen."
106,"Now you see our founding fathers created a unique organization of excellent and supremely talented black men like yourselves. If you would like to know more information about all ten of them, you can find it here in this manual. Pete?"
107,Jamie.
108,Please take one gentleman and pass it to the next.
109,"Now if you refer to the back of your books what you'll find is history and that's exactly what you all are here tonight to do. Create history for yourselves and your family by presumably joining this house. Now we would like to get to know every last one of you so Daddy G will serve tea in the main living room, followed by dinner. You will have time to freshen up and have a change of clothes. Are there any questions?"
110,When will we find out if we make it? Yeah we all really want to know.... We're dying to know. You'll find out by the end of the night. Are there any more questions?
111,Good....
112,Music Plays Chatter This is it fellas. Look at all this.... So this is how the other one percent is living.
113,Right. The good life!
114,"The Invictus life! ... Legend has it, those who walk these halls become someone. Which makes sense, why i'm here."
115,Damn!
116,"Man, I can't wait to be part of all this.... Let's go!"
117,To The Invictus...
118,To the Invictus!
119,Music Plays Those fucking athletes..
120,"Damn, they're everywhere."
121,They're like fucking roaches.
122,All over campus.
123,laughs Literally...
124,I bet you they got cameras in that bull watching us.
125,They probably do.
126,"laughs Damn, this is good."
127,I ain't never seen niggas so bougie before.
128,"For real, biscuits and crumpets and tea and shit.. They even get their own butler and everything... Shit, that ain't nothing but a house nigga."
129,"You're going to hell. Shit, you going straight with me."
130,"...Shut up nigga. I'm Barry by the way, ...Sophomore."
131,"Jamaal, Freshman... basketball player, advertising major."
132,"Theodore, Premed.. Biochem, Freshman."
133,I'm Tommy.
134,I'm on the....
135,Yeah yeah yeah yeah yeah..
136,We all know. The Baseball legend. Wat's up?
137,Yeah yeah yeah yeah yeah..
138,Kinesiology Major.
139,I'm a junior.
140,"Man, you're not gonna need that."
141,"You're going straight to the league. True, but you never know I may need something to fall back on."
142,Okay modest nigga.
143,You play any sports man?
144,"Yea, I play a little football Oh yeah?.. Yeah, safety but that was last year though."
145,"Yea, I play a little football For Smith?... Nah, small school out in Texas. You probably never even heard of it."
146,Texas?
147,Mhmmm...
148,You're a long way away from home.
149,I guess you could say so.
150,You're a long way away from home.
151,"So what, you transferred?"
152,"Yeah, transferred in the last year."
153,So... what happened with football? You get injured or something?
154,Nah. it's just... I stopped being the slave to the White Man.
155,Okay.
156,Evening gents!
157,I come bearing gifts.
158,Ten strings of pearls for ten extraordinarily wonderful young men.
159,Please wear these throughout the evening.
160,I'm with your spirit....
161,What the fuck just happened?
162,Feel like I just got molested or some shit man.
