,dialog
0,"PAROLE BOARD OFFICER: Good afternoon, Miss Ocean."
1,Hi.
2,"As you know, parole is a privilege."
3,"And one of the restrictions on any parolee, is to avoid the company of any person who has a criminal record of any kind."
4,That would include most of your extended family.
5,"Yeah, that's obviously not something I'm proud of."
6,Would this pose an impossible challenge for you?
7,No. No.
8,I don't want that life.
9,I never wanted that life.
10,"My brother, um..."
11,"May he rest in peace, was a criminal."
12,"I loved him, but he was a conman."
13,It was in his blood.
14, And it's not in your blood?
15, No.
16,"No, sir."
17,Um...
18,I fell for the wrong person.
19,It was a mistake.
20,Uh...
21,But it happened.
22,"And if I were to be released, I would, um..."
23,Sorry.
24,"Wow, just saying that..."
25,"If I were to be released, I would just want the simple life."
26,"I just wanna hold down a job, make some friends, go for a walk after work in the fresh air and pay my bills."
27,(INDISTINCT ANNOUNCEMENT ON PA) Simple life?
28,Nice one.
29, Heard about that?
30, Who didn't?
31,I had five years to rehearse it.
32, Here's your stuff.
33, Thank you.
34,DINA: Nice watch.
35,DEBBIE: It's my brother's.
36,DINA: Left it to you?
37,I stole it.
38,"It's fine, Dina."
39,"He stole it, too."
40,So we're still gonna get a regular shipment next week.
41,"You take your cut, plus a few extra cartons, okay?"
42,"I want you to trade 'em, not smoke 'em."
43,DINA: So where you going?
44,"DEBBIE: Well, I have 45 bucks, Dina."
45,I can go anywhere I want.
46,"Hi, I'd like to return these."
47,"Oh, of course."
48,Do you have your receipt?
49,"No, but they're unopened."
50,They haven't been touched.
51,I really need your receipt.
52,They are sealed.
53,They are brand new.
54,(SIGHS) Do you have the credit card that you used?
55,This is ridiculous!
56,I bought these last week.
57,"Ma'am, you can try client services on the sixth floor."
58,You know what? Never mind.
59,I'll just keep 'em.
60,Jesus.
61,Can I at least get a bag?
62,Sure.
63,Thank you.
64,Hi. I'm checking out of room 2814. Gary Randall.
65, Did you have a pleasant stay?
66, Terrific.
67,My name is Monica.
68,Is there anything else I can do for you?
69,Or arrange transportation?
70,GARY: I think we're all set.
71,"DEBBIE: Hi, this is Mrs. Randall."
72,We just checked out of room 2814.
73,"May I speak with Monica, please?"
74, This is she.
75," Hi, Monica."
76, Hi.
77, Hi.
78,"Uh, we just found out our flight was canceled."
79," Oh, no!"
80," I know, I know."
81,"And instead of staying in some horrible airport hotel, we were hoping that maybe we could get our original room back?"
82,"Yeah, we can give you that same room back."
83,That would be amazing!
84,Thank you so much!
85,"Um, we're just gonna go grab a bite."
86,Would it be possible to get the maid in there now?
87,"MONICA: Yes, absolutely."
88,DEBBIE: Perfect.
89,We really appreciate it.
90,MONICA: It's not a problem.
91,DEBBIE: Thank you so much.
92,We'll see you soon.
93,DEBBIE: Hi.
94,I'm so sorry.
95,Can you finish up later?
96,I just have to get off my feet.
97, Of course.
98, Thank you so much.
99, Have a great day.
100," You, too!"
101,Byebye.
102,JUDGE JUDY: (ON TV) And he did not move in!
103,And he wants his money back.
104,And he gets his money back.
105,"If you said no, does that mean you didn't take the money?"
106,What crate are you on?
107,APRIL: 15.
108,JUDGE JUDY: Listen.
109,You think I like you?
110,You think I believe you?
111,You think I trust anything that you're saying?
112,The answer is absolutely not.
113,"Guys, it's 9:30."
114,(JUDGE JUDY CONTINUES INDISTINCTLY ON TV) It's too much.
115,It's too much.
116,It's three fingers from the top.
117,"Not one, it's three."
118,"It's a rerun, April."
119,"She slept with her cousin, crashed the car."
120,The baby's not his.
121,What's that taste like?
122,(EXHALES) Vodka.
123,Vodka. Exactly.
124,But I don't want vodka.
125,I want vodka and water.
126, And do you wanna know why?
127," Uh, sure."
128,"'Cause when you're drunk, it tastes like vodka."
129, Right.
130, BOTH: Right.
131,I don't care!
132,"LOU: Oh, missed you, too."
133,You better be in there.
134,"I know you're there, Reuben."
135,You can come on out.
136,I was just paying my respects.
137,From around the corner?
138,What are you doing here?
139,They thought I'd be the best one to talk to you.
140,Hmm. Gotta go.
141,"He didn't want you to do this, Deborah."
142,Do what?
143,Whatever it is he wouldn't tell us you're gonna do.
144," Look, Deb."
145, Mmm.
146,"Sometimes, just knowing the job will work is satisfaction enough."
147,You don't actually gotta do it.
148,What else did he say?
149, He said it was brilliant.
150," Oh, okay."
151,And that you would probably end up back in prison.
152,I'm not gonna end up back in prison.
153,Okay?
154,(SOFTLY) I gotta go.
155,Be careful.
156,You're looking sharp.
157, LOU: Mmm!
158," Hey, hey! Take it easy."
159,Been in the slammer.
160,"Oh, I just thought you changed your number."
161,DEBBIE: Did you get the credit line?
162, Not yet.
163, Why not?
164,Because I don't know what it's for.
165,"(SOFTLY) Oh, my God!"
166,LOU: Don't do that.
167, Do what?
168," (SIGHING) That would be my ""I've just been in jail for five years, ""and my partner lets me down"" face."
169,"Hey, I'm not your partner."
170,Yet.
171,DEBBIE: This is nice.
172,"Chainlink, barb wire."
173,Brought you something.
174,"Oh, um..."
175,Can I exchange something you stole?
176,"Well, if you're gonna have a problem with stealing, you're not gonna like the rest of this conversation."
177," What, we're gonna shoplift?"
178, Maybe.
179,"No. See, this is what you do."
180,"You make me guess and then, I'm interested."
181, Okay.
182," And then you think because I'm interested, that I wanna do it."
183,Don't you wanna do things you're interested in?
184,I'm interested in brain surgery.
185,"Well, we know that's not gonna happen."
186,(SIGHS) Whatever.
187,You don't wanna tell me...
188, (SIGHS)  It's jewels.
189,"Spectacular, great, big, blingy, big old Liz Taylor jewels, that are locked in a vault How do we get them out of the vault?"
190,They're gonna bring 'em to us.
191,"Oh, bugger!"
192, (DOOR CLOSES)  Oh.
193,Nice place.
194,LOU: Try heating it.
195,There's a room for you upstairs.
196,"Your stuff's upstairs, too."
197,"You know, I borrowed some shit."
198,Figured you weren't using it.
199,"CARA: So, is this your gallery?"
200," Yeah, one of them."
201, Hmm.
202,Where are the others?
203,"Well, I'm opening one in London."
204,Got plans for another one in Tokyo.
205,"We're talking about LA, but I'm not sure that makes sense."
206,"It's all a bit derivative out there, you know?"
207,(CHUCKLES) So this is the only one that exists?
208,Well... Physically.
209,Excuse me one second.
210,Sorry. Sorry.
211,"(CHUCKLES) Oh, my God."
212,I was meaning to call you.
213,"Jesus, it's great to see you."
214,You look...
215,Recently incarcerated?
216,Wonderful. You look wonderful.
217, (CLAUDE GRUNTS)  Do you know what a shiv is?
218,"Okay, stop. Just stop."
219,"Oh, such a nice face."
220,"You know, inside, you're what we call a pretty girl."
221, I'll call the police.
222, Okay.
223,Do you know what we do with snitches?
224,LOU: He saw you?
225,"DEBBIE: Oh, yeah."
226,LOU: Why would you do something like that?
227,Closure?
228,Bullshit!
229,Jesus!
230,So did you...
231,No.
232,Just a little button.
233,"DEBBIE: So at first, I thought banks. 'Cause you know..."
234,LOU: That's where they have money?
235,DEBBIE: Exactly.
236,But that's kind of boring.
237,So then I thought ten banks.
238,Then I realized that would be maybe coming from an angry place so...
239,LOU: Good you realized that.
240,DEBBIE: Yes. Then I couldn't even hear myself think.
241,"You know, five women in one cell."
242,"So I got myself thrown in solitary for a little peace and quiet, and that's where I finally came up with it."
243, It's still a museum.
244, So?
245,"So, it's not like robbing a liquor store."
246,"I'm sorry, I don't speak Ukrainian."
247,"I said, ""We're not robbing a museum."" We're robbing someone in a museum."
248,In a museum.
249,"Yeah, you mentioned."
250,Look.
251, Even if this was possible...
252, It is possible.
253,"Even if it was, we'd need, like, and half a million dollars."
254,Seven.
255,Seven million?
256,Seven people and 20 grand.
257,Why do you need to do this?
258,Because it's what I'm good at.
259,"Uh, yeah."
260,You know what?
261,I have run this thing a thousand times.
262,"Every time I got caught, I fixed it."
263,"And in three years, I wasn't getting caught anymore."
264,"By the time I was paroled, it was running like clockwork."
265,Perfectly.
266,"And you were there with me, every step of the way."
267,"Oh, honey, is this a proposal?"
268,"Baby, I don't have a diamond yet."
269,Come on. Do you really wanna spend the rest of your life watering down well vodka?
270,Because it's really kind of a waste.
271,Come on. Take a bite.
272,(SOFTLY) Just take a bite.
273, You're really irritating.
274, Open.
275,That's good.
276,Very good.
277,DEBBIE: So each year they host the biggest party in the world.
278,And they always get a huge celebrity to host.
279,"This year, it's Daphne Kluger."
280, LOU: Wow!
281, (CAMERAS CLICKING) DEBBIE: Yeah.
282,But she's not our mark.
283,LOU: So who's the mark?
