,dialog
0,"Year after year, 20something women come to New York City..."
1,...in search of the two L's: Labels and love.
2, Yeah.
3, It's the best.
4,Hot dress!
5,"Twenty years ago, I was one of them."
6,"Having gotten the knack for labels early, I concentrated on my search for love."
7,"Turns out, a knockoff is not as easy to spot when it comes to love."
8,What? You're married?
9,You fucking asshole!
10,"Motherfucker, you're married?"
11, Until it is.
12, I fucking hate you.
13,That is why you need help to spot them.
14,Lots of help.
15,Help also known as Charlotte York...
16,...Miranda Hobbes...
17,...and Samantha Jones.
18," Oh, my God, look at his."
19,Hey.
20,"Hi, how are you?"
21,"Oh, well."
22,"My name is Carrie Bradshaw, and I'm a writer."
23,"Year after year, my single girlfriends were my salvation."
24,"And as it turns out, my meal ticket."
25,I've been dating since I was 15.
26,I'm exhausted. Where is he?
27,Charlotte was looking for the perfect love.
28, Trey can't get it up.
29," Well, almost perfect."
30,I'm becoming a Jew.
31,"We're not barren, we're reproductively challenged."
32, They're giving us a baby.
33, That's our baby.
34,So Charlotte and Harry journeyed to China and back...
35,"...for their daughter, Lily."
36,Miranda was a disciple of tough love.
37,Bye. Great sex.
38," Steve, I'm pregnant."
39, You're what?
40,Carrie.
41,"I, Miranda Hobbes, take you, Steve Brady..."
42,And Miranda journeyed to Brooklyn for Brady and Steve.
43,Who wants a Popsicle?
44,"Oh, man. Boy."
45,Samantha's love was sex.
46,Lots of sex.
47,I'm dating a guy with the funkiesttasting spunk.
48,Can I cancel my rice pudding?
49,And then she found a man that combined sex and love.
50,I'm gonna help you be a star.
51,"Yes, he is interested..."
52,So Samantha journeyed to Hollywood with television star Smith Jerrod.
53,"As for me, I was looking for something big."
54,Get in.
55,"Mr. Big. Turns out when that big love comes along, it's not always easy."
56,Just tell me I'm the one.
57,And despite all the other chapters of my life...
58,...no one was ever quite big enough until...
59,"Carrie, you're the one."
60,"And just like that, I was."
61,Three books and three years later...
62,...we still feel like those four single girls.
63,And even though time had moved us on...
64,...I managed to stay exactly where I was: In love.
65, Thank you.
66, You're welcome.
67,"I got a good feeling about this one, kid."
68,"Oh, I hope so."
69,I've always loved this block.
70,"Hi, 3C?"
71,Finding the perfect apartment in New York City...
72,...is like finding the perfect partner.
73,It can take years.
74, So how many is this?
75, Thirtythree.
76,Lucky 33.
77, The worst. I just left you a message.
78, And the kitchen's through here.
79,That's the window with the best view.
80,Thirtyfour? Lucky 34?
81,"Well, if anything else opens up, let us know."
82,We're very interested in this building.
83,I do have another apartment that's not even on the market yet.
84,Care to take a look?
85, Sure.
86, Sure.
87,"All right, then."
88,It's more than you were looking to pay.
89, How much more?
90, More.
91,So this is where they keep the light.
92,"Oh, my God."
93,I have died and gone to realestate heaven.
94,Just a simple home for two.
95,And across the rooftop terrace...
96,"What, nirvana?"
97,Hello. I live here.
98,Your wife has quite a sense of humor.
99, They're not married.
100, He's my boyfriend.
101,This way.
102,Aren't I a little old to be introduced as your boyfriend?
103,"Point taken. From now on, you'll be my manfriend."
104, That sounds like a dog.
105," Well, if the shoe fits..."
106,And this is the master bedroom.
107,Uh.
108,It's hideous. I hate it. Hurts my eyes.
109, How is this place even available?
110, Nasty divorce.
111,"If you live here, what is there to fight about?"
112,Hm.
113," Well, now I understand the divorce."
114, I can build you a better closet.
115,"Welcome home, baby."
116,Can...? Can we afford this?
117,I got it.
118,"Okay, let's sign some contracts."
