,dialog
0,"Come on, boy!"
1,Chestnuts!
2,"Get some lovely, hot chestnuts!"
3,"Mr. Bobster, good evening."
4,"How pleasant to see you again, sir."
5,"Here we are, Mr. Bobster."
6,Your favorite.
7,Hmm.
8,"Oh, tidings of..."
9,Mr. Bobster.
10,"Are you all right, sir?"
11,Oh.
12,"It was a cold, snowy day in early December."
13,Lack of funds had forced my old school to close.
14,I was being sent to a new one in the middle of term.
15,"I was accustomed to the open, relaxed expanse of the country, and now I was in the heart of London at the height of the Victorian Era."
16,The streets were teeming with every activity imaginable.
17,I was very taken by what I saw.
18,"As I stepped from my carriage, the sight of my new school filled me with fear and apprehension."
19,"Yet, I was swept with a wave of curiosity."
20,"However, nothing could prepare me for the extraordinary adventure that lay ahead or the extraordinary individual who would change my life."
21,"There you are, sir."
22,Stop!
23,Isn't it valuable?
24,What's more important?
25,It's value of my sanity?
26,I should have mastered the damned thing by now.
27,How long have you been playing?
28,Three days.
29,Well...
30,perhaps you should be patient.
31,You're the new boy.
32,"Yes, I transferred from another school."
33,My name's...
34,Wait.
35,Let me.
36,Your name is James Watson.
37,You're from the north of England.
38,Your father is a doctor.
39,"You spend a considerable amount of leisure time writing, and you have a particular fondness for custard tarts."
40,Am I correct?
41,"My name isn't James, it's John."
42,"Oh, James, John, what's the difference?"
43,A great deal.
44,"Oh, very well, so your name is John."
45,How did I do on the others?
46,You were correct.
47,On every count.
48,How is it done?
49,Is it some sort of magic trick?
50,"No. No magic, Watson."
51,Pure and simple deduction.
52,"The name tag on your mattress reads ""J. Watson."" I selected the most common name that begins with ""J."" James... or John... that would have been my second choice."
53,Of course.
54,Your particular style of shoes are not made in this city.
55,"I've only encountered them once before, during a brief visit to the north of England."
56,The middle finger of your left hand is indented with a callus...
57,the trademark of a writer...
58,"and you were carrying the Hunter's Encyclopedia of Disease, a handbook not available to the general public, only to practicing physicians."
59,"Since someone of your age obviously hasn't been to medical school, I concluded that it was given to you by an older person, someone very dear to you who is concerned for your health..."
60,"your father, the doctor."
61,And the custard tarts?
62,"Simple. There's a distinct stain of yellow custard on your lapel That particular color of custard is used in the making of custard tarts, and, uh..."
63,"well, your shape convinced me that you've eaten many of them before."
64,There's no need to be rude.
65,"Come on, we haven't got all day."
66,But hang on.
67,Where are we going?
68,"You wouldn't want to miss chemistry class, would you?"
69,"By the way, what's your name?"
70,Holmes.
71,Sherlock Holmes.
72,"The deductive mind never rests, Watson."
73,It's not unlike a finely tuned musical instrument.
74,It demands attention and practice.
75,"How does one go about finetuning a mind, Holmes?"
76,"With problems of logic, mathematical equations, riddles."
77,"For example, Watson..."
78,you're seated in a room with an allsouthern view.
79,"Suddenly, a bear walks by the window."
80,What color is the bear?
81,Red.
82,The bear is red.
83,Why on earth would the bear be red?
84,The southern sun is very hot.
85,The bear would be terribly burned.
86,That is the most absurd answer I've ever heard.
87,To successfully conclude the exexperiment...
88,"uh, uh, uh... the experiment..."
89,"uh, uh, uh, experiment."
90,"Toto reiterate, experiment 14..."
91,"""TThrow a small piece ""of potassium onto some water..."
92,"""The liquid will be rapidly ""de... comcomposed, and so violent will be the action ""that a large amount of light and..."" Thank you."
93,He's being particularly boring today.
94,"""The result is the production of potasi..."
95,...oxide of potass...
96,"which will be dissolved..."" That was a girl."
97,"Brilliant deduction, Watson."
98,"Who is she, and what's she doing in a boys' school?"
99,Her name's Elizabeth.
100,"Following the death of her parents a few years ago, she came to live on school grounds with her uncle, a retired Brompton schoolmaster."
101,"""...and such is modified by..."" Elizabeth was just admiring my new timepiece."
102,Would you like to see?
103,Hmm. Very interesting.
104,All of the stylish gentlemen are wearing them.
105,Expensive?
106,I bought it in Bond Street.
107,I find that highly unlikely.
108,I beg your pardon?
109,"Had you taken a moment to examine the face, you'd have discovered that it is notably French in style."
110,"And yet according to this inscription, the exterior was manufactured in Switzerland."
111,"Yes, my suspicion was correct."
112,The works are obviously Italian in origin.
113,"Congratulations, Dudley, your stylish timepiece is a fraud."
114,"Keep your opinions to yourself, Holmes."
115,I look forward to resuming our conversation...
116,when there's a little more privacy.
117,Why did you do that?
118,Dudley is a pompous ass.
119,He's very sweet.
120,"Oh, really?"
121,Is that why you were standing so close to him?
122,"Flirting with him, letting him dribble all over your hand."
123,Do I detect a sense of jealousy?
124,"Sherlock Holmes, jealous?"
125,"My dear, that word does not enter my vocabulary."
126,"And neither does ""punctuality."" Oh, I see."
127,You're angry because I'm late.
128,As always.
129,"I'm sorry, but I can explain."
130,I understand.
131,You had something more important to do.
132,How can you say that?
133,I was...
134,"Elizabeth, let me introduce you to my new friend..."
135,...the honorable but clumsy Watson.
136,"The, uh, ladder's a bit wobbly."
137, Hello.
138, How do you do?
139,Nearly broke a bone.
140,Elizabeth!
141,Elizabeth!
142,Holmes!
143,I think I've solved all of the problem!
144,Who's that?
145,My uncle.
146,"Rupert T. Waxflatter, retired schoolmaster."
147,"Degrees in chemistry and biology, wellversed in philosophy, mathematics and physics."
148,Author of 27 books.
149,Incredible.
150,And most people think he's a lunatic.
151,Why?
152,"Oh, my God."
153,Oh. Oh...
154,Oh!
155,A very hopeful sign.
156,Hmm.
157,Very hopeful.
158,"Ah, let me see, that makes six..."
159,six failed attempts.
160,"Nevertheless, we shall not be defeated."
161,We shall conquer.
162,I have made up my mind.
163,The conquest with a smile is well within my grasp.
164,He's done this six times?
165,All I need to do is to apply 20 more...
166,I live here with Uncle.
167,"After he retired, the school gave him the attic as a workplace."
168,It's incredible.
169,I've spent many happy hours here.
170,He's taught me more than ten schoolmasters put together.
171,"Uncas, say hello to Watson."
172,"Say hello, Uncas."
173,Say hello.
174,"Watson, he's not a parrot."
175,"You've found the weakness, sir?"
176,I constructed the wings out of an inferior material.
177,I shall have to rebuild the entire machine.
178,The entire machine?
179,Mm...
180,Won't that be difficult?
181,"Elementary, my dear Holmes."
182,Elementary.
183,Ha...
184,you'll...
185,you'll have to excuse me.
186,"Come on, come on, come on, come on."
187,"I've got it, Holmes."
188,The bear is black.
189,"What's that, old chap?"
190,The bear in the riddle.
191,Its a black bear.
192,"Wrong again, Watson."
193,I'd appreciate it if you wouldn't disturb me when I'm trying to concentrate on the lesson.
194,"Are you all right, Pencester?"
195,"I think I sprained my ankle, sir."
196,"Mrs. Dribb, will you tend to him, please?"
197,"Gentlemen, we cannot permit ourselves lapses in concentration."
198,"We must work on technique, on rhythm and on balance."
199,I can think of no better pupil to help me illustrate proper form and technique than Holmes.
200,"Study our stance, our movements and our style."
201,En garde.
202,Touche.
203,Touche.
204,"My game, Holmes."
205,"Now, gentlemen..."
206,Mr. Holmes lost because of one important factor.
207,His emotions took over.
208,He ignored discipline.
209,Never replace discipline with emotion.
210,"Well played, Holmes."
211,Thanks.
212,"Per Christum dominum nostrum, amen."
213,Amen.
214,I want to enlist in the army.
215,A general.
216,Generals don't make any money.
217,I would prefer to be an author.
