,dialog
0,There's a meadow in my perfect world.
1,Where wind dances the branches of a tree.
2,Casting leopard spots of light across the face of a pond.
3,The tree stands tall and grand and alone.
4,Shading the world beneath it.
5,"It is here, in the cradle of all I hold dear, I guard every memory of you."
6,"And when I find myself frozen in the mud of the real far from your loving eyes, I will return to this place, close mine, and take solace in the simple perfection of knowing you."
7,Hey.
8,You got blood on your shirt.
9,"Yeah, I just came from work."
10,Who's the victim today?
11,Looks like it's gonna be me.
12,Want some coffee?
13,Sure.
14,"So, I gotta go to the Rez tomorrow."
15,Figure I'd take Casey by to see your folks.
16,Something killed a yearling in the pasture behind their house.
17,"Yeah, that's why I'm going."
18,"Don't let Casey out of your sight on the Rez, okay?"
19,"Like I said, I'm gonna leave him with your folks while I scout."
20,It's too cold to drag him through the snow.
21,You know what I mean.
22,I know.
23,Yeah.
24,Case!
25,Dad?
26,"Come on, bud."
27," Okay, I'm coming!"
28, Time to go.
29,"Whoa, whoa, whoa..."
30,What's your BB gun pointing at right now?
31,"Come here, come down here."
32,"Sorry, Dad."
33,"Hey, what's the rule, bud?"
34,"Okay, gun's always loaded even if it ain't. Right?"
35, Yes.
36," Okay. Come on, buddy."
37,Put that in the truck.
38,Hurry up.
39, Okay.
40, Don't run.
41,I'll be back Monday afternoon.
42,"Just be careful on the road, okay?"
43,This won't be my first snowstorm in a car.
44,Okay.
45,Is this it?
46,Yeah.
47,"Here you go, buddy."
48,"You know, it's a good town, Wilma."
49,They got good schools there.
50,"If I get the job, we're gonna have to talk about his child support."
51,Jackson's a lot more expensive.
52,"Well, you go get that job and we'll figure it out from there."
53,Don't you worry 'bout it.
54,"Take Togwotee Pass, and don't go through Pinedale, okay?"
55,"This uh, this storm's comin' in from the south, so."
56,"Yeah, you couldn't drag me through Pinedale with a rope."
57,I'll never set foot in that town again.
58,"Well, good luck, okay?"
59,"Better hurry it up, he gets hungry."
60,"Chow time, boys."
61,You okay?
62,Fine.
63,Gotta push his nose back when he rubs up on you like that.
64, Okay?
65, Okay.
66,"Hey, look."
67,Told you I'd get your hat dirty.
68,He's got the height advantage on me is the deal.
69,Is that right?
70,"Well, let's fix that."
71,Come on.
72,You gotta earn his respect from him.
73,"And when you do that, you stand in your own ground."
74,"So, let's get you up on there."
75,"Just like I showed you, right?"
76,Who's got the height advantage now?
77,Huh? Who's got the height advantage? Just back him up.
78,Be gentle.
79,Till he tells you not to be.
80,Take him around.
81,That's it.
82,Pass right by his food.
83,Keep on going.
84,Keep on going.
85,There you go.
86,You show him who's boss.
87,You wanna side pass him over this way?
88,Whoa.
89,There you go.
90,"That's it, son."
91,Keep comin'.
92,Back him up. He wants his food.
93,Back him up.
94,Look at that.
95,"All right, come on in."
96,How 'bout that? Good job.
97,Come over here.
98,Put your hand up on his nose.
99,"Let him smell you, let him breathe you, let him know you."
100,"He'll love you forever, okay?"
101,"Hey, So, what do you think of that, son?"
102,"That was pretty cowboy, huh?"
103,"No, son."
104,That was all Arapaho.
105,"Hey, grandson!"
106,Grandma's making you frybread.
107, Did you have breakfast?
108, Just eggs.
109,"Well, go ahead, get you some."
110," Horses sense the storm, huh?"
111, Yeah.
112,"So, police chief called you to hunt the lion, eh?"
113,He called me to hunt something.
114,I heard you lost a steer.
115,"Yeah, I'll show where."
116,It's a lion.
117, Is that right?
118, Come on.
119,How's Wilma?
120,She got a job interview.
121,"In Jackson, some hotel, I think."
122, Jackson Hole.
123, Yeah.
124,"Gonna live with the millionaires, eh?"
125,I dunno about that.
126,I think the billionaires chased out the millionaires years ago.
127,"Ah, save your money."
128,"When the wolves start eating their Golden Retrievers, that land's gonna go for pennies on the dollar."
129,"Yes, sir."
130,Tell me what that is.
131,Yeah.
132,"Well, it's a lion, all right."
133,There's two!
134,Three!
135,She's got both of last year's kits with her.
136,"They chased your steer around for a while, it seems."
137,That's what the tracks say.
138,Mama's teachin' her kits how to hunt.
139,But she's teachin' 'em on livestock.
140,Mama just got her whole family killed.
141,Got gas in your sled?
142,Far from your loving eyes.
143,I return to this place.
144,And close my eyes again.
145,Far from your loving eyes.
146,Alone among the wind I run.
147,I need emergency assistance.
148,"Repeat, emergency assistance requested. Come back."
149,Fremont County Sheriff's office.
150,What's your location?
151,"The Wind River Indian Reservation, east of Boulder Flats."
152,"FBI taking a while, eh."
153,"Yeah, the road out of Riverton's bad."
154,I don't wanna move her until they have a look.
155,But I'm not gonna try to pull her out after dark.
156,We gotta get this show on the road.
157,"We're losin' the tracks, Ben."
158,"Well, it is comin' down pretty good."
159,You should let me follow 'em while I still can.
160,"Can't let you do that until it's okayed by the FBI, Cory."
161,Call her folks yet?
162,"No, I wanna take the body to Lander."
163,"I know it looks like Natalie, but then..."
164,It's Natalie.
165,There's your feds.
166,What are these fools doing?
167,They can't see the road.
168,We don't have time for this.
169,I'll get 'em.
170,Your destination is on the left.
171,Turn left.
172,You FBI?
173,Are you Tribal Police?
174,"No, I'm here to take you to 'em."
175,"Look, it's very close."
176,"Just follow me, okay?"
177,Yeah.
178,I'm Jane Banner.
179,You by yourself?
180,"Yeah, it's just me."
181,"I'm Ben Shoyo, I'm the Tribal Police chief."
182,That's Cory Lambert with Fish and Wildlife.
183,He's the one who found the body.
184,"And this is his fatherinlaw, Dan."
185,He don't do nothin'.
186,"We got the same job, eh."
187,"Well, II'm sorry to meet under these circumstances."
188,"So, do you wanna show me the body?"
189,I don't mean to be rude.
190,"I'm just freezing my ass off here, so."
191,The quicker thethe better.
192,"Yeah, it's gonna get a lot worse if you go out there dressed like that."
193,The body's five miles on snowmobile.
194,I'm afraid you'd be dead by the time we got there.
195,I got the call when I was at a weapons course in Riverton.
196,"So, this is this is what I've got."
197,"Well, you should have a winter gear bag in that truck."
198,"Well, no, it's not a government vehicle, it's a rental. I flew in from Vegas."
199,"So, I'm just the closest agent to the scene."
200,You don'tyou don't think I canI can make it?
201,"Oh, you're from Vegas?"
202,"No, I'm notI'm not from Vegas, I'm stationed there."
203,I'm from Fort Lauderdale.
204,"I'm sorry, if we're gonna keep havin' this conversation, can we..."
205,Let's get you fixed up inside.
206,It's gonna be great.
207,"Thanks. Sorry, excuse me, thanks."
208, See what they send us?
209, Yeah.
210,Thermals can make underwear wedge up your bottom.
211,But I guess yours are already there.
212,"Here, this should fit."
213,You're skinny.
214,Thank you.
215,Do you have gloves?
216,No.
217,Goodness. What were they thinking sending you here?
218,Thank you.
219,And you bring them back the minute you're done.
220,They were my granddaughter's.
221,They ain't a gift.
222,You hear me?
223,"Yeah, of course."
224,Okay.
225,Okay.
226,"Hey, buddy."
227,I'm gonna need a couple more hours for work.
228,A couple? This is our day.
229,I promise.
230, Okay?
231, Okay.
232, Hang with Grandpa.
233," It's lettin' up, let's go."
234,"God, it was a blizzard Well, it comes in waves."
235,It could be sunny for an hour then you're right back in hell again.
236,The storm will be back.
237,That's something to look forward to.
238,Yeah.
239,Over here.
240,You got a positive ID?
241,"Not positive, no."
242,Natalie Hanson.
243,We'll call that positive for now.
244,Does she live closeby?
245,"Yeah, Fort Wakashie."
246,It's like a... north a ways.
247,"What's ""a ways""?"
248,About a 30 minute drive.
249,"Okay, well, she didn't run from home, then."
250,No one reported her missing?
251,Her parents?
252,Nope.
253,Yeah... that's why we called you.
254,How experienced is your medical examiner?
255,"Let's just say, he stays busy."
256,"Uh, order a rape kit."
257,"When he's done with the prelim, I want her body sent to Loveland."
258,And make sure her belongings go with her.
259,'Cause they need to get tested too.
260,I'm listing this as a homicide.
261,How well do you know this land?
262,Like it's my job.
263,'Cause it is.
264,"Well, is there anywhere she could be running from?"
265,Is there anything closeby?
266,"Nearest house is three and a half miles from here, southeast."
267,Sam Littlefeather's place is over there.
268,Yup.
269,Those boys could use some serious lookin' into.
270,There are no structures closer?
271,There's a drill rig five miles from here.
272,"They got trailers for the workers, but..."
273,That's closed for the winter.
274,"Okay, so why would a teenage girl be out here?"
275,"Well, kids come out here on their snow machines and have a big party in the snow."
276,"Not barefoot, they don't."
277,What do you think?
278,I only know what the tracks say.
279,"Okay, well, that's all we got."
280,"Well, come here, I'll show you."
281,"Right here, see this one, see how the toes turned out?"
282,The front is much deeper than the back?
283,That says she's runnin'.
284,"Come here, I'll show you."
285,She ran until she dropped here.
286,See the pool of blood where her face hit the snow.
287,"Now, it gets 20 below here at night."
288,"So, if you fill your lungs up with that cold air and you're runnin', it'll freeze 'em up."
289,"Lungs fill up with blood, you start coughin' it up."
290,"So, wherever she came from..."
291,she ran all the way here.
292,Her lungs burst here.
293,She curled up in that treeline and drowned in her own blood.
294,How far do you think someone can run barefoot out here?
295,"Oh, I don't know."
296,How do you gauge someone's will to live?
297,Especially in these conditions.
298,But I knew that girl.
299,She's a fighter.
300,"So, no matter how far you think he ran, I can guarantee you she ran further."
301,I gotta get back to my son.
302,"Hey um, would you be willing to help me?"
303,"Hey, can he assist on this investigation?"
304,What? He doesn't work for me.
305,"And you got a lion to kill, don't forget."
306,There's three of 'em.
307,And I didn't.
308,"Sorry, what is itwhat is it that you do, again?"
309,I'm a hunter.
310,You're a lion hunter?
311,I hunt predators.
312,"Good, so why don't you come hunt one for me, then?"
313,Okay.
314,âª Then I can't afford to dream âª âª And is it time I should be moving? âª âª Is it time I settle down? âª âª Will I sit still or will I feel âª âª The wheels a spinning round? âª âª Well I ain't the brightest âª âª Bird that ever flew âª âª I'm just someone you knew âª Dad?
315,"Hey, bud. What happened, you can't sleep?"
316,I had a nightmare.
317,Is that right? What about?
318,Who was she?
319,"Come here, buddy."
320,âª If I can't afford you darling âª âª Then I can't afford to dream âª Want some milk?
321,No.
322,No?
323,She's a girl who just lost her way in the snow. That's all.
324,Okay?
325,What's all this?
326,"That's work, buddy."
327,Did she die like Emily?
328,She died in the cold.
329,"So, she died like Emily?"
330,"Yeah, son. I'm afraid she did."
331,Hi. Sorry.
332,Yeah.
333,"So, you found town okay?"
334,"Yeah, barely."
335,Did the family identify the body?
336,Yeah.
337,Did they give you a reason for not reporting her missing?
338,"Well, she stayed with her boyfriend some."
339,They didn't think anything of it.
340,"She was 18, free to do what she wanted."
341,"Okay, Randy, you're on the clock."
342,"I got about five minutes of this in me, so let's go."
343,I'll be quick.
344,"Morning, Randy Whitehurst, I'm the medical examiner."
345,"I'mI'm Jane Banner, FBI."
346,"Um, as you can see here, she suffered a deep laceration along her brow line."
347,Two separated ribs.
348,Frostbite in both feet up through her ankles.
349,Frostbite in her nose and on her left hand.
350,"Uh, the frostbite on her feet is stage four."
351,You can tell by the bluing here.
352,You see that?
353,Yeah.
354,"Uh, vaginal wall is torn in different depths."
355,You think there were multiple assailants?
356,Can't determine that.
357,Could be one assailant who assaulted her multiple times.
358,"Uh, I swabbed her and sent the sample by courier to the FBI crime lab in Loveland, Colorado per your request."
359,Should have the DNA results in six weeks.
360,"Uh, those findings might help us make that determination."
361,What are you listing as the cause of death?
362,"Well, you're not gonna like it."
363,She died from a pulmonary hemorrhage.
364,"When... subzero air is drawn in the lungs, it can cause the alveoli, the tiny sacs in the lungs to burst."
365,Fluid builds in the lungs.
366,"And if the air is cold enough, the liquid in the lungs will crystallize."
367,"Ultimately, the victim met her..."
368,"Sorry, you're not listing this as a homicide?"
369,Can't.
370,You have to take into consideration the circumstances.
371,She was raped.
372,Repeatedly.
373, Beaten...
374, Look...
375,"Uh, the circumstances is your field, not mine."
376,"Now, let melet me show you."
377,"No, I don't need it explained!"
378,This is very prosecutable as a murder.
379,"I mean, clearly she wouldn't have been running through the snow if she hadn't been attacked."
380,But I can't list the cause of death as homicide.
381,And I can't get an FBI team to the reservation unless it's listed as a homicide.
382,"Look, I'm not here to solve this."
383,I'm just here to obtain a cause of death and send a team here that can.
384,"Look, present the rape, present the assault and I'm..."
385,Those don't fall to the jurisdiction of the FBI.
386,They fall to the Bureau of Indian Affairs.
387,"Huh, hey, don't look at me, I'm used to no help."
388,You have six officers on your entire force to cover an area the size of Rhode Island.
389,"Yes, I know that."
390,"No offense, but this'll have to crawl in your lap in order for you to solve it."
391,I know that too.
392,We all know it's a murder.
393,"Have the US Attorney sign off on it, I'm happy to corroborate that."
394,But I just can't put it on the death certificate.
395,Okay.
396,Thank you.
397,I appreciate your passion.
398,It's not the Fed's usual response.
399,But Randy is on our side.
400,"When my supervisor sees this report, he's gonna want me back in Vegas."
401,"Not that I'm much help or anything, but..."
402,I'm all you've got.
403,Yeah?
404,"So, you never met him?"
405,No.
406,And she never talked about him?
407,Not to me.
408,"So, why would you let your daughter stay with a guy you've never met?"
409,Whose name you don't even know?
410,She was an adult.
411,Barely.
412,"I'm sorry, what does that mean?"
413,It ain't good.
414,"Um, look..."
415,I don't mean to offend you.
416,"I am just trying to understand the dynamic here, Mr. Hanson."
417,I'm trying to help.
418,"Why is it whenever you people try to help, it starts with insults?"
419,I don't know why she didn't tell me.
420,But she was 18 and I chose to trust her.
421,And I chose wrong.
422,"Okay, well, how about your wife?"
423,Did your daughter talk to her?
424,Do you talk to your mother?
425,Her name is Annie?
426,Is she here?
427,She's in the bedroom.
428,"Good, I'd like to speak to her."
429,Be my guest.
430,Thank you. Bedroom's just this way?
431,That way.
432, Jane.
433, Yeah?
434,"You don't mind, right?"
435,"Hey, you don't need my permission."
436,You're an adult.
437,Barely.
438,Jane.
439,I'mI'm really sorry.
440,Hey.
441,I'd like to tell you it gets easier.
442,It doesn't.
443,"If there's any comfort, it's..."
444,"getting used to the pain, I suppose."
445,Went to a grief seminar in Casper.
446,Did you know that?
447,Don't know why.
448,Just wanted the bad to go away.
449,Wanted answers to questions that couldn't be answered.
450,The counselor came up to me after the seminar sat down next to me.
451,He said something that stuck with me.
452,I don't know if it's what he said or it's how he said it.
453,"He says, ""I got some good news and I got some bad news."" ""The bad news is you're never gonna be the same."" ""You'll never be whole."
454,"Not ever again."" ""You lost your daughter and nothing's ever gonna replace that."" ""Now, the good news is as soon as you accept that..."
455,"and you let yourself suffer."" ""You'll allow yourself to visit her in your mind."" ""You'll remember all the love she gave."" ""All the joys she knew."" The point is, Martin, you can't steer from the pain."
456,"If you do, you'll rob yourself."
457,You'll rob yourself of every memory of her.
458,Every last one.
459,From her first step to her last smile.
460,You'll kill 'em all.
461,"Just take the pain, Martin."
462,You hear me? You take it.
463,It's the only way you'll keep her with you.
464,"I'm just tired, Cory."
465,"You know, I'm just..."
466,so tired of fighting this life.
467,What you do now is for your boy.
468,Drugs is his family now.
469,He's gone too.
470,"Lives just down the damn road, but he's..."
471,He's gone.
472,I expect they'll find out he's involved in this somehow.
473,He's staying with the Littlefeather boys.
474,That it?
475,Yeah.
476,"You drivin' this Fed around so she don't get lost, is that it?"
477,That's what they asked me to do.
478,Not what I'm doing.
479,Then what are you doing?
480,"I'm a hunter, Martin."
481,What do you think I'm doing?
482,If you find out who did this...
483,I don't care who it is.
484,You understand me?
485,Right where they stand.
486,Then get off my porch and go do it.
487,Natalie's brother lives here with Sam and Bart Littlefeather...
488,and a real piece of work named Frank Walker.
489,"Hanson kid's bad, but others are just stone evil."
490,"So, watch yourself."
491,Shouldn't we just maybe wait for some backup?
492,"Well, this isn't the land of backup, Jane, this is the land of you're on your own."
493,âª and if it's gotta be death or jail âª Listen to that shit.
494,Yeah?
495,We're lookin' for Chip Hanson.
496,He around?
497,"Not here, brah."
498,Who are you?
499,Who the fuck are you?
500,"I'm the FBI, are you Sam?"
501,No.
502,"You high right now, Sam?"
503,How many times have I arrested you?
504,"Chief, what's up, brah?"
505,Where's your brother?
506,"He's in prison, where you put him."
507,"What, no parole?"
508,"Well, look at that, the justice system at work."
509,That reminds me.
510,My PO told me to give you something.
511,I got it...
512,I got it right here.
513,"Wait, let me see your hands!"
514,Let me see...
515,Cory! Watch your back!
516,Fuck!
517,The other two's outside with Cory.
518,Let's go.
519,He... He's still alive.
520,We need to call EMS.
521,EMS is an hour away.
522,Just... just leave him.
523,"Unhunh, he's not dead, Ben."
524,Like I said.
525,Let's go.
526, You okay?
527, Yeah.
528, Skinny one's Natalie's brother.
529, Who's the other one?
530,That... is a Frank Walker.
531,Won't your daddy be proud.
532,"My dad's in prison, asshole."
533,"I know, I put him there."
534,"Tell me what happened to your sister, Chip."
535,What?
536,Don't play dumb.
537,About what? What happened to her?
538,Huh?
539,"What that cracker do, huh?"
540,"What, what cracker?"
541,Was she seeing a white guy?
542,Do you know him?
543,Do you know who he is?
544,"Do you know his name, Chip?"
545,You just said was.
546,Why did you say was?
547,Why did she say was?
548,She just said was!
549,"Because I found her raped and killed right over there, son."
550,That's why.
551,No...
552,What?
553,No!
554,"You go, I'm gonna get Chip over to Lander and see if he'll give me the name of this boyfriend."
555,"I tell you, this is how we find him."
556,"No, we go to where he works or where he lives."
557,"Yeah? Well, where does he work?"
558,Where does he live?
559,You think this asshole's gonna tell us anything? I don't.
560,"Look, I hear you looking for clues but you're missing all the signs."
561,"Come here, let me show you."
562,See this here?
563,"This is a sled track, right?"
564, Okay.
565, You see out here on the ridge?
566,"Here, use these."
567,Okay.
568,You see at the end of the rigde here?
569, Follow my hand. Can you see my hand?
570, Yeah.
571,"Okay, when I take it away, now look."
572,Can you see that?
573,Can you see the shadow there?
574,I think so.
575,Snow startin' to cover it.
576,Look up the base of the mountain there.
577,"See, go up the ridge there."
578,You'll see it a lot easier there.
579,See those tracks go up the mountain there?
580," Yeah, I see it."
581, All right.
582,Natalie's body was found just past there. Right?
583,Someone on their little sled right here drove all the way out there.
584,There's no tracks comin' back.
585,Why is that?
586,"I'm tellin' you, the answers are out there."
587,"Hey, look um..."
588,"I don't know how to do this, okay?"
589,I'm not a tracker.
590,"That's okay, that's all I do."
591,Look...
592,"You asked me to help you, right?"
593,Yeah.
594,We should go while I still can.
595,Okay.
596,Why are we stopping?
597,It's about to storm now.
598,The trees are too thick to drive.
599,Gotta walk from here.
600,Come on.
601,Put these on.
602,Okay.
603,Now what?
604,We walk.
605,Follow these sled tracks heading south.
606, Ready?
607, Yeah.
608,All right. Follow me.
609,Oh my God.
610,Oh my God.
611,We went on foot the last half mile of it.
612,"But we blazed a pretty good trail in the snow, so."
613,I can take your boys back up there if you want.
614,"Well, I'll talk to the BIA supervisor."
615,He just might want you to do that.
616,The security team over at the rig got cameras around the perimeter.
617,I'm gonna head up there in the morning.
618,"We might get lucky, find something on tape."
619,Did the two we have in custody say anything?
620,"They ain't the talkin' kind, Jane."
621,"These kids, they expect to go to prison."
622,It's a rite of passage.
623,"Hell, I think they look forward to it, you know."
624,"Three hots and a cot, free cable."
625,"Anything's better than being here, the way they see it."
626,"Let's just test their DNA against the semen, see what that tells us."
627, Can I talk to him?
628," No, Cory."
629,Anything they tell you would be inadmissible in court.
630,And then anything you'd tell us would render everything that resulted inadmissible as well.
631,What if I did not tell you?
632,If I just knew it?
633,"Yeah, Agent Banner. Yes, sir."
634,Ben.
635,I've known this kid since he could walk.
636,I gotta canvas the house.
637,"The uh, back door only locks from the inside."
638,Look at you.
639,Look at you. I didn't do shit.
640,"All you been doing is shit for the last three years, Chip."
641,"It's this place, man."
642,Look what it takes from us.
643,What it took from you.
644,I'm not gonna stand here and tell you that life's fair 'cause it ain't.
645,To either of us.
646,But you know... what do we do?
647,This land... this land is all we got left.
648,What's this we shit?
649,Only thing native about you is your exwife.
650,And a daughter you couldn't protect.
651,Maybe if you played detective...
652,That's not something you get to talk about.
653,You hear me?
654,Go over there.
655,You gonna lecture me about protecting people?
656,While you deal the shit that's killin' 'em?
657,"Unlike most people, you had every chance to get the hell outta here if that's what you want."
658,"You had the army, you had college, whatever, it's your choice."
659,Look what you chose.
660,Look what you chose.
661,God damn you.
662,I met him.
663,Yeah?
664,"Yeah, the motherfucker was almost as old as you."
665,I wanted to fight his ass too.
666,Natalie wouldn't let me.
667,"Guess love really is blind, huh."
668,He worked security on one of them drill sites.
669,This boyfriend have a name?
670,"Matt, Matt somethin'."
671,I don't know.
672,Who does?
673,Sam knew. Why don't you ask him.
674,I think you'll be talking to Sam long before I do.
675,You think this is who I wanted to be?
676,Man.
677,I get so mad I wanna fight the whole world.
678,You got any idea what that feels like?
679,I do.
680,But I decided to fight the feeling instead.
681,'Cause I figured the world would win.
682,What did I tell you?
683,Did he say anything?
684,"No, fuck it. I don't..."
685,I don't wanna know.
686,"You going up to the rigs tomorrow, ain't you?"
687,Yeah.
688,Natalie's boyfriend worked there.
689,"What? No, fuck, don't tell me."
690,This thing's solving itself.
691,Cory.
692,I want you at the rig with us tomorrow.
693,You don't catch wolves lookin' where they might be.
694,You look where they've been.
695,They've been right here.
696,Hey.
697,You okay?
698,Been better.
