,dialog
0,"Subtitles by explosiveskull ""You are about to meet a strange people ""in a strange enemy country."
1,"""You must keep clear of the Germans."
2,"""You must not..."
3,"""...fraternize."" What does that mean?"
4,It means we shouldn't be friendly to them.
5,"This house is requisitioned for British use by order of the Control Commission, Germany."
6,"You'll forgive us, Fraulein."
7,It belongs to a family Lubert.
8,"He's an architect, sir."
9,All change.
10,"He's meeting you here, is he?"
11,Susan.
12, How was your trip?
13, Long.
14,"Quick, let's get home."
15,Rachael.
16,"Hello, Lewis."
17,My God. Look at you.
18,It's freezing.
19,It is.
20,Here.
21,Let me take this.
22,Welcome. Please come inside.
23,Let me show you the house.
24,"Please, come inside."
25,Let me show you the house.
26,They're still finding bodies.
27,"There's over 25,000 dead still unaccounted for."
28,How are you?
29,Good. Fine. You?
30,It's...
31,It's been difficult.
32,"For you, too, I expect."
33,For all of us.
34,We dropped more bombs on Hamburg in one weekend than fell on London in the whole of the war.
35,That's different.
36,Yeah.
37,"Thank you, Barker."
38,Colonel Morgan.
39, Welcome.
40, Herr Lubert.
41,Please come inside.
42,Let me show you the house.
43,"This is my wife, Mrs. Morgan."
44,How do you do?
45," After you, Mrs. Morgan."
46, Thank you.
47,The finest room of the house.
48,"It's lovely, isn't it, darling?"
49,It's very modern.
50,"Yes, it is."
51,That's a Steinway.
52, An excellent instrument.
53, Yes.
54,Do you play?
55,"Actually, I've rather let it slip."
56,"Well, it will be good to have it played again."
57,What was up there before?
58,A painting.
59,It was damaged.
60,I haven't replaced it yet.
61,So the main staircase is this way.
62,Our library.
63,Herr Lubert's an architect.
64,Was.
65,Now I'm a metal press operator.
66,Shall we?
67,Die Elbe.
68,"It flows all the way to the, uh..."
69,"I'm sorry, I don't have the English."
70,The Deutsche See?
71, North Sea.
72," The North Sea, yes."
73,It's all the same sea in the end.
74,Indeed.
75,It's cold.
76,Can we go in?
77,I hope you can be as happy here as we were.
78,My daughter and I will stay out of your way until we move to the camp.
79,Thank you.
80,"You should have told me, that's all."
81,What?
82,Thinking of our honeymoon.
83,My God.
84,You look beautiful.
85,You've still got this.
86,Of course.
