,dialog
0,And David Beckham gets the ball yet again for Manchester United.
1,He's really taking responsibility every time they have possession and this is really a reflection of the way he's been playing and captaining England.
2,"Seems to have matured so much as a player and he's dominating proceedings here, but...hoping perhaps to get a bit more support as he gathers the ball on this righthand touchline time after time."
3,And the Old Trafford crowd warming now to the way Beckham is taking over.
4,"But there's a big question mark here against United, because where is the goal gonna come from  to break down Anderlecht?"
5, United!
6,Will it be Scholes?
7,Could it possibly be Ryan Giggs?
8,Would it indeed be Beckham himself who breaks through?
9,Anderlecht are playing a very controlled game.
10,"This is Radzinski for them, testing the United defence, and Silvestre here at left back, possibly with a chance to break forward now on the other flank."
11,And there's the ball that Beckham really wants.
12,"That looked like a body check there, but he's shrugged off the defender."
13,"Still Beckham, plenty in the middle."
14,"lt's a decent cross, and there is Bhamra."
15,"That's a fine header, and she's scored!"
16,lt's a goal by Jess Bhamra!
17,"A superb header here, beating the defender and planting the ball beyond the goalkeeper's left hand."
18,Jess Bhamra makes a name for herself at Old Trafford!
19,"And have we discovered a new star here, Gary Lineker?"
20,"That's right, John. Could Bhamra be the answer to Îngland's prayers? Alan?"
21,There's no denying the talent.
22,"Quick thinking, comfortable on the ball, vision and awareness  absolutely magnificent."
23,"l tell you what, l wish she was playing for Scotland!"
24,"John, have Îngland found the player to relive their World Cup glory from '66 ?"
25,"Definitely, Gary, we've finally found the missing piece of the jigsaw and the best thing is, she's not reached her peak yet."
26,"OÎ. Thanks, John."
27,"Well, we're joined in the studio now by Jess's mother, Mrs Bhamra."
28,"Mrs Bhamra, you must be very proud of your daughter."
29,Not at all!
30,"She shouldn't be running around with men, showing her bare legs to 70,000 people!"
31,She's bringing shame on the family and you three shouldn't encourage her!
32,"Jesminder, you get back home now!"
33,"Jesminder, are you listening to me?"
34,"Jesminder, have you gone mad?"
35, Mum!
36," Football, shootball!"
37,Your sister's getting engaged and you're watching this skinhead boy!
38,"Mum, it's Beckham's corner!"
39,"Îey, come downstairs."
40,Your sister's going crazy.
41,"Mum, l can't hang around all day!"
42,l've gotta go!
43,"Mum, where are my keys?"
44,l can't find them anywhere!
45,Sick of this wedding and it hasn't even started.
46,"Mum, can you hurry up?!"
47,She'll probably ruin it for me!
48,That girl is a firstclass bitch!
49,"Pinky, you've got so many others!"
50,"Yeah, but it was all planned."
51,Now l gotta get another one!
52, Will you get a move on?!
53, What the hell's going on?
54,"Get this, yeah?"
55,Teet's bloody sister says she's wearing baby pink now.
56,Stupid cow.
57,l had matching accessories and everything!
58,"Oh, Mum, do l have to go shopping again?"
59,My mother chose all my 21 dowry suits herself.
60,l never once complained.
61,You girls are too spoilt!
62,"Don't forget my dhania, four bunches for a pound."
63,And more carrots. l'm making achar.
64,"Oh, Mum, don't do pickle as well!"
65,Am l asking you two to make it?!
66," Îi, Pinky!"
67, You all right?
68,"Yeah. What you doin' 'ere, man?"
69,You haven't left everything to the last minute?
70,One more day of freedom!
71, Where d'you get your contacts?
72, Do you like 'em?
73,"Just thought they went with my hair, innit?"
74,My fiancÃ© don't like dyed hair.
75,"Still, can't stand here chatting all day."
76,l gotta go to Îaling for my facial. Laters!
77," Bye, Pink."
78, Laters.
79,Stupid bitch!
80,Why did she have to get blue contacts?
81,"Now I can't wear mine, can I?"
82,You're mad.
83,l wouldn't be seen dead in that!
84,"They're all the rage, poppet."
85,"You blow 'em up, just like a Lilo."
86,"Look, this little pump comes free with it."
87,"Pop it in there, in the valve."
88,"Pump, pump, pump away, up it goes."
89,Then...slip it back in there...
90,..boom boom!
91,Cleavage.
92,And they're perfect while you're still growing  cos they lift you right there.
93, Mum!
94," God, you're so embarrassing!"
95, They make more of what you've got.
96,All the girls have bought one for their daughters.
97,"Well... Well, look, there's the Fleur."
98,That's pretty. Mm?
99,"And the gel bra, that's a clever one."
100,No pumping. lt's already in there.
101,"Oh no, sweetheart, not the sports bras."
102,They're so plain. They don't enhance.
103,"Well, no one's gonna see them."
104,"No, but it's not how they look, it's how they make you feel. Îm?"
105,l really like that lace Lycra one.
106,"Uhoh, there's your mate."
107,"Let's make this quick, yeah?"
108,I hope his mum wears a cardy over her three stomachs tomorrow!
109," Shut up, she's old."
110, So?
111,"All right, Jess? Îiya, Pinky."
112,"May you have a long life, my daughters!"
113, Îverything getting ready for tomorrow?
114," Yes, Massiji. Mum's making the samosas."
115,May God keep you and your husband in endless happiness!
116,"And pray for me, that l get a lovely daughterinlaw like you for my Î¤ony."
117,Mum!
118,"Aww, thank you, Massiji!"
119,"OÎ, bye, yeah?"
120, Îow was biology?
121, Did you do the genetics one?
122,The daughter was a carrier and when she married she passed the defective gene to her son.
123,"Yeah, l got that, too."
124,l hope l get my two As and a B for uni.
125,"Come on, Jess."
126, You going to the park later?
127, l'll try.
128,Mum!
129,l've found it!
130,"Come on, Jess."
131,'Scuse me. That suit...
132," Come on, mate."
133, Over here.
134,There you go! Over here!
135,"Rubbish! Come on, boys!"
136,"You're such an idiot, man!"
137, Jess! Fancy a quick game?
138, l can't. My mum's waiting.
139, And my dad's on earlies at Îeathrow.
140," Come on, we really need ya."
141,Come on!
142,Who does she think she is?
143,Beckham or what?
144,Can we chest it like him?
145," You know, give it some bounce!"
146," Chest it, Jess, go on. Chest it!"
147,"Did that hurt, pretty boy?"
148,l nearly scored from 25 yards today.
149,Bent it and everything.
150,l could have carried on playing all night.
151,"It's not fair, the boys never have to come home and help."
152,"Wonder if l had an arranged marriage, would l get someone who'd let me play football whenever l wanted?"
153, Who were you talking to?
154," No one, Dad."
155,"OÎ, Biji and her grandson are coming and staying in here for the wedding."
156,Why don't you put some nice picture of beautiful sceneries  instead of this bald man?
157, Dad!
158,I'm going to change.
159,"Come and help me outside, OÎ?"
160,OÎ.
161,"..a beautiful RollsRoyce, you know?"
162,"l'll get one for your wedding, too, if you like."
163,l just want a little bit.
164,"lt will be your turn soon, uh?"
165,Do you want a cleanshaven boy like your sister or a proper Sikh with a full beard and a turban?
166,"It's only our men that have a big engine and full MOT, eh?"
167,"Nah, man, the alternator's gone on the Merc!"
168,Just do the carburettor on the Nissan.
169,l told you not to bother me!
170,"lt's my engagement, man!"
171, Sorry.
172, l know. Of course.
173,Put it off. Thank you.
174, Lads get into 'em!
175, Yes!
176,"Mmm. Îe is so tick, man!"
177,"lnnit, innit? l know!"
178,Look! Îe's taking his shirt off.
179,"Oh, my God. A body like that should come with an Xcertificate warning!"
180," And a lifetime guarantee, man."
181," Yeah, man. Call Jess."
182, Call Jess!
183, Oi! Jess!
184,"Jess, man, who's your friend with the gorgeous bod?"
185,The one with the sixpack.
186," lf he looks at me, l really will faint."
187, What? Taz?
188, Î¤az.
189, ls that his name?
190,Look at that kick!
191, Îe is so fly!
192, That is fine.
193,That is so fine.
194," Get your girlfriend, man!"
195, Jess!
196," Go on, Jess. Loverboy's calling you."
197," Oh, shut up."
198,You know he's just my mate.
199,We're not all slags like you lot!
200,Ooh!
201,"Bitch! Just cos she's still a V, man, she thinks she's better than us, innit?"
202,"Yeah, but at least she hasn't got off with half of Îounslow like you two."
203,"'Îy, who's that gori watching her?"
204," Come on, Jess."
205," Go on, Jess."
206,"All the way, it's all yours!"
207,"What are you doing, man?"
208, Îi.
209, Îi.
210,Î¤hat was brilliant.
211,Do you play for any side?
212,"Yeah, like who?"
213,Southall United Sari Squad?
214,l play for Îounslow Îarriers girls' side.
215,It's close season but we've got a summer tournament coming up.
216," You should come along, have a trial."
217, A trial? Think l'm good enough?
218,"Yeah. l've watched you a couple of times, you got on really good."
219,"It's up to our coach, but l know we could do with some new blood."
220," Jess, that's brilliant!"
221," Yeah, nice one, Jess."
222,Do you swap shirts at the end of matches?
223, And get in the bath together?
224, Where's the soap?
225,"lt does, doesn't it, lads?"
226,Let's play football.
227, l'm Jules.
228, Jess.
229,Îi.
230,Yes!
231,"l don't give a damn what the people say l'm gonna do it my way, gonna do it my way Boom, boom, a bang bang bang Gonna let it all out an' do my thing A boom, boom, boom an' a bang bang bang Boom, bang, boom, bang bang Do your thing l want two groups, three in each group."
232,Let's move!
233,Îow do you know she's serious?
234,l haven't got time to piss around.
235," She's got balls, Jo. At least watch her."
236, Îiya.
237, Where do you normally play?
238, In the park.
239, l mean what position?
240," Oh, sorry."
241,"l usually play all over, but up front  on the right is best."
242, Get your boots on.
243, l haven't got any.
244,"Right, join in. Start warming up."
245, Where should l put this?
246, Put it over here.
247,Jesus!
248,Pass it to Jules!
249,Brilliant!
250, Îow did it feel out there?
251," Brilliant. Really, really great."
252,l've never seen an lndian girl into football.
253,I didn't even know they had a girls' team here.
254,lt's all her fault.
255,"l used to play for the men's club, and she used to hang around whining that there was no team for her to play on."
256,l wasn't whining!
257,"Nah, there was nothing here for us girls."
258,"There was, like, junior boys' stuff, but when he busted his knee, he set up a girls' side, and he's been on my case ever since."
259,They made me start at the bottom.
260,You can't get much lower than her!
261,You're so full of it!
262,"Nah, we get just as many trophies as the men's side do."
263,"So, does she pass?"
264, Are your folks up for it?
265," Yeah, they're cool."
266,"Suppose you'd better come back, then."
267,l've got to go open the bar.
268,Some real work!
269, Îe likes you.
270, You think so?
271,"Îe asked you back, didn't he?"
272, Îow long have you been playing?
273," For ages, but just in the park."
274, Nothing as serious as this.
275," This, serious?"
276,lt'll do for now.
277,l want to play professionally.
278,Wow! Can you do that?
279,"I mean as a job, like?"
280,"Sure. Not really here, but you can in America."
281,Î¤hey've got a pro league with new stadiums and everything.
282,Really?
283,Can't believe it.
284,"It's a proper pitch with lights, corner flags, changing rooms..."
285,The coach likes me.
286,Îe really knows his stuff.
287,Must be gutted he can't play with his injury and all.
288,Jules is so lucky!
289,Îer mum and dad must really support her to let her go all the way to America to play.
290,l don't even know how to tell my mum and dad about Îounslow Îarriers.
291,Will you both pack it in?!
292,Look at the state of my fuchsias!
293,"Alan, when are you gonna realise you have a daughter with breasts, not a son?"
294, Mum!
295," Paula, please."
296,No boy's gonna want to go out with a girl who's got bigger muscles than him!
297, Why don't you just leave her alone?
298, l'm not gonna give it up!
299,l'm just saying that l saw that Îevin last night in the high street with a blonde girl and it didn't look like they were talking about Match of the bleedin' Day either!
300,Îevin can shag whoever he bloody wants!
301,"Îoney, all l'm saying is there is a reason why Sporty Spice is the only one of them without a fella."
302, Sweetheart...
303, See what you've done?
304,Why don't you just get off her flamin' back?
305,"lf she'd rather play football right now than chase boys, quite frankly, l'm over the moon about that."
306," They're a bit tatty, but they'll do."
307, Thanks.
308,Îere's a kit.
309,Don't be afraid to get it dirty.
310,Can l not wear my tracksuit bottoms?
311,No.
312,Shit!
313,"Jess, get changed over here."
314," You've met our captain, Mel."
315," Yeah, nice to meet you."
316,All right? You up for a proper match?
317,Chiswick next.
318,Best defensive record in the division.
319, They're due for a good stuffing.
320, Absolutely.
321,We need some pace up front.
322,Jules could do with some decent service.
323,Welcome to the Îarriers.
324,Painters and decorators are in.
325,"Jules, take over the warmup."
326,"Come on, girls, keep going! Îeads up!"
327,"Jess, what's going on?"
328,lt looks awful.
329, lt's why l can't wear shorts ever.
330, Jesus.
331,That's a stunner.
332,l thought l had a bad one on my knee but yours is gorgeous.
333,"Look, don't worry about it."
334,No one's gonna care once you're out there.
335, What happened?
336, You don't want to know.
337,Look...
338,Two operations later and it's still useless.
339,Yours affect your game?
340,"Nah, it just looks awful."
341,l was eight.
342,My mum was working overtime at Îeathrow and I was trying to cook beans on toast.
343,"When l jumped up to the grill to get the toast, my trousers caught alight, so my sister put me in the bath, poured cold water over me and pulled them off, but half my skin came off, too."
344,Sorry.
345,l know.
346,Put me off beans on toast for life.
347,Come on.
348,"Mine stopped me from playing outright, yours doesn't."
349, No more dawdling.
350, Sorry about your knee.
351,"Yeah, yeah."
352,"l'm a right sob story, aren't l?"
353,Come on!
354,l want to see some sweat on you!
355,"Well, she's all you'd ever want She's the kind they'd like to flaunt and take to dinner And she always knows her place She got style, she got grace She's a winner She's a lady Oh, whoa, whoa, whoa She's a lady l'm talking about my little lady Oh, whoa, whoa, she's a lady Lady Well, she's a lady!"
356,"Oh, whoa, whoa She's a lady Go on then, boys, come on."
357," Îey, Î¤ony!"
358," What are you here for, fantasy football?"
359,"Wow, Jess. You look like a pro."
360,lt's brilliant. They're a top team and the coach is ace.
361,Îxcellent.
362, What's that down your leg?
363, Îaven't you seen a burn before?
364," That's disgusting, man!"
365," Back off, you wanker!"
366,"No, it's fine."
367,At least l can still skin you alive!
368,"The skill, the skill!"
369,"The skill! Oh, the skill."
370,That's not fair!
371,Îe was touching you all over!
372,Putting his hands on your bare legs!
373,You're not a young girl any more!
374,"And, you, showing the world your scar!"
375,"Jessie, now that your sister has got engaged, it's different."
376, You know how people talk.
377," She's the one getting married, not me!"
378,I was married at your age!
379,You don't even want to learn how to cook dhal!
380, l'm not playing with boys any more.
381, Good! Înd of matter.
382, l'm joining a girls' team.
383, Îuh?
384,They want me to play in proper matches.
385,Î¤he coach said I could go far.
386,Go far? Go far to where?
387,"Jessie, we let you play all you wanted when you were young, huh?"
388, You've played enough.
389, That's not fair! Îe selected me.
390,Îe?
391,She said it was girls!
392," The coach, Joe."
393, See how she lies?
394,"I don't want you running around halfnaked in front of men, huh?"
395,"Look how dark you've become, playing in the sun!"
396,"But, Mum, l'm really good!"
397,"What family will want a daughterinlaw who can run around kicking football all day, but can't make round chapatis?"
