,dialog
0,Why do they always wet themselves?
1,Just get on with the task.
2,They got books.
3,"Well, shake 'em out."
4,See if money comes out the pages.
5,It won't be in the table of contents.
6,Save them jokes that nobody likes for the campfire.
7,You didn't cut him deep enough.
8,He had a lot of blood.
9,An unusual amount.
10,He has the same as every other.
11,Help me up.
12,There are 16 major veins in the neck and you have to cut through 'em all.
13,There ain't 16.
14,My uncle had an acquaintance with a man who used to be a doctor and that's what he said.
15,Now you get on with the task.
16,Worthless.
17,Don't throw no Bibles in there.
18,I know it's bad luck.
19,Besides you can always sell them to some idiot.
20,Buddy...
21,I hear horses.
22,Are you certain?
23,Positively.
24,Damn! It was that gun shot.
25,A bat in China could've heard that.
26,That's a full gallop.
27,We're gonna have to get up there in them rocks and hide.
28,Fifteen minutes 'til they get there.
29,Scurry.
30,You hear that?
31,It was a gust.
32,That's a real musical gust.
33,And?
34,It's ominous.
35,This is not the time for womanly imaginings.
36,Go.
37,What's that? A wolf?
38,"Bear, looks like."
39,Is this some kind of sign?
40,"""Keep Out"" or something."
41,We got permission.
42,Was that us?
43,I thought the sun was in the other direction.
44,"Well, it's here now."
45,Get.
46,That's where we're goin'.
47,Straight through this place and deeper in.
48,Maybe we shouldn't be going some place that looks like a burial ground.
49,To a bunch of godless savages.
50,Ain't no concern of the civilized man.
51,A jail on fire is safer than a place like this.
52,"It's better than sittin' in that damn gulch, riders comin' in from one way and savages the other."
53,"You want to go back there, go."
54,"If that was a gust, then it learned an instrument!"
55,Listen clear!
56,"We're comin' through here, like it or not!"
57,Buddy!
58,"Oh, Je  Would you like  some coffee?"
59,No reason to stay up.
60,"More sleeping I do, quicker Autumn'll get here."
61,Uhoh.
62,Arthur O'Dwyer!
63,You look real pretty when you're upset.
64,Do you intend to sit and sulk for the next 12 weeks?
65,"Well, what do you want me to do?"
66,"I advised you not to work on the roof during the storm, but you went up regardless, because you had ""a notion to get things done""."
67,But there's no reason to go over that again.
68,Didn't you just?
69,So is this your intention?
70,Is what my intention?
71,To sulk for 12 weeks?
72,"I'm not sulking, I'm sour."
73,Don't dodge.
74,What do you want me to say?
75,"I moved beeves all over the map, with all sorts of crews from terrible to worse to get this position."
76,You know all that I've done.
77,This was the big payoff and now I'm stuck.
78,I understand how disappointing this is.
79,Lot of guys never get to be a foreman.
80,"And when I finally do, this happens."
81,They'll be gone until autumn.
82,And you're here I know my situation.
83,You're here with me.
84,You're here with me for a longer duration than any time since we were married.
85,Can't you see it's not all bad?
86,Of course I can.
87,And not just 'cause you're prettier than most cows.
88,Most?
89,You never saw Jessica.
90,Why so quiet?
91,They rode out the beeves yesterday.
92,Like I told you yesterday.
93,"Nobody left here but wives, kids and deadenders."
94,"Good evening, Mr. Brooder."
95,Good evening.
