,dialog
0, Legend has it that the very first candy cane was created one Christmas by a choir master to help keep the children occupied during Christmas mass.
1,"The choir master curved the candy into a hook, which was meant to represent the handle of the staff of the shepherd."
2,"My grandma Carol loved that story, and it inspired her to make the greatest candy canes in the world."
3,upbeat music I can't believe the board is doing this to me.
4,Empire Corporate Recovery from New York?
5, Apparently they're quite good.
6, It's just another cost we don't need.
7, The board is probably just concerned about the future of the company.
8, But I'm the new CEO.
9,I'm concerned with the future of the company.
10,I know Merry & Bright hasn't turned a profit these last couple years but I am really...
11,I'm venting aren't I?
12,Am I venting?
13, A smidge.
14, Okay.
15," Uh, mini candy cane?"
16, Yes.
17,Thank you.
18,"You know let's, let's just talk about something else."
19,How are things with you and Pete?
20, He keeps dropping hints that something big is in the works.
21, Hints?
22, You know.
23, Sophie!
24," Okay, not hints."
25,It's more of a feeling.
26,"I mean, we've been together for three years and Christmas is the perfect time to get engaged."
27,"Oh, Cate I'm, I'm sorry, I forgot."
28," Don't worry, that's ancient history."
29,I'm happy for you.
30,This calls for a toast.
31,gentle music Try the mint deluxe.
32,Cheers chuckles.
33,upbeat music  A candy cane company?
34,You want me to do corporate recovery for a candy cane company?
35, The Merry & Bright Candy Cane Company to be specific.
36, I just finished working with Bermax Food Enterprises.
37," Yes, and Royce Rutherford was very happy with your work and he's a hard man to please."
38, I consult for major corporations.
39," I realize that working with a smaller company isn't what you're used to but this came across my desk, Gabe."
40,The board reached out to us.
41,They think that they're in trouble.
42,"Now, this is a unique situation and it requires a unique talent."
43," Oh, flattery?"
44,You're bringing out all the big tools.
45, Merry & Bright reminds me of what we used to do.
46,Working with smaller independent companies helping them achieve their goals.
47, Can they afford us?
48," Well, I think we'll work something out."
49, It's almost two weeks until Christmas.
50,Aren't they winding things down?
51," It's the Christmas season at a candy cane factory, Gabe."
52,I would say things are winding up.
53,It's the perfect time to go.
54,"Now, after your two weeks I'll need you to submit a preliminary report."
55,We'll take it up in the new year and see where we stand.
56,"And if you're feeling the holiday itch, I hear that the Christmas season in Britewell is quite lovely."
57,playful music  I don't even know where Britewell is.
58, Ohio.
59, Fine.
60," Great, I'll give them a call and tell them that you're on your way, and if you finish that report sooner rather than later, maybe you'll finally make it to one of our Christmas parties."
61, Merry Christmas.
62,"gentle music ""Deck The Halls"" by John Ceiriog Hughes  Yeah, I've always had that effect on people."
63,"They like me, I don't know why."
64,They just do.
65, Hm chuckles.
66," Oh, hm."
67," So, my mom said that you used to uh, live in San Jose."
68,You know I went to Stanford.
69," Yeah, Fresno State here."
70,"Yeah, football."
71," Oh, a Bulldog."
72," Yeah, through and through."
73,Cate chuckles  I was actually on the badminton team.
74,"You know we won the  That's the one with the uh, the, the birdie?"
75," Yeah, right, the one with the birdie."
76," Uh, excuse me?"
77,"You know, I don't understand why she doesn't see me."
78,"playful music  I don't know, looks like you two aren't connecting."
79," Yeah, I guess not."
80, Cate Yeah.
81,"playful music upbeat music  Wow, it's quite a tradition that you're starting Cate."
82,Making chocolates for every single employee.
83, I forgot how much I love doin' it.
84,"And you know, when's the last time you and me made chocolate together, like 10 years?"
85,Always leave 'em with something sweet.
86," Yeah, that's what your grandmother taught us."
87,"gentle music Oh, how was your date Cate?"
88," Nice rhyme, mom."
89," Yeah, it's the school teacher in me."
90," Well it was uh, it was good."
91, Really?
92," Yeah, if good means excruciating."
93, Oh no.
94,Jeffrey seemed like such a nice fellow.
95," Mom, I love you, but please stop setting me up with people okay?"
96,"playful music There's, there's another one coming?"
97," Well, it's Bernice's son, Gary."
98,He's from Akron and he's staying all week at the Britewell Inn.
99,He's here for a conference.
