,dialog
0,Total civil unrest is happening throughout the Los Angeles area.
1,Dozens of police are running down the streets.
2,Dozens of police are running down the streets.
3,Smoke reigned over the entire city.
4,We're telling anybody who's in downtown South Central...
5,There are 38 dead and more than...
6,The EMT are having a hard time getting in...
7,...where truck driver Reginald Denny was pulled from his vehicle...
8,The city resembles a war zone.
9,Crowds gathered at Parker Center downtown.
10,"...here in Hollywood, where looters have struck many businesses."
11,"There have been 3,600 structural fires."
12,"Thick, black smoke rising from the countless fires in Hollywood, downtown, Compton, Watts and Long Beach..."
13,"In America, a girl can be crowned a princess for her beauty and her grace."
14,But an Aztec princess is chosen for her blood...
15,Eva?
16,"...to fight for her people, as Papi and his father fought against those who say we are less than they are, who say we are not equal in beauty and in blessings."
17,"It was the first day of school, and I was waiting for my father to take me to the bus."
18,Roberto!
19,Eva!
20,And I saw the war for the first time.
21,Eva! Eva!
22,Police! Open up!
23,They took my father for retaliation.
24,"He was innocent, but they took him, because he was respected by my people."
25,They called my people a gang because we fight for our America.
26,On your feet!
27,"When I got my initiation into the gang life, I became third generation."
28,They beat you so you won't break.
29,They are my family.
30,"In Long Beach, it all comes down to what you look like."
31,"If you're Latino or Asian or black, you could get blasted any time you walk out your door."
32,We fight each other for territory.
33,"We kill each other over race, pride and respect."
34,We fight for what is ours.
35,"They think they're winning by jumping me now, but soon they're all going down."
36,War has been declared.
37, Here's your coffee.
38, Thank you.
39,I brought my lesson plans. I'd love it if you'd look them over.
40,"Yes, and these are the classes you'll start with."
41,"Freshman English, four classes, about 150 students in all."
42,Some of them are just out of juvenile hall.
43,One or two might be wearing ankle cuffs to monitor their whereabouts.
44,"And you see here, we'll have to revise your lesson plans."
45,"And if you look at their scores, these vocabulary lists and some of these, the books, Homer's The Odyssey, they're gonna be too difficult for them."
46,All right.
47,"Also, for most of them to get here it takes three buses, almost 90 minutes each way."
48,My God.
49,So I wouldn't give them too much of a homework load.
50,You'll just be wasting a lot of time following up on overdue work.
51,All right. Thank you.
52, You're from Newport Beach?
53, Yes.
54,"It's too bad you weren't here even two years ago, you know."
55,"We used to have one of the highest scholastic records in the district, but since voluntary integration was suggested, we've lost over 75º/º of our strongest students."
56,"Well, actually, I chose Wilson because of the integration program."
57,"I think what's happening here is really exciting, don't you?"
58,My father was involved in the civil rights movement.
59,"And I remember when I was watching the LA riots on TV, I was thinking of going to law school at the time."
60,"And I thought, God, by the time you're defending a kid in a courtroom, the battle's already lost."
61,I think the real fighting should happen here in the classroom.
62,"Well, that's a very wellthoughtout phrase."
63,"Erin, I think you're a lovely, intelligent woman."
64,But you're a firsttime teacher.
65,"As head of this department, I have to be confident you're capable of dealing with what we have to face here."
66,I am.
67,"I know I have a lot to learn as a teacher, but I'm a really good student."
68,"I am, and I really want to be here."
69, Those are lovely pearls.
70, Thank you. From my father.
71,I wouldn't wear them to class.
72,Honey?
73,What?
74,Do I look like a teacher?
75,Hey!
76,"Hey, Chris, yo, what up?"
77, Hello.
78, Hello.
79,"Hey, yo, let's sit right here, man."
80,Hi.
81,"Hey, girl, you wanna give me some fries with that shake?"
82,My name is Erin Gruwell.
83,Welcome to Freshman English.
84,I give this bitch a week.
85,Hi.
86,Okay. Brandy Ross?
87,Gloria Munez.
88,Alejandro Santiago.
89,Andre Bryant.
90,Eva Benitez.
91,"Eva, not Eva."
92,Eva.
93,I have to go to the bathroom.
94," Okay, make sure that you take a..."
95," Yeah, I know."
96,Ben Samuels?
97,That white boy hoping he's in the wrong room.
98,I gotta get out of here.
99, Sindy Ngor.
100, Right here.
101,Is that correct?
102, Jamal Hill?
103," Man, what am I doing in here?"
104,This whole ghettoass class has got people in here looking like a bad rerun of Cops and shit.
105,You know what I'm saying? It's true.
106, Are you Jamal?
107, Yeah.
108,"Well, for some reason they have you registered in this class."
109," Yeah, and that's some bullshit."
110," It's the dumb class, coz."
111,It means you're too dumb.
112," Man, say it to my face, coz."
113, I just did.
114,See what I mean? Dumb.
115," Man, I know you ain't talking to me!"
116, Okay...
117,"Look, homey, I'll beat that ass, homeboy."
118,Can you please sit back down?
119,"Look, I got your spot on the team."
120,That's why you're over there wagging your tongue.
121,Please sit back in your seats.
122,"Look, your spot is good as gone. I don't know why you keep wasting your time coming to practice with them twoyearold Nikes on your feet!"
123,"You don't know nothing about me, coz!"
124,Broke down my whole situation.
125,Jamal?
126,"So, now you're in my face now, right?"
127,"Sit your punk ass down! Sit your punk ass down, homeboy!"
128,I will run that ass off the field.
129,Shut your ass up.
130,"What's up, homey?"
131,"I mean, what's up? Sit your ass down, homey!"
132,"Excuse me, may I please get some help in here?"
133,So do something! Back up!
134,You touching me now?
135,"Sit down, homeboy. Back up, I'm not gonna tell you again."
136,"You gonna look at my face now, right?"
137,"You ain't taking nothing from me, homeboy!"
138,I will run your ass off the field!
139,"Boy, sit your ass back down."
140,"Don't even worry about it, I'm gonna see you."
141,Tell him. Sit his ass down.
142,Sit your ass down.
143,"Thank you. Let him out of here, man. That's some bullshit."
144,Erin?
145,"Erin, this is Brian Gelford."
146,He teaches Junior English and the Distinguished Honors Classes.
147, Hi. Erin Gruwell.
148,Nice to meet you.
149, Hi. Nice to meet you.
150," You saw a little action today, I hear."
151, Yeah. It happened so fast.
152,"Well, don't be discouraged."
153,"You put your time in, in a few years, you'll be able to teach juniors."
154,They're a pleasure.
155,"By then, most of your kids will be gone anyway."
156, What do you mean?
157," Well, eventually, they just stop coming."
158,"Well, if I do my job, they might be lining up at the door."
159, Right?
160, Yeah.
161, Nice pearls.
162, Thank you.
163,"If it was up to me, I wouldn't even be in school."
164,"My probation officer threatened me, telling me it was either school or boot camp."
165,Dumbass.
166,He thinks that the problems going on in Long Beach aren't going to touch me at Wilson.
167,"My PO doesn't understand that schools are like the city, and the city is just like a prison, all of them divided into separate sections, depending on tribes."
168,There's Little Cambodia.
169,The Ghetto.
170,Wonder Bread Land.
171,"And us, South of the Border or Little Tijuana."
172,"That's just the way it is, and everyone knows it."
173,"But soon enough, you have little wannabes trying to hit you up at school, demanding respect they haven't earned."
174,"It looks like this, one tribe drifting quietly to another's territory without respect, as if to claim what isn't theirs."
175,"An outsider looking in would never see it, but we could feel it."
176,Something was coming.
177,Settle down.
178,"Let's go over the first name on the list, Homer."
179,Homer's The Odyssey.
180,I know Homer the Simpson.
181,"No, this Homer was an ancient Greek, but maybe he was bald just like Homer Simpson."
182,Okay.
183,What's up?
184,"Quietly, please."
185,"Mrs. Gruwell, he just took my damn bag!"
186,Shut up! Ain't nobody touched your damn bag.
187,"Yeah, I saw you."
188,Jamal. Jamal. Get her backpack.
189,I didn't do nothing anyway!
190, Jamal. Jamal.
191, Okay.
192,"Wait! Wait! Please, stay in your seats! Wait! Stay in your seats! Please!"
193,Slantyeyed bitch!
194,Return to your classrooms.
195,Return to the classrooms immediately.
196,That's all you got?
197,Clear the school lawn and the recreation field now!
198,"...classrooms, or you will be subject to disciplinary action."
199,You can best help yourself and your fellow students and your school by returning to your classrooms now.
200,Please return to your classrooms.
201,"Get up, bitch!"
202,All students must return to their classrooms immediately.
203,Erin?
204,Erin.
205,"Hey, baby."
206,You okay?
207,Come here.
208,Are you sure about this?
209,"Well, it's not exactly how I pictured it."
210,Don't tell my dad.
211,"Hopefully, he hasn't seen the news."
212," So, how's work?"
213, Dad.
214, I was asking your husband.
215," It's good. I mean, for now."
216,It's a good company.
217,I pretty much run the computer data department.
218, I thought you were an architect.
219, He is. He's just taking a break.
220,And the money's good for now.
221,"How much are you making, $27,000 before taxes?"
222,"If you know, why are you asking?"
223,"So, what's everybody gonna eat?"
224,"With your brains, you could run a major corporation."
225,"Instead, I worry all night because you're a teacher at Attica."
226,Can you hear what you're saying?
227,How many times have I listened to you about walking civil rights marches?
228,"These gangs are criminals, not activists. You read the papers?"
229,They said the same thing about the Black Panthers.
230,I'll lay odds your kids don't even know who Rap Brown or Eldridge Cleaver were.
231,You're gonna waste your talents on people who don't give a damn about education.
232,It breaks my heart.
233,I tell you the truth.
234,Well...
235,I'm sorry. I can't help that.
236, You think this is good enough for her?
237," Yeah, I do."
238,"Look, Steve, if Erin thinks she can teach these kids, she can."
239,You telling her she can't is just gonna make her mad.
240,So he doesn't like your job. So what? Why do you let it get to you?
241,"I don't know, it just does. I'm not used to disappointing him. I..."
242,Just let me know when I can brush my teeth.
243, I hate that we don't have our own sinks.
244, Come in. There's room.
245,All right. Thank you.
246,I can't believe he brought up my salary.
247,What's happened to him?
248,"He was like Atticus Finch to me when I was growing up, and now he's talking about salaries?"
249,I think he's playing too much golf.
250,"In fact, I think he needs an intervention."
251,Why isn't being a teacher good enough for him?
252,"Honey, just calm down."
253,"You know, except for marrying me, you never seriously disappoint him. He worships you."
254,He likes you. He just doesn't...
255,"He just doesn't think I'm good enough for you, which is fine."
256,That's what fathers do. I'm sure I'll be that way someday.
