,dialog
0,"SUBTITLES BY LUISSUBS  Come on, come on."
1," Okay, all right."
2,Will you hurry up?
3,I'm home.
4,"Afternoon, Miss Edna."
5,"Penny, your mother called."
6,"Tracy Turnblad, can't you say hello to Mrs. Malinski?"
7,"Mm, mm, mm."
8,Every day she's got to watch that Corny Collins Show.
9,"Delinquents, if you ask me."
10,It ain't right to be dancing on TV to that colored music.
11, She's just a teenager.
12, Hmph.
13," Goodbye, Mrs. Malinski."
14," Goodbye, Edna."
15,"Mashed Potato Feel it in your feet now Mashed Potato Come on get the beat now Baby, come on honey, come on baby Could you turn that racket down?"
16,I'm trying to iron in here.
17,"They found this dance was outta sight Doin' the lion sleeps tonight Mashed Potato Woo, yeah Ladies and gentlemen, Corny Collins."
18,"Good afternoon, Baltimore, and welcome to The Corny Collins Show."
19,That was Dee Dee Sharp and today's...
20,"Thwip. ...Bull'seye hit, ""Mashed Potato Time."" We've got our first telegram of the day."
21,"Thank you very much, Tammy."
22,"""Please have Lou Ann Levorowski and I.Q. Jones lead a dance."" Signed, ""your number one fan in West Baltimore."" Here they come."
23,"Come up here, kids."
24," Hi, Corny."
25," Hi, West Baltimore."
26,You're a groovy chick. How long have you been a regular on the show?
27,I've been on the Council for five months.
28,"And you, I.Q.?"
29,Two outofsight years.
30,"Heh, not bad."
31,"God, he's gorgeous, Penny."
32, Look at her hair.
33, Aah!
34,"Gosh, I wish mine was that high."
35,And what's your favorite record from the survey?
36,"""Gravy."" All right, here's I. Q. Jones and Lou Ann Levorowski..."
37,"leading our next dance, Give Me Gravy on my Mashed Potatoes."
38,"I need gravy Give me, give me Give me, give me gravy tonight I knew you danced The mashed potato fine But that don't show me That you're really mine What's with dancin' Without romancin'?"
39,"So put that somethin' extra on the line Give me gravy On my mashed potatoes Give me gravy Come on and treat me right Give me gravy You're the greatest So give me, give me Give me, give me gravy tonight Link, tell the home viewers where we'll be tonight."
40,"Well, Corny, we'll be at the Parkville VFW."
41,For the Corny Collins Record Hop.
42,Stuckup little spastic.
43,She's such a queer.
44,"Parkville VFW, 8:00."
45,"What do you want to hear, Amber?"
46,"""Shake a Tail Feather"" by The Five DuTones."
47,"Here they are, The Five DuTones."
48,"I heard about the fella You've been dancin' with All over the neighborhood So why didn't you ask me, baby?"
49,Or didn't you think I could?
50,"I know that the Bossa Nova's Outta sight I've seen him do the Bird all night But, if that was you and me Out there, baby I would have shown you How to do it right Do it right Bend over Let me see you shake a tail feather Twistin'! Shakeit, shakeit, shakeit Shakeit, baby You should be on that council, not her."
51,"I know I should, Penny."
52,"Hey, I'm going to that hop tonight."
53,"Oh, let me come. We'll lie and say we're going to the library to study."
54," It's a deal, heh."
55, Heh.
56," We'll meet 8:00, up on the avenue."
57, Heh.
58,"Okay, young ladies. I've had just about enough of this screeching music."
59,"Mother, we're watching The Corny Collins Show."
60,"Penny, your mother called all frantic."
61,She said you are punished.
62,I'm always punished.
63,"And Tracy, I have told you about that hair..."
64,all ratted up like a teenage Jezebel.
65,"Oh, Mother, you're so '50s."
66,"Tracy's flamboyant flip is all the rage, Miss Edna."
67,"Jackie Kennedy, our first lady, even rats her hair."
68,"But Tracy ain't no first lady, are you, Tracy?"
69,"No, sirree, she's a hairhopper."
70,That's what she is.
71,"Now, I've got nothing but hampers of ironing to do..."
72,and my diet pill is wearing off.
73,"Tracy, I want you to go to your room and study."
74,"And Penny, don't you be listening..."
75,to every bit of nonsense my daughter tells you.
76,"If I didn't know better, I'd swear she was mental."
77,"Now what? More soiled laundry for Mommy, I suppose."
78,Come in.
79,"Edna, have you seen Penny?"
80,"Good Lord, Prudy, she's right over there."
81,"Hi, Mom."
82,"Penny Pingleton, you know you were punished."
83,"From now on, you're wearing a giant P on your blouse every day to school..."
84,so that the whole world knows that Penny Pingleton is permanently...
85,positively punished.
86,Eight o'clock.
87," Bye, Miss Edna."
88," Bye, honey."
89,I said no.
90," Oh, stop. Stop, unh."
91, What is it? What is it?
92,"Unh, oh, my God."
93," Amber, what's the matter?"
94," No, get off of me."
95, Don't look at me.
96," Whoa, what's the matter? Amber."
97,What's the matter?
98,I happen to have a blemish.
99,"You had three good closeups today, period."
100,Why can't you dance up front where the voters can see you?
101,"Leave me alone, Mother."
102,I have a pimple.
103,"Heh, you had to choose a colored record as your favorite song?"
104,That's nice for the neighbors.
105,You got something against Connie Francis?
106,Shelley Fabares?
107, I love Shelley Fabares.
108, Oh.
109,"Amber, Amber."
110,Are you listening to me?
111,We have to have a little talk.
112,"You know, if your father is forced to integrate Tilted Acres..."
113,we're out of business.
114,So at least act white on television.
115,"Leave me alone, Mother."
116,"""Shake a Tail Feather"" is a wild song."
117,It's got a good beat and you can dance to it.
118,"Oh, God, of all nights."
119,"A Corny Collins record hop, and I've got craters."
120,"Unh, just pop it. Pop it."
121,Just relax. Relax.
122,Don't be ridiculous.
123,Take it easy.
124,Tension is the worst thing for a complexion.
125,Come on. Lie down. Lie down.
126,No moping.
127,Mother is here.
128,"You have beautiful skin, Amber."
129,There. It's gone.
130,"Now it's time for youknowwhat Mother, I know all the dances."
131,Come on. Get up. Get up.
132, Practice makes perfect.
133, Ugh.
134,I ought to know.
135,"Don't forget, I was Miss Soft Crab in 1945."
136,And that title wasn't handed to me on a silver platter. I worked for it.
137,"Now come on. A one, two, a one, two, three, pony."
138,Mash potatoes.
139,Faster.
140,"Amber, I'd like to talk to you."
141,"Yes, Daddy?"
142,Don't stop. Chacha.
143, I'm tired.
144," One, two, chachacha."
145,"One, two, chachacha."
146,"I had some new campaign fliers made up today, all for Daddy's little girl."
147,"Now, I want you to hand those out at the hop tonight to everyone."
148,Each and every one of those.
149, Twist.
150," Oh, Daddy, ugh."
151,"No lip from you, Miss ingrate."
152,This campaign is costing us an arm and a leg.
153,"New gowns, hairdresser three times a week."
154,Your hairspray bill alone is enough to eat up all the profits from the TiltAWhirl.
155,Do as Daddy says or we'll send you to Catholic school where you belong.
156," Right, Franklin?"
157, That's right. Catholic school.
158,"Pass the macaroni and cheese, please."
159,Did you take that appetite suppressant I gave you on Dr. McKenzie's orders?
160,"Mother, I'm a growing teenager."
161,I need food.
162,"Let her eat, Edna."
163,"Tracy, did you do your chores around the house today?"
164,"Not Miss Tracy, Cyd Charisse herself."
165,She's too busy ratting her hair and doing the Ubangi stomp.
166,"Tracy, we all have responsibilities in life."
167,You may think owning the Hardy Har joke shop is all drudgery...
168,"unwrapping dribble glasses, checking doggie doo inventory..."
169,but I love it.
170,You'll see. Work can be fun.
171,Can I please be excused to go to the library to study?
172,"Let's have a ball at the hall tonight Boot it girl till the early bright Make a scene with the record machine At the dancin' party tonight Come on let's try mashed potatoes too What's the problem, officer?"
173, This is a white establishment.
174," Oh, come on."
175,"Hey, listen, we just came to dance."
176, That's not fair.
177," Open your purse, please."
178,And everything's all right Go. Go.
179,"Mess around, Bristol Stompin' too Pony now like it's all brand new Any dance that you wanna do Boys and girls, stay on the dance floor."
180,Here comes the hottest tune of the day.
181,And it started right here in Baltimore.
182,"And where did you see it first, kids?"
183,The Corny Collins Show.
184,"A big strong line, ladies and gentlemen. It's ""Madison Time."" I can do that dance."
