,dialog
0,Collegiate Institute is the best school for Negros in the state.
1,It's the only school past the eighth grade anywhere near here.
2,Isosceles.
3,Scalene.
4,Equilateral.
5,Rhombus.
6,Trapezoid.
7,Katherine's in the sixth grade.
8,They want to take her early.
9,Tetrahedron.
10,Dodecahedron.
11,They're offering a full scholarship.
12,All you have to do is get there.
13,Ms. Coleman...
14,why don't you solve the equation on the board?
15,We took up a collection amongst the teachers and such.
16,It's not a lot...
17,but it's enough to help get you settled in.
18,"That's more than kind, Ms. Sumner."
19,If the product of two terms is zero then common sense says at least one of the two terms has to be zero to start with.
20,"So if you move all the terms over to one side, you can put the quadratics into a form that can be factored..."
21,allowing that side of the equation to equal zero.
22,"Once you've done that, it's pretty straightforward from there."
23,In all my years of teaching.
24,I've never seen a mind like the one your daughter has.
25,Katherine!
26,"Hurry on now, love."
27,You have to go.
28,Let Mama tuck you in.
29,You have to see what she becomes.
30,"Okay, try to turn it over now."
31,Katherine?
32,Mary!
33,Somebody!
34,Katherine!
35,Quit staring off into space and turn the damn car over.
36,I got it.
37,I'm not deaf.
38,I wonder sometimes.
39,Here it goes.
40,"Yeah, it's the starter."
41,That is definitely the starter.
42,This starter is starting to make us late.
43,We are all gonna end up unemployed...
44,riding around in this pile of junk to work every day.
45,You're welcome to walk the 16 miles.
46,Or sit in the back of the bus.
47,I won't do neither.
48,I'll hitchhike.
49,Girls.
50,No crime in a brokendown car.
51,No crime being Negro neither.
52,"Button it up, Mary."
53,Nobody wants to go to jail behind your mouth.
54,"I'll do my best, sugar."
55,Not a great place for three of y'all be having car trouble.
56,"We didn't pick the place, Officer. It picked us."
57,You being disrespectful?
58,"No, sir."
59,You have identification on you?
60,"Yes, sir."
61,"Yes, sir."
62,We're just on our way to work...
63,at Langley.
64,"NASA, sir."
65,We do a great deal of the calculating.
66,Getting our rockets into space.
67,All three of you?
68,"Yes, sir."
69,"Yes, Officer."
70,NASA.
71,Now that's something.
72,I had no idea they hired...
73,There are quite a few women working in the space program.
74,Damn Russians are watching us right now.
75,Sputniks.
76,You girls ever meet those astronauts?
77,Mercury Seven?
78,Absolutely.
79,"Uh, yes, sir. We work with those gentlemen all the time."
80,Those boys are the best we got. I'm sure of that.
81,Yeah.
82,Yeah.
83,We gotta get a man up there before the commies do.
84,Yes.
85,Absolutely.
86,Whole damn country's counting on them.
87,That's for certain.
88,"Hard being of service broken down on the side of the road, though."
89,"Right, right."
90,"Well, do y'all need a tow or something?"
91,"No, thank you, Officer."
92,I think I got it.
93,Just give me my...
94,Just need to bypass the starter.
95,She's good at this stuff.
96,Whoo! Attagirl.
97,We're all set.
98,"Well, hell, least I can do is give y'all an escort."
99,I imagine you're running late to work.
100,"No, sir. We wouldn't wanna bother you."
101,"That would be wonderful, Officer."
102,"Thank you so much, sir."
103,Follow me.
104,I'm driving.
105,"Hurry up, Dorothy, before he changes his mind."
106, We're coming.
107, Hold your horses.
108,Yes!
109,"Whoa, slow down, Mary!"
110,"Mary, slow down!"
111,You're too close!
112,Be quiet.
113,He said to follow him.
114,He didn't mean up his behind!
115,"Dear Lord, I don't even know where to begin!"
116,"Oh, I'll tell you where to begin."
117,"Three Negro women are chasing a white police officer down the highway in Hampton, Virginia..."
118,"Ladies, that there is a Godordained miracle."
119,"And, tomorrow, I'm riding the bus."
120,I'm moving over I'm on a sidewalk I'm going over Lift off is good. Trajectory is stable.
121,Show me.
122,"No, exactly."
