,dialog
0,"Subtitles by explosiveskull www.OpenSubtitles.org Here we go, guys, the man you've all been waiting for..."
1,Mr Bob Hope!
2,"Welcome, everybody, to Long Binh, in what I like to call the United States of Vietnam."
3,I hear you guys have been petitioning the president to let me retire.
4,"If you think you can shake me off that easily, you need to talk to Raquel Welch."
5," Come on, now."
6," Give it to her, Bob!"
7,Uhhuh.
8, S. Alexander?
9, Yes.
10,"Right now, I want you all to sit back and relax."
11,It's time to introduce the most beautiful girl in the world.
12,"Of course, that's not my opinion."
13,That's her actual title.
14,"From Vienna, Austria, please welcome Eva RueberStaier."
15, 342436.
16, Wow. Yes!
17,"There you go, boys."
18,This show just got a lot hotter.
19,Yeah!
20,"Eva, honey, would you like to say hello to these fellas?"
21,Hello.
22,The mature stu.
23, Sally Alexander?
24, Yes.
25,"So, history."
26,Why have we never had a revolution in Britain?
27,Eva RueberStaier.
28,"Oh, boy!"
29,"Ooh! I'm telling you, if the commies had someone like that to go home to, we'd be out of here by now."
30,"Oh, yeah!"
31,"The Civil War was won by the rebels, but, even then, the new order only lasted a generation."
32,"So surely the real question is, why have all our revolutions failed?"
33,It says here you left school at 15.
34,My school didn't really foster academic ambition.
35,"It was more about preparing us for marriage and so forth, so..."
36,Which is why I would like to get back into education.
37,I have just completed my diploma in history.
38, At Ruskin College?
39, Yes.
40,Don't they require a trade union background?
41,I... I have a trade union background.
42,I was an Equity member.
43,"So, you're an actress?"
44,"No, er..."
45,"After school, I had to do something."
46,"And my mother thought that drama school sounded better than secretarial college, so..."
47,I was never any good.
48,I don't like people looking at me.
49,And after drama school?
50,I got married and had a baby.
51,What does your husband think about you applying for university as a mature student?
52,"We're divorced, so it doesn't really matter what he thinks."
53,"You have a child, Miss Alexander."
54,Studying here is a big commitment.
55,Yes. Erm...
56,I managed my diploma whilst looking after my daughter.
57,I got a distinction.
58,And the man I live with shares the child care.
59,I would never be late for lectures or miss deadlines.
60,I would be mature.
61,I would be a mature...
62,mature student.
63,Hurry.
64,"Go, go, go! Come on!"
65,"Go, go, go!"
66,I had to do that.
67, Hello.
68, Sally.
69, We're gonna need more chairs.
70," Oh, okay."
71, Here's Mummy.
72, Hello!
73, Mummy!
74, Hello!
75,sigh.
76,It arrived this morning after you left.
77,Oh.
78,Ah!
79,University College London.
80,They're offering me a place.
81,I got in!
82, Course they bloody did!
83, Ohh!
84,I'm...
85,"Oh, give me a cuddle!"
86,Give me a real cuddle!
87,"""It's my great pleasure to offer you a place to study history..."" I can't believ."
88,"I can't believ, I can't believ."
89,This is a women's conference.
90,Why are there men everywhere?
91,"They don't look that happy about it, do they? Look at that face."
92,"Oh, God!"
93,"Cheer up, mate."
94,We're not perm.
95,We're only here for the weeken.
96,You can have a party hat.
97,"Don't you worry, mate."
98,We're not gonna leave you out.
99,"Erm, excuse me."
100,Sorry. Do you?
101,Somebody's gonna have to clean that up when you're gone.
102,"What, cos..."
103,Cos God forbid we shoud offend the authorities?
104,Typical Oxford student.
105,No stomach for a fight.
106,"Actually, I'm not an Oxford student."
107,This is a place for people trying to get into university.
108,"Oh, right. So you don't want to bring down the male establishment."
109,You just want t at the table.
110,"If I'm in it, it won't be the male establishment any more, will it?"
111,"Ooh, there she is."
112,Let's sit down. Jo.
113,What does it mean to be a woman?
114,That our work will be underpaid and our minds undervalued.
