,dialog
0, Joanna 'Cause she was black.
1,"It was during segregation, they didn't treat African Americans then."
2,They didn't have any black blood.
3,"And if she hadn't been black, she wouldn't be dead 'cause they woulda had blood for the white people."
4,"If we had the right to vote back then, I think my mother would have lived and I would have known her."
5," Narrator To millions of Americans, the long fought battle for voting rights culminated on Bloody Sunday when 600 courageous marchers were attacked by police on horseback as tear gas and screams filled the air."
6,"Selma, the Edmund Pettus Bridge, forever ingrained in American history."
7,Monuments to a struggle.
8,Everyone can now vote.
9,So what happened?
10,What happened after Selma?
11, Selma has been locked into the American imagination as this place of voting rights strength.
12,But what gets missed is it freezes Selma in time.
13,And so you don't see what happened to Selma afterwards.
14,You don't see the massive white flight.
15,You don't see the shutting down of the businesses.
16,You don't see the massive unemployment.
17,You don't see the kind of economic despair that has happened in Selma.
18,"So yes, that power of the right to vote, but that's not the fully story of Selma."
19,"And that kind of resentment and retrenchment that we see happening in Selma, the decay that we see happening there."
20,"You get a wealthy white area in Selma, and then you get the rest of Selma."
21,That is so indicative of the United States of America right now.
22,It looks like it's working.
23,"I mean we see that we have elections, we see that people go to the polls, we see that people cast their ballots, we see the kind of horse race as the percentage of the votes are coming in and they're tallying up, and so it looks like it's all working."
24,But it's not.
25," Narrator It's not working because, like Selma, the right to vote has decayed over the years through legislative maneuvering in order to disenfranchise massive portions of the population."
26,The same population that was fighting for those very rights all the way back in 1965.
27,The unspoken reality is that America was always a country by white people for white people.
28,"But as a nation that is becoming browner, an existential threat to the established order."
29,"It's also important to understand that voter suppression is not driven by party, it is driven by ideology."
30,"And with the passage of the 1965 Voting Rights Act, the Republican party saw a political opportunity that, to its own detriment, couldn't resist."
31," As the Republicans wooed the southern Democrats in, what they thought they were doing was getting additional representatives in the south that could help them in Congress with the votes to be able to push forward a conservative agenda."
32,"Y'know, small government, et cetera."
33,"But when you woo the toxin of white supremacy in, it cannot be contained."
34,"It is a virus, it is toxic, and it took over."
35," Narrator The party of Lincoln had a tenuous control of the south, at best."
36,That was enforced by the military during Reconstruction.
37,"More than 1,500 African American men held office throughout the south."
38,"But the gains made after would be nullified with the Compromise of 1877, a backroom deal allowing Rutherford B. Hayes, a Republican, to be president, and for the removal of federal troops from the south, ceding it back to the Democrats who, in turn, starting with the 1890 Mississippi constitution, would usher in Jim Crow and segregation."
39,"The signing of the 1964 Civil Rights Act, and the Voting Rights Act of 1965 by a Democratic president caused a shift in party allegiance among white voters who felt their segregationist way of life was under attack."
40,The staunchly Democratic south would become Republican.
41, Joanne All these stores were thrivin'.
42,"We had Ben and Kay, we had Butler's Shoes, we had Zales, we had all those chain stores was down here."
43,It was a thrivin' community.
44,This used to be a shoe store and I had a bad experience in there 'cause I tried on shoes and didn't know it.
45,I wasn't supposed to try on shoes.
46,"We were standin' in front of Carter's drug store, it's still in Selma today, alive and well, but at that time Carter's had a lunch counter."
47,"And I wanted to sit there, but my grandmother said I couldn't."
48,"She said colored children, that's what we were called, can't sit there at the counter, it's the law."
49,It didn't stop me from wanting to sit there.
50,"Every time I pass by it, be peepin' in that window, watchin' those white kids spinnin' around on those stools and it looked like so much fun."
51,"Well, one day my grandmother was talkin' to one of her friends at front of the store and I was doin' what I always do, peepin' that window, wishin' it was me."
52,"This particular day my grandmother noticed and she leaned over my shoulder, she pointed through the window to the counter, she said when we get our freedom, you can do that too."
53,I became a freedom fighter that day.
54, Voter suppression is not just a southern phenomenon.
55,"It allows them a level of comfort, some level of patting oneself on the back to go oh, those southerners."
56,But this is nationwide.
57,It is doggone near from sea to shining sea.
58,"We see it in Wisconsin, we see it in North Dakota, we see it as well in Alabama, in Florida, in Texas."
59,"We see it in Kansas, we see it in Ohio, we see it in Michigan, we see it in Pennsylvania."
60,"Pennsylvania's not the south, Michigan is not the south."
61,Ohio is not the south.
62," Narrator In fact, 33 states, 2/3 of the country, have some form of voter suppression under the guise of protecting the integrity of the vote."
63,"But as history has shown, voter suppression has never been about integrity, but about preserving the right to vote exclusively for whites."
64,"Following the Civil War, the 15th Amendment prohibited the barring of anyone from the right to vote based on race, color, or previous condition of servitude."
65,"To get around that, states used societally imposed conditions instead of race as the litmus test to vote."
66,The poll tax and literacy test.
67,"Newly freed African Americans had no money, and only 3% could read or write."
68,"And if that didn't work, then there was always the tools of terror."
69,"As Mississippi senator Theodore Bilbo often stated, the best way to keep an nword from voting was to visit him the night before."
70,"By 1940, in places like Mississippi, Louisiana, Georgia, Alabama, and South Carolina, more than half of the African American adults had less than five years of formal education."
71,"It's not too hard to imagine, then, that only 3% of all black adults in the south were eligible to vote."
72,"Underfunding black education, poverty, voter intimidation, and outright murder had laid waste to the 15th Amendment."
73,"In Selma, it resulted in less than 1% of the African American population registered to vote in a city that was over 50% black."
74," Joanne And did you know that these streets, you see the sidewalk?"
75,And see how it's up and down?
76,"Well, the white people walked up top, black people walked on the bottom."
77,"And those benches, that used to be the only place in Selma that black people could sit."
78,All that was allowed.
79,They had nowhere to go to the bathroom.
80,That's a good question.
81,"Voting rights, where are we with voting rights?"
82,"Man, that voting must be awfully valuable, I promise you, 'cause every time I turn around, somebody tryin' to take somethin' from it."
83,"Some people think that we had the right to vote, everything would be, it was, after that was fine, right?"
84,It wasn't.
85,"Even after that, for every gain that we made, we had to fight for it, even today."
86,"So let's just get rid of that thought that, and then we ended up African American president and you know the world, the whole world has changed."
87,No.
88," In that 2016 election, black voter turnout had declined by 7%."
89,Now this was a close election.
90,And the narrative that we received was y'know black people just didn't show up.
91,And you know why they didn't show up?
92,'Cause they just weren't feelin' Hillary.
93,"Y'know, Hillary is uh, she's Hillary."
94,"She doesn't have Obama's charisma, she doesn't have his magic, she doesn't have his skills, and she know she's Hillary."
95,So they just didn't show up.
96,"Well, that's not quite accurate."
97,"This was the first election in 50 years, presidential election in 50 years without the protections of the Voting Rights Act."
98," Narrator To really understand this, we have to go back to the 2000 election between Al Gore and George W. Bush."
99,"While the carnival atmosphere of Florida's hanging chads dangle like a specter over the election results, the real danger was lurking nearly 800 miles away in St. Louis, Missouri."
100,"It was there that Senator Kit Bond cried voter fraud after Democrats protested the illegal purging of nearly 50,000 registered voters."
101,It would become the rallying cry that would plant the seed for massive voter suppression.
102," So in this legislation, with the reality of all that had happened with machines that didn't work, with intimidation and no place to complain, this law was putting in place ways to deal with that debacle, the reality of that debacle."
103,"He added, Kit Bond insisted on adding the fiction of voter fraud into federal law."
104,And that meant that now you had sitting in federal law that states could require voter ID.
105, Which was the poison pill.
106, Which was the poison pill.
107, Narrator But voter ID would only be one of many levers which a party could pull to suppress the vote and change the results.
108,"Combined with voter purging, mass incarceration, gerrymandering, and the closing and moving of polling locations, this lethal cocktail would alter our democracy."
109," Joanne When I look at some of these trees, I just wish they could talk."
110,I can see my ancestors really strong up at these trees.
111,"It's sad, this whole place, this whole thing is makin' me sad."
112,Was this necessary?
113,"When I say that, I mean, why did it take a war to make people realize that we should be free?"
114,"People ask us why we livin' in the past, that was then and this is now."
115,"Okay, what's different?"
116,"I'm not in the street watchin', I don't see much different."
117,We're fighting for the right to vote in then.
118,We were fighting for basic human rights then.
119,Aren't we still doin' the same thing now.
120,So don't tell me it was then.
121,"It might be then for you, but see I have not, if you progress, you forgot to take me."
122," Barack Obama, a black man, was elected president of the United States."
123,"Now, one of the things that we hear, because this was repeated at 2012, one of the things we hear is how racist can America be?"
124,We elected a black man twice to the White House.
125,"Well, it's not quite accurate."
126,Because wouldn't that have said it means how racist can white Americans be because we white Americans elected a black man twice to the White House.
127,But the majority of whites who have voted have not voted for a Democratic candidate for president since 1964.
128, Narrator Barack Obama brought 15 million new voters to the polls.
129,"They were overwhelmingly African American, Asian American, Hispanic, young, and poor."
130,A coalition that would be the hit list for what would become voter suppression laws.
