,dialog
0,"It was 1947, two years after the war, when I began my journey to what my father called the ""Sodom of the north,"" New York."
1,"Call me Stingo, which was the nickname I was known by in those days, if I was called anything at all."
2,"I had barely saved enough money to write my novel, for I wanted beyond hope or dreaming to be a writer."
3,"But my spirit had remained landlocked, unacquainted with love and a stranger to death."
4,"Even back then, cheap apartments were hard to find in Manhattan."
5,And so began my voyage of discovery in a place as strange as Brooklyn.
6,I know.
7,You're thinking about the pink.
8,Everybody does.
9,"See, my late husband Saul, he got his bargain."
10,Hundreds and hundreds of gallons of this navy surplus paint.
11,"See, I guess they didn't have any use for pink on those boats, huh?"
12,"Okay, I'll take it."
13,(INDISTINCT SHOUTING IN DISTANCE) Huh.
14,"NATHAN: Oh, I love you!"
15,SOPHIE: Don't go!
16,Don't go!
17,I'm out of here. Don't!
18,(SCREAMS) No!
19,We need each other.
20,I told you to leave me alone.
21,Stay away from me.
22,Get out of my way.
23,"No, no, don't!"
24,"I'm not lying, you know!"
25,You're lying.
26,I'm not!
27,You're lying.
28,"Please, don't go!"
29,"Don't go away from me, please!"
30,"You know we need each other, Nathan, you know this."
31,We need each other.
32,Me need you?
33,Yes...
34,Let me tell you something.
35,I need you like any goddamned insufferable disease I can name!
36,"I need you like a case of anthrax, hear me?"
37,Like trichinosis.
38,"I need you like a biliary calculus, pellagra, encephalitis."
39,"Bright's disease, for Christ's sake!"
40,Carcinoma of the brain!
41,I need you like death.
42,Hear me?
43,Like death.
44,"No, Nathan."
45,"Go back to Krakow, baby."
46,Back to Krakow!
47,"Well, good evening."
48,Did you have a good time?
49,"I mean, did you enjoy our little show?"
50,Do you get off on your little bit of eavesdropping?
51,You just... My door was open.
52,I just wondered what was going on.
53,Your door was open?
54,You wondered what was going on?
55,"Well, shut my mouth if it isn't our new literate figure from the South."
56,Too bad I won't be around for a little lively conversation.
57,"We would've had a great time, you and I, shooting the shit."
58,We could've talked about sports.
59,"Southern sports like lynching niggers, or ""coons,"" I think you all call them down there."
60,"So long, cracker."
61,See you in another life.
62,STINGO: You okay?
63,Yes.
64,Yeah.
65,I'm very sorry.
66,"That's not the way he really is, you know?"
67,"No, don't apologize, all right?"
68,I live downstairs here.
69,If there's anything you want...
70,Thank you.
71,You're very kind.
72,"Anyway, I'm downstairs here."
73,"No, I'm all right."
74,I'm Stingo.
75,Please forgive us.
76,Sixty cents.
77,Anytime he raises 50 cents.
78,Sixty...
79,Yeah?
80,We had invited you to dinner.
81,That's very thoughtful of you.
82,"Uh, listen, I very often work at night and type at night."
83,"But if it's going to bother you, I don't want to..."
84,"Oh, no!"
85,"When I was a little girl, my father type and I go to sleep to that sound."
86,It'll make me feel...
87,"God, how do you say that?"
88,Secure.
89,Secure.
90,Your father was a writer?
91,"No, my father was..."
92,My father was professor of law.
93,"He wrote articles warning Polish people of the Nazi threat and trying to get help for those Jews that was persecuted, so."
94,"Yeah, that sound of typing will make me think of my father and of his goodness."
95,"You wouldn't want to come in, would you?"
96,Maybe some other time.
97,"So, if you'll forgive me."
98,Good night.
99,Yeah.
100,"Stinko, yeah?"
101,Stingo.
102,"Stingo, yes!"
103,I never hear that name.
104,"There's no ""K"" in there, though."
105,I got it.
