,dialog
0,Who is the bellringer of Notre Dame?
1,"Quasimodo, Your Majesty."
2,The people simply call him the Hunchback.
3,What an odd name.
4,"And now, Master Fisher, let's see what reason..."
5,...my High Justice had for asking me to come to your shop.
6,What do you call this apparatus?
7,"The German inventor, Gutenberg, calls it a printing press, Your Majesty."
8,What is it for?
9,"To print books, Your Majesty."
10,For whom?
11,For the people.
12,They will learn to read when they can get books.
13,"I can print a volume, like this one, in a few weeks..."
14,...and quite inexpensively.
15,"Imagine, Frollo, a few weeks."
16,When I ordered my prayer book...
17,...it took them years to copy it out...
18,...and cost me a fortune.
19,This is more beautiful than the printed book.
20,"Nevertheless, the printing press is a miracle."
21,A horrifying miracle.
22,Horrifying? This small press?
23,Small things have a way of overmastering the great.
24,"""The Nile rat kills the crocodile. "" This small press can destroy a kingdom."
25,"Oh, come, my High Justice, don't exaggerate."
26,What is that?
27,"It is the first page of a new book, Your Majesty."
28,Let me see it.
29,"""On the Freedom of Thought. "" Who wrote it?"
30,Pierre Gringoire.
31,Gringoire? Who is he?
32,"A French poet, Your Majesty."
33,"A heretic, sire."
34,To spread him is to communicate disease.
35,How do you know?
36,It may be a great blessing to France...
37,...if people can get books and learn to read.
38,"To me, it's a new form of expression of thought."
39,Out there is the old form.
40,"All over France, in every city..."
41,...there stand cathedrals like this one...
42,...triumphal monuments of the past.
43,They tower over the homes of our people like mighty guardians...
44,...keeping alive the invincible faith of the Christians.
45,"Every arch, every column, every statue..."
46,...is a carved leaf out of our history.
47,A book in stone...
48,...glorifying the spirit of France.
49,The cathedrals are the handwriting of the past...
50,...the press is of our time...
51,"...and I won't do anything to stop it, Frollo."
52,"Sire, we must break the press and hang the printer."
53,"For, between them, they will destroy our old and holy order."
54,"No, I'm not such a fool."
55,"I, for my part, will protect France from these printed books, as I will protect it..."
56,"...from witches, sorcerers and Gypsies..."
57,...the forelgn race that is overrunning all of Europe.
58,Why do you stop us?
59,Because no Gypsies can enter Paris any longer without a permit.
60,It's the new law.
61,"If the others can enter, why can't we?"
62,They are Frenchmen. You're Gypsies.
63,Forelgners.
64,Forelgners.
65,"You came yesterday, we come today."
66,Let them pass. It's Fools' Day.
67,"Fools' Day or not, we don't want these forelgners."
68,Stop her. Catch her.
69,"What's the matter, Héléne?"
70,"Grandma, the Hunchback of Notre Dame just crossed my path."
71,"Go home quickly, and light the candle."
72,That won't help against Quasimodo.
73,He's possessed.
74,"Yvonne, aren't you going to the festival to see the king?"
75,I can't. Mother says there are too many thieves and beggars in the crowd.
76,"Oh, they'll get you at home just as well."
77,You'll see.
78,"Well, what's he trying to do?"
79,He has heard it rumored that the earth is round...
80,"...and is attempting to walk to the Indies, the idiot."
81,"It's not round, it's flat."
82,The idiot!
83,Some famous geographers and mathematicians also believe...
84,...the earth is round.
85,"It isn't round, it's flat."
86,Do you recollect that letter we had from What's his name?
87,"Oh, Christopher Columbus..."
88,"...who wrote claiming that he could, by steering a westerly course..."
