,dialog
0,You almost lost me back there.
1," So, what is this place?"
2, Someplace special.
3,I found this on a family camping trip when I was a kid.
4,Go on in.
5,Are you serious?
6,It's warm.
7,Of course.
8,"They're hot springs, you goof."
9,Whoo! It's hot!
10,Ooh...
11,Is this enough?
12,"Well, if you really wanna go back to nature..."
13, It's nice and hot.
14, Promise we'll do this every year.
15,Until we wrinkle.
16,Whoo!
17,Nick?
18,"Sweetie, are you hurt?"
19,Daria! Ah!
20,Over here! Ah!
21,Nick!
22,Are you OK?
23, Did you fall?
24, No. Someone fucking shot me.
25,What?
26,Ahh!
27,So you had no idea?
28,"He's adopted, you know that."
29,"Thanks, Toni, having only known him since freshman year."
30,"Still kind of cool, though, right?"
31,Finding out you actually had some family out there.
32,We are his family.
33,That's why we're all here.
34,And that's why my brother and those guys are right behind us.
35,"Look, I don't know what to expect."
36,I don't know these people or this place.
37,I could be inheriting a Motel 6.
38,Or... a meth empire.
39,"I'm just saying, it's the Appalachians."
40,"Thanks, Vic."
41,"If it'll help, I did some digging."
42, This isn't for one of your columns.
43, Of course not.
44,I'm just the investigative type.
45,"Hobb Springs, established 1926 by families unknown."
46,Maybe yours.
47,The first sanitarium in America outside Battle Creek.
48,"Well, most people would approve."
49, Of what?
50, Me going into a sanitarium.
51,Agnes Fields.
52, You are gonna get yours.
53," I'll hold you to that, Mr. Jackson."
54,"It's more like a health spa, really."
55,"Spas don't come with their own outhouse, Bryan."
56,"Jillian, it's two weeks, OK?"
57,"You know, getting Danny out in the open air, seeing how much of an inheritance this really is."
58,"Really, Rod? Me fixing a tire is so amazing?"
59, Just playing with my new camera.
60, Yeah.
61,And your old camera posted my naked ass all over the internet last trip!
62,"And got 4,000 hits in one day."
63,"Besides, come on, it's fun."
64,And fun is just the kind of therapy we all need.
65, Especially my sister and Danny.
66, Yeah.
67,Gotta love therapy.
68,Wanna start the healing process?
69,Sally?
70,You've checked yourself  He'll be here real soon.
71, I know.
72,It may take some time.
73,I can't go another winter.
74,I need this.
75,We need this.
76,"We play this right, sister, he won't be able to resist you."
77,Lord knows I can't.
78,"You guys, it's gigantic."
79, You inherited this?
80, I guess so.
81,Our little place in the country.
82,"Well, it ain't a Motel 6."
83,"Couple coats of paint, and it could be..."
84,Fucking brilliant.
85,Creepy.
86,"Vic, get out of the car."
87,I need a moment alone with my boyfriend.
88,Fine.
89,It's time to decide.
90,What do you want to do?
91,"Just when I hit the lowest I've ever hit, I got a letter saying that I belonged to something."
92,Something that I gave up on years ago.
93,"Tell me what you wanna do, honey."
94,I wanna meet these people and find out what I'm all about.
95,"Oh, my God."
96, Yeah.
97, Wow.
98, It's huge.
99," I know, right?"
100,Welcome to Hobb Springs.
101, Danny.
102," That's right, yeah."
103,I could tell by your eyes.
104,I cannot believe that you are finally here.
105, And who are you?
106, This would be Sally.
107,I'm Jackson.
108,We're the caretakers here.
109,"We weren't expecting your friends, but, um..."
110,"...I'm pretty sure we can handle you, though."
111,"Oh, we're just the first wave."
112,This is huge!
113,How are we even gonna find our way around in there?
114,They call this a spa?
115,Better leave a trail of breadcrumbs.
116,"We got a flat,  and then got a little..."
117, Baked.
118,Turned around.
119,"I see, no problem."
120,We have plenty of vacancies coming up.
121,"Don't worry, they'll be checking out today and then we'll have the place  all to ourselves."
122," Oh, goody."
123,I'd be happy to show you around.
124,"Uh, maybe we could get our bags first."
125,"Yeah, maybe some rooms."
126,It's been a long drive.
127,Whatever you wish.
128,We work for you now.
129,"That's pretty cool, actually."
130, Danny has servants now?
131," Hey, how you doing?"
132,Ya'll come on in.
133,Thank you.
134,Geez.
135,They're kind of goodlooking for hillbillies.
136,They're cousins.
137,"No, brother and sister."
138,Same thing around these parts.
139,"Come on, they're probably just a normal couple."
140, They're funnylooking.
141, And Amish.
142,"Actually, we're kissing cousins on our Quaker brother's sister's side."
143,"I'm so sorry, that was so rude of us."
144,Ain't nothing we haven't heard before.
145,Just let it roll off my back nowadays.
146,So you really are brother and sister?
147,"As I said, we weren't expecting so many."
148,"We can make more, if you'd like."
149,"Uh, no, no, it's fine. Really."
150,We'll leave you hereto rest a spell while we figure out how best to deal with you.
151,What is that?
152,"Go on, sit down."
153, We're really staying here?
154," Why, what's wrong?"
155,Ain't no doubt all of this is a little bit weird.
156, Yeah.
157, You guys don't get the charm of this place?
158,I do.
159,"You rip the place down, subdivide the land, and we go back, we'll send someone in for a real appraisal."
160,"Yeah, I think you're forgetting that I don't have anywhere to go."
161,"What, so this is your home now?"
162,I don't know. Maybe.
163,"Danny, you're used to Central Park West  and Nobu on Friday nights."
164, Yeah. And look what that did to me.
165,"Hey, we don't have to make a decision right away. It's fine."
166,This place is alive.
167,"It has history, secrets."
168,Enough excitement for two weeks at least.
169," Come on, back me up, Vic."
170," Uh, sure."
171,A place this old surely has a book in it.
172, Maybe a movie even.
173," Short of murder, or a Hollywood scandal, who'd give a shit?"
174,"Me, Bryan. We could be talking about my history."
175, So me.
176," Yeah, me too."
177, Me.
178, Gotta stick by family.
179,"Is that the big, strong man I rang for?"
180,That's more like it.
181,Hello?
182,Mr. Jackson?
183,Hello?! Oh...
184,Shhh...
185,Silly little bitty.
186,"A little self control, boys!"
187,That's all I ask!
188,"Oh, my God!"
189,Is that real gold?
190,"Oh, Bryan! These are Hepplewhite!"
191,And tor those that don't watch Antique Roadshow...
192,"Oh, and they look to be in perfect condition."
193," Oh, they're gonna be worth a fortune."
194, A fortune?
195,"How'd you like my place now, Bryan?"
196,"Hey, guys."
197,This place just got a whole lot better.
198, What?
199," Oh, great."
200,Where's he going now?
201,Let's get naked.
202,Whoo!
203,It actually smells sweet.
204,"Hey, guys, if we're gonna do this, we're gonna do this in style."
205, You ready for it?
206, No!
207," Thanks, man."
208, Come on in!
209,There's room for everybody!
210, Hey. You OK?
211, It's really all mine.
212,I'm still wrapping my head around that.
213,Maybe it's just what we needed.
214,I suppose this will have to do.
215,Afraid this is all we have right now.
216,Hello? We're the new owner's best friends. So you can do better.
217,Are we all here?
218,"Now, you boys had your fun with those bikers."
219,And you messed with the little bitty real nice.
220,Now quit!
221,Leave Danny alone. Even if it means giving his friends a pass.
222,Now I thought I made myself clear!
223,"it won't be long, and you can all have at 'em as much as you like."
224,Now you keep doing what you're doing you're gonna ruin this for all of us!
225,Do I make myself clear?
226,Do you understand me?
227,Fucking family.
228,"So, like, what's the plan with the cameras, dude?"
229,"Like, you're carrying them around everywhere."
230,"Yeah, man. Look."
231,Compact and easy to hide.
232,I think we should put one of these in Danny's room.
233,"Oh, I'm not up for seeing my sister naked, but thank you, though."
234,"Well, what about the rest of us, dude?"
235,Fucking asshole!
236,Danny.
237,"Oh, shit."
238,What are you doing?
239,Please tell me you got a camera for this.
240,"Give it here, give it here."
241,I'd like to thank the Academy for this prestigious award.
242,I will enjoy this every single day.
243,Tell me how it's fair that we have to pay for groceries.
244,Aw...
245,Poor puppy!
246, Bryan.
247, Yeah?
248,Come check this out.
249,You folks just passing through?
250,"No, we're staying up at Hobb Springs."
251,You don't say.
252,"I don't get up there much myself anymore, but I expect I will be."
253," Well, why is that?"
254, You just got in?
255, Yeah.
256, Yeah.
257,"You all see a bunch of little, old ladies bebopping around up there?"
258,"Oh, yeah."
259,The Daughters of the Revolution?
260,That'd be them. Poor things can't remember if this woman got back on that bus or not.
261,"Agnes Fields, you hear of her?"
262,"No. Like I said, we just got here, so..."
263,Just what is a lovely couple like you doing settling in Hobb Springs?
264,"Oh, well, our friend inherited it."
265,"Well, nice for him, huh?"
266,Tell you what.
267,"You take one of these up there, do me a favor, show it around."
268,Maybe we get lucky and her face will ring a bell with somebody.
269,"Oh, is there a reward?"
270,"Sure thing, officer."
271,I can't think what could have happened to her.
272," OK. Well, take care."
273, See ya.
274,What are you doing?
275,I can't get this hot spot to work.
276,Have you guys seen Danny?
277,"Yeah, he just wandered through here a minute ago."
278,"Leave him alone, Mom, he's enjoying himself."
279, Something wrong?
280, I don't know.
281, Come on. Let's go find him.
282, Thank you.
283,I guess this place just gives me the creeps.
