,0
4,"Figaro, Figaro, Figaro, Figaro, Figaro,"
5,"Figaro, Figaro, Figaro, Figaro, Figaro, Figaro"
7,Figaro! Son qua
9,Figaro! Son qua
11,"Figaro qua, Figaro là, Figaro qua, Figaro là,"
12,"Figaro su, Figaro giù, Figaro su, Figaro giù"
14,"Pronto prontissimo, son come il fulmine,"
15,sono il factotum della città
17,"Della città, della città,"
18,"della città, della città"
20,Phew!
22,"Ah bravo Figaro, bravo bravissimo,"
23,"ah bravo Figaro, bravo bravissimo"
25,"A te fortuna, a te fortuna,"
26,a te fortuna non mancherà
28,"La la la la la la, la la la la la la,"
29,"la la la la la la, la la la la"
31,"A te fortuna, a te fortuna,"
32,a te fortuna non mancherà
34,Sono il factotum della città
36,Sono il factotum della città
38,"Della città, della città"
40,Della città
42,- Oops.
43,"- Salutations, snack."
45,Yipe. On second thought...
47,Yiiipe!
49,9-1-1! 9-1-1!
51,Police! Civic authorities! ASPCA! ASAP!
53,Murder! Betrayal! Kidnapped!
55,"No, birdnapped!"
57,"A cup of garlic, a twist of parakeet."
59,"Eat your heart out, Julia Child."
61,"Excuse me, but isn't it customary"
62,for the jailbird to get one telephone call?
64,"In your case, I think not."
66,Afternoon snacks have few civil liberties.
68,But I'm not wholly without heart.
70,How about a nice soothing cigarette?
72,Pah! Agh! Ugh!
74,"Oh, I will not do this. I cannot!"
76,"Oh, what a foul way for a bird to die!"
77,I don't want to get beak cancer.
79,No! My lungs are blackened!
81,"Here we go again. Cut, cut, cut! Roll it back."
83,- Help me...
84,- What are you doing? Daniel...
86,That line is not in the script.
87,Why did you add it?
89,- I wanted to comment on the situation.
90,- What situation?
92,Shoving a cigarette into Pudgie's mouth
93,is morally irresponsible.
95,"This is a cartoon,"
96,not a friggin' Oprah Winfrey Special.
98,"Lou, millions of kids see this cartoon."
99,"It's like telling them ""Light up."""
101,You can't put words in Pudgie's mouth
102,if his mouth isn't moving.
104,It's voice-over. An interior monologue.
105,Maybe even the voice of God.
107,
108,"Pudgie, don't smoke."
110,- Actors.
111,- What? Let's ask the technicians.
113,Do you think it's morally right
114,to promote smoking to the youth of America?
116,
117,They're biased. That's a mistrial.
119,"Daniel, this session"
120,is costing the studio thousands.
