,0
0,Mike! What the hell are you doing?
1,"It's called driving, Marcus."
2,Slow down.
3,What? Four minutes?
4,Speed up.
5,"Oh, so you want me to speed upand slow down at the same time?"
6,Moving southbound on Collins.
7,Fast approaching 22 Street.
8,<i>Copy that.
9,Air support has a visual.</i>
10,Mike!
11,I'm about to throw up.
12,"Oh, you bett... The hell not."
13,That is hand-stitched leather.
14,You better drink it.
15,<i>I'm blocking off 6th Street now.</i>
16,"That was your turn, Mike!"
17,"Damn it! Look, you are the navigator, okay?"
18,That's why you're sitting in that seat.
19,And where are your glasses?
20,You need to put your glasses on.
21,- I don't need glasses.
22,"- Marcus, you can't see shit."
23,"Oh, sh... Mike. Mike. Mike."
24,- Relax. Relax. Relax!
25,"- Mike. Bus, bus, bus."
26,"Sorry, rich white people."
27,"We're not just black, we're cops too."
28,We'll pull ourselves over later.
29,"Hey, even the Batmobile don't holdthe road like this bitch."
30,Get me the fuck out of this car.
31,- Hey!
32,"- Oh, shit."
33,"Come on, man."
34,- You can get that buffed out.
35,- No. You can get that buffed out.
36,- Miami PD. Make a hole.
37,- Coming through.
38,- Make a hole. Miami PD.
39,- Miami PD.
40,Go! Go!
41,Sorry.
42,Daddy!
43,Joker.
44,You a pop-pop.
45,"- Baby, look at him."
46,- Yeah.
47,No doubt. It's in the eyes.
48,And the ears.
49,And the name.
50,Marcus Miles Burnett.
51,But that's my name.
52,His name too. We decided to name himafter you. It was Reggie's idea.
53,"Thought it would be a very respectfulgesture, sir. I hope you approve."
54,That's cool.
55,But you know you still need to makea honest woman out of my baby girl there.
56,"Uncle Mike,ready to hold the baby?"
57,No. Uncle Mike don't want tocatch that.
58,Okay? That's that shit.
59,"- No, Mike."
60,- Stop.
61,- Look at the baby.
62,- Stop it right now. Seriously.
63,Look at the baby.
64,"Okay, you know what? I'll be outsidewhen you get your shit together."
65,Mike.
66,- The baby.
67,"- Oh, it's okay."
68,"Let's go, ladies."
69,You're useless.
70,Move it!
71,Aretas.
72,Aretas.
73,What the fuck?
74,Stop the ambulance!
75,Mama.
76,My son.
77,Don't be sad for his death.
78,The spirit of your father is freefrom the bars that confined him.
79,This is the last giftfrom Papa before he died.
80,You're a man now. You're finally readyfor what needs to be done.
81,You must bring honorand respect back to our family.
82,Your father hid millionsof dollars before he was locked up.
83,Here are the coordinateswhere you can find them.
84,We'll take back what's ours.
85,"With this money,we can finally get revenge."
86,The people who destroyed our family will knowhow it feels to be hunted.
87,He dies last.
88,"Come here, Marcus."
89,Come here.
90,We're here to celebrateand to raise a glass to one of our own.
91,And I sincerely hope that somedayyour namesake follows in the footstepsof his old-ass grandpato protect and serve our fair city.
92,To Marcus.
93,- To Marcus!
94,- To Marcus!
95,May the name Marcus Burnett strike fear into the heartsand minds of assholes for years to come.
96,Thank y'all.
97,Thank... Thank you all.
98,"Mike and I, we're going on 25 yearsof working these streets."
99,And I like to thinkwe made a difference.
100,You all are the best.
101,And I thank you.
102,It's been a real honor.
103,Marcus!
104,<i>Marcus! Marcus! Marcus!</i>
105,"Daddy buried that cash deep, huh?"
106,"If these are empty,you're still gonna owe."
107,Buried treasure in the ocean.
108,I heard the stories
109,<i>pero coño...</i>
110,Should cover the cost ofthe materials we discussed.
111,And then some.
112,This is what you get to keep.
113,What'd you say?
114,We had a deal.
115,I'm renegotiating.
116,Come here.
117,Look at me.
118,I don't renegotiate.
119,My family's taking backmanagement of this town.
120,We're gonna need some loyal employees.
121,Who wants a job?
122,So how's your dental?
123,Say that again.
124,Stay calm.
125,You give yourselves a raise.
126,You start with that pile right there.
127,Okay?
128,Okay.
129,You work for me now.
130,"Get your people to fall in line, stay outof my fucking way, and I won't kill you."
131,Get this money.
132,Mama.
133,<i>Armando.</i>
134,It's ours.
135,That was fast.
136,<i>We got a new base ofoperations too.</i>
137,"<i>You've spent so much time on the other side,you sound like a gringo.</i>"
138,"I'm done, Mike."
139,"Oh, here we go again."
140,"No, this time it's different."
141,"When I looked into that little baby's eyes,something changed."
142,I want to spend my dayswatching that little boy grow.
143,"Theresa does not want your ass sittingat home, getting fat and breaking shit."
144,"Mike, we got more timebehind us than in front."
145,"It's time to make some changes,for real."
146,You can miss me with that.
147,I'm living my best life.
148,"You're dyeing your goatee, Mike."
149,- What?
150,- You're dyeing your goatee.
151,I am not dyeing my goatee.
152,That's Midnight Cocoa Bean.
153,I recognize that shit.
154,- Go ahead with that shit.
155,- That ain't Midnight Cocoa...?
156,- Go ahead somewhere.
157,- Let me ask you something.
158,You want your legacy to bemuscle shirts and a body count?
159,Don't you know family isall that matters?
160,"Hey, granddaddy!"
161,- Rita.
162,"- Oh, no. Pop-pop."
163,He's going with Pop-pop.
164,- Pop-pop?
165,- Yeah.
166,"Got pics, Pop-pop?"
167,"- Oh, you know I do, right? There you go."
168,- Let's see.
169,"Oh, my God, the ears!"
170,"Yeah, my grandbaby."
171,That's my grandbaby.
172,I love him.
173,"Yeah. And congrats to you,lieutenant."
