,sentence,label
0,Mike! What the hell are you doing?,0
1,"It's called driving, Marcus.",0
2,Slow down.,0
3,What? Four minutes?,0
4,Speed up.,0
5,"Oh, so you want me to speed upand slow down at the same time?",0
6,Moving southbound on Collins.,0
7,Fast approaching 22 Street.,0
8,<i>Copy that.,0
9,Air support has a visual.</i>,0
10,Mike!,0
11,I'm about to throw up.,0
12,"Oh, you bett... The hell not.",0
13,That is hand-stitched leather.,1
14,You better drink it.,0
15,<i>I'm blocking off 6th Street now.</i>,0
16,"That was your turn, Mike!",0
17,"Damn it! Look, you are the navigator, okay?",0
18,That's why you're sitting in that seat.,0
19,And where are your glasses?,0
20,You need to put your glasses on.,0
21,- I don't need glasses.,0
22,"- Marcus, you can't see shit.",0
23,"Oh, sh... Mike. Mike. Mike.",0
24,- Relax. Relax. Relax!,0
25,"- Mike. Bus, bus, bus.",0
26,"Sorry, rich white people.",0
27,"We're not just black, we're cops too.",1
28,We'll pull ourselves over later.,0
29,"Hey, even the Batmobile don't holdthe road like this bitch.",1
30,Get me the fuck out of this car.,0
31,- Hey!,0
32,"- Oh, shit.",0
33,"Come on, man.",0
34,- You can get that buffed out.,0
35,- No. You can get that buffed out.,0
36,- Miami PD. Make a hole.,0
37,- Coming through.,0
38,- Make a hole. Miami PD.,0
39,- Miami PD.,0
40,Go! Go!,1
41,Sorry.,0
42,Daddy!,0
43,Joker.,0
44,You a pop-pop.,1
45,"- Baby, look at him.",0
46,- Yeah.,0
47,No doubt. It's in the eyes.,0
48,And the ears.,1
49,And the name.,0
50,Marcus Miles Burnett.,0
51,But that's my name.,0
52,His name too. We decided to name himafter you. It was Reggie's idea.,0
53,"Thought it would be a very respectfulgesture, sir. I hope you approve.",0
54,That's cool.,0
55,But you know you still need to makea honest woman out of my baby girl there.,0
56,"Uncle Mike,ready to hold the baby?",0
57,No. Uncle Mike don't want tocatch that.,0
58,Okay? That's that shit.,0
59,"- No, Mike.",0
60,- Stop.,0
61,- Look at the baby.,0
62,- Stop it right now. Seriously.,0
63,Look at the baby.,0
64,"Okay, you know what? I'll be outsidewhen you get your shit together.",0
65,Mike.,0
66,- The baby.,0
67,"- Oh, it's okay.",0
68,"Let's go, ladies.",0
69,You're useless.,0
70,Move it!,1
71,Aretas.,0
72,Aretas.,0
73,What the fuck?,0
74,Stop the ambulance!,0
75,Mama.,0
76,My son.,0
77,Don't be sad for his death.,0
78,The spirit of your father is freefrom the bars that confined him.,0
79,This is the last giftfrom Papa before he died.,0
80,You're a man now. You're finally readyfor what needs to be done.,0
81,You must bring honorand respect back to our family.,0
82,Your father hid millionsof dollars before he was locked up.,0
83,Here are the coordinateswhere you can find them.,0
84,We'll take back what's ours.,0
85,"With this money,we can finally get revenge.",0
86,The people who destroyed our family will knowhow it feels to be hunted.,0
87,He dies last.,0
88,"Come here, Marcus.",0
89,Come here.,0
90,We're here to celebrateand to raise a glass to one of our own.,0
91,And I sincerely hope that somedayyour namesake follows in the footstepsof his old-ass grandpato protect and serve our fair city.,0
92,To Marcus.,0
93,- To Marcus!,0
94,- To Marcus!,0
95,May the name Marcus Burnett strike fear into the heartsand minds of assholes for years to come.,0
96,Thank y'all.,0
97,Thank... Thank you all.,0
98,"Mike and I, we're going on 25 yearsof working these streets.",0
99,And I like to thinkwe made a difference.,0
100,You all are the best.,0
101,And I thank you.,0
102,It's been a real honor.,0
103,Marcus!,0
104,<i>Marcus! Marcus! Marcus!</i>,0
105,"Daddy buried that cash deep, huh?",0
106,"If these are empty,you're still gonna owe.",0
107,Buried treasure in the ocean.,0
108,I heard the stories,0
109,<i>pero coño...</i>,0
110,Should cover the cost ofthe materials we discussed.,0
111,And then some.,0
112,This is what you get to keep.,0
113,What'd you say?,0
114,We had a deal.,0
115,I'm renegotiating.,0
116,Come here.,0
117,Look at me.,0
118,I don't renegotiate.,0
119,My family's taking backmanagement of this town.,0
120,We're gonna need some loyal employees.,0
121,Who wants a job?,0
122,So how's your dental?,0
123,Say that again.,0
124,Stay calm.,0
125,You give yourselves a raise.,0
126,You start with that pile right there.,0
127,Okay?,0
128,Okay.,0
129,You work for me now.,0
130,"Get your people to fall in line, stay outof my fucking way, and I won't kill you.",0
131,Get this money.,0
132,Mama.,0
133,<i>Armando.</i>,0
134,It's ours.,0
135,That was fast.,0
136,<i>We got a new base ofoperations too.</i>,0
137,"<i>You've spent so much time on the other side,you sound like a gringo.</i>",0
138,"I'm done, Mike.",0
139,"Oh, here we go again.",0
