,utterance,bool
0,﻿Have you seen Dr. Meade?,0.0
1,Dr. Meade!,0.0
2,"Oh, can you help me find Dr. Meade?",0.0
3,"God, help us.",0.0
4,"God, save the Confederacy!",0.0
5,"Hello, my fellow Americans.",0.0
6,They say we may have lost the battle but we didn't lose the war.,0.0
7,"Yes, my friends, we are under attack.",0.0
8,You may have read about this in your local newspapers or seen it on the evening news.,0.0
9,That's right.,0.0
10,We are living in an era marked by the spread of integration and miscegenation.,0.0
11,The Brown decision.,0.0
12,Ah-ah-ah!,0.0
13,"The Brown decision, forced upon us by the Jewish-controlled puppets on the U.S. Supreme Court, compelling white children to go to school with an inferior race, is the final nail in a coffin.",0.0
14,Is the final nail in a black coffin towards America becoming a mongrel nation.,0.0
15,We had a great way of life. We had.,0.0
16,"Ma, ma, ma, ma, ma!",0.0
17,We had a great way of life.,0.0
18,We had a great way of life until the Martin Luther Coons of this world and their army of Commies started their civil rights assault against our holy white Protestant values.,0.0
19,Do you really want your precious white child going to school with Negroes?,0.0
20,"They're lying, dirty monkeys, stopping at nothing to gain their equality with white men.",0.0
21," Oh, my God.",0.0
22," Rapists, murderers, craving the virgin white.",0.0
23," Is it ""virgin pure""?",0.0
24, Yes.,0.0
25,"Rapists, murderers, craving the virgin pure flesh of white women.",1.0
26,They are super predators!,0.0
27,"And the Negro's insidious tactics, under the tutelage of high-ranking, blood-sucking Jews, using an army of outside northern black beast.",0.0
28,"What is it? ""Black beast.""  ""Agitators.""  God, watch this! God!",0.0
29,Using an army of outside northern black beast agitators determined to overthrow the God-commanded and biblically inspired rule of the white race.,0.0
30,It's an international Jewish conspiracy.,0.0
31,May God bless us all.,0.0
32,"God bless you, too, sir.",0.0
33,Why weren't you drafted into the Vietnam War?,0.0
34,"I went to college, sir.",0.0
35,How do you feel about Vietnam?,0.0
36,"I have mixed feelings, sir.",0.0
37,Would you call yourself a womanizer?,0.0
38," No, I would not, sir.",0.0
39, You frequent nightclubs?,0.0
40," No, sir.",0.0
41, Do you drink?,0.0
42,"Only on special occasions, sir.",0.0
43,Ever done any drugs?,0.0
44,"Only those prescribed by my doctor, sir.",0.0
45,"Well, that's kind of rare for a young, hip soul brother like you.",0.0
46,"Uh, yes, sir.",0.0
47,"But my father was in the military, and my parents, they raised me the right way.",0.0
48,"How do you get along with people, generally?",0.0
49,"Sir, they treat me right, I treat them right.",0.0
50,"Like I said before, I was raised up the right way, so.",0.0
51,"I mean, have you ever had any negative.",0.0
52,What would you do if another cop called you a nigger?,1.0
55,Or worse.,0.0
56,"Would that happen, sir?",0.0
57,Shit.,0.0
58,There's never been a black cop in this city.,0.0
59,"Now, if we make you an officer, you will, in effect, be the Jackie Robinson of the Colorado Springs Police Force.",0.0
60,"And if you know anything about Jackie Robinson, you know he had to take a lot of, uh, guff from his fellow teammates, the fans, other teams and the press.",0.0
61,"I know the Jackie Roosevelt Robinson story, sir.",0.0
62,"Good. So, knowing that, if somebody calls you a nigger, will you be able to turn the other cheek?",1.0
65,"If I had to, sir, yes.",0.0
66,"Yes, I would.",0.0
67,"Son, the mayor, the Chief and I think you might be the man to open things up around here.",0.0
68,Chief Bridges will be your Branch Rickey.,0.0
69,I'll have your back.,0.0
70,But I can only do so much.,0.0
71,The weight of this is going to be on you and you alone.,0.0
72,"Thank you for the opportunity, gentlemen.",0.0
73, Wow. Cybill Shepherd.,0.0
74, Yeah.,0.0
75,I loved her in The Last Picture Show.,0.0
76,Never saw it.,0.0
77,I don't like black-and-white movies.,0.0
78,"So, what do you think?",0.0
79,I think she's a really good actress.,0.0
80,"Oh, come on. You know you want some of that.",0.0
81,Looking for a toad here.,0.0
82,You're up.,0.0
83,"Give me the record for that toad, Maurice Smalls.",0.0
84,"While you're at it, grab another toad, Tippy Birdsong.",0.0
85,T-I-P-P-Y.,0.0
86,Can I help you?,0.0
87,"May I have a minute, please?",0.0
88,Sit.,0.0
