,dialog
0,"Be careful, your fingers."
1,May I help you?
2,This is the Calthorpe.
3,Private hotel.
4,I'm Mrs. Eleanor Young.
5,I have a reservation at the Lancaster Suite.
6,We spoke on the phone when I confirmed yesterday.
7,"Sorry, don't seem to have your reservation."
8,Good evening.
9,"I'm Reginald Ormsby, hotel manager."
10,Is there a problem?
11,I'm Mrs. Eleanor Young.
12,My family and I would like to be shown to our suite.
13,We've had a long flight.
14,"We're fully booked, madam."
15,You must have made a mistake.
16,I'm sure you and your lovely family can find other accommodation.
17,May I suggest you explore Chinatown?
18,"Please, may I use your phone to call my husband?"
19,It's the least you can do.
20,Mmm.
21,"Mrs. Young, I must ask you to leave or I'll have to call the police."
22,"Please, go right ahead."
23,"Lord Calthorpe, my apologies for the disturbance."
24,Eleanor! I just got off the phone with your husband.
25,Get the Lancaster Suite ready.
26,Now.
27,"Surely you're joking, sir."
28,"I assure you, I'm not."
29,"As of this evening, my family's long history as custodians of the Calthorpe is ended."
30,"I'm selling the hotel to my dear friends, the Young family of Singapore."
31,"Meet the new lady of the house, Eleanor Young."
32,Join me for a toast.
33,We'd be delighted.
34,Do get a mop. The floor's wet.
35,Get a mop.
36,I'm all in.
37,Fold.
38,Oh...
39,Nothing?
40,This whole time you had nothing?
41,"All right, so how did I beat T.A. Curtis so very, very badly?"
42,"Well, I know for a fact that Curtis is cheap."
43,"So he's not playing using logic or math, but using his psychology."
44,"Our brains so hate the idea of losing something that's valuable to us that we abandon all rational thought, and we make some really poor decisions."
45,"So, Curtis wasn't playing to win."
46,He was playing not to lose.
47,Here.
48,Put it towards a haircut.
49,"All right, that's it for today."
50,Don't forget your essays on conditional probability are due next week.
51,Yes! Mmmhmm.
52,You know what?
53,You can order your own.
54,Mmm. I'm okay with coffee.
55,Thanks.
56,"Yeah, well, you always say that, and then you end up eating all my dessert."
57,I don't know what you're talking about.
58,"'Cause I have, like, a tiny bit."
59,Uhhuh. Okay.
60,"Can we have one more of these, please? Thank you."
61,So what about us taking an adventure east?
62,You wanna get pork buns in the East Village.
63,"That's what it is, isn't it?"
64,I was actually thinking of further east.
65,Like Queens?
66,Like Singapore.
67,For spring break.
68,Colin's wedding.
69,"We've been dating for over a year now, and I think it's about time people met my beautiful girlfriend."
70,"Come on, I'm Colin's best man."
71,Don't you wanna see where I grew up?
72,"Meet my family, my Ah Ma?"
73,And meet up with that strange college roommate of yours.
74,Peik Lin.
75, Mmmhmm. Peik Lin.
76," She has been begging me to come visit her, you know."
77,The universe has spoken.
