,dialog
0,keep your shoulders back.
1,"Okay, put your arm around your brother."
2,That's it.
3,"Right, and freeze."
4,"Okay, one more."
5,"Now, just to review, you're going to follow along the procession until you get to the headmaster."
6,"And at that point, he will indicate to you to light the candles of the boys."
7, All right.
8," All right, boys, let's settle down."
9,Banners up.
10,"Ladies and gentlemen, boys, the light of knowledge."
11,"One hundred years ago, in 1859, and were asked the same question that now greets you at the start of each semester."
12,"Gentlemen, what are the four pillars?"
13,"Tradition, honor, discipline, excellence."
14,"In her first year, Welton Academy graduated five students."
15,"Last year, we graduated 51."
16,And more than 75 percent of those went on to the Ivy League.
17,This kind of accomplishment is the result of fervent dedication to the principles taught here.
18,This is why you parents have been sending us your sons.
19,This is why we are the best preparatory school in the United States.
20,"As you know, our beloved Mr. Portius of the English Department retired last term."
21,"You will have the opportunity later to meet his replacement, Mr. John Keating, himself an honors graduate of this school."
22,"And who, for the past several years, has been teaching at the highly regarded Chester School in London."
23," Richard, you forgot your bag."
24," Hi, Charlie. Hey, how you doing?"
25," Don't worry, I've got your club assignment."
26,I'm glad you could come by.
27," Thrilling ceremony as usual, Dr. Nolan."
28, You've been away too long.
29," Hello, Dr. Nolan."
30, How've you been?
31," This is our youngest, Todd."
32, Mr. Anderson.
33,"You have some big shoes to fill, young man."
34,Your brother was one of our finest.
35,Thank you.
36, Lovely ceremony.
37, Thank you. I'm so glad you liked it.
38, Gale.
39, John.
40,Good to see you again.
41," Hello, Mr. Nolan."
42, Neil.
43,We expect great things from you this year.
44," Thank you, sir."
45," Well, he won't disappoint us."
46," Right, Neil?"
47," I'll do my best, sir."
48," Come on, son. No tears, now."
49, Chin up. Chin up.
50, I don't want to go here.
51, I love you.
52,I'll walk you over.
53,Do your lessons.
54,Hey. I hear we're gonna be roommates.
55, I'm Neil Perry.
56, I'm Todd Anderson.
57, Why'd you leave Balincrest?
58, My brother went here.
59,"Oh, so you're that Anderson."
60,"Well, this is in case of his sinuses."
61,"And, oh, if he can't swallow, you give him one of these."
62,"And if he has trouble breathing, you can give him some of those."
63," Fine, yes."
64, Ooh.
65, Did you remember your vaporizer?
66," Yeah, it's in my room."
67," Hey, how's it going, Neil?"
68," Hey, Knox."
69, Neil. Study group tonight?
70," Yeah, sure."
71,"Business as usual, huh?"
72,"Hey, I heard you got the new kid."
73,"Looks like a stiff. Ha, ha."
74,Oops.
75,"Listen, don't mind Cameron."
76,He's born with his foot in his mouth.
77,You know what I mean?
78,Rumor has it you did summer school.
79,Yep. Chemistry.
80,My father thought I should get ahead.
81," How was your summer, Slick?"
82, Keen.
83," Meeks, door, closed."
84," Yes, sir."
85,"Gentlemen, what are the four pillars?"
86,"Travesty, horror, decadence, excrement."
87,Okay. Study group.
88,"Meeks aced Latin, I didn't quite flunk English."
89,"So if you want, we got our study group."
90,"Sure, Cameron asked me too."
91,Anyone mind including him?
92,"What's his specialty, bootlicking?"
93, He's your roommate.
94, That's not my fault.
95," Uh, I'm sorry. My name is Steven Meeks."
96," Oh, this is Todd Anderson."
97, Nice to meet you.
98, Nice to meet you.
99,Charlie Dalton.
100, I'm Knox Overstreet.
101, Todd's brother was Jeffrey Anderson.
102," Oh, yeah, sure."
103, Well.
104,Valedictorian. National Merit scholar.
105,"Oh, well. Welcome to Hellton."
106,"It's every bit as tough as they say, unless you're a genius like Meeks."
107,He flatters me.
108,That's why I help him with Latin.
109,"And English, and trig."
110,It's open.
111,"Father, I thought you'd gone."
112," Mr. Perry, sir."
113," Keep your seats, fellas."
114,"Neil, I've just spoken to Mr. Nolan."
115,"I think that you're taking too many extracurricular activities this semester, and I've decided that you should drop the school annual."
116, But I'm the assistant editor this year.
117," Well, I'm sorry, Neil."
118,"But, father, I can't. It wouldn't be fair."
119,"Fellas, could you excuse us for a moment?"
120, Don't you ever dispute me in public.
121," Father, I wasn't..."
122,"After you've finished medical school and you're on your own, then you can do as you damn well please, but until then, you do as I tell you."
123, That clear?
124," Yes, sir, I'm sorry."
125,"Ahem. You know how much this means to your mother, don't you?"
126,"Yes, sir."
127,"You know me, always taking on too much."
128,"Well, that's my boy."
129,"Now, listen, you need anything, you let us know, huh?"
130,"Yes, sir."
131,Why doesn't he let you do what you want?
132,"Yeah, Neil. Tell him off."
133,It couldn't get any worse.
134,"Oh, that's rich."
135,Like you guys tell your parents off?
136,Mr. FutureLawyer and Mr. FutureBanker.
137,"Okay, so I don't like it any more than you do."
138,Don't tell me how to talk to my father.
139,You guys are the same.
140,"All right, all right. Jesus."
141, What are you gonna do?
142, What I have to do.
143,Drop the annual.
144,I wouldn't lose too much sleep over it.
145,It's just a bunch of jerks trying to impress Nolan.
146,I don't care.
147,I don't give a damn about any of it.
148,"Well, uh, Latin?"
149,Eight o'clock in my room?
150, Yes.
151, Sounds good.
152," Todd, you're welcome to join us."
153," Yeah, come along, pal."
154,Thanks.
155,"McAllister: Slow down, boys."
156,"Slow down, you horrible phalanx of pubescence."
157,Pick three laboratory experiments from the project list and report on them every five weeks.
158,The first 20 questions at the end of Chapter 1 are due tomorrow.
159,"Again, please."
160,Your study of trigonometry requires absolute precision.
161,Anyone failing to turn in any homework assignment will be penalized one point off their final grade.
162,Let me urge you now not to test me on this point.
163,"Hey, Spaz. Spaz."
164, Brain damage.
165, Shh.
166,"Well, come on."
167, Is he kidding?
168, He's gotta be.
169, Let's go.
170, Where?
171,"Let's go, guys."
172,"Okay, go."
173,O Captain! my Captain!
174,Who knows where that comes from?
175,Anybody?
176,Not a clue?
177,It's from a poem by Walt Whitman about Mr. Abraham Lincoln.
178,"Now, in this class, you can either call me Mr. Keating, or if you're slightly more daring, O Captain, My Captain."
179,"Now, let me dispel a few rumors so they don't fester into facts."
180,"Yes, I too attended Hellton and survived."
181,"And no, at that time, I was not the mental giant you see before you."
182,I was the intellectual equivalent of a 98pound weakling.
183,I would go to the beach and people would kick copies of Byron in my face.
184,"Now, Mr. Pitts."
185,That's a rather unfortunate name.
186,"Mr. Pitts, where are you?"
187,"Mr. Pitts, will you open your hymnal to page 542?"
188,Read the first stanza of the poem you find there.
189,"""To the Virgins, To Make Much of Time""?"
190,"Yes, that's the one."
191,"Somewhat appropriate, isn't it?"
192,Gather ye rosebuds while ye may Old time is still aflying: And this same flower that smiles today Tomorrow will be dying.
193,"Thank you, Mr. Pitts."
194,Gather ye rosebuds while ye may The Latin term for that sentiment is carpe diem.
195,"Now, who knows what that means?"
196,"Carpe diem, that's ""seize the day.""  Very good, Mr.?"
197, Meeks.
198,Meeks. Another unusual name.
199,Seize the day.
200,Gather ye rosebuds while ye may  Why does the writer use these lines?
201, Because he's in a hurry.
202,No. Ding.
203,Thanks for playing anyway.
204,"Because we are food for worms, lads."
205,"Because, believe it or not, each and every one of us in this room is one day going to stop breathing, turn cold and die."
206,I would like you to step forward over here and peruse some of the faces from the past.
207,"You've walked past them many times, but I don't think you've really looked at them."
208,"They're not that different from you, are they?"
209,Same haircuts.
210,"Full of hormones, just like you."
211,"Invincible, just like you feel."
212,The world is their oyster.
213,"They believe they're destined for great things, just like many of you."
214,"Their eyes are full of hope, just like you."
215,Did they wait until it was too late to make from their lives even one iota of what they were capable?
216,"Because, you see, gentlemen, these boys are now fertilizing daffodils."
217,"But if you listen real close, you can hear them whisper their legacy to you."
218,"Go on, lean in."
219,Listen. You hear it?
220,Carpe...
221,Hear it?
222,Carpe...
223,Carpe diem.
224,"Seize the day, boys."
225,Make your lives extraordinary.
226, That was weird.
227, But different.
228,"Spooky, if you ask me."
229,Think he'll test us on that stuff?
230,"Oh, come on, Cameron."
231,Don't you get anything?
232,What? What?
233,"Let's go, boys. Hustle up in here."
234,"That means you, Dalton."
235,Who's up for a trig study group tonight?
236, Sure.
237, Me.
238, What?
239," I can't make it, guys."
240,I have to have dinner at the Danburrys' house tonight.
241,The Danburrys?
242,Who are the Danburrys?
243,Big alums. How'd you swing that?
244,Friends of my dad's. They're probably in their 90s or something.
245,"Sounds great, doesn't it?"
246,"Anything's better than Hellton hash, Knox."
247, I'll second that.
248," Yeah, we'll see."
249,Hey. Coming to the study group tonight?
250,"Uh, no. No, I've got some history I want to do."
251,Suit yourself.
252,"Ready, Overstreet?"
253,"Ready to go, sir."
254,"Chet, can you get that?"
255," Can't, Mom."
256, I'll get it.
257,Can I help you?
258,Hi. Knox Overstreet. Uh...
259, Dr. Hager.
260, Hi.
261," This is the Danburrys', right?"
262, Are you here to see Chet?
263, Mrs. Danburry?
264, No.
265,"Sorry. Thank you, Chris."
266,I'm Mrs. Danburry.
267, You must be Knox.
268, Yes.
269,"Back by 9? Please, come on in."
270,"Chris, come on. What are you doing?"
271," Chet, I'm coming."
272, Knox.
273, How are you? Joe Danburry.
274," Nice to meet you, sir."
275,"Well, he's the spitting image of his father, isn't he?"
276, How is he? Come on in.
277, Chris.
278,He's great.
279,He just did a big case for GM.
280, I know where you're headed.
281, I'm coming.
282,"Like father, like son, huh?"
283, Yes.
284, Bishop to queen six.
285," All right, I think that's good."
286, Another game?
287,Just replace these numbers here with X... For X and Y.
288, Of course.
289," Of course, so, what's the problem?"
290,Do you think I can get in there?
291,You've been hogging it all day.
292,How was dinner?
293,Huh?
294,How was dinner?
295,Terrible.
296, Awful.
297, Why? What happened?
298,Tonight I met the most beautiful girl I have ever seen in my entire life.
299,Are you crazy? What's wrong with that?
300,She's practically engaged.
301,To Chet Danburry.
302, The guy could eat a football.
303, Too bad.
304,"Too bad? It's worse than too bad, Pitts, it's a tragedy."
305,A girl this beautiful in love with such a jerk.
306,"All the good ones go for jerks, you know that."
307,"Yeah, forget her. Open your trig book and try and figure out Problem 5."
308,"I can't just forget her, Cameron."
309,And I certainly can't think about trig.
310, We got it.
311, Turn that up.
312,"All right, gentlemen. Five minutes."
313, Let's go.
314, Did you see her naked?
315,"Very funny, Dalton."
316,"That wouldn't be a radio in your lap, would it, Mr. Pitts?"
317,"No, sir. Science experiment."
318,Radar.
319,"Gentlemen, open your texts to Page 21 of the introduction."
320,"Mr. Perry, will you read the opening paragraph of the preface, entitled ""Understanding Poetry""?"
321,"""Understanding Poetry, by Dr. J. Evans Pritchard, Ph.D."
322,"To fully understand poetry, we must first be fluent with its meter, rhyme and figures of speech, then ask two questions."
323,One: How artfully has the objective of the poem been rendered?
324,And two: How important is that objective?
325,Question one rates the poem's perfection.
326,Question two rates its importance.
327,"And once these questions have been answered, determining the poem's greatness becomes a relatively simple matter."
328,"If the poem's score for perfection is plotted on the horizontal of a graph, and its importance is plotted on the vertical, then calculating the total area of the poem yields the measure of its greatness."
329,"A sonnet by Byron might score high on the vertical, but only average on the horizontal."
330,"A Shakespearean sonnet, on the other hand, would score high both horizontally and vertically, yielding a massive total area, thereby revealing the poem to be truly great."
331,"As you proceed through the poetry in this book, practice this rating method."
332,"As your ability to evaluate poems in this manner grows, so will your enjoyment and understanding of poetry."" Excrement."
333,That's what I think of Mr. J. Evans Pritchard.
334,We're not laying pipe.
335,We're talking about poetry.
336,How can you describe poetry like American Bandstand?
337,"""I like Byron."
338,"I give him a 42, but I can't dance to it."" Now, I want you to rip out that page."
339,Go on. Rip out the entire page.
340,You heard me. Rip it out.
341,Rip it out.
342,Go on. Rip it out.
343,"Thank you, Mr. Dalton."
344,"Tell you what, don't just tear out that page, tear out the entire introduction."
345,"I want it gone, history."
346,Leave nothing of it.
347,Rip it out. Rip.
348,"Be gone, J. Evans Pritchard, Ph.D."
349,"Rip, shred, tear. Rip it out."
350,I want to hear nothing but ripping of Mr. Pritchard.
351,"We'll perforate it, put it on a roll."
352,It's not the Bible.
353,You're not gonna go to hell for this.
354,Go on. Make a clean tear.
355,I want nothing left of it.
356, We shouldn't be doing this.
357," Rip, rip, rip."
358,Rip it out. Rip.
359,"Rip, rip."
360,Yeah.
361,Rip it out.
362,What the hell is going on here?
363,I don't hear enough rips.
364, Mr. Keating.
365, Mr. McAllister.
366,I'm sorry. I didn't know you were here.
367,I am.
368,Ah. So you are.
369,Excuse me.
370,"Keep ripping, gentlemen."
371,"This is a battle, a war."
372,And the casualties could be your hearts and souls.
373,"Thank you, Mr. Dalton."
374,Armies of academics going forward measuring poetry.
375,No. We'll not have that here.
376,No more of Mr. J. Evans Pritchard.
377,"Now, in my class, you will learn to think for yourselves again."
378,You will learn to savor words and language.
379,"No matter what anybody tells you, words and ideas can change the world."
380,"Now, I see that look in Mr. Pitts' eye, like 19thcentury literature has nothing to do with going to business school or medical school."
381,Right? Maybe.
382,"Mr. Hopkins, you may agree with him, thinking, ""Yes, we should simply study our Mr. Pritchard and learn our rhyme and meter and go quietly about the business of achieving other ambitions."" I have a little secret for you. Huddle up."
383,Huddle up.
384,We don't read and write poetry because it's cute.
385,We read and write poetry because we are members of the human race.
386,And the human race is filled with passion.
387,"And medicine, law, business, engineering, these are noble pursuits, and necessary to sustain life."
388,"But poetry, beauty, romance, love, these are what we stay alive for."
389,To quote from Whitman: O me! O life!
390,Of the questions of these recurring; Of the endless trains of the faithless...
391,"Of cities filled with the foolish; What good amid these, O me, O life?"
392,Answer.
393,That you are here...
394,"That life exists, and identity; That the powerful play goes on And you may contribute a verse."
395,That the powerful play goes on And you may contribute a verse.
396,What will your verse be?
397,"For what we are about to receive, may the Lord make us truly grateful."
398,Amen.
399,"Quite an interesting class you gave today, Mr. Keating."
400,"Sorry if I shocked you, Mr. McAllister."
401,There's no need to apologize.
402,It was very fascinating.
403, Misguided though it was.
404, You think so?
405,"You take a big risk by encouraging them to become artists, John."
406,"When they realize that they're not Rembrandts, Shakespeares or Mozarts, they'll hate you for it."
407,"We're not talking artists, George, we're talking free thinkers."
408,Free thinkers at 17?
409,"Funny, I never pegged you as a cynic."
410,Not a cynic.
411,A realist.
412,Show me the heart Unfettered by foolish dreams And I'll show you a happy man.
413,But only in their dreams Can men be truly free 'Twas always thus And always thus will be.
414, Tennyson?
415," No, Keating."
416,"Hey, I found his senior annual in the library."
417,"Listen to this: Captain of the soccer team, editor of the school annual, Cambridge bound, thigh man, and the Dead Poets Society."
418,"""Man most likely to do anything."" Thigh man. Mr. K was a hellraiser."
419, What's the Dead Poets Society?
420, Is there a picture?
421," Nothing, no other mention of it."
422," That boy there, see me after lunch."
423,Mr. Keating.
424,Mr. Keating.
425,Sir?
426,Say something.
427,"O Captain, My Captain?"
428,Gentlemen.
429,We were just looking in your old annual.
430,"Oh, my God."
431,"No, that's not me."
432,"Stanley ""The Tool"" Wilson."
433, God.
434, What was the Dead Poets Society?
435,I doubt the present administration would look too favorably upon that.
436,Why? What was it?
437,"Gentlemen, can you keep a secret?"
438,Sure.
439,The Dead Poets were dedicated to sucking the marrow out of life.
440,That's a phrase from Thoreau we would invoke at the beginning of every meeting.
441,"See, we would gather at the old Indian cave and take turns reading from Thoreau, Whitman, Shelley, the biggies."
442,Even some of our own verse.
443,"And in the enchantment of the moment, we'd let poetry work its magic."
444,You mean it was a bunch of guys sitting around reading poetry?
445,"No, Mr. Overstreet, it wasn't just guys."
446,"We weren't a Greek organization, we were romantics."
447,"And we didn't just read poetry, we let it drip from our tongues like honey."
448,"Spirits soared, women swooned, and gods were created, gentlemen."
449,"Not a bad way to spend an evening, eh?"
