,dialog
0,I may have to jerk it before we even get there.
1,"Not near me, please. Let me see."
2,Who throws a party when his wife leaves him on their honeymoon?
3,Vince does. And why wouldn't he?
4,I hope that's what my next honeymoon's like.
5, Vince.
6, Yo. Come in.
7, Hey.
8, Your friends are here.
9,Really? I didn't think they'd come.
10,What?
11,Let them wait.
12,I just got out of a failed marriage. You're gonna have to give me at least a few hours.
13,Okay. A few.
14,"Hahaha! Hey, boys!"
15," Hey, baby bro."
16, Welcome.
17, I told you guys you didn't have to come.
18, We were in Paris anyway.
19,We wanted to make sure there wasn't a Natalie Woodtype situation.
20,I appreciate it.
21,E did hesitate when we asked him if he would help.
22, Jerkoff. We thought you were alone!
23, I was.
24, Where'd you find the hotties?
25, It's Ibiza. They found me.
26,Come on.
27,"I like Ibiza, bro."
28, We'll be right back.
29, Right back.
30,Nobody leaves.
31,Except you. You can go.
32," So, what happened?"
33, Just wasn't working.
34, After nine days?
35, Sometimes you just know.
36," We all knew when you were saying, ""I do.""  I know. I made a mistake."
37, It's not the shortest marriage in Hollywood.
38, No. Britney Spears. Two days. I looked it up.
39," Thank you, Turtle."
40," All right. So, what now?"
41,Easy. We're gonna get it annulled.
42,"Trust me, it's all good."
43, And she agrees?
44, She said it first.
45,"I mean, we're lying there looking at each other, and we didn't have a thing to say."
46, Who does?
47," And I'm thinking, ""What did I do?"" And then she said it."
48,And then she just left?
49,"No, we had sex first, agreed to be friends..."
50,"went to sleep, and when I woke up she was gone."
51,She left this note.
52, What's it say?
53, You're not gonna believe it.
54,"""I read the script for your next movie."
55,"You're better than this.""  They're doing another rewrite."
56, I read it. She's right. It sucks. Let's get out of it.
57, It starts shooting next month.
58, I know.
59,I realized I rushed into marriage because I'm searching for something.
60,Something meaningful.
61,I really need to do something different than anything I've ever done.
62,"Yeah, me, too, bro."
63,Ari says he's got something.
64,Ari's retired.
65,Isn't he?
66,Fax? Fax.
67,"I can't print, scan or email because there's no Interneto."
68,I need to get back to civilization.
69,"Honey, can you take any longer to pack?"
70,"Ari, do not push me, or I'll change my mind again."
71,"I wouldn't push her, Dad."
72, Vinnie Chase.
73, Ari Gold!
74,Vegas odds had your retirement lasting longer than my marriage.
75,"Well, good thing that I bet big against both."
76, You okay?
77," Yeah, I'm okay."
78,And you? How'd you get the wife to let you go back to work?
79,Once she realized that she couldn't understand...
80,"what the Real Housewives of Milan were saying, she begged to go."
81, Ari.
82," I'm not going back to work, Vinnie."
83,"I'm going back to be the king of Hollywood, but I agreed to live by my queen's rules."
84,One of which is to leave my nutsack in the Mediterranean.
85, I heard that.
86, Mm.
87,But we're all good.
88,Good. I hear you got something for me.
89,Something big. My first movie...
90,"as studio head and, boom, I want you to star in it."
91,"Oh, yeah? How badly?"
92,What do you mean?
93,Because I decided whatever I do next...
94,I also wanna direct.
95, Does he even know how to direct?
96, Ari?
97,Ari.
98,Ari.
99,Even if you've never seen a Vincent Chase movie...
100,chances are you've heard the name.
101,"The 34yearold has 15 starring roles on his r̩sum̩, including James Cameron's Aquaman..."
102,once the alltime box office champ.
103,"Chase hails from modest roots in Queens, New York..."
104,"where he was raised by a single mother, surrounded by a group of loyal friends."
105,Friends who still surround him today.
106,"We caught up with Chase and his entourage on the set of his directorial debut, Hyde..."
107,Who's he calling an entourage?
108,Not me. I'm a relative.
109,"...a modernday retelling of Robert Louis Stevenson's classic, Jekyll and Hyde."
110,A film that some in the industry are now whispering was too expensive...
111, ...to be put in the hands of a firsttimer.
112, Shut up.
113, Is that what people are saying?
114, This is a big undertaking.
115,"Well, it's not that big."
116,Though the sets are big.
117,"The sets are big. Enormous, in fact."
118,No expense seems to have been spared in turning Hollywood streets...
119,into a futuristic Los Angeles nightmare.
120,We wanted to surround Vince with the best people in the business...
121, ...to make sure he was covered.
122, That's Hyde producer Eric Murphy...
123,Chase's longtime manager and best friend since kindergarten.
124,But what exactly were his qualifications when Mr. Chase asked him to come on board?
125,I was actually managing a Sbarro's.
126,Sbarro's?
127,Yeah. The pizza place.
128," This pizza place, in fact."
129, Nice pic.
130,Chase plucked Murphy away from a life of spinning pies...
131,I am gonna kill my mother.
132,...and decided he was equipped...
133,to help guide him through the treacherous waters of Hollywood.
134, What did everybody else think?
135, Heh.
136,"Well, my agent at the time, he wasn't too happy."
137,His agent at the time was none other than Hollywood powerhouse Ari Gold...
138,who has since moved on from the agency business...
139,and is now head of the studio that is producing Hyde.
140,You see it with pro athletes.
141,You see it with movie stars.
142,They wanna share the ride with their friends.
143,It makes it feel more real for them.
144, Were you okay with this?
145," No, I was not okay with it. I hated it."
146,I found this kid off a Mentos commercial.
147, Really?
148, Yeah.
149,"I was watching TV with the wife, and I said, ""This guy's a star."" Mentos. The Freshmaker."
150, And you were right.
151," I'm that good, Piers."
152,It wasn't just Murphy Gold was forced to deal with.
153,"There was Sal ""Turtle"" Assante, another friend from the neighborhood..."
154,who became Vince's driver.
155,I like to think I did more than just drive.
156,"Yeah, he drove, he parked, he waited."
157,He also made a fortune in a tequila company...
158,That's a good line.
159,...when Chase helped him gain access to billionaire Mark Cuban.
160,How much did he make?
161,He won't say. It's so annoying.
162,And that's Chase's halfbrother...
163, Why's he gotta say that?
164, I know. He should've said quarter.
165," ...and actor, Johnny Chase."
166, Victory!
167,"You've probably seen him, he's been in just about everything."
168,"Melrose Place, Pacific Blue, Law & Order."
169,"And the recently canceled animated show, Johnny Bananas."
170,"I can't believe you did this, Ronald."
171,I'm so screwed.
172,"And today, he feels he may have caught the break of a lifetime..."
173,as his younger brother cast him in what he describes...
174,"as ""a small but pivotal role"" in Hyde."
175,You came to Hollywood first?
176, I was the trailblazer.
