,dialog
0,MAN ON TV: We now return to Sunday Golf on CBS.
1,"COMMENTATOR 1: And Nicholson here, trying to save par, and there's Nicholson's wife."
2,"God, is she hot."
3,COMMENTATOR 2: Look at that rack.
4,There's a downhill lie for you.
5,COMMENTATOR 1: They're just out there begging to be touched. Pleading.
6,How many golf balls do you think she can fit in her mouth?
7,"COMMENTATOR 2: I'd hit that one in the rough, if you know what I'm saying."
8,"COMMENTATOR 1: Who are you kidding, Greg?"
9,You'd pork her for a week and then get tired of her.
10,"COMMENTATOR 2: Yeah, you're right."
11,That's what I do.
12,That's my thing.
13,"But a hell of a week, though."
14,COMMENTATOR 1: Hell of a week.
15,"Oh, my God, the power's out."
16,What are we gonna do now?
17,"Well, we could light some candles and read."
18,"Yeah, right."
19,"Yeah, that'd be great."
20,"Yeah, read the inside of my butt."
21,We could tell stories.
22,"Hey, Dad, why don't you tell the story about when I was born?"
23,"Yeah, we got halfway home with the afterbirth, before we had to go back to the hospital and swap it out for Meg."
24,The end.
25,"Now, I got a better one."
26,"This is a story of love and loss, fathers and sons, and the foresight to retain international merchandising rights."
27,This is the story of Star Wars.
28,Let's begin with Part 4.
29,You hear that?
30,"Sounds like we're being boarded from the rear, and not the, ""Hey, take a deep breath, let's experiment,"" kind of boarded from the rear."
31,Could you hold on to this bag?
32,What if they come in a different door?
33,"Well, I guess we'd all just get up and go to that door then."
34,"Is it going to be like this all day, Jeff?"
35,"Hey, I'm just trying to contribute."
36,"Yeah, well contribute to pointing your gun at that door."
37,"Mark, why are you always way nicer to me when the other rebels aren't around?"
38,Damn! I was two days from retirement.
39,R2?
40,"Help me, ObiWan Kenobi."
41,You're my only hope.
42,"All right, now what do I click?"
43,"Click ""preferences."" Okay, I clicked ""preferences."" Now go to ""default media browser."" Okay, there's a little hourglass and it's not letting me do anything."
44,"It says ""buffering."" What is that?"
45,Just give it a minute.
46,All I'm trying to do is make an MPEG.
47,All I'm trying to do is tell you to wait a minute.
48,"Okay, relax."
49,"Now click ""import video file."" All right."
50,It's telling me I have to download RealPlayer 7.
51,You know what?
52,I'll just bring it to him myself.
53,There she is.
54,You still got that bag I gave you?
55,It's gonna be a long ride.
56,Hold your fire.
57,There's no life forms aboard.
58,Hold your fire?
59,"What, are we paying by the laser now?"
60,"You don't do the budget, Terry. I do."
61,"Hey, I'm gonna do some crosswords, but that doesn't mean I don't want to talk."
62,"Oh, yeah, yeah."
63,"My God, look at this mess."
64,"""Hey, Darth Vader's gonna be here, ""shall we maybe clean the place up?"
65,"""No, it's okay, he won't mind."" Well, well, Princess Leia."
66,Are you prepared to tell me what you've done with the stolen Death Star plans?
67,"All right, Lord Vader, you win."
68,I've hidden the plans in one of these Ooh! Ooh!
69,"Okay, okay, I'm feeling number 14, let's go with number 14."
70,Oh!
71,"It's okay, I'm just happy to be on TV."
72,"All right, take her away."
73,"Okay, here's another one."
74,Who would you rather do?
75,Jabba the Hutt right after a shower or a service droid?
76,My father was a service droid.
77,"Hey, where are you going?"
78,You can kiss the lower part of the back of the canister that is my body.
79,"Oh, man, this looks like the wrong neighborhood."
80,"Oh, boy, it's okay, R2, calm down, be cool."
81,I ain't done nothing to antagonize nobody.
82,"What, a droid can't walk down the desert no more?"
83,"I got rights, too."
84,Who's there?
85,"Any attack made by the rebels against this station would be a useless gesture, no matter what technical data they've obtained."
86,This station is now the ultimate power in the universe.
87,"That is fantastic, terrific work."
88,So no weaknesses at all?
89,No... No.
90,"You, uh..."
91,You hesitated there.
92,Is there something I should know?
93,"No, it's virtually indestructible, like 99.99%."
94,"Uh, okay, wouldn't be doing my job if I didn't ask, what's the 0.01?"
95,"Well, I mean, there's this little hole."
96,It was kind of an aesthetic choice by the architect.
97,"And if you shoot a laser into this hole, the station blows up."
98,"Whoa, whoa, whoa, whoa!"
99,"That sounds like a pretty big design flaw, then."
100,"No, no, the hole's only 2 meters across."
101,"Well, that's no bigger than a womp rat."
102,Exactly.
103,"And even to get within range of it, you have to skim along this whole trench."
104,It's not a big deal.
105,"Can't we board it up or, you know, put some plywood over it or something?"
106,"Well, that would look terrible."
107,"I mean, we gotta think about resale."
108,Resale? What are you talking about?
109,This property is right above Sunset.
110,The value is only gonna go up.
111,"Lord Vader, your inside references to the Los Angeles real estate market haven't given you the clairvoyance to turn a profit on that condo in Glendale."
112,Nor has it...
113,I find your lack of faith disturbing.
114,That property is in a prime location.
115,"Twenty minutes to the beach, There's nothing to do downtown."
116,Enough of this.
117,"Vader, release him."
118,As you wish.
119,"All right, so we're gonna plug up that hole?"
120,"Yeah, we can get it done tomorrow, if price is no object."
121,Uh...
122,We'll get estimates.
123,"Get estimates, yeah, yeah."
124,Someone was in the pod.
125,The tracks go off in this direction.
126,"Look, sir, droids."
127,"Look, a penny."
128,"Hey, thanks for the sex, early '90s printer."
129,"All right, bring him on out."
130,"Oh, God, it's 100 degrees out here."
131,"If I pass out, please note that I'm wearing a LifeCall bracelet, with all my insurance information."
132,BERU: Luke? Luke!
133,Luke!
134,What?
135,Tell Uncle Owen not to tell you that your father is Darth Vader.
136,"Aunt Beru, when are you guys going to let me join the Rebellion, like all my friends?"
137,"Oh, stop whining, Luke, and come have some blue milk."
138,"One of these days, I'm just gonna take off and join the Rebellion, whether you like it or not."
139,Over my burnt carcass.
140,"Hey, shut upa with the noisea."
141,"Hey, shut upa with the shut upa."
142,You shut upa with the shut upa.
143,Shut upa your face.
144,Nowa my doga wanna shut upa.
145,Why you no shut upa?
146,I'll makea you shut upa.
147,"You, too, shut upa."
148,"Hey, I poke outa my head."
149,"Some day, I'll get off this rock and fight the Empire."
150,"John Williams and the London Symphony Orchestra, everybody."
151,Now do the theme to The People's Court.
152,"Oh, this oil bath is gonna feel so good."
153,"Hey, you guys think that '90s printer looked clean, right?"
154,"Hey, there's something stuck in this R2 unit."
155,"Help me, ObiWan Kenobi."
156,You're my only hope.
157,"Help me, ObiWan Kenobi."
158,You're my only hope.
159,"Whoever she is, she sounds like she's in trouble."
160,Is there any more to this message?
161,Intergalactic Proton Powered Electrical Tentacled Advertising Droids.
162,Hi! I'm Darth Harrington of Darth Harrington's Intergalactic Proton Powered Electrical Tentacled Advertising Droids Emporium and Moon Base.
163,"Due to a garbled subspace transmission, I am currently overstocked on all Intergalactic Proton Powered Electrical Tentacled Advertising Droids and I am passing the savings on to you!"
164,"She said ""ObiOne"" Kenobi."
165,I wonder if she means old ObiWan Kenobi?
166,"Well, I guess I'll go bullseye some womp rats in my T16."
167,"My God, you shoot small animals for fun?"
168,"That's the first indicator of a serial killer, you freak."
169,There's two suns and no women.
170,What the hell am I supposed to do?
171,"Master Luke, he's gone, he's gone."
172,What?
173,"R2, he took off in the middle of the night, we gotta find him."
174,"Oh, what the phantom menace is that guy's problem?"
175,"Hey, mind if I turn on the radio?"
176,"DJ: WTAT, Tatooine's alltalk radio."
177,"HOST: My good friends, the liberal galactic media is at it again, they never stop."
178,Now they're trying to convince us that Hoth is melting.
179,"Well, that's crazy, just trying to scare us."
180,"And if that wasn't enough to get you mad, we now have news that Lando Calrissian has been made the chief administrator of the Bespin mining facility."
181,"Gee, I wonder how he got that job."
182,"Well, let me tell you how he got that job."
183,Affirmative action strikes again.
184,The time is 8:50.
185,"R2, what are you doing out here?"
186,He says there are several creatures approaching from the southeast.
187,That's not what I said.
188,I said there ain't a pack of menthols on this planet.
189,"Well, I see some bantha tracks, but I don't see any..."
190,"Wait a minute, they're Sand People, all right, I can see one of them now."
191,Who the hell are you?
192,One lucky son of a bitch.
193,"So, Luke, what brings your muscly arms out this way?"
194,"I'll show you, Mr. ObiWan."
195,"R2, play him the message."
196,"General Kenobi, many years ago you served my father in the Clone Wars."
197,"We need your help again. And, not to get too personal, but you owe us after that mess you got into back on Alderaan."
198,"And we paid to keep the families of those children quiet, so..."
199,"This is just, like, logistical stuff."
200,I'll check that later.
201,...Joey Lawrence haircut.
202,"So, I'll assume we can count on your help to get the Death Star plans to my father on Alderaan."
203,The plans are stored inside this R2 unit.
204,"Help me, ObiWan Kenobi, you're my only hope."
205,"All right now, what do I click?"
206,"Luke, you must learn the ways of the Force, and come with me to Alderaan."
207,What's the Force?
208,The Force is what gives a Jedi Knight his power.
209,"It surrounds us, it penetrates us."
210,Mmm...
211,"Here, check this out."
212,Wow! This is cool.
213,"Yeah, everyone in the neighborhood has one."
214,"Hey, why would you hang that up?"
215,It looks so tantalizing.
216,"You know, the Empire is gonna come looking for these droids."
217,"But if they find out who the Jawa sold them to, that could lead them back..."
218,Home!
219,"Luke, wait, it's too dangerous."
220,Get your fat space ass back here.
221,Uncle Owen?
222,Aunt Beru?
223,"Oh, my God!"
224,John Williams!
225,"Great, now we gotta do the rest of this thing with Danny Elfman."
226,HERBERT: Mos Eisley spaceport.
227,You will never find a more wretched hive of scum and villainy.
228,My sister ReginaD2 lives here.
229,Is she single?
230,She's a lezbot.
231,How are we gonna get in here?
232,We don't have any chicks with us.
233,It's way easier to get into these clubs if you have chicks in your group.
234,You ever notice that?
235,"No, I never have."
236,"Sorry, sir, private party tonight."
237,I'm a friend of Dave Navarro's.
238,You're a friend of Dave Navarro's.
239,You saw me here last week.
240,I seem like a cool dude.
241,I saw you here last week.
242,You seem like a cool dude.
243,Move along.
244,"Move along, move along."
245,(STAR WARS CANTINA MUSIC PLAYING) He doesn't like you.
246,Sorry.
247,I don't like you either.
248,You don't even know me.
249,You know what?
250,That's fair.
251,"I'm Pig Nose, and this is my brotherinlaw, Scott."
252,He's visiting from Hoth.
253,I don't know why they call it Hoth.
254,They should call it Coldth.
255,"Okay, settle down."
256,I'm up after the band.
257,Thank you.
258,We're the Cantina Band.
259,"If you have any requests, shout 'em out."
260,Play that same song.
261,"All right, same song, here we go."
262,"(STAR WARS CANTINA MUSIC PLAYING) Oh, no, Stormtroopers."
263,"Quick, R2, in here."
264,"This door's locked, move on to the next one."
265,"Well, maybe they're behind this door."
266,I just said it's locked.
267,"Well, can't you knock or something?"
268,Hello?
269,"Well, I guess whoever's in there won't be getting this giant check from Publishers Clearing House."
270,CLEVELAND: Publishers Clearing House!
271,QUAGMIRE: Shut up.
272,Did you hear something?
273,"I heard voices, but they've stopped, so I'm gonna assume there's no one in there."
274,"Hi, my sexy friend and I are looking for a ship to take us to Alderaan, and I'm willing to pay big money."
275,"Well, you've come to the right place."
276,"I'm Han Solo, captain of the Millennium Falcon and the only actor whose career isn't destroyed by this movie."
277,Is it a fast ship?
278,Are you kidding?
279,It's the ship that made the Kessel Run in less than 12 parsecs.
280,"Um, isn't a parsec a unit of distance, not time?"
281,"Chewie, take these guys to the ship and get her ready."
282,Always gargle before a takeoff.
283,"Wokka, wokka!"
284,"All right, let's go."
285,"Greedo, as a matter of fact, I was just going to see Jabba and tell him..."
286,"Well, what do you think?"
287,What a piece of junk!
288,"Thank you, this was my brother's."
289,He died of leukemia.
290,How do you feel now?
291,You got any strawberry milk in there?
292,"No, but she'll make If you want, I'll show you around, since no one's trying to stop the ship or blast us."
293,"Stop that ship, blast them."
294,"Oh, now I can't show you around."
295,"Quick, get in the ship."
296,Looks like we got Imperial Cruisers on our tail.
297,"Oh, look at that one on the left."
298,"Get off your cell phone, you are driving."
299,They're gaining on us.
300,"We'll be safe enough, once we make the jump to hyperspace."
301,"Besides, I know a few maneuvers."
302,We'll lose 'em.
303,That... That was your maneuver?
304,Moving slightly to the left?
305,"Well, I mean, we're not in the same place we were, huh?"
306,That ought to confuse 'em.
307,"Yeah, but you hardly did anything."
308,You just started listing lazily to the left.
309,I'm pretty sure they can keep up.
310,Where did they go?
311,There they are!
312,They're listing lazily to the left.
313,"Go left, left!"
314,"Boy, this guy knows some maneuvers."
315,"All right, strap yourselves in, I'm about to make the jump to light speed."
316,"Did he say ""strap in"" or ""strap on""?"
317,"Man, hyperspace always looks so freaky."
318,Governor Tarkin.
319,I recognized your foul stench as soon as I was brought onboard.
320,"Um, actually, that's me, I made a Darth doody."
321,I sithed my pants.
322,My diaper's gone over to the dark side.
323,"I got pages of these, I could go on."
324,"Princess Leia, we've chosen to test our Death Star planet blowerupper gun on your home planet of Alderaan."
325,No!
326,She said no.
327,Should we still do it?
328,Yeah.
329,"So, anyway, I says, ""Forget the dental plan, forget sick leave."
330,"""I just want a railing. You know, one railing right here."" Yeah, I know, I've almost fallen over that thing so many times."
331,"So, what did they say?"
332,"Get this, they said they're worried we'd be leaning all day."
333,They said that?
334,Yeah.
335,"Well, none of this will matter when we're famous singers."
336,"Good evening, Death Star."
337,Tonight a special report on the controversial attack on Alderaan.
338,"While some view the attack as unwarranted, the Empire has obtained proof that Alderaan was in possession of weapons of mass destruction."
339,"And now, let's go to our five day forecast."
340,"What's the weather like, Ollie?"
341,Space weather.
342,"Thanks, Ollie."
343,"Coming up, we'll give you the road closures for this week's Ewok Pride Parade."
344,Stay with us.
345,How am I doing?
346,Just keep your knees bent.
