,dialog
0,"There's a man out there named 'Shit', calling for us to stop."
1,These are barren mountains.
2,We don't know what kind of person he is.
3,How can we stop?
4,"If we don't stop, he could die of thirst."
5,"Seven, tell them to stop the carriage."
6,"Master, I've been eating beans and suffering diarrhea every day."
7,"If I don't have rice soon, I'll starve to death quick."
8,Hey! Stop the carriage!
9,Hey!
10,"FaHung, they can't hear you shouting."
11,Hey!
12,What are you doing?
13,Climbing!
14,Stop.
15,Turn back to pick up that man.
16,Is there anything happier than saving a life?
17,Save your own life!
18,Yes. This is a good opportunity to practise more of your English.
19,Go on.
20,You know how?
21,I know everything!
22,Did you understand what he said?
23,No.
24,I only pretended I understood.
25,Still saying 'yeah'?
26,You eat this one.
27,"Master, it's beans again."
28,I think it's going to be hard for me to visit So.
29,The clinic that So opened here is also called Po Chi Lam.
30,Yes.
31,Po Chi Lam.
32,Such a joke of him to make us come this far to visit a Western Po Chi Lam.
33,"Master, we don't need to eat beans anymore!"
34,Hey!
35,Where are you going?
36,"Master, would you like to eat chicken ass?"
37,How do I drink you?
38,Here.
39,You...
40,You don't have any sense of humour!
41,"After that, don't say I have no sense of humour!"
42,Be careful! Stay away!
43,'Shadowless Kick'!
44," Master, there are many barbarians!"
45, Protect 13th Aunt!
46,I know how to take care of myself.
47,FeiHung!
48,Seven!
49,The carriage is out of control!
50,Give me a ride!
51, 13th Aunt! I'll save you!
52, Seven!
53,It's very dangerous!
54,Sit back inside!
55,Don't touch my carriage!
56, Where's your master? FeiHung!
57, I can't hear you! Watch out!
58,One foot. Two feet.
59,No need for you!
60,Get out!
61,Sit down.
62,Be careful!
63,Let's go.
64,Let's go.
65,PO CHI LAM Don't overreact.
66,The beer in this town isn't good to drink.
67,Sit down and let me see it.
68, Have a look at it first. Look at it.
69, It's okay.
70,Sit down.
71,There.
72,Hold on.
73,"Dr So, help!"
74,"Dr So, where are you?"
75,Dr 50!
76,Quick!
77, How are they?
78," Hey, what has happened?"
79,"Dr So, we rescued them from the Gold Sand river."
80,"They woke for a short while, but lost consciousness again."
81,Seven!
82, Ying!
83," Yes, Master?"
84, You massage his chest for me.
85, Okay.
86,I taught you before.
87,Doctor! Doctor!
88,I'll massage her for you!
89,Stop fighting!
90,Why fight?
91,We'll take turns!
92, I'll go first!
93, No!
94,She's...
95,"She's my master's fianc̩, how can you massage her?"
96,Hey!
97,Look at this foreigner.
98,More ruthless than I am!
99,"Don't be noisy, don't..."
100, She's awake now!
101, Seven.
102,I'm hungry.
103, Seven!
104, FeiHung!
105,I have a new son!
106,This weave is excellent.
107,We should learn how to do it.
108,Father!
109,The great spirit has blessed me with another son!
110,Where is this?
111,How can you be so rude to a lady?
112,"This means 'What is your name?' Master, I've been eating beans and suffering diarrhea every day."
113,"If I don't have rice soon, I'll starve to death quick."
114,Sorry.
115,Master Wong!
116,Master's umbrella?
117,Look!
118,This is Master's umbrella!
119,let's search again after lunch.
120, You go ahead and eat.
121, Okay.
122,Damned foreigner.
123,We can't even search for someone?
124,They never treat us Chinese miners like human beings. We're accustomed to it.
125,And they always bully us.
126,He's the only one here.
127,Let's get rid of him.
128,Don't talk too loud!
129,This policeman is good to us Chinese.
130,Don't you remember?
131,There was a few times he drove away the foreign bullies for us.
132,Let's go.
133,Hey!
134,What are you doing?
135,"Don't touch her again, or I won't be so civil!"
136,Damn 'what'!
137,'Damn what'.
138,it's raining hard.
139,Go back inside.
140,No. I'm afraid in case FeiHung won't find us when he's back.
141,"If you fell ill, Master wouldn't be happy."
142,"Yes. 13th Aunt, please go back inside."
143,FeiHung!
144,SiuKwan!
145, Master!
146, Seven! Seven!
147,SiuKwan!
148,"Hey, step aside."
149," Hey, what are you all looking at?"
150, A woman!
151,What's so good about a woman?
152,"You're old, and still looking?"
153,"I can't do anything, but I can always look."
154,Go on.
155,We're closed today!
156,Go.
157, 13th Aunt.
158," Seven, help me test if it's sticky enough."
159,Should some water be added?
160,"So, what are you eating?"
161,This is glue.
162,It's enough.
163, Is it sticky?
164, Sticky!
165,"You say it was 'good.' I didn't say anything, I was only nodding."
166,Both of you help me stick these on the street.
167,"Hey, you carry the glue."
168,Post one here.
169,Post one here too.
170,Why did they tear our...
171, What did he say?
172, It's okay.
173,Never mind.
174,Let's go.
175,Your agility is pretty good.
176,What?
177,You want to train your leg?
178,If you're not afraid of the hardship...
179,Like this.
180,Press your legs every day for four hours.
181,That's it.
182, 13th Aunt!
183, 13th Aunt.
184,I'm not convinced.
185," Seven, teach them a lesson."
186, Right!
187,No! I'll take advantage of Master's absence.
188,I want to fight more!
189,"So, translate!"
190,Tell them to fight me all at once.
191,"If they beat me, they win."
192," Seven, he said..."
193, Trust me!
194,How can I be in the mood to enjoy this landscape?
195,Why don't you bring me back to the place you found me?
196,Maybe I'll remember where I came from.
197,But you don't know what I'm talking about.
198,"Clothes, it would be great if you could speak; you could tell me who I am."
199,'Master'...
200,...'America'...
201,...'opening Po Chi Lam'...
202,...'first anniversary'...
203,...'talkative'...
204,"Was this letter written to others, or did someone write to me?"
205,Could it be that I'm called talkative?
206,'Master'?
207,I have a master.
208,"If I find him, I'll understand."
209,'Wong Fei'?
210,I must have known him.
211,"If I find him, I'll know who I am."
212,What can I do for you?
213,I want to marry your daughter!
214,Fierce Eagle!
215,Fierce Eagle!
216,Hey...
217,Hey...
218,Hey...
219,Come on!
220,Let me try.
221,I really envy you.
222,You at least know your home.
223,I don't know where mine is.
224,You don't understand what I'm saying.
225,That's okay.
226,At least you're very happy.
227,Unlike me.
228,I think the whole day about where to go back.
229,Thank you.
230,"As of now, verbal communication isn't necessary."
231,I pat you; you pat me Okay? .
232,"I try to forget, but it keeps returning."
233,Really annoying.
234,Forget it!
235,You like it?
236,Take it.
237,"FeiHung, have a smoke."
238,This is bad.
239," No, it's not a mental problem."
240, What is it then?
241,that make her miss Master.
242,Seeing objects that make her miss Master?
243,"I've told you before, smoking's bad for your health."
244,But it doesn't matter now.
245,FeiHung?
246,A woman?
247,FeiHung!
248,FeiHung?
249,Who's FeiHung?
250,You are.
251,I'm FeiHung?
252,Then who are you?
253,I'm SiuKwan  13th Aunt.
254,Your fianc̩!
255,"If you're my aunt, how can you be my fianc̩ too?"
256, Your name is Yellow?
257, Everyone here calls me Yellow.
258,How can you just grab something?
259,For you.
260,She cares about the ring.
261,Why doesn't she want it?
262,Your body function is weak.
263, I'm weak?
264, Yes.
265,And I have to be assessed under the sun?
266,No.
267,She is turning upside down.
268,Now everyone in Po Chi Lam is avoiding her.
269,You thought Master is ferocious?
270,"When women turn that way, they're even worse."
271,We haven't seen women for a long time.
272,How is it when she gets ferocious?
273,"So, So!"
274, What's the fuss this time?
275, She's packing luggage.
276," 13th Aunt, where are you going?"
277, Back to Tangshan.
278, Tangshan?
279, What?
280,"Prepare a carriage for me, I want to going back to Tangshan."
281,"Seven, prepare the carriage."
282,What's up?
283,mental problems again.
284,"You take her for a walk around the laundry, then tell her she's already in Tangshan."
285,"Go, my ass!"
286,You really think I have a mental problem?
287,I know how to get back to Tangshan.
288,"Take a tenday trip to San Francisco by carriage, then onto a ship for half a year, crossing the Pacific Ocean to Hong Kong."
289,"After that, take the threeday train to Guangzhou, then transfer to Foshan."
290,Anyway... I need to go back!
291,Prepare the carriage for me.
292,Okay.
293,Seven!
294,I'm going back to get it.
295,"So, carry this."
296, 13th Aunt...
297, 13th Aunt...
298, May I ask...
299, I'm not listening to your explanation!
300,"I'm not here to explain anything, I want..."
301,I don't want to hear it!
302,Do you know someone called Talkative?
303,A talkative person?
304,Then you must know Wong Fei?
305,I'm going to ask this woman.
306, How could Master test us like this?
307," No, it's not that."
308,Master... has memory loss!
309,Don't come over here!
310,I won't be so civil.
311, Are you 13th Aunt?
312, I'm not!
313, Do you know Wong Fei then?
314, Damn Wong Fei.
315,I'm not fighting anymore!
316,"Don't think because you're a woman, that you can be reckless."
317, What are you doing?
318, I want to check your pulse.
319,he has memory loss.
320,Memory loss can be...
321,Memory loss?
322,What should we do?
323,"Right, let me try something."
324,What are you doing?
325,I want to show you Wong FeiHung's unique move: 'Shadowless Kick of Foshan'.
326, Who's Wong FeiHung?
327," It's you, of course!"
328,You're one of the Ten Tigers of Guangdong.
329,Coach of the local militia.
330,"You live at 8 South City Street, Foshan."
331,An expert in cut wounds and bone setting.
332,A provider of free treatment.
333,"Promoter of the spirit of Kung Fu, open to challenge, and tough on outlaws."
334,"The second generation of Po Chi Lam, Wong FeiHung!"
335,What are the Ten Tigers of Guangdong?
336,Coaching the local militia?
337,"I live in 8 South City Street, Foshan?"
338,An expert in cut wounds and bone setting?
339,A provider of free treatment?
