,dialog
0,"Subtitles by explosiveskull www.OpenSubtitles.org This man is worth $500, and this man's going to collect."
1,"He's Jake Cahill, and he lives by..."
2,Bounty Law.
3,"You don't ever bring them in alive, do you, Jake?"
4,Not when there's three of them and one of me.
5,"What are you looking at, bounty killer?"
6,I'm looking at an ugly owlhoot about to get his jaw busted.
7,Amateurs try and take men in alive.
8,Amateurs usually don't make it.
9,"Whether you're dead or alive, you're just a dollar sign to Jake Cahill on Bounty Law."
10,"Thursdays at 8:30, only on NBC."
11,"Hello, everybody."
12,This is Allen Kincade on the set of the exciting hit NBC and Screen Gems television series Bounty Law.
13,"Now, if you think you're seeing double, don't adjust your television sets because, well, in a way, you are."
14,"To my right is Bounty Law series lead and Jake Cahill himself, Rick Dalton."
15,"And to my left is Rick's stunt double, Cliff Booth."
16,Welcome and thanks for taking the time  to visit with us.
17," It's our pleasure, Allen."
18,"So, Rick, explain to the audience exactly what it is a stunt double does."
19,Well...
20,actors are required to do a lot of dangerous stuff.
21,Say Jake Cahill gets shot off his horse.
22,"Now, can I fall off a horse?"
23,"Yes, I can, and, yes, I have."
24,But say I fall off wrong and I sprain my wrist or I... or I twist my ankle.
25,"Now, that can put an undue burden on production because now maybe I can't work for a week."
26,So Cliff here is meant to help carry the load.
27,"Is that how you'd describe your job, Cliff?"
28,"What, carrying his load?"
29,"Yeah, that's about right."
30,"Join me next week on the set of The Dick Van Dyke Show, where I'll be talking to comical cutups, Morey Amsterdam and Rose Marie."
31,"Till then, this is Allen Kincade signing off from Hollywood."
32,Hi. I missed you.
33,The black one.
34,And the flowers.
35,"Flowers, Ava, flowers."
36,And there's the small one.
37,Can I see your tickets?
38,"Oh, good boy."
39,"Gina, Gina, Gina."
40,The face in the misty light.
41," Hello, Mr. Schwarz."
42," Hello, Gina."
43,"I, uh... I have a meeting with a very handsome cowboy man."
44,He's waiting for you in the bar.
45,Ah.
46,Well...
47,"since I just finished watching a Rick Dalton fucking film festival, I think I know who you are."
48,Put it there.
49,"Well, it's my pleasure, Mr. Schwartz."
50,And thank you for taking an interest.
51,"Schwarz, not Schwartz."
52,Ah. Ggoddamn it to hell.
53,I'mI'm sorry about that.
54," It's my pleasure, Mr. Schwarz."
55, Call me Marvin.
56,"Marvin, call me Rick."
57, Rick?
58, Yeah.
59," Oh, is that your son?"
60, My son?
61,"No, that's my stunt double, Cliff Booth. Yeah."
62, Good to meet you.
63, We've worked together since the last two seasons of Bounty Law.
64, Yeah?
65," My car's in the shop, so he gave me a ride."
66,That's a big fucking lie.
67,Rick got his driver's license taken away for too many drunkdriving tickets.
68,Cliff drives him everywhere now.
69,"Oh, fuck."
70,"Well, sounds like a good friend."
71, I try.
72, Mm.
73,"I wanna send you greetings from my wife, Mary Alice Schwarz."
74,"Oh, well, that's nice."
75,Thanks a lot.
76,We had a Rick Dalton double feature in our screening room last night.
77,"Oh, well, that's both flattering andand embarrassing."
78,What'd you see?
79,Thirtyfive mm prints of Tanner and The Fourteen Fists of McCluskey.
80,"I hope the, uh, Rick Dalton double feature wasn't too painful for you and the... And the missus."
81,"Oh, no. ""Painful."" Stop."
82,What are you saying?
83,Mary Alice loves Westerns.
84,"Our whole courtship, we watched Westerns."
85, Here you go.
86, Thanks.
87,And we thoroughly enjoyed Tanner.
88,"Oh, that's nice."
89,It's really good.
90,"And anyway, she goes to bed."
91,I open up a box of Havanas.
92,"I light up, I pour myself a cognac and I watch..."
93,The Fourteen Fists of McCluskey.
94,What a picture.
95, What a picture.
96," Good picture, yeah."
97,That is so much fun.
98,All the shooting.
99,I love that stuff.
100,"You know, the killing."
101,A lot of killing.
102,"Lot of killing, yeah."
103,"Now, gentlemen, the plan is, we reverse our forces und drive the Allies back into the sea!"
104,Genius.
105,"Panzer divisions come in, and we drive them here to the ocean."
106,They'll be up against the wall.
107, They will have nowhere to go.
108, Yes.
109,This is the spot...
110,Hermann!
111,Open the curtains.
112,Anybody order fried sauerkraut?
113,"Burn, you Nazi bastards!"
114,Hahaha!
115,"That's you operating the flamethrower, isn't it?"
116,"Oh, you bet your sweet ass it was. Yeah."
117, It was you?
118," Yeah. And let me tell you, thatthat's one shitfuck crazy weapon yyyou do not wanna be on the wrong side of."
119,"Boy, oh, boy."
120,"You know, I practiced with that dragon, uh, three hours a day for two weeks."
121,"Not just because I wanted to look good in the picture, but because I was..."
122,"I was shitscared of the thing, to be honest."
123,Mike fucking Lewis!
124,Crisping them Nazis to hell!
125,"Oh, shit, that's..."
126,"All right, that's too hot."
127,Anything we can do about that heat?
128," Rick, it's a flamethrower."
129, Yeah.
130,"So I came to the office early today, and I watched two episodes of Bounty Law on 16 mm."
131,"Jody Janice, wanted for cattle rustling in the state of Wyoming, $425 dead or alive."
132,And you brought him here to collect.
133,I don't even know where here is.
134,It was just the closest place.
135,Caught up with him about five miles outside of town.
136,"So, bounty killer, the name of this town is Janicetown."
137,And that boy you killed...
138,was Jody Janice.
139,He was the baby boy of Major Nathin Maxwell Janice.
140,Hmm.
141,Who's Major Nathin Maxwell Janice?
142,"Well, I'll be sure and introduce you when he gets here."
143,Bounty Law.
144,Starring Rick Dalton.
145,Then a couple of the jokers over in archival sent over a kinescope of a little treat featuring you.
146,"âª There's an old piano âª âª And they play it hot Behind the green door âª âª Don't know what They're doing âª âª But they laugh a lot Behind the green door âª âª Wish they'd let me in âª âª So I can find out What's behind the green door âª So, uh, you've been doing guest shots on episodic TV shows the last couple of years?"
147,Yeah. Yeah. I'm doing a pilot ffor CBS right now.
148,It's called... It's called Lancer. I play the heavy.
149,"Did a, ahem, Ron Ely Tarzan."
150,I did a Land of the Giants.
151,Green Hornet.
152,"I did that show, uh..."
153,Bingo Martin with that kid Scott Brown. Yeah.
154,And I got a F.B.I.
155,thatthat airs this Sunday.
156,"You, um... You always play the bad guy on these shows?"
157, Yyeah. Mmhm.
158, Yeah.
159,"So, and they have a fight scene at the end of them?"
160,"Well, not... Not..."
161,"Not Land of the Giants or F.B.I.,  but the rest, yeah. Yeah."
162, And you lose in the fight?
163,"Yeah. Yeah, of course."
164,I'm... I'm the heavy.
165,"Oh, that's an old trick pulled by the networks."
166,"Now, you take Bingo Martin, for example."
167, Mmhm.
168, Right?
169,So you got a new guy like Scott Brown.
170,"You wanna build up his bona fides, right?"
171,So you hire a guy from a canceled show  to play the heavy.
172, Hmm.
173,"Then at the end of the show, when they fight, it's hero besting heavy."
174,But what the audience sees is Bingo Martin whipping Jake Cahill's ass.
175, Uhhuh.
176, You see?
177,"Then next week, it's Ron Ely."
178,"And next week, it's Bob Conrad, wearing his tight pants, kicking your ass."
179,Yeah.
180,"Now, in another couple of years, playing punching bag to every swinging dick new to the network, that's gonna have a psychological effect on how the audience perceives you."
181,Right.
182,"So, Rick, who's gonna kick the shit out of you next week?"
183,Mannix?
184,The Man from U.N.C.L.E.?
185,The Girl from U.N.C.L.E.?
186,How about Batman and Robin?
187,Ping. Pow.
188,Choom. Zoom.
189,Down goes you.
190,Down goes your career as a leading man.
191,Or do you go to Rome and star in Westerns and win fucking fights?
192,"Ticket, seÃ±or?"
193,"All right, what's the matter, partner?"
194,Well...
195,"it's official, old buddy."
196,I'm a hasbeen.
197,What are you talking about?
198,What did that guy tell you?
199,"He told me the goddamn truth, is what he told me."
200, Oh. Whoa.
201," Oh, shit."
202, Hey.
203, I'm sorry about that.
204,Sorry about that.
205,Here. Put these on.
206,Don't cry in front of the Mexicans.
207, Son of a bitch.
208," What's got you so upset, man?"
209,"Well, if coming facetoface with the failure that is your career ain't worth crying about, then I don't know what the fuck is."
210,Right. That guy in there turn you down?
211,No. He wants to help me get into Italian movies.
212,Then what's the problem?
213,I gotta do Italian goddamn movies!
214, That's the fucking problem!
215, Come on.
216,Fucking bullshit! It doesn't matter whether I cry in public.
217,"Nobody remembers who the fuck I am anyway, huh?"
218,...at the Hall of Justice here.
219,The defense will try to prove the killing of Kennedy  was the product of a sick mind.
220, Fuck!
221," Thank you. Hey, let's go."
222," Take me home, Cliff."
223,"Come on, take me home."
224,...as early as next Wednesday.
225,"More than 1000 Communists dead are reported in new, largescale fighting in South Vietnam."
226,U.S. losses are said to be...
227,"That's swell, man."
228,Fucking hippie motherfuckers.
229,...and bases with rockets and mortar fire.
230,"As President Nixon was flying to Europe, he received details of that fighting by radio."
231,"âª Always is always forever âª âª As long as one is one âª âª Inside yourself For your father âª âª All is one, all is one All is one âª âª It's time we put Our love behind you âª âª The illusion Has been just a dream âª âª The Valley of Death And I'll find you âª âª Now is when On a sunshine beam âª Hot dog buns!"
232,"âª For sure They shall surely see âª âª No clothing, no tears No hunger âª âª You shall see, you shall see You shall see âª âª Always is always forever âª âª As long as one is one âª âª Inside yourself For your father âª âª All is one, all is one All is one âª Five years of ascent."
233,Pfft.
234,Ten years ofofof treading water.
235,And now a race to the bottom. Heh.
236,"Look, I never had much of a career to speak of, so I can't say I really know how you feel."
237,What are you talking about?
238,You're my stunt double.
239,"Come on, now. Shit."
240,"Rick, I'm your driver, man."
241,I'mI'm your gofer.
242,"I'm not complaining, man."
243,I like driving you around.
244,I like doing shit around the house and housesitting in the Hollywood Hills when you're gone.
245,"But I haven't been a fulltime stuntman for a while now, and from where I'm standing, going to Rome to star in movies does not sound like the fate worse than death that you seem to think it is."
246,"Come on, now. You ever seen anan Italian Western, huh?"
247,They're awful.
248,It's a fucking farce.
249,"Yeah, how many you seen?"
250,One? Two?
251,"I've seen enough, all right?"
252,Nobody likes Spaghetti Westerns.
253,"Oh, hell, man, stay in L.A."
254,Give it what fer next pilot season.
255,"Nah, nah. I'm... I'm..."
256,I'm too insecure now to score come pilot season.
257,Screen Gems ain't gonna have nothing good to say about me.
258, You know that.
259, Shit. You made Bounty Law.
260,Nobody's gonna forgive me for that last season.
261, No matter what I do...
262, Ah...
263,...I'm always gonna be the horse's ass that got Bounty Law canceled because I wanted some fucking rinkydink movie career.
264, Tom. My friend.
265, I met him?
266,"No, you haven't met him."
267,You won't meet him because I don't think  you'd like him.
268, Why?
269,Well...
270, Don't even joke.
271, A joke? But they're scared.
272,Holy shit. Heh.
273,That was Polanski.
274,That was Roman Polanski.
275,He's lived there for a month now.
276,First time I seen him.
277,Hahaha.
278,Holy shit. Goddamn it.
279,What do I always say?
280,"Most important thing in this town is, when you're making money, you buy a house in town."
281,You don't rent.
282,Eddie O'Brien taught me that.
283,Hollywood real estate means you live here.
284,"You're not just visiting, not just passing through."
285,You fucking live here.
286,"Here I am flat on my ass, and who I got living next door to me?"
287,"The director of Rosemary's fucking Baby, that's who."
288,"Polanski, the hottest director in town right now, probably the world."
289,He's my nextdoor neighbor.
290,"I mean, shit. I mean, who knows what could happen?"
291,I could... I could be one pool party away ffrom starring in a new Polanski movie.
292,So you're feeling better now?
293,"Aw, yeah, yeah."
294,Sorry about all that.
295,Give me my glasses back.
296,"Oh, come get them, fucker."
297,Come...
298,"All right, all right, Audie Murphy, relax."
299, There you go.
300, You need me for anything else?
301,"Nah, nah, nah. I got a lot of lines to learn for tomorrow."
302, Shit. All right.
303, All right.
304,I'm gonna get my carcass on home.
305, All right.
306," All right, 7:15 a.m."
307, Sevenfifteen.
308, Out the door.
309, Out the door.
310, In the car.
311,"All right, see you then."
312,"Hello, coming in. Hello."
313,"Hello, darling. Hello."
314,Mm. Mm.
315,Come here.
316,"Hello, sweetheart."
317,Mm. How was your day?
318,Hmm?
319,Wait till you see what I got for you.
320,Wait until you see what I got for you.
321,Look what I got for you.
322,"Gonna blow your mind, man."
323,Come here. Come here.
324,"Ta, ta, ta. Oh!"
325,Was that a whine?
326,What did I tell you about whining?
327,"You whine, you don't eat."
328,I will throw this shit in the trash.
329,"I don't wanna, but I will."
330,You understand?
331,All right.
332,"I waited at the bar till closing time, but he never came back."
333,"Okay, Peggy, what happened?"
334,I don't know.
335,Everything was fine.
336,We had dinner at my house.
337,"And afterwards, you know,  while I was doing the dishes,  Tsk, tsk."
338,he and Tobey played.
339,"And then, at the club, Gabe was doing great."
340,"Then, wham, a sudden change."
341,You know how musicians are.
342,They're temperamental cats.
343, Who knows what got into him?
344, Yeah.
345,"Rick Dalton rehearsal tape starting in five, four, three, two, one."
346,"Pepe, get your behind behind that bar! I got a guest."
347,Johnny says...
348,"Spanish, Spanish, Spanish."
349,How's the beans?
350,I've had worse.
351,Johnny says... Spanish.
352,A toast.
353,To my wife and all my sweethearts.
354,May they never meet.
355,"SeÃ±or Madrid, care to join me at my table where I entertain my guests?"
356,"I would be delighted, Monsieur Dakota."
357,Take the bottle with you.
358,And Pepe comes over.
359,"Hey, where's that chili pepper daughter of yours with the fiddle?"
360,She's asleep.
361,"Well, wake her the heck up, get her down here with her fiddle and her bow, and entertain my guests."
362,"SÃ­, seÃ±or, but please don't hurt her this time, I beg you."
363,I ain't gonna hurt her.
364,Just want her to play the fiddle.
365,"Fetch her and tell her I'll give her a fat $5 gold piece, she play her little chili pepper heart out."
366,"So, Johnny, what else you heard about me?"
367,"I heard you're pushing Lancer pretty hard, but Lancer has money."
368,"At some point, he's gonna hire some guns and push back."
369," Oops, sorry."
370, It's okay.
371,I'll open the door for you.
372,You look good.
373,I think Steve's gonna be there too.
374,"Oh, yeah."
375,"Oh, look. They're here."
376,"Welcome to the Playboy Mansion, Mr. Polanski."
377,"Hey, how are you doing, baby?"
378,Hey! Heh. How are you?
379,"Oh, Cass!"
380,Yeah!
381,"Yeah, baby!"
382,Yeah! Whoo! Whoo!
383,"Oh, yeah."
384,I'm gonna tell you a story.
385,She was engaged to him.
386,Then she flew to the UK...
387,"to make a film with him, and broke off her engagement with him and married him."
388,"Then they moved to Los Angeles, and the three of them have been inseparable."
389,Really?
390,What's up?
391,"Jay loves Sharon, that's what's up."
392, Mm.
393, And he knows...
394,as sure as God made little green apples...
395,"that one of these days, that Polish prick's gonna fuck things up, and when he does, Jay's gonna be there."
396,"Well, one thing's for sure."
397,Yeah?
398,What's that?
399,Sharon absolutely has a type.
400,"Cute, short, talented guys who look like 12yearold boys."
401,Yeah.
402,I never stood a chance.
403,"Argh. Fuck you, Dr. Sapirstein."
404,"Oh, here we are."
405,Tell transpo!
406,Gonna need to move all that out!
407,"Just a sec. Hold on, guys."
408,Go ahead.
409,You can talk to him.
410,Just talk to him.
411, Get that set in place.
412, Hey.
413,"Ahem. I think the wind blew down my TV antenna last night, so while I pissfart around with wardrobe, you mind going home and fixing it?"
414,I can. You talk to the stunt gaffer about me today?
415,That way I'll know if I'm working this week or not.
416,Yeah. Ahem.
417,I've been meaning to tell you.
418,"The guy who gaffs this, he's best friends with Randy, the gaffer from The Green Hornet..."
419,...so there ain't no point.
420,"If you don't need me, I'll pick you up at wrap."
421,I don't need you. Not today.
422,"Go home, fix my antenna, do whatever. See you at wrap."
423,Hey!
424,You're Rick fucking Dalton.
425,Don't you forget it.
426,"Hey, hey."
427,"Hey, buddy, I'm Rick Dalton."
428,You know where I'm supposed to go?
429,They're waiting for you in the makeup trailer.
430,Where's the makeup trailer?
431,"Straight back the way you came, hard right."
432,"Oh, my God."
433,Rick Dalton.
434,Sam Wanamaker.
435,"Hey, Sam."
436,Sorry about the wet hand.
437,"Oh, don't worry."
438,I'm used to it with Yul.
439,"I want you to know, I'm the one who cast you."
440,And I couldn't be more delighted you're doing this.
441,"Oh, well, thank you, Sam."
442,I... I appreciate it.
443,It's a good part.
444,"Yeah, it is. Have you met Jim Stacy, the series lead?"
445,"Uh, not yet, no. No."
446,"Well, you guys are going to be dynamite together."
447,Mm. Mm.
448,"Well, it sounds exciting."
449," Yeah, lightning in a bottle."
450, Mm.
451,"Now, you met Sonya, makeup and hair?"
452,Hi.
453,"And this is Rebekka, who does costumes."
454,Hello.
455, Hi.
