,dialog
0,the feel of real. X1.
1,"No pain, no gain."
2,"Pizza, guys."
3,EXCITED STACKS GUY: Whoohoo!
4,"Hello, Wade."
5,"Hello, Mrs. Gilmore."
6,What's the matter?
7,Life getting you down?
8,WADE: I was born in 2027.
9,"After the Corn Syrup Droughts, after the Bandwidth Riots."
10,After people stopped trying to fix problems and just tried to outlive them.
11,"My parents, they didn't make it through those times, so I live here in Columbus, Ohio, with my Aunt Alice."
12,"In 2045, Columbus is the fastestgrowing city on Earth."
13,It's where Halliday and Morrow started Gregarious Games.
14,"These days, reality is a bummer."
15,"Everyone is looking for a way to escape, and that's why Halliday..."
16,That's why he was such a hero to us.
17,He showed us that we could go somewhere without going anywhere at all.
18,"You don't need a destination when you're running on an omnidirectional treadmill with quadraphonic, pressuresensitive underlay."
19,James Halliday saw the future.
20,And then he built it.
21,He gave us a place to go.
22,A place called the OASIS.
23,This is the OASIS.
24,It's a place where the limits of reality are your own imagination.
25, You can do anything...
26, (CROWD CHEERING) ...go anywhere.
27,Like the vacation planet.
28,Surf a 50foot monster wave in Hawaii.
29, You can ski down the pyramids.
30, (SKIERS WHOOPING) You can climb Mount Everest with Batman.
31,Check out this place.
32,It's a casino the size of a planet.
33,You can lose your money there.
34,You can get married.
35,You can get divorced.
36,You can... You can go in there.
37,"People come to the OASIS for all the things they can do, but they stay because of all the things they can be."
38,"Tall, beautiful, scary, a different sex, a different species, liveaction, cartoon."
39,It's all your call.
40,"Yeah, that's me."
41,"Well, that's my avatar."
42,"At least, until I feel like changing it."
43,"Except for eating, sleeping, and bathroom breaks, whatever people wanna do, they do it in the OASIS."
44,"And since everyone is here, this is where we meet each other."
45,It's where we make friends.
46,Locate Aech.
47, (BEEPING)  COMPUTER: Locating Aech.
48,Aech located.
49,Sector 12. Planet Doom.
50,"WADE: Planet Doom, the most dangerous place in the OASIS, and a pretty great place to pick up coin."
51,Figures Aech would be there.
52,Aech is my best friend in the OASIS.
53,"He's my best friend, period."
54,Even though I've never actually met him in the real world.
55," WADE: What's up, Aech?"
56," Hey, what up, Z?"
57,"Next race is in 20 minutes, and I can't do the late one."
58,What the hell are you up to?
59,"Man, gettin' my kills on, bro."
60,Is that Daito?
61,Daito and Sho.
62,This an artifact hunt?
63,Yup. Gregarious 120.
64,Turn into any giant robot for two minutes. That's rad.
65,WADE: Artifacts.
66,Those were key.
67,Halliday made sure the OASIS was littered with enough randomly powerful stuff that anyone could win if they had the skills.
68,"Death matches and artifact hunts are a good way to coinsnatch, but depending on your level of armor, they're risky."
69,"You see, everyone starts the same, but the more coin you make..."
70, Mom! Mom!
71, ...the more you level up.
72,"If you get killed, your avatar can come back to life..."
73,Go get your dad!
74,...but you lose all your stuff.
75,Everything you've ever worked for.
76,All your money.
77,Your clothes.
78,Your weapons.
79,Since people spend most of their time in the OASIS...
80,...losing your shit means...
81,"Well, losing your shit."
82,"Aech, 10 minutes until the race starts."
83,"AECH: Okay, Mom, I heard you."
84,"WADE: You see, the OASIS was the brainchild of James Halliday."
85,"He and his partner, Ogden Morrow, released the first OASIS build in 2025."
86,"It was an instant success, and it made them both very rich."
87,But Morrow was out of the picture after a few years. And Halliday?
88,He wasn'tjust the owner of the world's biggest company.
89,He was like a god. People loved him.
90,They worshiped him as much as his creation.
91,"Maybe we should stop talking about it and start, uh, showing it."
92,"If you all wanna reach under your seats, you'll find that there's nothing there."
93, (AUDIENCE LAUGHING)  But we're each gonna bring you one now.
94,"WADE: And then, on January 7, 2040..."
95,He died.
96, (ORGAN MUSIC PLAYING)  And what he left behind changed everything.
97,Hello. I am James Halliday.
98,"If you're watching this, I'm dead."
99,"Before I died, I created what we in the biz call an ""Easter egg."" A hidden object in a game that gives special powers to whoever discovers it."
100,"The first person to find the egg I've hidden somewhere inside the OASIS will inherit my stock in Gregarious Games, currently valued in excess of half a million..."
101,"Uh, half a trillion dollars' worth, and total control of the OASIS itself."
102,"In the form of my avatar, Anorak the AllKnowing, I created three keys."
103,Three hidden challenges test for worthy traits revealing three hidden keys to three magic gates.
104,"And those with the skill to survive these straits will reach the end, where the prize awaits."
105,"Off you go, keys."
106,The keys aren't just laying around under a rock somewhere.
107,"I suppose you could say they're invisible, hidden in a dark room that's at the center of a maze that's located somewhere up here."
108,Let the hunt for Halliday's Easter egg begin.
109,"WADE: The challenge is to find three keys, but in five years, no one has even gotten one key."
110,And the big scoreboard? Still empty.
111,Some longforgotten gunter cracked the first clue and found the first challenge.
112,"Then, this portal appeared."
113,"But the challenge to win the first key was a race designed by Halliday that was so hard, no one had ever finished it."
114,"The only ones still trying are the gunters, as in ""egg hunters,"" like me and Sho and Daito, and my best friend, Aech."
115,"Oh, and of course, the Sixers."
116,The Sixers work for IOI...
117,COMMANDER: Sixers!
118,WADE:...Innovative Online Industries.
119,They're the secondlargest company in the world with designs on becoming the first.
120,Which is why they're putting everything they got into winning Halliday's contest.
121,Buckle up!
122,Sit in!
123,"WADE: We call 'em ""Sixers"" 'cause that's the company rule."
124,"No name, just numbers."
125,They have a support team made up of Halliday scholars.
126,"Like me, they spend all their time studying pop culture that Halliday was obsessed with, trying to find clues to solve the contest."
127,"They're just following the orders of the head of IOI, this dickweed named Nolan Sorrento."
128,How'd you get here before me?
129,"Well, I didn't make a pit stop at the hair salon."
130," What up, Z?"
131," What's up, Aech?"
132,Saved you a spot.
133,"Thanks, bro."
134,I gotta go to the back.
135,Ugh. So you can skim coins from crashed cars?
136," That's just sad, man."
137, Fuel's low.
138,"Oh, but you still had enough to pay for that Something About Mary hairdo."
139,First to the key.
140,First to the egg!
141,"Aech, are you seeing this?"
142,"Yeah, I see it."
143,That's Kaneda's bike from Akira.
144,It's a licensed skin over a standard frame.
145,"WADE: No, not the bike. Forget the bike."
146,"The girl, I think it's Art3mis."
147,The Art3mis? The Sixer Fixer?
148,"I've seen all her walkthroughs, her Twitch streams."
149,It's her. It's definitely her.
150,"Go, go, go! Get there! Come on!"
151,"AECH: You got it, you got it!"
152,Balls.
153,She's not gonna make it.
154,Bail! Bail out!
155,Bail!
156,"ART3MIS: Ow! (GRUNTS) Damn, I loved that bike."
157,"Oh, Aech could..."
158,"Well, he's my friend, but he could fix it for you."
159,This is my workshop. Touch nothing.
160,Where did you find an Iron Giant?
161,AECH: Find it? I'm building it.
162,That's a commission.
163,"WADE: Oh, yeah. Aech is toprated on the mod boards."
164,People all over the OASIS pay him serious coin.
165,"Oh, hey, check this out!"
166,"AECH: Hey. Z, yo."
167," The Galactica, of course."
168," These are my babies, all right, man?"
169,"Sulaco, from Aliens."
170,"Dude, how are you showing off my shit?"
171,"Valley Forge, from Silent Running."
172,"Oh, where's the Harkonnen DropShip?"
173,That thing is sick.
174,Folds space like a boss.
175,"I mean, you can get from Incipio to Arrakis in three seconds..."
176,Fingers!
