,dialog
0,Clear the ramp! 30 seconds!
1,God be with you!
2,"Port side stick, starboard side stick, move fast and clear those murder holes."
3,I want to see plenty of beach between men.
4,Five men is a juicy opportunity.
5,One man is a waste of ammo.
6,Keep the sand out of your weapons.
7,Keep those actions clear.
8,And I'll see you on the beach.
9,Clear the murder holes!
10,Over the side!
11,"Port and starboard, over..."
12,Jesus.
13,Thank you...
14,"I said, what the hell do we do now, sir?"
15,Captain Miller! Captain Miller!
16,Captain Miller!
17,Sergeant Horvath!
18,Move your men off the beach! Go!
19,"Okay, you guys!"
20,Get on my ass! Follow me!
21,Sir!
22,What's the rallying point?
23,Anywhere but here!
24,The seawall! Move up to the seawall!
25,"Sir, I'm staying!"
26,Clear this beach!
27,Make way for the others!
28,This is all we got between us and the Almighty.
29,Every inch of this beach has been presighted!
30,"You stay here, you're dead men!"
31,Mama! Mama!
32,Stay down! Stay down!
33,What are you guys?
34,Here to set up field operations!
35,Get rid of that crap!
36,Grab yourselves some weapons.
37,Follow me.
38,I'm hit! I'm hit!
39,Briggs!
40,Get me out of here. I'm hit low. God!
41,Medic!
42,"Navy Beach Battalion, sir."
43,"I gotta clear these obstacles, make holes for the tanks."
44,All the armour is foundering in the Channel.
45,"Orders, sir. You go somewhere else."
46,I'm clearing this one!
47,"Come on, Briggs!"
48,Medic!
49,Move! Move!
50,Move! Come on! Move!
51,Shore party.
52,No armour has made it ashore.
53,We got no DD tanks on the beach.
54,Dog One is not open.
55,Who's in command here?
56,"You are, sir!"
57,Sergeant Horvath!
58,Sir!
59,You recognise where we are?
60,"Right where we're supposed to be, but no one else is!"
61,Nobody's where they're supposed to be.
62,Shore party.
63,"First wave, ineffective."
64,We do not hold the beach.
65,"Say again, we do not hold the beach."
66,"We're all mixed up, sir."
67,"We got the leftovers from Fox Company, Able Company and George Company!"
68,Plus we got some Navy demo guys and a beachmaster!
69,Shore party. Shore party.
70,"CATF , CATF ..."
71,"Reiben here, sir!"
72,Did you see anybody else?
73,"Jackson, but that's about it."
74,Mellish here.
75,Caparzo! We got DeForest back there with Wade.
76,He's hurt so bad he says he sprung 100 leaks.
77,Wade says he's all used up.
78,Move on to somebody you can help.
79,Let's go!
80,"He's battalion surgeon, sir!"
81,Get his attention.
82,Wade!
83,"Yo, Doc!"
84,Wade!
85,Wade! Wade! Wade!
86,Wade!
87,Wade! Wade! Wade!
88,"Too risky, Doc. Too risky."
89,Wade!
90,All right. Get him off the beach.
91,I got it! We stopped the bleeding!
92,We stopped the bleeding!
93,Fuck!
94,"Just give us a fucking chance, you son of a bitch!"
95,Son of a fucking cocksucker!
96,Wade! Come on. Come on.
97,Wade! It's Mellish! Wade!
98,Mellish!
99,Let's go!
100,We found Miller!
101,Fuck it!
102,Let's move! Let's move!
103,This is all? This is all that's made it?
104,"We got scattered pretty bad, sir."
105,There's bound to be more.
106,Not enough. It's not enough.
107,Dog One exit...
108,It's gotta be that cut on the right.
109,Or is that one on the left? Shit!
110,"No. No, no, no."
111,Vierville is to the west of us.
112,This is Dog One.
113,They're killing us!
114,"And we don't have a fucking chance, and that ain't fair!"
115,Gather weapons and ammo!
116,"Come on, let's drag them in off the sand!"
117,"Reiben. Hey, Reiben, Reiben, Reiben, where's your BAR?"
118,"Bottom of the channel, sir."
119,The bitch tried to drown me.
120,Find a replacement.
121,Bangalores! Bring up some bangalores!
122,"Grenades, grenades! Get me some grenades. Get them over here!"
123,Bangalores up the line!
124,Bangalores up the line!
125,Heads up! Bangers coming your way!
126,"Come on, come on, come on!"
127,"Jackson here, sir!"
128,"Reiben back, sir!"
129,"Oh, my God!"
130,One more. Give me one more.
131,"Oh, my God, it hurts! I'm gonna die!"
132,"Oh, my God! Oh, Jesus! Oh, my God!"
133,Keep it moving. Keep it moving.
134,Almost got it.
135,Jesus! Lucky bastard.
136,Come on.
137,Move it!
138,Keep it moving. You got it?
139,"God! God, help me!"
140,You're not gonna die.
141,You're not gonna die.
142,You're fine. Don't look at it.
143,Don't look at it.
144,Bangalores! Clear the shingle!
145,Fire in the hole!
146,Fire in the hole!
147,Fire in the hole!
148,We're in business! Defilade!
149,Other side of the hole!
150,That's it! Let's go!
151,Inspected. Morphine.
152,Routine.
153,Priority.
154,He's gone.
155,Son of a...
156,Get in there.
157,Fuck. I can't move.
158,Mellish.
159,"Yes, sir."
160,Give me your bayonet.
161,Two MG42s and two mortars.
162,"Add 20, left 30."
163,"There's a little defilade over there, but it's the perfect fire position if we get some goddamn armour on the beach."
164,We gotta open up this draw!
165,We gotta get this draw open.
166,"Reiben, Mellish, let's get into the war!"
167,Grab some cover and put some fire on that crew.
168,"Davis, Debernardo, Young, Valk, get ready."
169,Covering fire!
170,"Go, go, go!"
171,Goddamn firing squad.
172,It's the only way we can get everybody the hell out of here.
173,"Short, Payton, McDonald, Parkes!"
174,You're next!
175,"Why don't we just hand out blindfolds, Cap?"
176,All we can do here is die.
177,Covering fire!
178,"Go, go, go!"
179,Come on! Come on! Come on!
180,"Go, God damn it!"
181,Jackson.
182,Sir.
183,Do you see that impact crater?
184,"Yes, sir."
185,That should give you complete defilade from that machinegun position.
186,Get in there and give me some fire discipline.
187,Wait for my command.
188,Go!
189,"Captain, if your mother saw you do that, she'd be very upset."
190,I thought you were my mother.
191,"Be not thou far from me, O Lord."
192,"O my God, I am heartily sorry for having offended thee."
193,"I detest my sins for having offended thee, O Lord."
194,"I detest my sins for having offended thee, O Lord."
195,"Listen to me, Lord."
196,"All my strength, haste thee to help me."
197,Dog One exit! Right here!
198,We're in business!
199,Move! Move!
200,Reiben.
201,"Let's go, Sarge. Go!"
202,Reiben.
203,The place is full of 'em!
204,"Come on, Doyle!"
205,Sarge?
206,Flame!
207,"Doyle, do it!"
208,Don't shoot! Let them burn!
209,"I'll give you ""comrade,"" you son of a bitch!"
210,Lie down!
211,Cease fire! Cease fire!
212,Cut it out! Cut it out! Cease fire!
213,Sugar Cane. Sugar Charlie 3.
214,"Say again, Dog One is open."
215,Send in the dozers.
216,I'm waiting for you to tie in my flanks. Over.
217,What?
218,"What? I'm sorry, I can't understand what you're saying."
219,What did he say? What did he say?
220,"""Look, I washed for supper."" God damn it!"
221,"Hey, Fish."
222,Yeah?
223,Look at this. A Hitler Youth knife.
224,"And now it's a Shabbat challah cutter, right?"
225,Keep it moving!
226,That's quite a view.
227,"Yes, it is."
228,Quite a view.
229,"""Dear Mr Brian Boyd, ""no doubt by now you have received full information..."" ""Dear Mrs Jensen..."" ""...untimely death of your son."" ""...no words of mine can ever relieve the grief..."" ""Our outfit has felt his loss tremendously."" ""He was a fine soldier and he believed very strongly in..."" ""It's no secret any more that we were involved ""in one of the most important operations of this war."" ""Al was the one who held us all together."
230,"""He was always the first to volunteer..."" ""...came to a clearing near a road where over 4,000 troops had passed..."" ""Your husband served in a combat unit ""whose dangerous duty is to place itself..."" ""...which we all cherish and hold so dear."
231,"""The loss of Lee and others like him is a distinct blow to the regiment."" ""I fully understand your desire ""to learn as much as possible regarding the circumstances ""leding to his death."" Colonel, I've got something you should know about."
232,Yes.
233,These two men died in Normandy.
234,This one at Omaha Beach.
235,Sean Ryan.
236,This man at Utah.
237,Peter Ryan.
238,This man was killed last week in New Guinea.
239,Daniel Ryan.
240,"The three men are brothers, sir."
241,"I've just learned that, this afternoon, their mother is going to be getting all three telegrams."
242,That's not all. There's a fourth brother.
243,The youngest.
244,"He parachuted in with the 101 st Airborne, night before the invasion."
245,He's somewhere in Normandy.
246,We don't know where.
247,Is he alive?
248,We don't know.
249,Come with me.
250,God damn it.
251,"All four of them were in the same company in the 29th Division, but we split them up after the Sullivan brothers died on the Juneau."
252,"Any contact with the fourth son, James?"
253,"No, sir. He was dropped about But that's still deep behind German lines."
254,"Now, Mac, there is no way you can know where in the hell he was dropped."
255,"General, first reports out of Ike's people at SHAEF said the 101 st is scattered all to hell and gone."
256,There's misdrops all over Normandy.
257,"Now, assuming Private Ryan even survived the jump, he could be anywhere."
258,"In fact, he's probably KIA."
259,"And frankly, sir, we go sending some sort of rescue mission, flathatting throughout swarms of German reinforcements all along our axis of advance, they're gonna be KIA, too."
260,"I have a letter here, written a long time ago to a Mrs Bixby in Boston."
261,So bear with me.
262,"""Dear Madam, ""I have been shown in the files of the War Department ""a statement of the Adjutant General of Massachusetts ""that you are the mother of five ""sons who have died gloriously on the field of battle."
263,"""I feel how weak and fruitless must be any words of mine ""that would attempt to beguile you from the grief ""of a loss so overwhelming."
264,"""But I cannot refrain from tendering to you ""the consolation that may be found ""in the thanks of the republic they died to save."
265,"""I pray that Our Heavenly Father ""may assuage the anguish of your bereavement ""and leave you only the cherished memory of the loved lost, ""and the solemn pride that must be yours ""to have laid so costly a sacrifice upon the altar of freedom."
266,"""Yours very sincerely and respectfully, ""Abraham Lincoln."" That boy is alive."
267,"We are gonna send somebody to find him, and we are gonna get him the hell out of there."
268,"Yes, sir."
269,"Yes, sir."
270,We expected 32 tanks to float to the beach. Twentyseven didn't make it.
271,"Miller, Charlie Company."
272,"Go on in, Captain."
273,I understand your situation.
274,"But if we don't offload those dueldrive Shermans by 0600, we're gonna have an entire division stuck at Carentan with its pants around its ankles."
275,"Well, you let me know then."
276,Have Charlie Company hold at Vierville until we can get some armour up there.
277,"Yes, sir. Runner!"
278,Airborne was supposed to win an open door for the rest of us.
279,"Instead they misdropped, scattered all their sticks into the wind."
280,What's your situation?
281,"Yes, sir. Sector four is secure."
282,We...
283,"We took out towed 88s here, here and here."
284,They'd already gotten four of our Shermans and a number of our deuce and a halves.
285,These two minefields are actually one big one.
286,"We tried to make our way up through the middle of it, but it turned into a mixed, highdensity field, little bit of everything."
287,"Spreng Mine 44s. Schuh Mine 42s, pot mines. A200s, the little wooden bastards that the mine detectors don't pick up."
288,"This road here, they placed big mushrooms, Teller Mine 43s, I guess for our tanks, from here right up to the edge of the village. Right here."
289,"So we marked them, called the engineers."
290,Resistance?
291,"We had higher support expectations, sir."
292,There was an understrength company without artillery.
293,"Wehrmacht 346 Infantry, Von Luck Kampfgruppe."
294,We ended up with 23 prisoners.
295,We turned them over to MPs from the 29th.
296,What about our casualties?
297,"Well, the figures were 35 dead, times two wounded."
298,They just didn't wanna give up those 88s.
299,It was a tough assignment.
300,That's why you got it.
301,"Yes, sir."
302,John...
303,I've got another one for you.
304,"Yes, sir."
305,This one's straight from the top.
306,You and I are taking a squad over to Neuville on a publicrelations mission.
307,You leading a squad?
308,"Some private in the 101 st lost three brothers, and he's got a ticket home."
309,How come Neuville?
310,"They think he's up there somewhere, part of all those airborne misdrops."
311,It's not gonna be easy finding one particular soldier in the middle of this whole goddamn war.
312,Like finding a needle in a stack of needles.
313,But what about the company?
314,We take the pick of the litter and the rest get folded into Baker.
315,Jesus Christ.
316,They took away your company?
317,"It wasn't my company. It was the Army's. So they told me, anyway."
318,"Give me Reiben on BAR, Jackson, Wade, Beasley and Caparzo."
319,Beasley's dead.
320,"All right, Mellish, then."
321,We got anybody speaks French?
322,Not that I know of.
323,What about Talbot?
324,This morning.
325,Oh. All right.
326,I'm gonna go try to dig up another interpreter.
327,Assemble at battalion motor pool on the beach.
328,"Yes, sir."
329,"Sarge, what we gonna do?"
330,"Okay, listen up..."
331,What?
332,What are we gonna do?
333,"You're going home wrapped in an American flag with a hunk of cheese in your ass, Caparzo, you smart ass."
334,"Now, listen up."
335,I thought you liked it in the ass.
336,What?
337,I thought you liked it in the ass.
338,Attention!
339,As you were.
340,"I'm looking for Corporal Upham, Timothy E."
341,"Yes, sir. I'm Upham, sir."
342,I understand you speak French and German.
343,"Yes, sir."
344,How's your accent?
345,"Just a slight one in French, but my German's clean."
346,"Has a touch of Bavarian, sir."
347,Very good.
348,You've been reassigned to me.
349,Grab your gear.
350,We're going to a place called Neuville.
351,"Yes, sir."
352,When was this updated?
353,Updated as of 0830 hour this morning.
354,Sir...
355,This is the 1 2th SS Panzer.
356,These are the two axes that advance south.
357,"Sir, there are Germans in Neuville."
358,"There are artillery up here, sir."
359,That's what I understand. Corporal.
360,"Yes, sir."
361,"Sir, there are a lot of Germans in Neuville."
362,"You have a problem with that, Corporal?"
363,"No, sir. Just if you consider I've never been in combat, sir."
364,I make maps and I translate.
365,And that's...
366,I need someone who speaks French and German.
367,"Yes, sir."
368,My two guys were killed.
369,"Yes, sir. It's just that I haven't held a weapon since basic training, sir."
370,Did you fire the weapon in basic training?
371,"Yes, sir."
372,"Well, then, get your gear."
373,"Yes, sir."
374,"Sir, may I bring..."
375,"May I bring my typewriter, sir?"
376,"Yes, sir."
377,"Thank you very much, sir."
378,That a souvenir?
379,"No, sir."
380,"Take your time, Corporal."
381,"You should look on the bright side of things, Corporal."
382,"Yes, sir."
383,"For one thing, you don't need to carry those."
384,You'll need that.
385,"I'll need that, sir. Yes, sir."
386,Hey.
387,"You want your head blown off, you fancy little fuck?"
388,Don't you ever fucking touch me with those little rat claws again.
389,Get the fuck back in formation.
390,"I was just wondering where you're from, that's..."
391,"Caparzo, is it?"
392,"Hey, drop dead, Corporal."
393,Got you.
394,And another thing.
395,"Every time you salute the captain, you make him a target for the Germans."
396,So do us a favour. Don't do it.
397,"Especially when I'm standing next to him, capisci?"
398,"Corporal, what's your book about?"
399,Hey. Watch your rifle.
400,Sorry.
401,"Actually, it's about the..."
402,It's supposed to be about the bonds of brotherhood that develop between soldiers during war.
403,Brotherhood?
404,What do you know about brotherhood?
405,"Get a load of this guy, Fish."
406,Why don't you ask the captain where he's from?
407,"Yeah, ask the captain. He'll tell you everything you wanna know about him."
408,You wanna explain the math of this to me?
409,"I mean, where's the sense of risking the lives of the eight of us to save one guy."
410,Twenty degrees.
411,Anybody wanna answer that?
412,"Reiben, think about the poor bastard's mother."
413,"Hey, doc. I got a mother, all right?"
414,"I mean, you got a mother."
415,Sarge has got a mother.
416,"I mean, shit, I bet even the captain's got a mother."
417,"Well, maybe not the captain, but the rest of us got mothers."
418,"""Theirs not to reason why Theirs but to do and die"" What the fuck is that supposed to mean, Corporal, huh?"
419,We're all supposed to die. Is that it?
420,Upham's talking about our duty as soldiers.
421,"Yes, sir."
422,We all have orders we have to follow.
423,"And that supersedes everything, including your mothers."
424,"Yes, sir. Thank you, sir."
425,"Even if you think the mission's FUBAR, sir?"
426,Especially if you think the mission's FUBAR.
427,What's FUBAR?
428,"Oh, it's German. Yeah."
429,Never heard of that.
430,"Sir, I have an opinion on this matter."
431,"Well, by all means, share it with the squad."
432,"Well, from my way of thinking, sir, this entire mission is a serious misallocation of valuable military resources."
433,Yeah. Go on.
434,"Well, it seems to me, sir, that God gave me a special gift, made me a fine instrument of warfare."
435,"Reiben, pay attention."
436,"Now, this is the way to gripe!"
437,"Continue, Jackson."
438,"Well, what I mean by that, sir, is if you was to put me and this here sniper rifle anywhere, up to and including one mile ofAdolf Hitler with a clear line of sight, sir..."
439,"Pack your bags, fellas."
440,War's over. Amen.
441,"Oh, that's brilliant, bumpkin."
442,"So, Captain, what about you?"
443,"I mean, you don't gripe at all?"
444,"I don't gripe to you, Reiben."
445,I'm a captain.
446,There's a chain of command.
447,"Gripes go up, not down. Always up."
448,"You gripe to me, I gripe to my superior officers, so on, so on and so on."
449,I don't gripe to you.
450,I don't gripe in front of you.
451,You should know that as a Ranger.
452,"I'm sorry, sir, but..."
453,"Let's say you weren't a captain, or maybe I was a major."
454,What would you say then?
455,"Well, in that case, I'd say this is an excellent mission, sir, with an extremely valuable objective, sir, worthy of my best efforts, sir."
456,"Moreover, I feel heartfelt sorrow for the mother of Private James Ryan, and am willing to lay down my life and the lives of my men, especially you, Reiben, to ease her suffering."
457,He's good.
458,I love him.
459,Right.
460,Thunder!
461,Flash!
462,"Upham, over there. Reiben, you four go."
463,"Go, go, go, go, go!"
464,You guys are a sight for sore eyes.
465,"Sergeant Hill, our relief showed up."
466,How many are you?
467,Just eight of us.
468,We're not your relief. Sorry.
469,"You're not the relief, what do you mean, sir?"
470,We're here for a Private Ryan.
471,Who? Ryan? What for?
472,Is he here?
473,"Well, I don't know."
474,Maybe with a mixed unit on the other side of town.
475,"It's hard to get to. The Germans punched a hole in our centre a few hours ago, they cut us right in two."
476,What's his name again?
477,Ryan. James Ryan.
478,He dropped in with 101st.
479,"Goldman, get me a runner up here."
480,Runner!
481,Come on.
482,"Jonesy, make a hole up there!"
483,We got stopped by some intense rifle action from the eastward.
484,The Germans have been reinforcing two regiments all day.
485,The streets have been quiet for about 45 minutes.
486,Most of the German fire now is concentrated to the westward.
487,Who's that on the loudspeaker?
488,"That? That's Dagwood Dusseldorf, our friendly neighbourhood morale officer."
489,The Statue of Liberty is kaput.
490,"""The Statue of Liberty is kaput."" ...kaput."
491,That's disconcerting.
492,Take the second left...
493,"Your father was circumcised by my rabbi, you prick!"
494,"Private Ryan, James, probably misdropped with the 101 ."
495,Got that?
496,Cover!
497,Go!
498,You sadistic fucking animals!
499,Get down.
500,They know we're not in direct contact.
501,They're gonna single out the runners.
502,Yeah. Why do they keep shooting him up like that?
503,"Long as his lungs have breath in them, he still carries the message."
504,We'd do the same thing.
505,"No, we wouldn't!"
506,Wade! Get them ready to travel.
507,"Yes, sir."
508,Boyd!
509,Come on!
510,Try again. See if you can let Captain Hamill know we're coming.
511,What's the rest of Neuville look like?
512,"Next block's got twostorey buildings, both sides of the street."
513,There's a lot of windows.
514,...copy? Over.
515,And then there's a wide open square with pretty good cover on the left.
516,Show me.
517,"Sarge, hold right here."
518,"Yes, sir!"
519,All right. Let's stay out of this enfilade and use the buildings.
520,Try a left hook.
521,"Shoot and scoot, two of yours, two of mine."
522,"Hastings, Goldman, up front!"
523,"Reiben, Caparzo. Fundamentals."
524,They're still jamming us.
525,Short runs. High and low at the corners.
526,It's gonna be tight.
527,Be prepared for close contact.
528,Go. Upham.
