,dialog
0,"How old are you now, Scott? Like, 28?"
1,"I'm not playing your little games, kids."
2,"So, you've been out of high school for, like, 13 years."
3,I'm 22. Twentytwo.
4,And you're dating a highschool girl.
5,"Not bad, not bad."
6,"Thank you, thank you."
7,"So, did you guys, like, you know, do it yet?"
8,We have done many things.
9,We ride the bus together.
10,"And we have meaningful conversations about how yearbook club went and about her friends and, you know, drama."
11,Have you even kissed her?
12,"We almost held hands once, but then she got embarrassed."
13,"Well, aren't you pleased as punch."
14,I don't know what you're talking about.
15,"So, what's her name?"
16,Knives Chau.
17,She's Chinese.
18,Wicked.
19,"So, when do we get to meet her?"
20,"Oh, please, let it be soon."
21,That's for me.
22,Hi.
23,You promise to be good?
24,Of course I'll be good.
25,"Seriously, please be good."
26,Am I normally not?
27,"Hey, Knives, this is Stephen Stills."
28,He's the talent.
29,Hey.
30,Is she gonna geek out on us?
31,"She'll just sit in the corner, man."
32,"I mean, I want her to geek out on us."
33,She'll geek. She geeks.
34,She has the capacity to geek.
35,Okay.
36,You're good.
37,Wow.
38,"Here, let me get your coat."
39,Hi.
40,"Knives, that's Kim."
41,"Sorry, what was your name?"
42,Kim.
43,And you play the drums?
44,Yes.
45,That is so awesome.
46,"Knives, that's Young Neil."
47,Hi.
48,What do you play?
49,"Wow, Zelda, Tetris."
50,That's kind of a big question.
51,"Okay, let's start with Launchpad McQuack."
52,That's not the actual title of the...
53,We are Sex BobOmb!
54,"One, two, three, four!"
55,"Yeah, yeah Yeah, yeah Laminate the stasis Mama, mama serpentine I got a breathalyzer And my body's clean Yeah! Yeah!"
56,Thank you!
57,"Get ready Yeah Yeah, yeah Yeah, yeah, yeah, yeah Yeah!"
58,You guys are so amazing.
59,She seems nice.
60,Yeah.
61,"Yeah, she seems awesome."
62,Yeah.
63,"Scott, if your life had a face, I would punch it."
64,"Yeah. Wait, what?"
65,"I mean, are you really happy or are you really evil?"
66,"Like, do I have ulterior motives or something?"
67,"I'm offended, Kim."
68,"Wounded, even?"
69,"Hurt, Kim."
70,You? Hurt?
71,"Neil, you were saying about ""she seems awesome."" Yeah, she seems awesome."
72,Yeah.
73,"Before you hear some dirty lies from someone else, yes, I'm dating a 17yearold."
74,"Oh, is he cute?"
75,Does this mean we have to stop sleeping together?
76,You see another bed in here?
77,Yeah. You're totally my bitch forever.
78,"So, the whole 17yearold thing, don't tell too many people."
79,"Hey, you know me."
80,"I mean, don't tell my sister."
81,You know me.
82,Who are you texting?
83,Seventeen years old?
84,Scandal!
85,That's not true.
86,Who told you?
87,Wallace. Duh.
88,That gossipy bitch.
89,You know me.
90,Wallace!
91,Who is this mystery child you date?
92,Her name's Knives Chau.
93,She's Chinese.
94,A 17yearold Chinese schoolgirl?
95,You're ridiculous.
96,"It's a Catholic school, too."
97,With the uniform and everything?
98,Yeah.
99,The whole deal.
100,"Oh, my God."
101,You guys haven't...
102,"No, no, no, no."
103,We haven't even held hands yet.
104,I think she hugged me once.
105,"Scott, why are you doing this?"
106,"I don't know. It's just nice, you know? It's just simple."
107,It's been over a year since you got dumped by SheWhoWillNotBeNamed.
108,So...
109,Are you legitimately moving on or is this just you being insane?
110,Can I get back to you on that?
111,I do not wanna be here at all.
112,"This school has boys, too."
113,I hate you. Even I would think twice about dating a 17yearold.
114,"Well, she's only allowed out when the sun is up, so I wouldn't call it dating."
115,It's more like... Playtime?
116,"That doesn't sound so good, either. No."
117,Scott!
118,"Hey, Knives."
119,"This is my cool, gay roommate, Wallace Wells."
120,Hi.
121,He's gay.
