,dialog
0,Don't move!
1,FBI! Don't move!
2,Get down! Get down!
3,Where are the hostages?
4,Where are the hostages?
5," FBI, Police! Don't move!"
6, Down! Stay down!
7,Cross your legs!
8,Cross your legs and put your hands in the air!
9,Police! Don't move!
10,Police! Don't move!
11,Get down! Get down!
12, Clear!
13, Police! Search warrant. Don't move!
14, Steppin' out!
15," Police, don't move!"
16,"Police, don't move! Search warrant!"
17,FBI!
18,Are you hit?
19,I'm good.
20,Fuck!
21,"Front room, clear!"
22,Team leader! Status?
23, Front clear!
24," We're clear, ma'am!"
25,Two suspects in custody!
26," You okay, Macer?"
27, Yeah.
28,Why'd he shoot? There's no one here.
29,Whoa.
30,What the fuck?
31,Jesus!
32,Those weren't our hostages.
33,No. That was something else.
34, Macer?
35, Yeah?
36,U.S. Attorney wants a statement.
37,What do you want me to say to her?
38,The truth.
39,Looks like Sonora...
40,Yeah.
41,How many total?
42,"We've got 15 in this hall here, about 20 in the back bedroom."
43,We haven't even checked the attic or under the crawl space.
44,"Call DOJ, let 'em know what we have."
45,This one of the houses owned by Manuel Diaz?
46,"No way to connect him, but he owns it."
47,Jesus Christ.
48,"Reg, step out. It's okay."
49,Vickers! I need bolt cutters!
50,Vickers!
51,PD found something.
52,Relax.
53,Relax.
54,Such a heavy body count this close to Phoenix is without a doubt a major escalation for the cartels.
55,There will be pressure in Washington to explain how such a dramatic outrage could happen so deep inside the American heartland.
56,"We may be talking about the victims of a turf war or maybe some illegal immigrants who are tied to a ransom, but it will be some weeks before we have a clearer picture on who the victims..."
57,What's goin' on?
58,I have no idea.
59,She's been leading our kidnap response team for three years.
60,"Put her through the grinder since she got here, and she hasn't blinked."
61,She's in the front line.
62,Nobody's gonna be happier than Kate to see these guys go down.
63,So she's a thumper.
64,Today was her fifth O.I.S.
65,She never worked cases?
66,Been kicking doors since day one.
67,I like her already. What about the partner?
68,He seen any action?
69,He's only been with us 18 months.
70,What's his background?
71,He's a sharp kid.
72,"ROTC scholarship to Maryland, did a tour in Iraq, got his law degree from UNC."
73,"He's green, but he's good."
74,No lawyers on this train.
75,Just give me the girl.
76,"We did this by the book, right?"
77,"Come on, of course."
78, Jesus.
79, What?
80,"Oh, shit."
81,"Would you step in here, Kate?"
82,"Quite a find today, the loss of two officers notwithstanding."
83,"Yes, sir."
84,How familiar are you with Manuel Diaz's operation?
85,"His company, Sun Oasis, has 80 or so foreclosure properties."
86,He has other legitimate businesses. Um...
87,But he's rumored to be linked with one of the Mexican cartels.
88,Manuel Diaz works for the Sonora Cartel.
89,He's most likely their senior member in the United States.
90,What do you know about his brother?
91,I wasn't aware he had one.
92,Guillermo. His brother's name is Guillermo.
93,Do you know anything about his cousin?
94,I didn't know he had one of those either.
95,None of that is in his file.
96,His cousin is Fausto Alarcon.
97,I don't know who that is.
98,No one does. He's off the grid.
99,He's number three in the Sonora Cartel.
100,"This is not my department, sir."
101,"Like I said, Agent Macer doesn't work narcotics."
102,She runs a kidnap response team.
103,Are you married?
104,Am I married?
105,Do you have a husband?
106,Divorced.
107,Kids?
108,No.
109,Anything else?
110,"No. Thanks, Kate."
111,"If you could wait outside, please."
112, Well?
113, I have no clue.
114,Who are those people?
115,You know?
116,No idea.
117,"Thanks for coming in, guys."
118,"Will you come back in, Kate?"
119,DOJ wants advisors that focus on cartels involved in pursuing Mr. Diaz.
120,This is Matt Graver.
121,He'll be leading the team.
122,Isn't this Phoenix homicide now?
123,"No, we're expanding the scope of the investigation a bit."
124,You'll act as a liaison.
125,What does that mean?
126,"They need an agent with tactical experience, like you."
127,State Department is pulling an agent from the field that specializes in responding to escalated cartel activity.
128,You'll be part of the team.
129,"You'll meet up with them at Luke, uh, tomorrow?"
130,Day after. Early.
131,Air Force Base?
132,"Yeah, we're gonna go see Guillermo."
133,Diaz's brother?
134,That's the one.
135,Where is he?
136,"Uh, he's in the El Paso area."
137,What's our objective?
138,To dramatically overreact.
139,"Kate, you must volunteer for an interagency task force."
140,Think very hard before you respond.
141,You wanna be a part of this?
142,Do we get an opportunity at the men responsible for today?
143,"The men who were really responsible for today, yeah."
144,I'll volunteer.
145,Papa!
146,Hmm.
147,SÃ­.
148,No.
149,You keep an eye on that doughy prick with the flipflops.
150,Don't trust him.
151,"How you doin', sir?"
152,I.D.'s?
153,"She's on the list, but you're not."
154,"Well, what's she supposed to do?"
155,I need you to turn this around for me.
156,It's fine. It's good.
157,I'll call you when we're headed back.
158,All right.
159, Morning.
160, Morning. Am I late?
161,"No, no, no. We just landed."
162,"Come on, this way."
163,"My bird dog over there, Alejandro."
164,Are we taking this?
165,Yeah. Only the best for you.
166,DOD flies you around in private jets now?
167,Yeah. You guys don't have one of these?
168,Right.
169,Is there any food on this flight?
170,"Uh, there's some bitchin' peanuts in the back."
171,But it's kind of a selfserve deal.
172,Kate Macer.
173,Have you been to JuÃ¡rez before?
174,Uh...
175,"No, I... We're goin' to El Paso, right?"
176,"Yeah, amazing. Okay."
177,Are you okay?
178,Yeah. I'm fine.
179,"So, um..."
180,So this is your specialty?
181,Hmm?
182,The cartels in Mexico are your specialty?
183,Yeah. Yeah.
184,Is there anything I should know?
185,"Uh, you're asking me how a watch works."
186,"For now, let's just keep an eye on the time."
187,Okay.
188,How you doin'?
189,Howdy! How you been?
190,"Good, buddy. How you feelin'?"
191,"Well, when I pee, it burns."
192,Maybe it's gonorrhea.
193,What color is it?
194,Yellow with red specks.
195,Red specks or blood?
196,I'm tryin' to get DOD to let me look into this conspiracy to sink Fiji.
197, Fiji?
198, Yeah.
199,"Leave Fiji alone, terrorists!"
200,Yeah. Exactly.
201,"I figure a month or two over there, we'll get it all worked out."
202,So who's goin' over there today?
203,"Marshals, DEA..."
204,"I pulled a team for you, Matt."
205,"Oh, man, I love it when you say ""a team."" it makes me all warm and fuzzy."
206,"Oh, they're a crack bunch, too."
207,Just rotated back from Afghanistan.
208,Wow. Where's everybody linking up?
209,A.I.C.
210,"Good, good, good."
211,"Mexican Federal Police will meet you at the border and proceed with you to the courthouse, located here."
212,This is a highlevel target.
213,The most likely spots for an attempt will be at the exchange and at the border crossing on the return.
214,The Marshals will enter...
215,"Kevin, Keith, you wanna stand up?"
216,"Now, the Marshals' response team is in Laredo..."
217,Love Texans.
218,So our friends from Delta have volunteered to come along and will escort the Marshals on the exchange.
219,And here's the man of the hour.
220,You comin' with or waitin' here?
221,We'll take the tour with you.
222,Loan us a couple pop guns.
223,"All right, this is turning into an allstar affair!"
224,"Keith, you want another hand on the exchange?"
225,You sober?
226,Will be by the time we get there.
227,Got a bottle in the truck in case your hands get shaky.
228,"I know I could always count on you, Keith."
229,"All right, we'll gear you up as soon as we're done here."
230,"Now, Matt, you can be the tip of the spear, and we don't have to rob a guy from Delta."
231,"Now, be careful on the turnaround."
232,"If the Federale's a shooter, it's gonna happen on the turnaround."
233,Delta's Team One will be the lead vehicle.
234,We can divide Team Two between the carry car and the trail vehicle. That okay?
235,"Good. Now, Delta, if you can identify yourselves so everyone knows who to hide behind if shit hits the fan."
236,The most likely spot for a hit will be at the border crossing on the return.
237,"Anywhere along the way, anyone not in this room is a potential shooter."
238,The op isn't over until we get back here.
239,Okay?
240,Be alert. Be vigilant.
241,And be aware. Let's go.
242,What?
243,Hey! I thought you were in prison.
244,They took me out.
245,They needed somebody for this job.
246,For good behavior or bad behavior?
247,Have you ever been over there?
248,I worked in JuÃ¡rez.
249,For the DEA?
250,No.
251,For who?
252,For Mexico.
253,I was a prosecutor.
254,You're not American?
255,No.
256,Who do you work for now?
257,"Oh, I go where I'm sent."
258,Where were you sent from?
259,Cartagena.
260,Colombia.
261,Listen...
262,Nothing will make sense to your American ears.
263,And you will doubt everything that we do.
264,"But in the end, you will understand."
265,"Here, try this on. See if it fits."
266,Is he CIA? Are you?
267,"He's a DOD advisor, just like me."
268,"No, he's not."
269,"Just pay attention to Alejandro and if he says to do somethin', just do it."
270,I'm not authorized to follow orders from Alejandro!
271,Especially in Mexico!
272,Fine. Then stay here.
273,"But you don't want to, do you?"
274,I just wanna know what I'm getting into.
275,"Kate, you volunteered to get on this train because you know you're doing nothing in Phoenix."
276,"Yeah, you're just sweeping up a fucking mess."
277,"In six months, every single house you raid will be rigged with explosives."
278,Do you want to find the guys responsible?
279,Yes or no?
280,Yes.
281, Yes?
282, Yes!
283,This is where we start.
284,Try it on.
285,There she is.
286,The beast.
287,JuÃ¡rez.
288,"You know, went to visit President Diaz."
289,"Took 4,000 men with him."
290,And it almost was called off.
291,Some guy had a pistol.
292,Was gonna walk right up to Taft and just blow his brains out.
293,"But it was avoided. 4,000 troops!"
294,Think he felt safe?
295,Welcome to JuÃ¡rez.
296,It's brilliant what they do.
297,"When they mutilate a body like that, they make people think they must have been involved, they must have deserved such a death 'cause they did something."
298,"Oh, it's brilliant what they do."
299,You hear that?
300,Those aren't firecrackers.
301,Mexicans are adjusting our route.
302,"There's activity ahead, we need to go around."
303,Everyone hold on.
304,Nothing will happen here.
305,"They try anything, it will be at the border."
306,Keep an eye out for the State Police.
307,They're not always the good guys.
308,"Spotter vehicle, left lane. Left lane!"
309,"Spotter vehicle, nine o'clock."
310,I'm gettin' a boner.
311,Is that one of ours?
312,"Watch the right, watch the right."
313,"No, that's a lone wolf."
314,Eyes on rooftops.
315,Nothing.
316,Rooftops clear.
317,Bridge is one klick out.
318,"Road is clear. Hotfoot it, gentlemen."
319,Everyone stay in this lane.
320,Our agents at the border are waving traffic through to get us over as quickly as they can.
321,Everyone stay frosty.
322,"Okay, it's a fuckup."
323,What are we gonna do now?
324,"Here's the deal, a car broke down up ahead."
325,"It's being sorted out, but it's gonna take a while. Stand by."
326,Get your service weapon out.
327,"Red Impala, two lanes over, on my ten."
328,"Copy that. Red Impala, two lanes left."
329,Roger that.
330,Three lanes left. Seven o'clock.
331,Green Civic.
332,Bring your window down.
333,Gun.
334,Gun. Gun left!
335,What are the rules here?
336,We must be engaged to engage.
337,Permission to get out of the vehicle and set a perimeter?
338,Stay in your vehicle.
339,You can do what they do.
340,"If they get out, you get out."
341,Get ready.
342,They can see our lane clearing.
343,"If it's coming, it's coming now."
344, Move!
345," Wait, wait, wait."
346,Get outta the car.
347,Jesus Christ!
348,Don't move! CÃ¡lmate!
349,"No, no, no, no!"
350,What the fuck are we doing?
351,Fuck!
352,Lane's clear! The lane's clear!
353,Don't look at me!
354,Put your hands behind your head! Go!
355,Hands behind your head!
356, All clear!
357, I got this!
358,"Go, go, go!"
359,"Move, move, move!"
360,This is gonna be on the front page of every newspaper in America.
361,"No, it won't."
362,It won't even make the papers in El Paso.
363,Clear!
364,Come here.
365,"Got a little nutty, huh?"
366,Nutty? Yeah.
367,"Yeah, that was fucking illegal."
368,You wanna start a war?
369,You're a fucking spook!
370,"And him! I mean, who the fuck is that?"
371,"Told you, you could stay here."
372,Jesus Christ. Jesus Christ.
373,You just spray bullets at...
374,"Yeah, sure there's just fucking civilians everywhere."
375,I'm not a soldier! This is not what I do!
376,"Whoa! Don't sell yourself short, all right?"
377,The reason Reggie's home is I know he wasn't ready for this.
378,"But he better get ready real quick because this is the future, Kate!"
379,JuÃ¡rez is what happens when they dig in.
380,This is it!
381,What am I doing here?
382,What you're doing here is you're giving us the opportunity to shake the tree and create chaos.
383,That's what this is!
384,"In the meantime, just sponge everything up you see."
385,Learn! That's why you're here.
386,Guillermo...
387,"You're giving him a belly full of water, you devil."
388,"You didn't think we'd get you here, did you?"
389,No hablo InglÃ©s.
390,No hablo InglÃ©s?
391,I love it when they no hablo InglÃ©s.
392,"You know, I brought an old buddy of yours."
393,I bet you hablo to him. Yeah.
394,I didn't know ghosts got thirsty.
395,I know someone kept him alive for us.
396,I doubt it was easy.
397,What's easy these days?
398,I'm sorry about what happened on the return.
399,I control only what I can.
400,It's not your fault.
401,SÃ­.
402,There's rumors of a tunnel.
403,Fausto's main road into Arizona.
404,"If you're doing what I think you're doing, that's the best place to cross."
405,If you can find it.
406,But time is against you.
407,"In three days, nobody will be where they are today."
408,Shall we?
409,"No, it's better if you don't."
410,"Something happens in that room, it's easier to say you didn't see anything."
411,"Aw, Alejandro, I think he remembers you."
412,I'm gonna step out.
413,Timmy.
414,What do you keep lookin' at me for?
415,"No hablo InglÃ©s, remember?"
416,"No, no."
417,Can I have one of those?
418,Thank you.
419, You like fireworks?
420, Huh?
421,Wanna see something cool?
422,Come on.
423,Here we go.
424,Look right there.
425,Unbelievable.
426,That's what happens when you chop the head off a chicken.
427,Yeah.
428,I can see.
429,Can you get 'em all in one place?
430,We just landed back in Phoenix.
431,"I'm on a clock, I can't wait."
432,"All right, look, contact Bob Fisks."
433,Have him hold 'em in the staging area.
434,Yeah. How long does it take to get to Tucson?
435,"Um, from here it's a little over two hours."
436,All right.
437,We'll be there around 2:00. Yeah.
438,Are we going to Tucson?
439,"Yeah, you gotta learn how to sleep on a plane."
440,"They let me on the base when you need a ride, don't they?"
441,You okay?
442, She's fine.
443, I didn't ask you.
444,And yet I answered.
445,"Kate, who's that?"
446,We're goin' to Tucson.
447,"What's the deal, Matt?"
448,Why you holdin' up my transport?
449,"Don't worry, Bob. We'll be quick."
450,"How's the auditor gonna react to an $8,000 check to fuckin' Domino's Pizza?"
451,"Don't be so dramatic, okay?"
452,This is Kate Macer with the FBI.
453,"This is her partner, what'shisname."
454,It was her call.
455,"Yeah, it wasn't my call."
456,Have you got another one of those?
457,Finish it before you get up there.
458,No problem.
459,"Hey, Kate."
460,Tell me what happened in El Paso.
461,We weren't in El Paso. We were in Mexico.
462,I guess we're not following any procedures.
463,What do you wanna do?
464,We want to talk to the people caught around the Nogales area.
465,Okay. That group.
466,This group here. And that group.
467,Okay. They stay and the rest can go.
468,Josef!
469,On the bus. Ãndale.
470,What are we looking for?
471,Just keep watching.
472, In Arizona.
473, Arizona.
474,SÃ­.
475,No?
476, Arizona.
477, Arizona...
478,Talk to me. What are we doing?
479,I don't have any answers for you.
480,"Let's get some, then."
481,Do you think I haven't asked these questions?
482,Do you think you can do better?
483, Yeah.
484, Go ahead.
485,"Matt, can we talk for a minute?"
486,What's up?
487,Everything okay?
488,You look very serious.
489,"There's ""in the dark"" and there's the way you're treating us."
490,"I want to know the objective or I walk, period."
491,Then go. I didn't ask you to be here.
492,She did.
493,"I walk, too."
494, What do you wanna know?
495, Everything.
496,Fuckin' lawyers.
497,All right.
498,"Guillermo told us about a tunnel east of Nogales, near Sasabe."
499,Now we're tryin' to find out what areas near there migrants avoid so we can find the tunnel.
500,That better?
501,And Guillermo is...
502,"Guillermo, he just told you where the drug tunnel is?"
503,He just told you?
504,Guillermo didn't have any other options.
505,"We send him back across the border, he's a dead man."
506,"Now he gets to spend the next 30 years in an American prison, In relative safety."
507,"Just tell us the truth, man."
508,We are gonna make enough noise that Manuel Diaz is called back to Mexico to see his boss.
509,That's the truth.
510,And then?
511,And then we know where his boss is.
512,His name is Fausto Alarcon. El Verdugo.
513,"Every day across that border, people are kidnapped or killed by his hand or with his blessing."
514,To find him would be like discovering a vaccine.
515,You understand the value of that.
516,"All right, we're good."
517,Just don't keep us in the dark.
518,Great!
519,You afraid of the dark?
520,Hey!
521,It's been a humdinger of a day.
522,Go home. Get some rest.
523,We'll find our own ride.
524,We'll see you tomorrow!
525,I just drove a hundred fucking miles.
526,"It's a fucking blessing, trust me."
527,Got you smokin' again?
528,Yeah.
529,Who the fuck's Guillermo?
530,"Gotta get you a new bra, woman."
531,The list of things I need.
532,"I'm just saying, you know."
533,Some nice lacy somethin'.
534,"It's been a while since someone's seen me in a bra, except you."
535,"Oh, God, don't look at me like that."
536,I don't want your pity.
537,How was seeing Evan the other day?
538,I don't know...
539, Miss him?
540, Ask me something else.
541,"You know, I used to see guys like Matt in Iraq."
542,Gotta be careful around these people.
543,CIA's not supposed to work this side of the fence.
544,He's a DOD advisor.
545,You really believe that?
546,"You need somebody watching your six, 'cause I promise you they aren't."
547,"You know, we're not even scratching the surface doing what we're doing."
548,And they are.
549,"Mmm. Well, you sure picked the motherfuckers to show us."
550,What's the password?
551,Moron.
552,This is our spot.
