,dialog
0,I was his friend.
1,And it will be a very long time before someone inspires us the way he did.
2,I believed in Harvey Dent.
3,"Dr. Pavel, I'm CIA."
4,He wasn't alone.
5," Uh, you don't get to bring friends."
6, They are not my friends.
7,"Don't worry, no charge for them."
8, And why would I want them?
9, They were trying to grab your prize.
10,They work for the mercenary.
11,The masked man.
12, Bane?
13, Aye.
14,Get them on board. I'll call it in.
15,The flight plan I just filed with the agency...
16,"...lists me, my men, Dr. Pavel here..."
17,...but only one of you!
18,First one to talk gets to stay on my aircraft!
19,Who paid you to grab Dr. Pavel?
20,He didn't fly so good!
21,Who wants to try next?
22,Tell me about Bane!
23,Why does he wear the mask?
24,A lot of loyalty for a hired gun!
25,"Well, perhaps he's wondering why someone would shoot a man..."
26,...before throwing him out of a plane.
27,At least you can talk.
28,Who are you?
29,It doesn't matter who we are.
30,What matters is our plan.
31,No one cared who I was till I put on the mask.
32,"If I pull that off, will you die?"
33,It would be extremely painful.
34,You're a big guy.
35,For you.
36,Was getting caught part of your plan?
37,Of course.
38,Dr. Pavel refused our offer in favor of yours.
39, We had to find out what he told you...
40, Nothing. I said nothing.
41,"Well, congratulations, you got yourself caught!"
42, Sir?
43, Now what's the next step of your master plan?
44,Crashing this plane...
45,...with no survivors.
46,"Mayday, Mayday!"
47,Aah! What you doing to me? Let me out!
48,No!
49,"No, no, no! No!"
50,"No! They expect one of us in the wreckage, brother."
51,Have we started the fire?
52,"Yes, the fire rises."
53,"Calm down, doctor."
54,Now is not the time for fear.
55,That comes later.
56,Harvey Dent Day may not be our oldest public holiday...
57,...but we're here tonight because it's one of the most important.
58,Harvey Dent's uncompromising stand against organized crime...
59,"...had made Gotham a safer place than it was at the time of his death, eight years ago."
60,This city has seen a historic turnaround.
61,"No city is without crime, but this city is without organized crime because the Dent Act..."
62,...gave law enforcement teeth in its fight against the mob.
63,Now people are talking about repealing the Dent Act...
64,"...and to them I say, ""Not on my watch."" I want to thank the Wayne Foundation for hosting this event."
65,I'm told Mr. Wayne couldn't be here tonight.
66,I'm sure he's with us in spirit.
67,And now I'm gonna give way to an important voice...
68,You ever lay eyes on Wayne at one of these things?
69,No one has. Not in years.
70,... people put their faith in a murderous thug in a mask and a cape.
71,A thug who showed his true nature...
72,...when he betrayed the trust of this great man...
73,...and murdered him in cold blood.
74,"Sweetheart, not so fast with the chow."
75, Shrimp balls?
76, Thank you.
77,Jim Gordon can tell you the truth about Harvey Dent. I'll let him tell you himself.
78,Commissioner Gordon.
79,The truth?
80,I have...
81,...written a speech...
82,...telling the truth about Harvey Dent.
83,Maybe the time isn't right.
84,Maybe right now...
85,...all you need to know is that there are...
86,...1000 inmates in Blackgate Prison as a direct result of the Dent Act.
87,"These are violent criminals, essential cogs in the organizedcrime machine."
88,"Maybe, for now, all I should say about the death of Harvey Dent is this: It has not been for nothing."
89, You see the guy who owns the house?
90, No. I heard...
91, ...he never leaves the east wing.
92, I heard he had an accident.
93," Yeah, that he's disfigured. He has to wear a..."
94, Mr. Till?
95,Why are your people using the main staircase?
96,And where's Mrs. Bolton?
97,"Uh, she's at the bar, sir. Can I help?"
98,The east drawing room.
99,"Unlock the door, put the tray on the table, lock the door again. Nothing more."
100,"I'm sorry, Miss Tate. I tried, but he won't see you."
101,And you mustn't take it personally.
102,Everyone knows that Wayne's holed up in there with 8inch nails...
103,...peeing into Mason jars.
104,It's very good of you to let me on the grounds.
105,Why are you wasting your time trying to talk to a man...
106,...who threw away your investment on some savetheworld vanity project?
107,He can't get your money back. I can.
108,"I could try explaining that a savetheworld project, vain or not..."
109,"...is worth investing in, Mr. Daggett."
110,But you understand only money and the power you think it buys...
111,...so why waste my time indeed?
112,Second shift reports in?
113,You should spend more time with the mayor.
114,"Well, that's your department."
