,dialog
0,CAPTIONING MADE POSSIBLE BY NEW LINE HOME VIDEO DEREK.
1,DEREK.
2,DEREK.
3,"FUCKING PERVERT, DAN."
4,"JESUS, DANNY, WHAT THE FUCK ARE YOU THINKING?"
5,THERE'S A BLACK GUY OUTSIDE.
6,HE'S BREAKING INTO YOUR CAR.
7,HOW LONG'S HE BEEN THERE?
8,I DON'T KNOW.
9,WHAT'S GOING ON?
10,"NOT RIGHT NOW, HONEY. HOW MANY?"
11,"DANNY, HOW MANY?"
12,"ONE, I THINK."
13,IS HE STRAPPED? HUH?
14,DOES HE HAVE A FUCKING GUN?
15,"MAN, I DON'T FUCKING KNOW."
16,WAIT A SECOND. WHAT THE FUCK IS GOING ON?
17,STAY RIGHT HERE JESUS! AND BE QUIET.
18,"WAIT A SECOND, DEREK. WAIT."
19,DEREK!
20,"SHH, SHH, SHH, SHH."
21,Stay right here.
22,AAH!
23,"Murray: I DON'T HAVE A PERSONAL PROBLEM WITH HIM, OK?"
24,"Sweeney: DON'T INSULT MY INTELLIGENCE, MURRAY."
25,"YOU HATE THIS CHILD, AND I THINK I KNOW WHY."
26,Woman: DR. SWEENEY'S OFFICE.
27,I WENT OUT WITH HIS MOTHER A FEW TIMES.
28,THAT WAS 3 YEARS AGO. IT WAS NOTHING.
29,NOTHING. REALLY? HMM.
30,"THAT PAPER... BOB, IT'S A TRAVESTY, ARGUING FOR HITLER AS A CIVIL RIGHTS HERO."
31,YOU'VE GOT TO DRAW THE LINE.
32,"YOU KNOW, MURRAY, YOU ACTUALLY DID THIS TO YOURSELF."
33,"YOU TOLD THEM THAT THEY COULD DO A REPORT ON ANY BOOK THAT RELATED TO THE STRUGGLE FOR CIVIL RIGHTS, IN PLAIN ENGLISH."
34,"I AM NOT DISPUTING THE FACT THAT THE CHILD IS CONFUSED, AND HE HARBORS SOME SICK IDEAS, BUT I AM NOT READY TO GIVE UP ON HIM YET."
35,HIS BROTHER PROBABLY PUT HIM UP TO IT.
36,I CAN GUARANTEE YOU 100% HIS BROTHER DID NOT PUT HIM UP TO THIS.
37,I FIND THAT HARD TO BELIEVE. WHATEVER.
38,"LOOK, I KNOW HE WAS A GOOD KID, AND IT'S A SHAME WHAT HE'S BEEN THROUGH, BUT THAT IS DANGEROUS."
39,DANGEROUS IN WHAT WAY?
40,THAT GOES TOO FAR.
41,"THIS RACIST PROPAGANDA, THIS MEIN KAMPF PSYCHOBABBL HE LEARNED THIS NONSENSE, MURRAY, AND HE CAN UNLEARN IT, TOO."
42,I WILL NOT GIVE UP ON THIS CHILD YET.
43,I KNEW IT WAS YOU.
44,"Sweeney: DANNY, GET IN HERE."
45,I SAID GET IN HERE!
46,GET IN HERE!
47,SHUT THE DOOR!
48,"WHAT'S IT GONNA BE, DANNY?"
49,WHAT'S WHAT GONNA BE?
50,THIS PETTY CRAP YOU'RE PULLING.
51,I DON'T KNOW.
52,HAVE A SEAT.
53,AHEM.
54,HOW ARE YOU DOING?
55,FINE.
56,THINGS AT HOME OK?
57,YEAH.
58,"DEREK GOT OUT THIS MORNING, DID HE NOT?"
59,"YEAH, HE DID."
60,HE WAS ONE OF MY STUDENTS.
61,"YOU KNEW THAT, RIGHT?"
62,HONORS ENGLISH.
63,HE WAS A BRILLIANT STUDENT...
64,LIKE YOU...
65,"BUT HE HUNG OUT WITH SIMPLEMINDED FOOLS, ALSO LIKE YOU."
66,"LOOK, SWEENEY, DID YOU BRING ME IN HERE TO TALK ABOUT DEREK?"
67,BECAUSE WHAT HAPPENED TO HIM HAS NOTHING TO DO WITH ME.
