,dialog
0,Em? Darlin'?
1,Get.
2,Kill me. Kill me.
3,"Now, don't you worry, girl."
4,I will accommodate you.
5,No!
6,I often ponder the depths of your loyalty.
7,Prove me wrong.
8,"Say your name, girl."
9,Say your name.
10,It brings me no joy to do this.
11,Silence!
12,You will speak only when I instruct you to speak.
13,"I am responsible for you now, and I will tame your savage ways."
14," Now, get up."
15," No, no!"
16,Come on.
17,"Say your name, girl."
18,Comply!
19,You've given me no choice.
20,"Now, please stand up for me."
21,"No, no, no!"
22,"No, no, no, no, no!"
23,Your friends are dead because of you.
24,"You know that, right?"
25,"Try to escape again, I'll drag you to the burn shed myself."
26,"Now, let's try this again."
27,"Say your name, girl."
28,Eden. Eden.
29,Say your name with pride and conviction!
30,Eden. My name is Eden.
31,"That's good, Eden. Real good."
32,"Everything will be all right now, and, uh..."
33,you can stop that cryin'.
34,Maybe I can get away for supper tomorrow.
35,You can make us a chicken.
36,Y'all seem easily distracted.
37,Why don't we break up this monotony and get y'all focused?
38,"Go on, sing us somethin'."
39,Perhaps one of those old Negro tunes.
40,We need to move.
41,These fuckers is crazy.
42,"Next time, I won't be so generous."
43,Back to work. All of you!
44,Let the sound of Confederate victory bring joy to your labor.
45," Milk, chicken."
46, We must try again.
47, Get down. Get down!
48, Get off there. Come on.
49, Get off the wagon.
50, Move! Get out of here!
51,What you lookin' at?
52,Line up. Come on!
53,Hurry!
54,Line up! Get over there.
55,"Eden! Get your ass down here, girl!"
56,Separate yourself. Turn.
57,Mmhmm.
58,Look at her hair.
59,Quite a beauty.
60,"Shall we name her, child?"
61,Mm... Let's name her Julia.
62,Hmm.
63,You hear that?
64,Those are worker hands.
65,You're dismissed.
66,Well...
67,"Welcome home, one and all."
68,"Now, listen up! All of you."
69,This here is a reformer plantation commandeered by the Ninth Infantry of the Confederate Army of the 13 states.
70,"Wherever you were before, whatever small freedoms you might have enjoyed, I'm here to tell you, that's over."
71,I don't tolerate any backtalk whatsoever from inferiors.
72,"In fact, on this plantation, you will only speak when given permission to do so."
73,That means...
74,absolutely no talking among yourselves unless one of the white folk on property...
75,...gives you permission to do so.
76,If you do...
77,"Oh, we will know about it."
78,"Over here, you will find your cabins."
79,"You will also be given instructions by one of the overseers as to your daily duties, which ought to be followed obediently..."
80,and with a smile.
81,"Here, we whistle while we work."
82,"Ain't that right, Eli?"
83,"Raise the flag, Corporal."
84,The general will be home this evening.
85, You're dismissed.
86, Get.
87,"Go on. Walk, now."
88,"Get on. Let's go, move."
89," Hey, what is this?"
90, Quiet!
91,"Go, now!"
92,Mm. You started early.
93,When?
94,How many...
95,Get in here.
96,"You're from Virginia, right?"
97,I'm from North Carolina.
98,"Look, I can't do this."
99,"Whatever you're doin', I can't do it."
100,Listen to me.
101,"Wherever you came from before here,  you need to forget about it."
102, Mmmm.
103,That is not possible for me.
104,What are we doin'?
105,Huh? What is the plan?
106,You think I haven't tried?
107,We must choose our moment wisely.
108,"But until then, we keep our heads down and our mouths shut."
109,Do you understand me?
110,I know you.
111,And I know that you are my only way out of here.
112,I'm pregnant.
113,I need you to listen to me.
114,You have to keep quiet.
115,These white people will kill you.
116,"Oh, you think being quiet is being strong, huh?"
117,What has that ever gotten us?
118,You ain't no leader.
119,You're just a talker.
120,"Ain't that right, huh?"
121,You... Hey!
122,"What, you just a coward nigger slave with a brand and no backbone?"
123,Blood and soil.
124,Blood and soil. Blood and soil...
125,As you were.
126,"First, I want to congratulate you on our defeat of the Yanks at Milliken's."
127,This is what victory looks like!
128,"We got those bluebellied bastards on their heels, Washington in our sights."
129,But we must never relent.
130,We are descendants of the gods and we will fight with the same immeasurable courage and vigor.
131,We will sacrifice our blood and fertilize this soil of our homeland.
132,"This is the only hope we have of retaining our heritage, our way of life."
133,This land was always ours.
134,It is our rightful inheritance.
135,"And, rest assured, our nationalist state will not be stolen from us by these traitors to America."
136,I have faith in this because I have faith in you.
137,You all are the future.
138,And it is you who will lead us all to the ultimate victory.
139,"But for tonight, let us put away our troubles."
140,Drink and be merry.
141,You've earned it. All of you.
142,"And, by the way, these Sapphires are here to fulfill your every need, whatever those needs may be."
143, Faith! Family! Folk!
144, Faith! Family! Folk!
145,As you were.
146,"So, which one of these girls do you like?"
147, What?
148, Which one of these girls do you like?
149,"Hey, angel."
150,"Yeah, you."
151,Come here. I don't bite.
152,Come on.
153,My compadre here was just telling me he thinks you're real pretty.
154,"No, man. No."
155,"What, you don't think she's pretty? Hmm?"
156,"No, I mean..."
157,"Yeah, of course I do."
158,"Well, then. She ain't gonna say no. Hmm?"
159,Talk to her.
160,You're in charge here.
161,Um...
162,"Uh... I, um..."
163,"Well, I..."
164,"Oh, just..."
165,Fuck's sake.
166,He will meet you at your cabin immediately following dinner service.
167,You're dismissed as of this moment.
168,"Now, go and prepare for your corporal."
169,"What's that, girl?"
170,Yes...
171,sir.
172,That's more like it.
173,"Go on, now. Go."
174,"Well, you enjoy, all right?"
175,I'm going around back to the whipping post.
176,If I may?
177, I never got your name.
178, Daniel. Um...
179,It'sit's Daniel.
180,"Well, thank you, Daniel."
181,For earlier.
182,You said that I was pretty.
183,Of course you are.
184,Anyone can see that.
185,"It's, um..."
186,It's just been such a long time since any man has been nice to me.
187,I appreciate the compliment is all.
188,How'd you get to be so sweet?
189,"Look, you don't..."
190,You don't have to do this.
191,I can tell that you're special.
192,You're not like the others.
193,Those monsters.
194,Why'd you speak to me?
195,"You mean, when your friend called me over before?"
196,No. Why'd you speak to me when I entered the room just now?
197,Uh...
198,I just thought we should have a proper introduction.
199,"You have a short memory, then."
200,You heard Commander Jasper.
201,You speak only when given permission to do so.
202, Is that not right?
203," Yes, sir. Uh..."
204,"I mean, Daniel."
205,"No. It's ""sir""!"
206,You don't know shit!
207,You don't know shit!
208,Okay.
209,I'm as much a Confederate as any man here.
210,"Because I don't wanna sleep with no filthy fucking mongrel instead of my own kind, that don't make me no..."
211,I'm... I'm a patriot!
212,You understand me?
213,Shut the fuck up!
214,Shut up!
215,You're lucky I don't tell Jasper.
216,You better make him believe I had my way with you if you know what's good for you.
217,You understand me?
218,Get off of me.
219,Uh...
220,I'm so...
221,"Well, you're forgiven your tardiness, this time."
222,"Don't make it a habit, or the stocks will be waitin'."
223,Are you okay?
224,Please...
225,I know. Be patient.
226,Just keep goin'.
227,We have to keep goin'.
228,"Oh, no!"
229,"No! No, no, no!"
230,No!
231," Oh, no! No!"
232, It's okay.
233,It's not okay!
234,Cracker!
235,"The fuck you just say, boy?"
236,"Oh, I'm gonna be right back for you."
237,Hyah.
238, What the fuck is the issue?
239," She's sick, sir."
240,"Oh, no..."
241,Oh... Go on. Go get yourself cleaned up.
242,May I go with her?
243,She can handle herself. Get back to work.
244,Sir...
245,Oh.
246,"Fine. Go clean her up, get back here."
247,Take hold of him.
248,"It's okay, boy."
249,Now...
250,What was that you were sayin'...
251,boy?
252,Oh.
253,You missing your woman?
254,Give me an excuse.
255,Go on.
256,No.
257,"Why, that reminds me, the shed needs cleanin'."
258,Too many foolish Negroes with rebellious hearts.
259,"Yeah. Go get that cleaned up, boy."
260,That should stop you flappin' them gums.
261,Yes...
262,sir.
263,"Yes, sir."
264,"Go on, get."
265,Crackerass cracker.
266,"Sweet dreams, Eden."
267," Good morning, Steph."
268," Good morning, V."
269,Just making sure you're ready for your flight.
270,"Skype is at 8:45, and the car will be there at 9:00."
271," Oh, shit. Okay. All right."
272, Okay.
273," Thanks, Steph. Bye."
274, Safe travels.
275,Another bad dream?
276,No. I'm... I'm okay.
277,Babe? Can you please do me a favor?
278,Anything.
279,Can you get Ken Ken dressed for me today?
280,Of course. Mmhmm.
281,"My first meeting is right here in Georgetown and it got pushed to 11:00 anyway, so..."
282,"Okay. Yeah, I don't know..."
283,how I'm gonna even be dressed before 9:00.
284, I got you. I got you.
285," Thank you, babe."
286,But would it be the worst thing in the world if you didn't make it?
287,Not today. Not today.
288,There she is.
289,My favorite girl.
290, Guess what?
291, What?
292,Daddy is gonna get you dressed for school today.
293,I know exactly what I want to wear.
294,You do?
295, Hurry up.
296," I'm comin', girl."
297,"She said ""Hurry,"" Daddy."
298," I'm hurryin', I'm hurryin'."
299, Hurry up.
300,You're gonna pull my arm off.
301,"Okay, okay, okay."
302,What you wearin' today?
303,"Well, look at you two."
304,Look at you.
305,Mommy loves that dress.
306,"Excellent choice, baby."
307,"Yeah, she picked it."
308," Hi, babe."
309, You stay trendin'.
310,Paused it for you.
311,I understand you think you are defending the plight of the black man.
312,"I guess, in your case, the black woman."
313,"But we are doing a disservice to the argument, much less your people, by conflating race with basic common sense."
314,I would say this.
315,"The disenfranchisement of black people in America is by design, written into the actual DNA of this country."
316,"Your argument, however flawed has been successfully promoted and propagated through repetition."
317,We hear it over and over again.
318,But I'm here to tell you that this vicious cycle of inequity will soon be broken.
319, Boom!
320, Boom!
321, Boom!
322, Boom!
323,Boom!
324,"Mommy, why was that man so angry?"
325,"Oh, baby, that is a really great question."
326,Sometimes what looks like anger is really just fear.
327,"Things are not always what they appear to be, baby. Does that make sense?"
328,Do you remember when Vanessa was bullying you at school?
329,She was pickin' on you?
330,And Mommy had to come up there because Vanessa thought that you were gonna come in class and take all of her toys away?
331,And now you two are like best friends.
332,"So, are you two friends yet?"
333,"Not yet, baby."
334,Mommy's working on it.
335,Pancake?
336,Pancake? On a Tuesday?
337,What is the special occasion?
338,"Well, I was informed it was pancakes or nothing, so, you know, we gotta pick our battles."
339,"Um, question, are we vegan this week?"
340,"Babe, the struggle is real."
341,"Got it. So, one nonvegan pancake coming up."
342,"Babe, no. I cannot."
343,Elizabeth?
344,Yes. Dr. Henley.
345,Hi. And please call me Veronica.
346, How are you this morning?
347," Oh, I'm fine."
348,That lipstick just looks lovely on you.
349,It suits your skin tone.
350,I don't think I could pull it off.
351,"So, do you have any questions for me?"
352,Howhow did you come across my work?
353,"Oh, I saw you on one of those legacy media networks."
354,I believe it was a roundtable discussion about inclusion.
355,You were so articulate.
356,It must have been a ratings bonanza.
357,Those particular segments do garner a lot of attention.
358,"I don't mean to be curt, but do you have any questions around the book?"
359,Oh. Your book.
360,"Yes, I believe you mentioned it on that show that you were on."
361,"As a matter of fact, I know you mentioned it."
362,'Cause I thought it was rather odd that you chose that moment to be peddlin' your wares.
363,"Well, actually, that particular segment focused on the lack of inclusion."
364,And that is exactly what my book highlights.
365,"Intersectionality of race, class, and gender."
366,I wrote Shedding the Coping Persona as a roadmap to revolution for historically marginalized people.
367,"Maybe I didn't catch this earlier, but who did you say you were with again?"
368,I didn't mention it.
369,I'm a bit of a talent scout.
370,Oh. So you're a headhunter.
371,That makes sense.
372,I'm a headhunter.
373,Exactly that.
374,Oh.
375,"Now, is that Kennedi?"
376,Will you move the camera over?
377,Oh. She's so cute.
378,She'll make a perfect little companion for my daughter.
379,I see a playdate in our future.
380,"As my assistant mentioned earlier, I am short on time this morning."
381,"Oh, no problem. I didn't mean to trigger you none."
382,"You have fun at your summit, and I'll see you soon."
383,Thank you so much. Thank you.
384, Who was that?
385," Oh, baby. It's nobody."
386,"Don't worry about that woman, okay?"
387,Okay.
388,That's my car.
389,I can't even imagine what y'all are about to get into.
390, Obviously.
391," Mommy, wait."
392, I'll call you. I love you.
393, I almost forgot. This is for you.
394,"Oh, baby."
395,This is for Mommy?
396,"Ken Ken, I'm putting this with all my important work."
397,"When you look in the sky and you see that big airplane, you'll know that's Mommy, comin' home to you."
398, Wow. That's a big head.
399, Daddy. Come on.
400,It's not that big.
401,And I'm gonna hang it on my wall in my hotel.
402,Yeah.
403, Daddy.
404, Yes?
405,Twenty minutes of screen time.
406,Okay.
407, I need you to be strong.
408, We got you.
409,Be good.
410,Mommy loves you. Come here.
411,Come here. Kiss.
412,Give Mommy all the kisses.
413, One minute.
