,dialog
0,A hundred and fifty million dollars and my dope is on the way.
1,Today is gonna be a good day.
2,"We are 25 degrees north, The cargo's being dropped."
3,Good.
4, Do you want to see his gun?
5, Yeah.
6,Bang. Bang.
7,"Sorry, Johnny."
8,Fucking bitches.
9,Infrared's got a live one on the water.
10,Air Force Stallion C14 to Coast Guard.
11,We've got a fastmoving contact heading 350 toward South Florida.
12,"Captain, Air Force Stallion has a contact at 180 closing fast."
13,This is Coast Guard cutter Valiant.
14,Request to know your intentions.
15,"Vessel off our port bow, this is U.S. Coast Guard."
16,"Intercept is 180, speed 17 knots."
17,"Make it so, chief. Scramble the helo."
18,Vessel off our port bow.
19,This is U.S. Coast Guard.
20,Request to know your intentions at this time.
21,Incoming.
22,"Valiant, Valiant."
23,This is Coast Guard 6003.
24,Negative contact with target. Over.
25,"Captain, we've lost target."
26,Here's your delivery and payment.
27,Is it done?
28, Cargo is on Dixie 7.
29, Okay.
30,"All right, TNT, for the millionth time, listen up."
31,"Since 911, we've gone hitech over water. Dope runners have gone low."
32,Our source says the biggest X shipment on record arrives tonight...
33,...and we want to know who's behind it.
34,Hopefully in a few hours we'll have our answer.
35,"We'll hit from three directions: We'll go in with a water team, vehicle assault and we got guys on foot."
36,We cannot make a move until our UCs have ID'd the drugs and called us in.
37,"No call, we back away."
38,And these guys we're going after...
39,...they got a lot of firepower and they hate the law. So eyes open out there.
40,Bravo's on the move.
41,Heads up. Here comes the drop.
42,Fuck. My lens is flaring.
43,I can't see shit.
44,Brothers! Gather around!
45,Hey.
46, Why didn't you say there was a rally?
47, Who's looking?
48, Take that shit. I'm out of here.
49, Shit.
50, White power!
51, White power!
52, White power!
53, White power!
54,"Blue power, motherfuckers."
55,Miami PD.
56,"Aw, damn. It's the Negroes."
57,"Casper, drop the bag."
58,"Alpha leader, bring them in."
59,"Bad boys, bad boys What you gonna do?"
60,What you gonna do When we come for you?
61," Dude, you gotta learn the words."
62, We usually only do the chorus.
63,"Alpha leader, hit it. Br..."
64,Repeat your transmission.
65,"Alpha leader to Bravo Four, please continue relay."
66,Where's backup?
67," Alpha leader, bring them in. Hit it."
68," Mike, I'm only getting static."
69,It's all static.
70,The radios are fucked.
71, Something funny? Something funny?
72," Mike, where are they?"
73,"Got you, nigger."
74, Looks like we got us a situation here.
75, You won't shoot.
76,"You got a gun to his head, so you think I won't splatter you all over?"
77,That's what I think.
78,My partner came here tonight prepared to die.
79,"Hell... Hell, no!"
80,Incinerating trash like you.
81,"Ready to die, right, Marcus?"
82, The fuck I want to do that for?
83," Scared, ain't you, boy?"
84,"A: Put the gun down, tell me who brings this shit in..."
85,...and maybe I'll just pop one in your shoulder.
86,Or B: Keep acting all Brody and I'll put one in your chest.
87,"Or C: You know, take the time to talk a minute."
88,"You know, deescalate the situation."
89,"See, that's my partner's new spiritual bullshit."
90,Me? I actually prefer shooting motherfuckers.
91,A lot of movement going on.
92,Can't see the UCs.
93, I think something's going down.
94, Don't move yet.
95,"Mike, the man has a gun to my head."
96,He'll put it down if a hollow point's in his eye!
97,Your partner's a cocky nigger.
98," Damn. Now, was that necessary, sir?"
99, See?
100,He can't just be a cop?
101,He got to be a nigga too?
102,I'll hot this fool.
103, Calm down.
104, Calm down? I'm calm.
105,I'm calm! Hey! Whoa! Whoa!
106,I am way too unstable for that bullshit.
107,Stop all the goddamned movement!
108,Everybody stop moving!
109,"We can't let you all go, but this shit'll get worked out in court."
110,We got our rights.
111,Exercise your right to shut the fuck up.
112,I'm all right. I'll give you a warning.
113,It's the best I can do for all of youse!
114,Okay? He's crazy.
115, You got 3 seconds to drop your gun.
116, He has anger issue problems!
117, One.
118, He goes to bed early for this shit!
119,Just to wake up to pop one in a motherfucker!
120, Two!
121," Mike, no!"
122,Gun!
123,Rock 'n' roll! Let's go!
124,Kill them cops!
125,Marcus!
126,"Go! Go! Go! Go! Come on, go!"
127, Get down!
128, Drop the...!
129, I didn't do shit!
130, Get your hands up.
131,I didn't do it!
132,The radios were fucked up. Get some medics over here. You guys okay?
133," Yeah, we're fine."
134," What you mean, ""we""?"
135,"Motherfucker shot me in the ass, man."
136, Who shot you in the ass?
137," Who? That ""who"" would be you."
138, Me? I shot you?
139, Yeah.
140,"I mean, I was shooting."
141,"Yeah, I did a lot of shooting."
142,But I ain't saying I shot you in the ass.
143,I ain't saying I didn't shoot you...
144,"...but, damn! Somebody shot you in the ass."
145,Tell me about it.
146," Yo, man, how's it feel?"
147," It's hot, man."
148,I can smell my ass burning.
149,"Mike, you should give it a little kiss so it'll feel better."
150,Pretend like we're not even here.
151,"Hey, isn't Ricky Martin having a concert? Get the fuck on."
152," You always gotta go racial, man."
153," It's sad, man."
154,I think it's cool. It hit the meat.
155,It ain't nowhere near the hole.
156,Two lousy bags?
157,What about the biggest shipment of ecstasy to come out of Amsterdam?
158,"Let me worry about my snitch, all right?"
159,It's a lot of cop work for nothing!
160,Take your ass home somewhere.
161,Tonight la policia jacked my mules.
162,Who can tell me how those jackals knew where to bite Johnny Tapia?
163,"Speak up, cousins."
164,You're lucky they did not find my drugs on Dixie 7.
165,Change the boat schedule.
166,We can't.
167,We got a shipment Thursday.
168,Change it after.
169,Just keep them guessing.
170,"You know, unlike you, my daddy didn't leave me no trust fund."
171,"I got realworld shit to deal with, Mike."
172,I'm not in it for the thrills.
173,"Same old shit, different day."
174,"All right, yes, damn."
175,"I shot you, all right?"
176,But you'd be seeing nothing at all if I hadn't made my move.
177,I don't know why you acting so angry.
178, You're misinformed. I'm not angry.
179," No, you're very angry."
180,"No, I'm not angry."
181,You are angry. It's okay.
182,"I'm not angry. Except when you keep repeating ""you're angry."" That shit's fucking annoying."
183,Like a fucking gnat at a barbecue.
184,Just bugging the fuck out of me.
185,"Good. I want you to say: ""I'm angry. It's okay."
186,I'll process my anger.
187,I love myself.
188,"Whoosah."" I don't know what the fuck you mean."
189,"Yes, you do know what the fuck I mean."
190,You're the one that needs therapy.
191, I did my therapy.
192, When?
193,Capt. Howard made me do it after I shot them people at the airport.
194,Whoosah.
195,Whoosah!
196,Officer Mike.
197," Papi. That's ""daddy,"" right?"
198, Yeah.
199,Whoosah.
200,"Mike, you go to therapy to get your issues worked out..."
201,...not bang your therapist.
202," See, now you just talking nasty."
203, I gotta survive.
204,I gotta start loving me for me.
205,That sound like that group thing.
206,Maybe I did the group thing once or twice.
207,Whoosah.
208, And whoosah.
209, Whoosah.
210,"A bunch of men hugging and kissing, that's some cult shit."
211,Buy.
212,"Ignore him, doc, he's blowing this out of proportion."
213,"My ass is what's out of proportion, Mike, okay? I got a big chunk missing."
214,It's actually a small chunk.
215,This tension you bringing into this relationship...
216,...won't be healthy in the long run.
217,Maybe there ain't gonna be no long run.
218,Whatever.
219,He's seeing a shrink. I mean...
220," Icepick, Lowrey."
221," Hey, brother."
222,Two bags? You embarrassed me in front of my people.
223,"Wait, brother. No, no, no, brother."
224,"Wait, wait, wait, wait."
225,Whatever. You better pray to whoever it is you pray to...
226,...because you got 24 hours to find that X before I find you.
227,The cops hit my mule.
228,"Well, Mr. Tapia, I don't know where the heat is coming from."
229,"It's a delicate situation for both of us, isn't it?"
230," I'm telling you, I've checked them."
231," Alex, look. A guy's OD'ing."
232,"I'm sorry, I gotta hang up."
233,Some fucking punk thinks he can die in my club.
234,Ecstasy fucks them up.
235," Get him out of here, Josef."
236, We'll dump him around the block.
237,Dump him.
238,"Auntie Syd, it must be so cool."
239,"Young, single, living in New York."
240,Probably hook up with a lot of cute guys.
241, Just like Sex and the City.
242," Theresa, cancel the damn cable."
243,"So, Auntie Syd, you're a cop too, huh?"
244,"Sort of. I work for the DEA, but I just push a lot of papers."
245, Nothing exciting.
246," Well, you keep pushing papers."
247,Don't have to worry about my little sister fighting crime.
248,Okay?
249,Possibly getting hurt.
250,James. Get my screwdriver.
251,Damn bolts.
252,Ignore him. He's being mean because he got injured.
253, Are you okay?
254, His wound is fine. It's...
255,...other things that were affected.
256, Theresa!
257, What?
258,"You... It's just nerve damage, that's all."
259,Y'all not gonna spoil it.
260,I'll talk to you about it.
261,It's a donut.
262,It's a medical thing.
263,I got it from a maternity store.
264,"You know, pregnant women use it."
265,They can put one cheek here.
266,It take pressure off the other cheek.
267," For you, dog."
268, Thoughtful.
269,"Look, man..."
270,...last night there was something different in your eyes.
271,"You know, Mike, I had an epiphany."
272,You know?
273, I realized you're an enigma.
274," Yeah, I could see that."
275,God sent you here to test me.
276,But guess what?
277,"You not gonna break me, Mike. No."
278,Whoosah.
279,Is that Syd?
