,dialog
0,"No son, never."
1,The blood stays on the blade.
2,One day you'll understand.
3,Some of it I have remembered.
4,And the rest I took from dreams.
5,St. Michael the Archangel defend us in battle.
6,Be our protector.
7,Against the snares. And the wickedness of the devil.
8,"Now son, who's that?"
9,St. Michael.
10,Who is it?
11,St. Michael.
12,And what did he do?
13,He cast Satan out of Paradse.
14,Good boy!
15,Johnny!
16,What's the battle?
17,Natives against the Dead Rabbits.
18,Which are you?
19,What do you think?
20,Dead Rabbits!
21,"Well,well, Monk!"
22,Are you with us or not?
23,"For the last time Vallon, only if the money is right."
24,I'll give you 10 per notch.
25,You have my word.
26,Then I'm your man.
27,"Is this it, Priest?"
28,The Pope's new army?
29,A few crusty bitches and a handful of ragtags!
30,"I know Bill. You swore, this was a battle between warriors."
31,Not a bunch of Miss Nancy's.
32,So warriors is what I brought.
33,The O'Connell Guard!
34,The Plug Uglies!
35,The Shirt Tails!
36,The Chichesters!
37,The Forty Thieves!
38,Bene.
39,"On my challenge, by the ancient laws of combat..."
40,...we are met at this chosen ground...
41,...to settle for good and all...
42,"...who holds sway, over the Five Points."
43,"Us Natives, born rightwise to this fine land...."
44,...or the foreign hordes defiling it!
45,Under the ancient laws of combat I accept the challenge of the so called Natives.
46,You plague our people at every turn!
47,"But from this day out, you shall plague us no more!"
48,"Let it be known, that the hand that tries to strike us from this land..."
49,...shall be swiflty cut down!
50,"Then may the Christian Lord, guide my hand, against your Roman popery!"
51,Prepare to receive the true Lord!
52,Priest!
53,Look at me!
54,Who is this under my knife?
55,"Father, get up! Get up!"
56,Where are you?
57,Where are you?
58,"No, my son."
59,Don't never look away!
60,"Soon be over, Priest."
61,Finish it!
62,You may need this to cross the river.
63,Ears and noses will be the trophies of the day.
64,But no hand shall touch him!
65,No hand shall touch him!
66,He'll cross over whole!
67,In honour!
68,Not before I get what's owed!
69,No!
70,"It's fair. A touch indelicate, but fair."
71,My sympathies.
72,What shall we do with the boy?
73,Look at me.
74,Give him to the law.
75,See he gets a good education.
76,"Okay, boss. Say goodbye to your father."
77,Hey. Take it easy!
78,Hurry! Come in here!
79,"Come here, boy. You're going to Hell's Gate!"
80,There he is!
81,Get him!
82,Priest Vallon died a noble death.
83,But his Dead Rabbits is done and outlawed.
84,Let no one even speak their name from now on.
85,"In this place, you've grown from a boy into a man."
86,Put to death the earthly things in you.
87,Immorality. Impurity.
88,Passion. Vengeance.
89,The Lord has forgiven you.
90,You also must forgive.
91,You go forth to a country torn apart by civil strife.
92,"Thank you, Reverend."
93,Lend your hand to the work that yet remains.
94,That this war may end.
95,"And the plague of slavery, that brought this confergration down upon us  ..."
96,...vanish forever from the earth.
97,In the second year of the great civil war...
98,...when the irish brigades marched through the streets...
99,...New york was a city full of tribes.
100,War chiefs. Rich and poor.
101,Lincoln will make all white men slaves!
102,It wasn't a city really.
103,It was more a furnace.
104,Where cities someday might be forged.
105,That's the spirit boys.
