,dialog
0,"I'm real sorry about Dorothy, Walt."
1,She was a real peach.
2,"Thanks for coming, Al."
3,"Father, Son, Holy Spirit."
4,Father. Spirit.
5,Uh.
6,Holy Spirit.
7,"It's okay, I can move down."
8,"Spectacles, testicles, wallet, and watch."
9,Look at the way the old man glared at Ashley.
10,Can't even tone it down for Mom's funeral.
11,What do you expect?
12,Dad's still living in the '50s.
13,He expects his granddaughter to dress a little more modestly.
14,"Well, your kid's wearing a Lions jersey."
15,I'm sure Dad appreciates that.
16,The point is that there's nothing anyone can do that won't disappoint the old man.
17,It's inevitable.
18,"You know, that's why we stopped doing Thanksgivings."
19,"You know, that deal with the boat motor, the broken birdbath. It's always something."
20,What are we gonna do with him?
21,"Don't you think he's gonna get in trouble, all by himself in the old neighborhood?"
22,"Well, why don't you have him move in with you?"
23,"Ha, ha, ha."
24,Hey. Shh.
25,Death is often a bittersweet occasion to us Catholics.
26,"Bitter in the pain, sweet in the salvation."
27,Bitter in the pain it causes the deceased and their families.
28,Sweet to those of us who know the salvation that awaits.
29,"And some may ask, ""What is death?"
30,Is it the end?
31,Or is it the beginning?
32,And what is life?
33,"What is this thing we call life?"" All these questions can frustrate you."
34,"Ashley, stop it."
35,That's why you have to turn to the Lord.
36,Jesus.
37,Because the Lord is the sweetness....
38, This is so good.
39, Did you have a chance to call Martha?
40, Is that Dad?
41, No. That's Grandpa Walt.
42,"""Third platoon, E company, March 2nd, 1 952, Korea""?"
43,Where's Korea?
44,A lot of people showed up after the service.
45,"Well, I suppose they heard there's gonna be a lot of ham."
46,I'll go down in the basement and get some chairs.
47,"Oh, I can do that, Dad."
48,"No, I need them now, not next week."
49,"Cool, I found a medal. Look at this."
50,How much longer do we have to stay?
51,"This ghetto is a dead zone for my cell, and I'm bored."
52,"Ashley, why don't you go help Grandpa Walt with the chairs?"
53,Me?
54,"Yes, you. Go. Go help him."
55,"Grandpa Walt, would you like some help with this?"
56,With your chairs?
57,No. You probably just painted your nails.
58,"Honey, come here."
59,"Okay, well, your dad is driving me crazy."
60,Why did you make me do that?
61,It's okay. We're leaving soon.
62,"Hey, girl. Come on."
63,Come on. Come on.
64,Come with me.
65,How many swamp rats can you get in one room?
66,"Wow. Grandpa, when did you get the vintage car?"
67,I never knew you had a cool old car.
68,"Yeah. Well, it's been here since before you were born."
69,So...
70,"...what are you gonna do with it when you, like, die?"
71,What about that supercool retro couch you have in the den?
72,Because I'm going to state next year...
73,"...and it would look really good in my room, and I don't have any furniture at all."
74,"Oh, God."
75,Who are you? What do you want?
76,Hi.
77,I live Get the shit out of your mouth.
78,Tell me what you want.
79,Do you have jumper cables?
80,My uncle's car is old and We don't have any cables.
81,"And have some respect, zipperhead."
82,We're in mourning here.
83,"How you holding up, Walt?"
84,Mr. Kowalski.
85,Huh?
86,"Mr. Kowalski, that's my name."
87,Right. Mr. Kowalski.
88,Your wife and I became quite close these last few months.
89,She asked that I watch over you when she passed on.
90,I told her I watch over my flock.
91,But she made me promise I'd keep an extrasharp eye on you.
92,"Look, I appreciate the kindness you've shown to my wife."
93,Now that you've spoken your piece...
94,...why don't you go tend to some of your other sheep?
95,Okay?
96,Dorothy mentioned specifically that it was her desire for you to go to confession.
97,She said she couldn't remember the last time you went.
98,Is that so?
99,It is.
100,"Well, I confess that I never really cared for church very much."
101,The only reason I went was because of her.
102,And I confess that I have no desire...
103,...to confess to a boy that's just out of the seminary.
104,Great to see you.
105,"Bye, dear."
106,"So long, Walt."
107," Walt, can you get it started?"
108," Yeah, it'll be fine."
109,"I wish I could help, Dad, but I gotta get the kids home."
110,Kids are getting restless.
111,"Yeah, fine. Just go."
112,"I'll call you, see how you're doing."
113,All right.
114,Kill you to buy American? Jesus.
115,Did you see the way he looked at the truck?
116,"It's always riceburner this, Japburner that, you know?"
117,"Even at Mom's funeral, he can't let it go."
118,He didn't say anything.
119,He didn't need to.
120,What do you expect?
121,The man worked at Ford all those years.
122,I suppose that's my goddamn fault.
123,"Just give it a rest, just drive, okay?"
124,"Kids, want the radio on?"
125,Anyone wanna listen to some music? Good.
126,Damn barbarians.
127,I'm just so brokenhearted.
128,I want my daughter to find another husband.
129,If she married again there would be a man in the house.
130,What about Thao?
131,The man of the house is right there.
132,Look at him washing dishes.
133,He does whatever his sister orders him to do.
134,How could he ever become the man of the house?
135,"Be patient, once he's older, he will be the man of the house."
136,No way.
137,"Today is a blessed day, for a child is born."
138,I offer food to nurture this child's body.
139,I offer clothing to protect this child's flesh.
140,The child is blessed with a mother and father.
141,"Oh, spirit of this child..."
142,...return home and do not wander anymore.
143,"Come home, spirit and soul, come home."
144,Live a good life and grow old.
145,Jesus. Polarski would roll over in his grave if he could see his lawn now.
146,What the hell did Chinks have to move into this neighborhood for?
147,Why does that old white man stay here?
148,All the Americans have moved out of this neighborhood.
149,Why haven't you gone?
150,"Why don't you strut away, you dumb rooster?"
151,Are you gone completely deaf or something?
152,"Hi there, Walt."
153,"I'm not a friend of yours, so why do you insist on calling me Walt?"
154,Sorry. Mr. Kowalski.
155,"What are you peddling today, Padre?"
156,Nothing. I thought I'd drop by and see you.
157,I haven't seen you in church.
158,"Now that you've done your good deed, why don't you take off down the road?"
159,"I'd really like to talk, Mr. Kowalski."
160,"Not in this lifetime, sonny."
161,"Why? Do you have a problem with me, Mr. Kowalski?"
162,You don't wanna know.
163,"No, I do."
164,"Well, I think you're an overeducated ...who likes to hold hands of ladies who are superstitious and promises them eternity."
165,Yo! Hey!
166,"Is you? Is you a boy or is you a girl, man?"
167,I can't tell.
168,"Hey, chinito, hey, if you was in the pen..."
169,...I'd be fucking you in the ass.
170,You'd be my bitch.
171,"What are you reading, Jackass and the Rice Stalk?"
172,"Yeah, that's right, keep walking!"
173,Keep walking!
174,"Look at me when I talk to you, homes!"
175,"Fucking slopes, man, everywhere you look, man."
176," Slopes everywhere we go, man."
177, Go back to your rice paddy.
178,"What you looking at, man?"
179,That's my little cousin over there.
180,"You sure that's your cousin, man?"
181,"Fuck, yeah, that's my little cousin."
182,He tight with anybody?
183,"No, he flies solo, man."
184,You wanna do something?
185,"Man, let's go down there and see what the fuck they doing over there."
186,I like your sandals too.
187,"Hey. Yo, what's up? What's up?"
188,"Yo, what's up, motherfuckers?"
189,They fucking with you?
190,"Man, fuck you, homeboy!"
191,What you got?
192,"Hey, we can do this right now."
193,You go fucking back to your country.
194,"Fuck you, man."
195,"Oh, good, more fucking rice niggers."
196,"Aren't you supposed to cook me some Chinese food, huh?"
197,How many bullets you got?
198,"We'll catch you on the rebound, homey."
199, Thao!
200," Come on, man. Get in the car, man."
201,Thao.
202,"Get with us, man."
203,Get in the car.
204," Fuck, man, get in the car, man."
205, Thao!
206,Those punkass Mexicans messing with you?
207,"Dog, we just bailed your ass out, dog."
208,"Come on, dog, get the fuck in here."
209," What you doing, man?"
210," Get in the car, man, come on."
211,"Chill with us, man."
212,"Come on, man."
213,"We just bailed your ass out, dog!"
214,Come on.
215,"Come on, Thao, man. You need a big coz to take care of you, man."
216,"Man, fuck it. Hey."
217,"Forget it, man. Let's go, dude."
218,Fuck his ass.
219,"Tomorrow, I'll see your ass."
220,Why you gotta be a little girl?
221,Tomorrow.
222,"Come on, man, let's go."
223,"We got the gun, man."
224, Fuck you.
225, Let's get the fuck out of here.
226,We've got the strap.
227,Let's get the fuck out of here.
228,Fuck that pussy.
229,Pussy.
230,"Hey, Thao."
231,"Hey, what's up?"
232,"What's up, Thao?"
233,"What are you doing, little man?"
234,Why you doing women's work?
235,What do you want?
236,What? I can't just come and talk to my little cousin?
237,He doesn't wanna talk to you.
238,"Well, I'm here, right?"
239," Hey, Spider, who that?"
240, What's up?
241,"Spider? Is that what he just called you, Fong?"
242,Spider.
243,Is there something wrong with Spider?
244,What are you doing here?
245,"Hey, so how old is you anyways?"
246,"Mentally, I'm way too old for you."
247,What?
248,You guys are stupid. I'm going inside.
249,What?
250,Sue.
251,Help your little bro do this gardening.
252,"Bite it, stupid."
253,"Hey. You wanna roll with us, man?"
254,Come on.
255,Dude.
256,"Come on, ride with us. Come on."
257,"Come on, chill with us."
258,You need somebody to protect you.
259,That's what your big coz is for.
260,"Look, dog, I been there, done it, and I seen it, man."
261,"Back in the day, everybody used to wanna beat me up."
262,"But now, nobody wanna fuck with me."
263,"Come on, man, let's go."
264,"We're coz, right?"
265,Come on.
266,"We're coz, right? We're family."
267,"Look, a brother to Spider is a brother to me. Come on."
268,"Dude, man, take this shit off."
269,Come on.
270," Come on, roll with us. Come on."
271," That's woman's work, man."
272,"Don't get your hands dirty, man."
273,"So, what do I have to do?"
274,Spider told me that our boy next door got a badass whip.
275,Come on.
276,Nice.
277,"Yeah, my little cousin being a little man."
278,Whoa.
279,"Yo, now, that's a nice car."
280,"Hell, yeah. 1972 Gran Torino, fastback."
281,Yo.
282,Cobra jet engine.
283,"Yo, man, it's still in mint condition."
284,"Yo, man. It's in mint condition, man."
285,"Oh, I've got one."
286,"There's a Mexican, a Jew, and a colored guy go into a bar."
287,"The bartender looks up and says, ""Get the fuck out of here."" So here's where my flock congregates when they're not in church."
288,"Hey, Father J."
289,"Hi, Mel. Hey there, Darrell."
290,"Hello, Father."
291,"Hi, Walt."
292,"What brings you in here, Father?"
293,The meat raffle?
294,"No, I just came down to talk to Walt, if that's okay."
295,"Damn, Padre, you are persistent, aren't you?"
296,I promised your wife.
297,All right. Let's get a booth.
298,I'll have a Pabst and a shot of Jack and whatever he's having.
299,I'll have a Diet Coke.
300,"Bullshit, this is a bar. You have a drink."
301,"Um, I'll have a gin and tonic."
302,Attaboy.
303,So...
304,...what do you want?
305,I promised your wife I'd get you to go to confession.
306,"Now, why would you do that?"
307,She was very insistent. She made me.
308,"You're kind of fond of promising things you can't deliver on. Right, Father?"
309,Let's talk about something else.
310,What?
311,Life and death.
312,Life and death. What the hell do you know about life and death?
313,I'd like to think I know a lot. I'm a priest.
314,Yeah. You get up and preach about life and death...
315,...but all you know is what you learned in priest school.
316,Right out of the rookie preacher's handbook.
317,I don't know about that. I think Death is bittersweet.
318,"Sort of bitter in its pain, but sweet in its salvation."
319,"That's what you know about life and death, and it's pathetic."
320,"What do you know, Mr. Kowalski?"
321,I know a lot. I lived for almost three years in Korea with it.
322,Thanks.
323,We shot men...
324,"...stabbed them with bayonets, hacked 1 7yearolds to death with shovels."
325,Stuff I'll remember till the day I die.
326,"Horrible things, but things I'll live with."
327,And what about life?
328,"Well, I survived the war."
329,"Got married, had a family."
330,Sounds like you know a lot more about death than you do living.
331,"Maybe so, Father."
332,Maybe so.
333,Son of a bitch.
334,"Come on, get in the car!"
335,"Thao, what the fuck? Get in!"
336,"Get in, Thao."
337,"Come on, let's go. Get in."
338,"Fuck, man? Get in!"
339,Hello?
340,"Hey. Morning, Dad."
341,"It's your number one son, Mitch."
342,"Morning? It's after 1 in the afternoon, it's not morning."
343,"Oh, right. Afternoon, then."
344,"So, what do you want?"
345,What? No. Nothing.
346,"I mean, what would I want?"
347,"Well, I don't know."
348,Your wife's already gone through all your mother's jewelry.
349,"No, Dad, I'm just calling to see how you're doing. Just...."
350,Anything new with the old neighborhood?
351,Yeah. No.
352,Great. Smooth sailing.
353,Yeah.
354,"Okay, good. Good, then. Oh, hey, Dad."
355,Yeah.
