,dialog
0, Get him!
1, He's gone!
2, Search the room.
3," Hey, a party. Am I invited?"
4,"""John Smith, in the name of the king, you are under arrest for treason in Jamestown."" Treason?"
5,You must be looking for Ratcliffe.
6,Don't let him get away!
7,After him!
8, Thanks for droppin' in.
9,Anyone else care to join him?
10,Cut him off!
11,I've got him now!
12,"Oh, he's jumped!"
13,The king believed my story.
14,Pity. I so would have preferred to see you hanged.
15,I did everything I could to save him.
16,And that is the death of John Smith.
17, I wanted him alive!
18, As did I.
19,"But, your majesty, you don't need him to confirm what I've already told you."
20,We must wait until John Rolfe returns with the chief of these Indians.
21,The chief will only tell you more heathen lies. War is the only way.
22,"Very well, Ratcliffe."
23,"Prepare your armada, then."
24,But we will await the return of John Rolfe... and the Indian chief.
25,"Oh, much time has passed since the news of John Smith's death."
26,Perhaps it's time to put this behind you.
27,I know you are right.
28,It's just hard to say goodbye.
29,The earth is cold The fields are bare The branches fold against the wind that's everywhere The birds move on so they survive When snow's so deep the bears all sleep  To keep themselves alive They do what they must for now And trust in their plan If I trust in mine somehow I might find Who I am But where do I go from here So many voices Ringing in my ear Which is the voice That I was meant to hear How will I know Where do I go From here My world has changed and so have I I've learned to choose and even learned to say goodbye The path ahead so hard to see It winds and bends but where it ends Depends on only me In my heart I don't feel part Of so much I've known Now it seems it's time to start A new life on my own But where do I go from here So many voices ringing in my ear Which is the voice That I was meant to hear How will I know Where do I go  From here Ship ahoy!
30,Ship's coming!
31,Ship's coming!
32,Open the gate!
33,Cast a line!
34,Put your backs into it!
35,"Together, men!"
36,Easy left!
37,Attention!
38,Filthy barbarian.
39,Huh?
40,"Whoa, boy!"
41,Steady! Whoa!
42,Filthy savage!
43,"No, wait!"
44, Wait!
45, Stand down!
46,It's all right now.
47,I've taken care of it.
48,The settlers need to know they can trust us to do the right thing.
49, You should not have interfered.
50, I beg your pardon?
51,All right. You have it.
52, I was trying to help.
53, I did not ask for your help.
54,"Well, you didn't say ""thank you"" either."
55, Whatever happened to manners and etiquette?
56," Well, since you are new here I don't expect you to have them yet."
57,Women!
58,I fear the Indians may wage war.
59,"Oh, my dear, Pocahontas would never allow that."
60, Pocahontas?
61, Hmm.
62," John Rolfe, your horse, sir."
