,dialog
0, What am I gonna do with 'em?
1,We thought you'd like to wear one today.
2,Shit!
3,"OK, here comes your night to remember!"
4,Here she comes.
5,She's almost got it. She's almost got it!
6,She's got it!
7,"Come on, shit for brains!"
8,"What do you mean, break Pee Wee's cherry?"
9,"If you're not cherry, you don't get Wendy."
10,"I'm cherry. You could put me on top of a banana split, I'm so cherry."
11,Make it mine. Make it mine.
12,Please make it mine.
13,I got laid!
14,I got laid. I tore her up.
15,She's ruined.
16,She's ruined.
17,Where's Stiffy? Stiffy!
18,Maybe it doesn't work for a couple of days after you get laid.
19,"Up, you big husky! Up!"
20,Shit.
21,Marilyn Monroe.
22,Jayne Mansfield.
23,Shit!
24,"Got a bad rash, Mom."
25,Hurts like heck.
26,I don't think I'll ask.
27," Hey, Casanova!"
28," Hey, stud, how does it feel?"
29,"Listen, about this Shakespeare crap."
30, Shakespeare crap?
31, Stop!
32,You're getting me in trouble with Mother.
33,It's not my fault your Mom's a drama teacher.
34,"Look. just because you don't mind running around looking like a jerk, my mother thinks I shouldn't mind either."
35,Shakespeare's good for you.
36,It'll broaden your mind.
37,Shakespeare's ass sucks canal water.
38,Oh his ass sucks canal water.
39,That's very profound.
40, He has a keen analytical mind.
41, And a way with words.
42,"Hey, Pee Wee. How's what feel?"
43,Getting laid.
44, Same as it always feels.
45," Oh, I don't believe it. Never again."
46,What are you guys talking about?
47,I got bodies laid all over South Florida.
48,"Morris, the last time you got any action was with your fist. You know, Rosie Palm."
49,You guys are jealous because I ruined Wendy for everybody else.
50," Oh, no!"
51," Now that she's had me, what's left?"
52,"Yeah, well, that's not what she told me."
53, What did she tell you?
54," Ask her, Pee Wee. Here she comes."
55,"Yeah, I can hear her pantin' from here."
56,"Look man. when they've been had by Pee Wee Morris, they stay had. I mean they can't keep their hands off me."
57,"You guys better watch out, cause when she sees me your libel to get caught in the stampede."
58,Watch this.
59,"Hi, boys."
60, She's in a frenzy.
61, She's rabid.
62,"She didn't see me, she didn't know I was here."
63,That's what she said about you last night.
64,"Oh, man. The girl's my slave."
65,Wendy!
66,"Hey, Wendy!"
67," Hey, baby. How's tricks?"
68, You talkin' to me?
69,"Well, yeah. I'm talkin' to you."
70,How you feelin'?
71,"To tell you the truth, I'm a little horny."
72,I haven't had too much action lately.
73,Is that so?
74,"In fact, if I don't get next to a man soon, I'm gonna be in real trouble."
75,You guys are as funny as a rubber crutch.
76,"Thanks a lot, kid."
77,"Oh, Pee Wee, come on."
78,It's just a little joke.
79,They made me do it. They said they'd never let me see you again.
80,"If that happened, I'd just have to go into a convent."
81,"I mean, after you, where's a girl to go?"
82,It's all downhill from here.
83, That's what I was tryin' to tell 'em.
84," Well, you were right."
85, When?
86, How about lunchtime?
87, OK.
88, Gotta go. See you later.
89,Bye.
90,Look closer. That is the world's record shiteatin' grin.
91," I don't know how you do it, Pee Wee."
92, I'm an artist.
93,Michelangelo worked in stone.
94,Van Gogh worked in oil. I work in pussy.
95, He works in pussy.
96, At least he's consistent.
97, Let's get him.
98, I think he needs some more.
99,I think he does.
100,"Hey, Pee Wee!"
101,"Look seriously, If you got all this pussy lyin' around, I think you should share with your buddies."
102, I mean we share with you.
103," Oh, yeah. Like Cherry Forever."
104,"A mere dalliance, my boy."
105,Affectionately done life experience.
106,Everybody oughta learn to run from big colored guys with machetes.
107,"Yeah, and as early in life as possible."
108,"Anyway, I think it's pretty awful if you don't fix us up with some of your stuff."
109," Sure, I'll fix you up."
110, Yeah? When?
111," Well, hell, any time."
112, How about tomorrow night?
113,"Tomorrow night? Well now wait a minute, it might take me a couple of days to line up some firstclass stuff."
