,dialog
0,Stop the poacher!
1,There he goes!
2,Catch the poacher!
3,Ten marks for the man who catches the beast.
4,After him! Get him!
5,Get him!
6,Get him!
7," It's Much the miller, come flying out of the forest."
8, What's the hurry?
9,"Sir Robert, save me."
10,Save me.
11,Straight ahead!
12,Come on!
13,We got him! Come on!
14,Go on! Go on!
15,Whoa. Whoa.
16,"Whoa, there."
17,Steady. Steady.
18,Steady.
19,"What have we here, Mr. Miter?"
20,"Much here is the local miller, but he's been grinding more than corn for his living."
21,"That's the poacher, Sir Miles."
22,Ah. Not so new at the poaching game either.
23,Do you know the punishment for poaching the king's deer twice?
24, They can put my eyes out.
25, Do something.
26, Leave him.
27, Who do you think you are?
28, This man is a poacher.
29, On my land.
30,I have no objection to this man hunting on my land.
31,He's a useful member of our community.
32,Who exactly are you?
33,I am Sir Miles Folcanet...
34,and I'm the guest of the Baron Daguerre to whom this land belongs...
35,and certainly not to some scruffy Saxon.
36,You and your people may have stolen every decent acre of my country...
37,and built your mighty castles on them...
38,but I am still Sir Robert Hode.
39,I am still the Earl of Huntingdon...
40,and this land you are on still belongs to me.
41,Only as a vassal to your feudal overlord...
42,"and my host, the Baron Daguerre."
43,"But you're Sir Robert Hode, of course."
44,I hear you're Baron Daguerre's friend.
45,"What was the phrase, ""his little pet""?"
46,I order you to leave this man be...
47,and to get off my land.
48,"Well, well."
49,Leave him be.
50,"Yes, of course."
51,We could do as you suggest...
52,"but the poacher would still have his eyes to help him poach again, would he not?"
53,"And you, kind lady?"
54,Is it your pleasure that the miller should lose his eyes?
55,"My pleasures are my secret, Sir Robert."
56,I do not reveal them to just any knight who crosses my path.
57,Enough. There's a law.
58,Miter!
59,Let him go.
60,Why don't you and your men hunt down some little children...
61,that have been sniffing the king's flowers?
62,You can pluck their noses off one by one.
63,"And you, you can watch."
64,"Much, walk away."
65,Very well.
66,I shall let him go.
67,"Thank you, Sir Robert, for your lesson in Saxon justice."
68,On Monday morning at 7:00...
69,you will stand before Baron Daguerre...
70,and I'll make sure you'll taste our Norman justice.
71,You have insulted his guest.
72,He will not treat you lightly.
73,Maybe you shouldn't have said anything.
74,That's what he called you?
75, My pet?
76, The Baron Daguerre's little pet.
77,What's so funny?
78,I thought all you cared about was the next wench and the next drink.
79,And you defied Miles for a halfdead Saxon poacher.
80,I'd love to have seen his face.
81,I think I spoiled his fun.
82,He was lusting to put the poor man's eyes out personally on the spot.
83,"Norman justice, he called it."
84,I have to order you to be flogged next Monday morning.
85,You can't do that.
86,I am an earl.
87,"Climb down from your high horse, Robert."
88, I'll try to avoid it.
89, Try?
90,Folcanet wants his entertainment.
91, You made him look a fool.
92, You will never have me flogged.
93,Need I remind you that while your grandfather's father was no more than a pirate...
94,my greatgrandfather was chancellor to our king?
95,Did I tell you that?
96,It's true. A pirate.
97,"But that was in confidence, Robert."
98,You will never say that in public.
99,Never.
100,Your throw.
101,"I, too, have my pride."
102,"Hello, Marian."
103," Who's winning, Uncle?"
104," Robert, of course."
105,Have you met?
106,I believe Sir Robert never loses...
107,so he tells me.
108, Uncle?
109, She's my brother's daughter.
110,He died in Cyprus.
111,I've become her guardian.
112,Will she be living here?
113,She's here for a wedding.
114, Whose wedding?
115, Hers... and Miles's.
116,Folcanet?
117,"She's heir to a great fortune, Robert."
118,It becomes her dowry.
119,"If she marries Miles, he's offered to show his gratitude to me."
120,"Money, money, money, money, money, money."
121,"Just who are they practicing to kill, Rob?"
122,Who do they see when they thrust the lance?
123,"It's me and you, Rob, that's who. You and me."
124,"Well, on this occasion, it's more me than you."
125,"Next time you feel righteous indignation, you do the heroic bit."
126,You'll have no trouble of Daguerre.
127,No trouble at all.
128,Something interesting outside?
129,Go on.
130,Take a proper look.
131,But don't let him see you looking.
132,"Sir Robert Hode, Earl of Huntingdon."
133,The charges?
134,Insulting a knight of the Realm and obstructing the king's laws.
135,Obstructing the king's laws.
136,"Sir Robert, please."
137,Baron Daguerre...
138,I ask the court's forgiveness for any offense I have brought...
139,to the throne or to Sir Miles Folcanet...
140,and I apologize with all sincerity and humility.
141,Very well.
142,The court is a witness to your humility and accepts your apology...
143,as I'm sure Sir Miles will.
144,"You may rise, Sir Robert."
145,"A moment, please."
146,If I may remind the first baron of the Realm...
147,Norman law calls for separate justice...
148,"for separate issues, Sir Roger."
149,There were two offenses.
150,"As for Sir Robert's insulting me, certainly I'm a forgiving man."
151,I have forgiven.
152,"But, uh..."
153,eager as I am to be done with this unfortunate incident...
154,I'm bound to point out the letter of the law...
155,which states separate justice...
156,for separate issues.
157,This man attempted to stop agents of the king...
158,from carrying out their sworn duty!
159, That's a dreadful offense.
160, Concentrate.
161,And what punishment does the law demand?
162,The punishment is a public beating.
163,To be flogged.
164,I suggest at the castle gate at noon.
165,"My lord, I am not to be treated like a common thief."
166,"You may be a Saxon earl, Hode, but the Saxons no longer rule England."
167,I demand the right of trial by combat.
168,I challenge Sir Miles Folcanet.
169, I'll kill him.
170, Silence!
171,"Sir Miles, Robert Hode shall be flogged..."
172,but one lash only.
173,That's my judgment.
174,"You treacherous, lying, cheating..."
175," That's enough, Hode! Silence!"
176, That's not nearly enough!
177, This man should be hanged!
178," Five lashes, and I shall have the honor."
179, What would you know about honor?
180, Twenty lashes from the SergeantatArms!
181, Why not 50? A hundred?
182," No, 20! You're too wild, Sir Robert."
183,Wild?
184,Much worse than that.
185,I'm a fool.
186,I thought you were noble.
187,Behold the glorious Normans.
188,The noble baron of the Realm...
189,whose greatgrandfather was no more than a pirate.
190,From cutthroat tojudge in the blink of an eye.
191,Once they raped and pillaged.
192,Now they collect taxes.
193,Norman taxes on Saxon land.
194,Norman taxes on Saxon grain.
195,Norman taxes on Saxon liberty.
196,Let us bow to the miracle of change.
197,From pirate to leech in the blink of a bloody Norman eye!
198,Release him!
199,"Robert Hode, fourth earl of Huntingdon..."
200,with the powers of the king which are vested in me...
201,it's decreed that you forfeit to the throne...
202,your lands and title and all things in your possession.
203,"As of this day, you are cast outside the law."
204,"And as an outlaw, you're beyond the reach of its protection."
205,Any and all who would give you shelter or comfort...
206,will be deemed treasonous.
207,Because you are of noble birth...
208,these consequences will be reviewed by the king's justiciar.
209,"Until that time, you shall be shackled..."
210,in the keep of the Daguerre Castle.
211,Have you anything more to say?
212,"Very well, then."
213,Hold it there!
214,Keep 'em back!
215,Stop it. Stop!
216,Tell them to move away... now.
217,Do as he says. Move back!
218,Seize them!
219, Seize them!
220, You should have killed him.
221, You should have kept your mouth shut.
222, Yesterday I was a hero.
223, Make your mind up.
224, Out of the way!
225,Keep going!
226,Up there!
227,On the battlements!
228,I want them alive!
229,I want them alive.
230, Don't shoot!
231," Now, kick."
232,Kick! Kick!
233,Scaffold! Scaffold!
234,Raise the bridge!
235,Raise the bridge!
236,Raise it!
237," They're crossing, you fools!"
238, Raise the bridge!
239,Raise the bridge!
240,Raise the bridge!
241,Raise the bridge!
242,Hold on!
243,After them!
244,After them!
245,Lower the bridge!
246,Lower the bridge!
247,Lower the bridge!
248,Lower the bridge!
249,Let me guess.
250,The horses have gone home?
251,"Yes, the horses have gone home."
252,Congratulations.
253,Thank you.
254,I'm starved.
255,Me too.
256,It's raining.
257,If only I hadn't encouraged you to stand up for the miller.
258,If only I hadn't have listened.
259,Bloody Normans.
260,"Summer is ycomen in Loude sing, cuckoo And the seeds are growing warm Loude sing, cuckoo How are you at walking backwards?"
261,"Well, I've never had to try yet, short ass."
262,"Short ass, is it?"
263,Careful.
264,He doesn't like being called names.
265,"And what do you do, ferret face?"
266,I just follow him around and bury all the people who've called him names.
267,"Ferret face seems to think you're a bit of a hard man, short ass."
268,Rob.
269, What's this?
