,dialog
0,Subtitles by explosiveskull www.OpenSubtitles.org Stories heal.
1,Stories hurt.
2,"If we repeat them often enough, they become real."
3,They make us who we are.
4,They have such power.
5,This I learned on the very last autumn of our childhood.
6,"Now it's time to dig yourselves out of your graves, Mill Valley."
7,It's Halloween.
8,"But be careful, 'cause when the sun goes down, it's The Season of the Witch."
9,âª When I look out my window âª Many sights to see I did it.
10,I'm going to 'Nam. Yeah.
11,Those commies are gonna pay.
12,"Let's go scare some kiddies tonight, guys."
13,âª So many different people to be âª That it's strange âª So strange âª You've got to pick up every stitch But let men everywhere know that a strong and a confident...
14,Thanks.
15,...and a vigilant America...
16,Going out with your friends tonight?
17,I'd rather just stay in.
18,...and stand ready tonight to defend an honored cause.
19,"âª ...every stitch âª Mmmmmm âª Must be the season of the witch âª Must be the season of the witch Stella, pick up."
20,Stella...
21,I don't want to go trickortreating.
22,"Stella. Stella, this isn't about candy."
23,It's about payback.
24,Get all the eggs and TP you can and meet us at 7:00.
25,"Stella, please."
26,This could be our last Halloween together.
27,"If you think you have it hard, I have to fish a turd out of the toilet."
28,"You are disgusting, Chuck."
29,Hey!
30,"You know where you're going, kid?"
31,Following the harvest.
32,Tonight only.
33,Mom. It's fine.
34,"No, it's not."
35,Still a little loose in the crotch.
36,One more.
37,Take that!
38,Bullseye.
39,You got to pick up every stitch...
40,"Let's go, girls."
41,"Hey, gimme."
42,"Eat shit, Harold."
43,"Tommy, slow down."
44,Must be the season of the witch What the hell are you doing?
45,"A little privacy, please!"
46,Ugh.
47,I said SpiderMan.
48,Not a spider...
49,man.
50,Be happy the Lord provided.
51,"Mom, okay, jeez."
52,"Mom, can I please breathe?"
53,Be nice.
54,Okay! Can you please stop hugging me like that?
55,Aren't you a little old to be trickortreating? Hmm?
56,Aren't you too ugly to go on a date?
57,You little turd.
58,"Auggie's here, gotta run."
59,I don't wanna hear it.
60,Thought you were gonna be SpiderMan.
61,"Yeah, well, get used to it, okay."
62,"I got the goods, so let's banana split."
63,"Stop staring at my sister, you perv."
64,"âª You got to pick up every stitch âª The rabbit's running in the ditch âª Oh, no âª Must be the season of the witch âª Must be the season of the witch âª Hey, can you not?"
65,"I mean, these antennae aren't even realistic."
66,"And, if anything, a spider man should have eight arms, not four."
67,Okay. At least I'm not a clown.
68,"For the last time, I'm a Pierrot."
69,It's a 17thcentury character from la commedia dell'arte.
70,Psst. Clown.
71,Do you even know what's in those?
72,It's the same toxic chemicals that's giving our troops Hodgkin's lymphoma and curdling the breast milk of the South Vietnamese.
73, Mmm.
74, And you ate them all.
75,Mmm.
76,Is that why they taste so good?
77,"Out of the way, clown."
78,Nerd!
79,Move!
80, He's not gonna show.
81," What? No, he'll show."
82,"Okay, Milner does it every year and this year will be his last."
83,"Where are you, Tommy?"
84,I heard the school newspaper is open to submissions again.
85,You should submit some of your stories.
86," Come and steal our candy, Tommy."
87, No way.
88,I know our school.
89,They would disembowel me.
90,Pontiac Catalina.
91,"It's him, it's him! Okay."
92,"Okay, just act natural."
93,You said we'd go out for dinner.
94,You and me.
95,How about some dessert?
96,"Get ready, man."
97,Haha! Suckers!
98,"Oh, what's that smell?"
99," Oh, it's oldman undies!"
100, Ugh!
101,We got him.
102,"All right, here we go."
103,Let's do this. Let's do this!
104,"Bully this, asshole!"
105,Douchebags!
106,God damn it!
107,Those little shits.
108,And now for the poo d'etat.
109,"Eat turd, shitbird!"
110,Holy shit.
111, Stop the car!
112, Put it out!
113,What is Ruth doing here?
114,"Chucky, you little brat!"
115,I don't know.
116,I knew she was going on a date but not with him.
117,Damn it!
118,I'm gonna murder them!
119,Argh! Come back!
120,Go!
121,I'm going to get you!
122,Let's get 'em!
123,"Come on, guys, go!"
124,Over there! Get him!
