,dialog
0,CROWD CHEERING IN DISTANCE LElGH ANNE: There's a moment oforderly silence before a football play begins.
1,"Players are in position, linemen are frozen, and anything is possible."
2,ANNOUNCER ON TV: Almost Indiansummer weather here in midNovember.
3,"WHlSTLE BLOWS LElGH ANNE: Then, like a traffic accident, stuff begins to randomly collide."
4,From the snap of the ball to the snap of the first bone...
5,...is closer to four seconds than five.
6,ANNOUNCER: First and 10.
7,"Riggins, flea flicker back to Theismann."
8,Theismann's in a lot of trouble.
9,TAPE REWlNDlNG LElGH ANNE: One Mississippi.
10,"Joe Theismann, the Redskins' quarterback..."
11,...takes the snap and hands off to his running back.
12,ANNOUNCER: First and 1 0. Riggins LElGH ANNE: Two Mississippi.
13,"It's a trick play, a flea flicker..."
14,...and the running back tosses the ball back to the quarterback.
15,ANNOUNCER: Flea flicker back to Theismann.
16,LElGH ANNE: Three Mississippi.
17,"Up to now, the play's been defined by what the quarterback sees."
18,lt's about to be defined by what he doesn't.
19,Four Mississippi.
20,Lawrence Taylor is the best defensive player in the NFL...
21,...and has been from the time he stepped onto the field as a rookie.
22,ANNOUNCER: Theismann's in a lot of trouble.
23,And it was Lawrence Taylor...
24,...who slammed Theismann to the ground at the 42yard line. The blitz was on....
25,LElGH ANNE: He will also change the game of football as we know it.
26,ANNOUNCER: We'll look at it with the reverse angle one more time.
27,"And l suggest if your stomach is weak, you just don't watch."
28,LElGH ANNE: Legendary quarterback Joe Theismann...
29,...never played another down of football.
30,"Now, y'all would guess that, more often than not..."
31,...the highest paid player on an NFL team is a quarterback...
32,...and you'd be right.
33,"But what you probably don't know is, more often than not..."
34,"...the second highest paid player is, thanks to Lawrence Taylor, a left tackle."
35,"Because as every housewife knows, the first check you write is for the mortgage..."
36,...but the second is for the insurance.
37,And the left tackle's job is to protect the quarterback from what he can't see coming.
38,To protect his blind side.
39,"The ideal left tackle is big, but a lot of people are big."
40,He's wide in the butt and massive in the thighs.
41,"He has long arms, giant hands and feet as quick as a hiccup."
42,This is a rare and expensive combination...
43,...the need for which can be traced to that Monday night game and Lawrence Taylor.
44,"For on that day, he not only altered Joe Theismann's life..."
45,...but mine as well.
46,WOMAN: Mr. Oher.
47,Mr. Oher.
48,Do you understand?
49,Do you know why l'm here?
50,To investigate?
51,Yes. To investigate.
52,I'm here to investigate your odd. . .predicament.
53,"Do you find it odd, your predicament?"
54,Michael?
55,I don't know.
56,Can l? Can l leave now?
57,"No, you can't."
58,INDlSTlNCT CHATTER MAN: Where's Coach Cotton's office?
59,"Thanks, man."
60,They said you were the coach.
61,Bert Cotton.
62,"Tony Hamilton, but everybody just calls me Big Tony."
63,"Hey, Big Mike, check it out."
64,Not even locked.
65,White people are crazy.
66,"GRUNTS TONY: I promised my ma, Boo, on her deathbed..."
67,". ..that l'd get my son, Steven, out of public school and into a church school."
68,"I appreciate that, Tony, but I'm not involved with admissions."
69,I just figured maybe I can come talk to you.. .
70,. ..seeing as though you might need some players.
71,What kind of sport does he play?
72,Anything with a ball. The boy's good too.
73,Classes start in a week.
74,It'd have to be for next semester.
75,"I know what you're thinking, coach."
76,"But look here, l got money, all right?"
77,"See, l'm a mechanic at Wilson's Auto, the other side of town."
78,"Well, look, what if somebody drops out or moves? Could they get in then?"
79,"""They""? You only mentioned one son."
80,"That's right, Steven."
81,But there's another boy.
