,dialog
0,Hyah! Huh!
1,Get in there now!
2,Get in! Get in!
3,"Get in there, Dude!"
4,Get in now!
5,Hyah! Come on! Huh!
6,All right! Huh!
7,Huh!
8,Whoa. Whoa.
9,Whoa.
10,Got room for one more?
11,Who the hell are you?!
12,And what happened to them?
13,"Name's Major Marquis Warren, former U.S. Cavalry."
14,Currently a servant of the court.
15,Trying to bring a couple nogoods into market.
16,Got the paperwork on 'em in my pocket.
17,You takin' 'em into Red Rock?
18,"Figure that's where you headed, right?"
19,I am.
20,That damn blasted blizzard has been on our ass for the last three hours.
21,There ain't no way we gonna make it all the way to Red Rock  'fore it catches us.
22," So you hightailin' it halfway, to Minnie's Haberdashery?"
23,You know I am.
24,May I come aboard?
25,"Well, smoke, if it up to me, yes."
26,But it ain't up to me.
27,Who's it up to?
28,Fella in the wagon.
29,Fella in the wagon ain't partial to company?
30,"Fella in the wagon, he paid for a private trip, and I'm here to tell you, he paid a pretty penny for privacy."
31,"So if you want to go to Minnie's with us, you gonna have to talk to him."
32,Well...
33,that's What I'll do.
34,"Hold it, black fella."
35,"'Fore you approach, you take them two guns of yours and you lay 'em on that rock over yonder."
36,Then you raise both your hands way above your hat.
37,Then you approach.
38,Molasseslike.
39,"Real trustin' fella, huh?"
40,Not so much.
41,Put 'em down.
42,Come on ahead.
43,"I said way above your hat, goddamn it!"
44,Now come forward.
45,That's far enough.
46,"Well, I'll be dogged."
47,You a black fella I know.
48,"Colonel somethin' orother Warren, right?"
49,Major Marquis Warren.
50,"I know you, too."
51,"We, uh, shared a steak dinner once upon a time in Chattanooga."
52,You John Ruth The Hangman.
53,That'd be me.
54,How long's that been?
55,Since that steak?
56,Oh... eight months.
57,So why don't you explain to me what a African bounty hunter's doin' wanderin' around in the snow in the middle of Wyoming?
58,Trying to get a couple of bounties in to Red Rock.
59,So you still in business?
60,You know I am.
61,Happened to your horse?
62,Circumstances caused us to have to take the long way round.
63, My horse couldn't make it.
64, Mm.
65,You don't know nothin' 'bout this filly here.
66,Nope.
67, Don't even know her name?
68, Nope.
69,"Well, I guess that makes this one fortuitous wagon."
70,I sure as hell hope so.
71,"Major Marquis Warren, this here's Daisy Domergue."
72,"Domergue, to you this is Major Warren."
73,"Howdy, nigger."
74,"She's a pepper, ain't she?"
75,"Now, girl, don't you know the darkies don't like being called niggers no more?"
