,dialog
0,www.nxtgn.org Hvad vil du have?
1,Det er fra Kashmir.
2,Vil du have kål? Tag en aubergine.
3,"Fortæl mig, hvad du vil have."
4,"Af banen, af banen."
5,Ind til siden. Pas på.
6,Hassan. Hallo!
7,"Pas på, pas på."
8,Hallo! Du godeste!
9,Hassan! Kom så!
10,Jeg køber dem alle sammen!
11,Øjeblik. Værsgo!
12,Lad mig nu ...
13,Tal pænt. Jeg har allerede betalt.
14,"Tilbage, tilbage. Nej, nej."
15,Hvad hedder du?
16, Hassan Iqbal Kadam.
17,Fødselsdato?
18, Den 5. juli 1990.
19,Fødested?
20, Jeg blev født i Mumbai i Indien.
21,Hallo! De er solgt!
22,"Til drengen, der ved besked."
23,Profession?
24, Jeg er kok.
25,Mener du opvasker?
26," Nej, kok."
27,Min familie har drevet restauranter i Indien i mange år.
28,Min oldefar lavede mad til soldaterne under det britiske styre.
29,Men nu vil vi prøve lykken i Europa.
30,Mig og min familie.
31,Har du tænkt dig at arbejde som kok i Europa?
32,Ja.
33,Er du uddannet?
34, Ja.
35,Min mor har oplært mig.
36,Men intet på papir?
37,Kun madpakkepapir.
38,Det er samosa.
39,Nej tak.
40,Min skole var vores familierestaurant i Mumbai.
41,Slut med at lege.
42,Nu er det sengetid.
43,Hej.
44," Godnat, mor."
45,Og min mor var min lærer.
46,"Søpindsvin smager af livet, synes du ikke?"
47,Livet har sin egen smag ...
48,... som skjuler sig i dens skal.
49,"Det upolerede, smukke liv."
50,Jeg blev uddannet udi alle sanserne.
51,Men for at lave mad er man nødt til at dræbe.
52,Man skaber spøgelser.
53,Man laver mad for at skabe spøgelser.
54,"Ånder, der lever videre i hver eneste ingrediens."
55,Men jeg lærte først og fremmest at smage.
56,Kan du smage dem?
57,En aften sluttede min uddannelse.
58,Udmærket.
59," Tillykke med valget, hr. minister."
60,Mansur!
61, Se at komme væk!
62,Optøjerne er begyndt.
63,Hent børnene.
64,"Der blev afholdt et valg,   og der var en vinder og en taber."
65,Hassan! Vi bliver angrebet!
66, Se at komme væk!
67,Løb! Løb!
68, Du godeste.
69,Løb!
70,"Kom, far. Vi må væk!"
71,"Se at komme væk, Hassan! Skynd dig!"
72,Mukhtar!
73,Vi mistede alt.
74,Akhiya! Nej!
75, Mor!
76,Akhiya!
77, Mor!
78,Akhiya!
79, Mor!
80,Alt.
81,"Efter min mor døde, besluttede far at tage familien med til London."
82,Jeg forsøgte at fortsætte min uddannelse alene.
83,Vi fandt et hus ret tæt på Heathrow.
84,"Ja, vi er familien Kadam."
85,"Da vi flygtede fra Mumbai,   fik vi asyl i London."
86,Vi boede der i et år.
87,"Der er for koldt, så vi vil åbne en restaurant i Europa."
88,Hvor i Europa?
89, Et sted i Europa.
90,"Mahira, vi vil være sikre på,   at du ikke bliver bragt til Europa for at indgå et arrangeret ægteskab."
91,"Tro mig, der er intet i den her familie, der er arrangeret."
92,Hvorfor forlader du London?
93,I England havde grøntsagerne ingen ...
94,"De havde ingen sjæl, intet liv."
95,Forstår du?
96,Godt.
97,Måske finder vi det her.
98, Måske.
99,"Se, Mansur."
100, Hold op med at brokke dig.
101,Fik du fat i dem?
102, Tag en hver.
103,Og bedøm den fra et til ti.
104,Ingen salt.
105,De er meget store.
106,Dejlig.
107,Den får otte.
108, Min smager af sure tæer.
109,Jeg har lært det i skolen.
110,Det er ikke det samme land.
111,"Det summer i mine ører, far."
112,Det er en god ide.
113,"Så kan Schweiz være forretten, og Frankrig hovedretten."
114,Hvad er så desserten?
115,Godt spørgsmål.
116,"Sæt farten ned, far!"
117, Det kan jeg ikke.
118,Sæt farten ned!
119, Det kan jeg ikke!
120,Sæt farten ned!
121, Bremsen er i bund!
122,Gør noget!
123, Bremserne svigter!
124,Der kommer en traktor!
125, Far!
126,Åh nej!
127,Er alle uskadte? Mukhtar? Aisha?
128, Jeg er okay.
129,"Jeg er ikke mekaniker, men jeg tror, det er noget med bremserne."
130,Kom så.
131,Kom.
132,"Kom så, far!"
133,Er alt i orden?
134,"Jeg kan ikke klare det mere, far."
135,Er du ude på at slå os alle sammen ihjel?
136,Vi har kørt i dagevis i den smadderkasse.
137,Vi har fået nok af at flakke forvildet rundt.
138,"Vi havde det bedre, da vi boede under indflyvningen til Heathrow."
139,Der havde vi i det mindste et hjem!
140," Hjem er der, hvor familien er."
141,Er det rigtigt?
142,"Hvor er familien lige nu, far?"
143,Svar mig. Hvor er familien lige nu?
144,I Frankrig.
145, I Frankrig. Frankrig!
146,Lige præcis.
147,"Far, hvis du ikke er klar over det,   så spiser franskmænd slet ikke indisk mad."
148,De har deres egen mad.
149,Den er verdensberømt.
150,Vi er kommet til vejs ende.
151,"Hassan, tal med din far."
152,Hvad skal jeg gøre?
153,Hvor skal vi tage hen?
154,Far ...
155,"Der må være nogen dernede, der kan lave bremserne."
156,Hvad sagde mor?
157,"Jeg ved, du taler med hende."
158,Hvad sagde hun til dig?
159,"Hun sagde: ""Find en god mekaniker, og fortsæt med at lede."" Goddag. Kan vi hjælpe med noget?"
160,Er bilen gået i stykker?
161, Nej.
162,Vi er i en ulykke.
163, Jaså?
164,Ingen stop. Bremser.
165, Taler du engelsk?
166,Gør du?
167, Ja. Jeg hedder Marguerite.
168,Hassan.
169, Rart at møde dig. Goddag.
170,Det er min far. Har du noget reb?
171," Ja, i bagagerummet."
172,Læg alle kræfter i!
173, Kom så!
174,Sæt hælene i!
175, Kom så!
176,Sæt hælene i!
177, Kom så!
178,Læg alle kræfter i!
179, Kom så!
180,TIL SALG Far? Far.
181,Kom så!
182,"Skub, alle sammen! Kom så!"
183,Læg alle kræfter i!
184, Kom så!
185,Sæt hælene i!
186, Kom så!
187,Sæt farten ned.
188,"Sæt nu farten ned, folkens."
189,Lidt til højre.
190,I kan parkere her.
191,Vi er meget taknemlige.
192, Det er så lidt.
193,Vil I have mere te?
194," Ja tak, det ville være dejligt."
195,Prosit.
196, Du har mange antikviteter.
197,"Ja, her er mange antikviteter."
198,"Se lige, hvor store de tomater er."
199,De ser ud til at veje 300 gram hver.
200,"Mekanikeren skal skaffe reservedele, og bilen bliver først klar i morgen."
201,Hvor skal vi sove?
202, Her i St. Antonin.
203,Jeg har fundet et pensionat.
204, Hvor meget koster det?
205,Du prutter ikke om prisen.
206,Vi betaler som normale mennesker.
207,Får de mest for pengene? Kun europæere accepterer den første pris.
208,Det er ikke som i Mumbai.
209, Sådan.
210,"Jeg tænkte, at I måske var sultne."
211,Det er meget pænt af dig.
212, Tak.
213,Hvad er det?
214, Det ved jeg ikke.
215,Det er meget venligt af dig.
216, Det er så lidt.
217,Hvad er alt det her?
218, Bare hvad vi havde i spisekammeret.
219,Men spis endelig. Værsgo.
220, Tak.
221,Hvor har du købt det?
222, Brødet? Det bager jeg selv.
223,Dejligt.
224," Du skal smage det her, far."
225,Hvor kommer olien fra?
226, Fra oliventræerne i haven.
227,Min onkel presser den hvert år.
228,Osten kommer fra køerne ude på marken. Det er fuldstændig naturligt.
229,Utroligt.
230,Vil I have lidt sødt?
231,Tak.
232, Ikke for mange.
233,"Undskyld, vi er så stille."
234,"Jeg tror, min familie er bange for,   at de døde i ulykken og er kommet i himlen."
235,Der kommer en bil.
236,Thomas? Hvem er dog det?
237,Det ved jeg ikke.
238,"TIL SALG Far, hvad laver du?"
239,A vendre. Til salg.
240,Se engang. Det er perfekt.
241,"Hør her, far."
242,Vil du ikke nok tale med Mansur først?
243,Hvorfor? Det er ikke Mansurs penge.
244,Ikke før jeg dør. Indtil da er det mine og mors penge.
245,Og hun elsker den her landsby.
246,"Hun sagde, at der er en grund til, at bremser går i stykker."
247,Se.
248,Der er en overdækket gård ligesom i Mumbai.
249,Her kan være mindst 50 kuverter.
250,Dér.
251,Der skulle vores tandooriovn stå.
252,Goddag.
253,Kan jeg hjælpe Dem?
254,"Undskyld, vi kiggede os bare omkring."
255,Det er privat ejendom.
256," Kom, far."
257,Er De ejeren?
258, Nej.
259,Så er De selv trængt ind på privat grund.
260,Kender De ejeren?
261," Ja, jeg kender dem særdeles godt."
262,"De er taget tilbage til Paris, men har bedt mig holde øje for dem."
263,Det gør De garanteret.
264,Hvor meget vil de have for stedet?
265,"Hold nu op, far."
266, Lige et øjeblik. Slap af.
267,En ejendom af denne størrelse her i landsbyen ville være meget dyr.
268,"De bad om nedslag i prisen på Claudes hotel, ikke sandt?"
269,"Det gjorde du ikke, far!"
270, Stille! Lad mig føre ordet.
271,"At jeg beder om nedslag i prisen, betyder ikke, at jeg er fattig."
272,"Det betyder, at jeg er sparsommelig."
273,Jeg vil komme med et bud på restauranten.
274,"Så er det nok. Kom, så går vi."
275,Du skal ikke skubbe.
276, Kom så.
277,"En, to ..."
278,Værsgo.
279,Tak. Mange tak.
280, Mansur.
281,Vi skal af sted.
282, Hvorhen?
283,Han er blevet sindssyg.
284, Hvad?
285,Han er besat af det sted.
286,Hr. borgmester.
287, Tak.
288,Mere?
289, Hør nu her ...
290,Far!
291,Kender du dem?
292, Jeg har aldrig set dem før.
293,"Far. Hvis du ikke vil høre på mig, så hør på Mahira."
294,"Du siger altid, at hun er den fornuftige."
295,"Far. Det er en god beliggenhed, og bygningen er fin,   men der er et problem, der gør, at vi ikke kan åbne en restaurant der."
296,Der ligger allerede en restaurant der.
297,"Ja, lige på den anden side af gaden."
298,"Det er derfor, de andre flyttede. De kunne ikke få den til at løbe rundt."
299,Restauranten overfor har en Michelinstjerne.
300,Det ved jeg godt.
301,"En stjerne, og hvad så?"
302,"Far, det er den bedste restaurant i 80 kilometers omkreds."
303,Frankrigs præsident spiser der.
304,Kan præsidenten bestille murgh masala med cashewnødder der?
305,Og ka saag aloo? Daal?
306,Vores hemmelige familiekrydderier?
307,"Nej, men de har en Michelinstjerne."
308,De serverer frølår.
309,Snegle. Ratatouille.
310,Kan præsidenten bestille tandooriged der?
311,"Som er tilberedt på den måde, Hassan gør det?"
312,Drysset med ristede krydderier?
313,"Restauranten serverer ikke den slags, for folk her gider ikke spise det."
314,"Det er, fordi de ikke kender til det."
315,De har aldrig smagt det.
316,Det kommer de til nu.
317,"Hassan, tal med ham."
318, Vi serverer en masse forskelligt.
319,Og aromaen ...
320,"Det må være restaurantejeren, der ringer."
321,Giv mig telefonen.
322, Hallo?
323,Hallo?
324, Giv mig den. Kom nu.
325,"Nej, far."
326,Lad mig tale med ham.
327,Giv mig den!
328,Jeg er stadig familien Kadams overhoved.
329,Hallo?
330,Bonjour.
331,"Ja, det er hr. Kadam."
332,Bestyrelsesformand for Kadam Enterprises.
333,Tag din taske.
334,Sæt den kasse forsigtigt ned.
335,"Til arbejdet, gutter."
336," Ja, chef."
337,"Jeg vil høre jer sige ""ja, chef""."
338," Ja, chef."
339,Kom så.
340,Madame Mallory.
341, Godmorgen.
342,Menu. Er alle her? Nå.
343,"Se, jeg laver paneer."
344,Se lige den her kasserolle.
345,Af sted! Ud. Hurtigt.
346,DESSERTKAGER DE STORE RESTAURANTERS CUISINE Jeg vil have kantareller i dag.
347,"Jeg har hørt, de er ..."
348,Ursäkta att jag är sen.
349,"Undskyld, jeg kommer for sent."
350,"Nå. Kantarellerne. Jeg vil udnytte, at de er perfekte lige nu   på grund af den kraftige regn i går aftes."
351,Med lidt fløde?
352," Ja, men fløden skal ryges først."
353,Nå. I går aftes serverede vi det her.
354,"Elendige, udkogte asparges."
355,"I denne restaurant er maden ikke et gammelt, slidt ægteskab."
356,Den er en lidenskabelig affære.
357,Undskyld. Pardon.
358,"Jeg ved godt, jeg er sent på den."
359,"De her voksede ved floden, og det kunne jeg ikke stå for."
