,dialog
0,"See the people walking down the street Fall in line just watching all their feet They don't know where they want to go They're walking in time They got the beat They got the beat, yeah They got the beat All the kids just getting out of school They can't wait to hang out and be cool Hang around till quarter after 12:00 That's when they fall in line They got the beat They got the beat Kids got the beat, yeah Kids got the beat Gogo music really makes us dance Doing the Pony puts us in a trance Do the Watusi just give us a chance That's when we fall in line 'Cause we got the beat We got the beat We got the beat, yeah We got it We got the beat Everybody, get on your feet We got the beat We know you can dance to the beat We got the beat Jump back, get down 'Round and 'round and 'round We got the beat Linda, there's that guy from the stereo store."
1,Don't you think he looks like Richard Gere?
2,See his cute little butt?
3,"You guys, let's talk about that fox that just walked in."
4,BOTH: We already were.
5,I'm gonna go over there and change the shakers.
6,Cool out.
7,That's Stacy's section.
8,He's too old.
9,She's not even in high school yet.
10,Smoking's upstairs to your left.
11,Smoking's upstairs.
12,"Rat, is Dolly Parton giving you a percentage of the profit?"
13,"What can I do for you, gentlemen?"
14,You the guy with the Van Halen tickets?
15,I could be.
16,How much for something in the first 10 rows?
17,$20 apiece.
18,Those tickets were only $12.50.
19,So don't buy them.
20,All the other scalpers are sold out.
21,Scalper? Did you call me a scalper?
22,"Listen, gentlemen, I perform a service here, and the service costs money."
23,Do you want the tickets or don't you?
24,"Okay, we'll take them."
25,All right.
26,"What'd I say, $25?"
27,BOTH: $20!
28,All right.
29,Thank you.
30,"Just made $16, Rats. What's the matter?"
31,You look depressed.
32,I hate working the theater.
33,All the action's on the other side of the mall.
34,How's it going?
35,You want to take his table?
36,Yes.
37,Go for it. He's cute.
38,"Just take his order, look him in the eye."
39,"If he says anything remotely funny, laugh like you never heard anything so funny."
40,And smile.
41,Go for it.
42,"So, you working hard or hardly working?"
43,You look like you could still be in high school.
44,I know. Everybody says that.
45,How old are you?
46,Nineteen.
47,How old are you?
48,Twenty six.
49,Do you think we could still be friends?
50,So what can I get you?
51,"How about a meatball sandwich, a medium Coke, and your phone number?"
52,Hi.
53,Hello.
54,"Get out of here, Bradley."
55,Dave.
56,"DAVE: How you doing, Brad?"
57,Cooking!
58,"Daddy's home, boys."
59,I shall serve no fries before their time.
60,"This one's on you, dude."
61,Who's got the beaucoup dolares today?
62,Uno dinero.
63,"What have you got, Mr. Buck Man?"
64,I got a cigarette.
65,"I got uno ""nickelette."" Hey! You guys had shirts on when you came in here."
66,"Something happened to them, man."
67,"Come on, Spicoli, just put the shirts back on."
68,You see that sign?
69,"""No shirts. No shoes. No dice."" Right."
70,Learn it. Know it.
71,Live it.
72,Whoa.
73,He's the full hot orator.
74,"STACY: Linda, did I show you this?"
75,He gave me his card.
76,"""Ron Johnson, Audio Consultant."" Maybe we should get a frame for this and put it up on the wall."
77,"Come on, Linda. You're the one who told me I was gonna get a boyfriend at the mall."
78,Do you think he'll call this week?
79,Why don't you call him?
80,I can't.
81,"Yes, you can."
82,Guys love that sort of thing.
83,Really?
84,Yes!
85,"Stacy, what are you waiting for?"
86,You're 15 years old.
87,I did it when I was 13.
88,It's no huge thing. It's just sex.
89,"He was hot, wasn't he?"
90,"If I didn't have a fianc̩ in Chicago, I'd go for it."
91,"Hey, how you doing?"
92,Welcome to Ridgemont.
93,Will it look okay?
94,"Well, she was an American girl Raised on promises Do you know where U.S. history is?"
95,Down the hall and turn left.
96,"She was an American girl Hi, Bradley."
97,Grown up. Looking good.
98,BRAD: Another year joined at the lips.
99,"Hi, Brad!"
100,Denise. I'd make you see God.
101,Brad!
102,Big Cruising Vessel!
103,Bradley!
104,Thank you.
105,"Six more payments, gentlemen, and this beautiful blue, fourdoor, luxury sedan is all mine!"
106,DAMONE: I'll give you four tickets in the fifth row for the low price of $140.
107,See that car?
108,Some alumni gave Jefferson that car for playing football when he was a sophomore.
109,Helped him pick it out.
110,Slick car.
111,"We go way back, you know."
112,"Hey, Charles, how you doing, buddy?"
113,Car looks great. I mean really terrific.
114,You're really keeping it up wonderfully.
115,Don't fuck with it.
116,Shit!
117,That's my man.
118,ARNOLD: Brad?
119,Arnold!
120,What's happening?
121,Can I talk to you a minute?
122,"Sure, man."
123,I really hate Bronco Burger.
124,"Ever since they started with the chicken nuggets, everything went downhill."
125,"You have to fry all their greasy food, and you have to polish things."
126,And the manager's an asshole.
127,I was just wondering...
128,"Arnold, do you want to work at All American Burger?"
129,"Yeah, well..."
130,I can probably get you in.
131,Just let me talk to Dennis Taylor.
132,All right.
133,Okay.
134,STUDENT 1: Wait. Did you hear the bell ring?
135,STUDENT 2: What bell?
136,STUDENT 1: We're here.
137,Aloha.
138,My name is Mr. Hand.
139,I have but one question for you.
140,Can you attend my class?
141,It is for your own good.
142,"And if you can't make it, I can make you."
143,MR. HAND: We have a 20 question quiz every Friday.
144,"Your grade is the average of all your quizzes, plus the midterm and final which counts for onethird."
145,Got it?
146,Also...
147,There will be no eating.
148,EATING.
149,No eating in this class.
150,You get used to doing your own business on your own time.
151,That's one demand I make.
152,"Just like you wouldn't want me to come to your house some evening and discuss U.S. history on your time, understand?"
153,"Yes, sir."
154,This guy's been stoned since the third grade.
155,Yes?
156,"Yeah, I'm registered in this class."
157,What class?
158,This is U.S. history.
159,I see the globe right there.
160,Really?
161,Hey.
162,May I come in?
163,"Oh, please."
164,I get so lonely when I hear that third attendance bell ring and all my kids are not here.
165,"Sorry, I'm late."
166,It's just like this new schedule's totally confusing.
167,I know that dude.
168,Mr. Spicoli.
169,That's the name they gave me.
170,You're ripping my card.
171,Yes.
172,"Hey, bud, what's your problem?"
173,No problem at all.
174,I think you know where the front office is.
175,You dick!
176,I have taken the time to print up a complete schedule of class quizzes and the chapters they cover.
177,Please pass them to the desk behind you.
178,"MR. HAND: Back, back, back."
179,Did you hear about this surfer guy who pulled a knife on Mr. Hand this morning?
180,"Oh, no!"
181,He just called him a dick.
182,A dick?
183,"Oh, God."
184,People exaggerate so much here.
185,"Linda, that girl looks just like Pat Benatar."
186,I know. Wait.
187,There are three girls at Ridgemont who have cultivated the Pat Benatar look.
188,"Chanel Semlar, Mary Ann Zlotnick in the red tights."
189,Do you think guys find that more attractive?
190,"Stacy, please, give me a break!"
191,You are so much prettier!
192,"Yeah, I know, but do you think they'd be better in bed?"
193,What do you mean?
194,You either do it or you don't.
195,No. There are like variables that I might not be good at.
196,Like what variables?
197,"Like, you know, giving blow jobs."
198,What's the big deal?
199,I never did it.
200,You've never given a blow job?
201,"Never? Stace, there's nothing to it."
202,It's so easy.
203,Check it out.
204,Relax your throat muscles.
205,Don't bite.
206,And slide it in.
207,LINDA: Try it again.
208,Good. Push it slowly in and out.
209,You got it.
210,Okay.
211,Can I ask you something and you promise not to laugh?
212,Sure.
213,Okay.
214,"When a guy has an orgasm, how much comes out?"
215,A quart or so.
216,"No, I'm just kidding."
217,Just practice.
218,GIRL: I'm not going to a morgue.
219,I'll get my mom to write a note.
220,Nobody's getting me into a room with a bunch of dead guys.
221,You have to go.
222,It's part of the final.
223,I hear it's really disgusting.
224,Do you know what they do?
225,Have you heard?
226,What?
227,The bodies are dissected and Mr. Vargas pulls out parts of the dead body and holds them up.
228,"You mean, he reaches in and pulls this stuff out?"
229,Like stomach and tumors or something?
230,"Yeah, stomach, tumors, entrails."
231,"Good day, everyone."
232,My name is Mr. Vargas.
233,Look. I'm a little slow today.
234,"I just switched to Sanka, so have a heart."
235,"MR. VARGAS: All right, now."
236,The World of Life.
237,That is the name of the textbook we will be using.
238,I'm in love.
239,"See the mustache coming in, Rat?"
240,You can almost cross it out.
241,I'm in love.
242,You are a wuss.
243,Part wimp and part pussy.
244,What do you mean wuss?
245,This girl is my exact type.
246,All right.
247,Where'd you see her?
248,In my biology class.
249,Did you get her number?
250,No.
251,Did you get her name?
252,No! No! It's too soon.
253,"It's never too soon, Rat."
254,A girl decides how far she's gonna let you go in the first five minutes.
255,What am I supposed to do?
256,"Go up to this strange girl in my biology class and say, ""Hello."
257,"I'd like you to take your clothes off and jump on me?"" I would."
258,I can see it all now.
259,This is gonna be just like the last summer.
260,You fell in love with that girl at the Fotomat.
261,"You bought $40 worth of fucking film, and you never even talked to her."
262,You don't even own a camera.
263,"You tell me, Mike. What should I do?"
264,This is what you do.
265,Start from the minute you walk into biology class.
266,"I mean, don't just walk in."
267,Move across the room.
268,And you don't talk to her.
269,You use your face.
270,You use your body.
271,Use everything.
272,That's what I do.
273,"I mean, I just send out this vibe and I have personally found that women do respond."
274,"I mean, something happens."
275,Naturally something happens.
276,"You put the vibe out to 30 million chicks, something is gonna happen."
277,"That's the idea, Rat."
278,That's the attitude.
279,The attitude?
280,Yeah.
281,"The attitude dictates that you don't care whether she comes, stays, lays or prays."
282,"Whatever happens, your toes are still tapping."
283,"Now, when you got that, then you have the attitude."
284,"Good night, Stacy."
285,"Good night, Mom."
286,Just look at that girl With lights coming up in her eyes She's got to be somebody's baby She must be somebody's baby You look beautiful.
287,Thanks. So do you.
288,Where do you feel like going?
289,I don't know.
290,How about The Point?
291,Okay.
292,All right. The Point it is.
293,She's got to be somebody's baby She's so fine She's probably somebody's only light Gonna shine tonight Yeah She's gonna be somebody's baby tonight She's gonna be somebody's only light Gonna shine tonight Yeah She's gonna be somebody's baby tonight That's a really nice jacket.
294,Thanks.
295,Thanks a lot.
296,It's warm.
297,"Yeah, it is."
298,It's really warm.
299,I wonder how long it will last.
300,So...
301,Am I gonna get to first base?
302,Are you really 19?
303,"Yeah, yeah I am."
304,I'm really 19.
305,"She's gonna be somebody's baby tonight I try to shut my eyes But I can't get her out of my sight I know I'm gonna know it But I gotta get over my fright I'm just gonna walk up to her I'm gonna talk to her tonight Gonna shine tonight Make her mine tonight Yeah Gonna shine tonight Make her mine tonight So tell me, do you like Ron?"
306,"I like Ron, but it hurt so bad."
307,Don't worry.
308,Keep doing it.
309,It gets a lot better.
310,I swear.
311,It better.
312,"Raised on the radio Just an allAmerican boy I got my favorite toy I was Raised on the radio Yeah, I was raised on the radio Remembering when times were bad Love is all we need And love was all we had Mom says to clean the pool."
313,Why can't you do it?
314,Your friends use the pool.
315,Your friends messed it up.
316,"Your friends use the pool, too."
317,I take out the garbage.
318,Brad!
319,"Brad, have Mom and Dad seen these?"
320,They're not home yet.
321,Brad?
322,What?
323,What would you say if I asked you to put these in the trunk of the Cruising Vessel and get rid of them?
324,"I'd say, ""Who the hell is Ron Johnson?"" Please."
