,dialog
0,Â¶Â¶ power surges crackling sighs Useless!
1,Do you hear me?
2,"If we cannot get this pile of scrap metal online, then all our work has been for nothing!"
3,I need time to adjust the algorithm before another attempt.
4, If we're not  Why not just give it more juice?
5,The flux array is already being pushed beyond capacity.
6,An overload could fry the entire system!
7,I have seen this thing work!
8,What am I paying you for if you cannot get this hunk of metal to boot up?
9,computer beeping Do it.
10,powering up crackling and buzzing power surging What is going on?
11,It's too much power!
12,We have to stop.
13,How did he do it?
14,How did Eggy get it to work?
15,Sir!
16,Â¶Â¶ Shut it down!
17,Shut it down!
18, I said shut it down now!
19," I'm trying to, sir."
20,The flux array seems to be caught in a feedback loop.
21,power crackling Director Raddock Get down!
22,energy powers down exhales sharply scoffs dry laugh I've had it with this thing.
23,"Scrap it, throw it in the crushing pile, and you clean up this mess!"
24,We're moving on to the X1!
25,And these workstations had better be operational in two days!
26," Sir, if I may interject  Two days, Simon!"
27,Â¶Â¶  computer indistinct  Heads up.
28,Bethany laughs Thanks!
29, Boss battle coming up!
30,Bring it on!
31, monster growls   This isn't working!
32, How about an alleyoop?
33,  I like the way you think.
34," Noah chuckles  beep monster groans Yes! laughs Bethany Nice work, everyone!"
35, Another epic victory!
36, Thank you to everyone  who stopped by.
37," Just a quick reminder,  I'm launching Flower Power Up,  my very first  retro 8bit game,  next week."
38, So keep an eye out.
39, You don't wanna miss this.
40," And if you're new  to the F.P. Nation,  be sure to sign up  for notifications  so you can join us  next time."
41," Until then, peace,  love and flower power!"
42," What's up, Flower Power?"
43,  Hey!
44, Thanks for your help today.
45,That alleyoop sealed the deal.
46,Works every time.
47,"Besides, you don't need my help."
48,You're going to break by next month.
49,"So, how's that Social Studies presentation coming along?"
50,Oh... it's a work in progress.
51," You've been tinkering,  haven't you?"
52, It helps me to think.
53,  Right.
54,Have you worked on it since the last time we talked?
55,"stammers I got busy, but no."
56,  I'll finish it.
57, Stop talking!
58, Get to work!
59, Is that an order?
60,From a friend who cares about you.
61, chuckles   I'm not letting you  fail on my watch.
62, Can you please just do  your paragraphs  and then we can just  rematch in versus mode?
63, You wish!
64,  What?
65, Are you scared you can't  defend your title?
66,"Maybe I'll let you win this time,  just to shake things up."
67, Mmhmm.
68, knocking on door  Peter Noah?
69,I got us a pizza and we can stream a movie.
70,You wanna come down and watch it with me?
71,What movie is it?
72,It's a dinosaur movie.
73,It looks pretty good.
74,My Dad wants me to watch a movie and eat a pizza with him.
75, So go eat.
76, Noah?
77, I'll be right there.
78,Just on the phone with Bethany.
79,Peter  Tell her I said hello.
80, I will.
81,  Bye.
82,kid on film We gotta get you  out of here.
83, growls   Shh! Not so loud.
84, They might hear you.
85,"Mark! Hey, you're just in time!"
86,It's just us guys tonight.
87,"The pizza's still hot, the movie just started."
88,Come on.
89,"Thanks for the invite, Dad, but I think I'm gonna head to bed a little early tonight."
90,I start my first shift as night manager at Tally's tomorrow.
91,That's great!
92,Congratulations!
93,Thanks. So...
94,Later.
95," phone ringing  Later, alligator."
96,"Hey, Noah, I gotta take this."
97,It'sit's work.
98, Mr. Zaurin.
99,"  Hi, Peter."
100, I'm sorry to bother you.
101,It's gonna be all hands on deck  until we got this thing  figured out.
102,"Um, is this something I could possibly take care of tomorrow?"
103,I'm trying to spend some time with my son tonight.
104," Well, like I said,  it's all hands on deck, Peter."
105," You know,  it's times like these  that the company really sees  who they can depend on."
106,"Yes, sir."
107,II understand.
108, I left a folder of data  on your desk.
109, We need you to review it  and tell us if you see  anything that stands out.
110,"Uh, yeah."
111,"I'm happy to help, sir."
112,"  I knew we could  count on you, Peter."
113, Thank you.
114,What do you say we take this show on the road?
115,"Â¶Â¶ I'm sorry, Noah."
116,Work's busy on this new product.
117,It's all right.
118,You tried.
119,But the boss pulled rank.
120,You heard that?
121,Thought you were watching the movie.
122,I was watching the movie.
123,And listening.
124, You were eavesdropping.
125," Um, more like multitasking."
126,"laughing Â¶Â¶ Hi, Larry."
127,How are you tonight?
128,"Hey, Mr. H. It's not every day we get to see you come in the main entrance."
129,"I got called in, so I'm just gonna be in and out."
130,Looks like you're having some trouble there.
131,Sorry.
132,Just trying to get a grip on this game.
133,  Dragon Breath.
134," Hmm, Dragon Breath 5."
135,game  Game over.
136,Got me again.
137,"Oh, you remember my son, Noah?"
138,That's the little guy?
139,"Man, he is growing up!"
140,What's up with the backpack?
141, Why did you bring that?
142, I take my backpack everywhere.
143,all my stuff is in it.
144,Go put it back in the car.
145,But what if somebody breaks into the car and steals it?
146,Then all my stuff is gone.
147,"Noah, please, go put it back in the car."
148, We don't have time for this.
149, You never have time  and you work at Time Labs.
150, Guys!
151,It's just a backpack.
152,Can I see what's inside of it?
153,Â¶Â¶ You're all good.
154,"You just have a good night, all right?"
155,"Thank you, Larry."
156,The key is to stick to the right side of the cave under the rock overhang.
157,Otherwise the fire will get you every time.
158,"Hey, thanks, kid."
159,Hey! How'd you know that's where I was getting tripped up at?
160,Everyone suffers in that cave.
161,You're barely here and you're already helping people.
162," card reader beeps  I'm sorry about this, Noah."
163,Do you wanna stop and get donuts on the way home?
164, Sure.
165, Yeah.
166,wheel squeaking Â¶Â¶ Mind if I go to the bathroom?
167," It's down the hall and  And take two rights, got it."
168,Â¶Â¶ It's always a pleasure.
169,Zach You got your card key?
170,man What about your card key?
171,"Oh, I left mine in my locker, 'cause I thought you'd have yours."
172,Here.
173,Fixed!
174,exhales sharply door squeaks Hello?
175,Anybody here?
176,Â¶Â¶ Whoa.
177,keys clacking exhales deeply phone ringing  Peter Haley.
178," Zaurin Peter, thanks again  for coming in  on such short notice."
179," I knew if anybody could  figure this data out,  it'd be you."
180,"No problem, Mr. Zaurin."
181,"Um, honestly, it's been a while since I've been in the building after 6:00 p.m."
182," Quiet, isn't it?"
183, It is that.
184," Zaurin chuckles  So let's go over these specs,  try to figure this thing out."
185,Sure thing.
186,Ready when you are.
187,Â¶Â¶ chuckles gasps One man's trash...
188,chuckles backpack unzips  door opens  Zach See that?
189,It wasn't so bad.
190,"I was worried, I'm not gonna lie."
191,clattering echoes  Did you hear that?
192, Loud and clear.
193,"Â¶Â¶ If anybody's in here, you better come out right now!"
194,That's right.
195,"If there's anybody playing around in here, we're not the guys to be messing with."
196,Â¶Â¶ Zach I'm hungry.
197,Let's go get some waffles.
198,My treat.
199, Sounds great.
200, footsteps echo relieved sigh You really ought to buy.
201,I got you off the hook with my brotherinlaw.
202,"Yeah, your brotherinlaw didn't pay me enough to buy you waffles."
203,Â¶Â¶ You're heavier than you look.
204,I can't believe they were gonna throw you away.
205,"Once this compiles, the server should come back online immediately."
206,"Zaurin I knew we could  count on you, Peter."
207, I owe you lunch next week.
208,Great.
209,I was glad to help and I will look forward to that lunch.
210," Thank you, sir."
211,  Goodbye.
212,Hey.
213,"We're still on for doughnuts, right?"
214,Yeah.
215,I'm sorry about the detour.
216,You wanna finish watching our movie together?
217,"Um, it's getting a little late."
218,I should probably get started on some homework.
219,sighs  Raincheck?
220, Yeah.
221,microwave beeps and starts Â¶Â¶ buzzing crackling Â¶Â¶ So you got yourself a really expensivelooking toy robot?
222, Aren't you a little old  for that?
223, Cute.
224,  I know.
225,"Look, Bethany, whatever it is, it's not a toy."
226,Why do you say that?
227,'Cause it's heavy!
228, Maybe you just need  to work out more.
229,The app on my phone says I move at least two miles a day.
230,Where'd you get it?
231,"Uh, somebody was going to throw it out."
232, Somebody was  throwing that out?
233,"  Crazy, right?"
234, Yeah.
235,"So, like, you just dragged this thing back to your house?"
236,"No, I I put it in my backpack."
237," Oh, man!"
238,  What does it do?
239,Huh?
240, Does it do anything?
241,  I don't know.
242,That's what I'm trying to find out.
243,I can't even figure out how to turn it on.
244,Maybe that's why it was rejected.
245,"I mean, nobody wants a toy that doesn't work."
246,"I'm telling you, it's it's not a toy and it's not a reject."
247,sighs Not anymore.
248,Okay.
249,How about I come over tomorrow and take a look at it with you?
250,If you want to.
251,I could really use your expertise.
252,"Yeah. Yeah, of course I want to."
253,Just promise me one thing.
254,What?
255,"Don't tell anyone else about this, okay?"
256,Why?
257,I just think it would be better if it was a secret.
258,What aren't you telling me?
259,"I just think if only you and I You stole it, didn't you?"
260,"nervous laugh ""Stole""?"
261,That's a strong word.
262,"I'm telling you, they were going to throw it away."
263,Who?
264,"Where'd you get it, Noah?"
265,"Uh, it was in the crush pile."
266,Uhhuh...
267,In a vault.
268,Yeah...
269,At Time Labs.
270, What?!
271,  Shh!
272, Keep your voice down!
273, You stole a robot from Time Labs?
274,"I'm telling you , they were going to throw it away."
275,I didn't know you had it in you!
276,What are you doing?
277,sighs I can't find  my socket wrench.
278,Mark probably took it to fix his stupid skateboard.
279,"knocking Peter Hey, Noah?"
280,"It's getting late, buddy."
281,Time to go to bed.
282,"Okay, Dad."
283,Do you still wanna come over tomorrow?
284,Are you kidding me?
285,I have to see this thing in person!
286,But don't turn it on without me.
287,I'll see you then.
288,"Okay, good night."
289,sighs clatter Just put it back when you're done.
290,Is that too much to ask?
291,"boy Hey, come on!"
292,Let's go.
293, We gotta get out of here.
294,Come on!
295, boy 2 Let's go!
296," Come on, let's go!"
297, Yeah!
298,"thunder rolling Â¶Â¶ thudding footsteps screams screams, grunts gasps It it's alive."
299,It's alive!
300,It's okay.
301,I'm not going to hurt you.
302,"Hey, my name's Noah."
303,Noah Haley.
304,Do you have a name?
305,I am Artificial Robotic Intelligence unit 9.
306,"My Dad calls me ""ARI 9."" Uh, your dad?"
307,My creator gibberish Odd. My memory circuits seem to be scrambled.
308,Running diagnostics.
309,gasps Whoa!
310,It looks like I was recently exposed to a specific electromagnetic energy signature that matches my reboot protocols.
311,That explains it!
312,Nothing else would have woken me up.
313,Th this is amazing.
314,This is amazing.
315, Esto es increÃ­ble.
316,repeats in several foreign languages X marks the spot.
317,This is going to take a while.
318,I'll just let that run in the background.
319,Let's check the other systems.
320,"Uhoh, that isn't good."
321,I must have been asleep for at least five years.
322,Five years?!
323,How could you be asleep for gasps We have to be quiet.
324, Everyone else is  knocking What's going on in there?
325,Are you okay?
326,"Uh, stammers Everything's fine, Dad."
327,"Um, just getting ready for an early morning workout routine."
328,All right.
329,"You know, early bird gets the worm and all that."
330,Just keep it down this early in the morning. Okay?
331,Will do.
332, I don't understand.
333, Shh!
334,"Oh, right."
335,sotto I don't understand.
336,That was my dad.
337,He wants us to be quiet.
338,"No, I understand that."
339,What is a workout routine?
340,chuckles Come here and I'll show you.
341,hienergy music playing  Let's go!
342,thudding on ceiling music continues chuckles That was awesome.
343,What a great way to wake up.
344,So you've been asleep for five years?
345,That's the last thing I remember.
346,My dad put me into deep sleep.
347,I can't remember why.
348,He said it was dangerous.
349,He wanted to keep me safe.
350,"He was supposed to wake me up, but I'm here."
351,So something else must have triggered my reboot protocol.
352,And you said you're ARI 9.
353,Does that mean there were...
354,eight more of you?
355,The others must not have survived.
356,"Once I have repaired my memory, I should have more answers."
357,How long will that take?
358,The damage is fairly severe.
359,It may take days.
360,How much battery power do you have left?
361,It depends on how much power I use.
362,"My thorium plasma battery cells have been severely depleted, but if I keep my activity low, I should have a week and a half before I'm completely out of power."
363,"Once my memory is repaired, I'll know where to find my Dad."
364,He'll know how to recharge my batteries.
365,We'll find him.
366,"But in the meantime, I have to get ready for school."
367,I always wanted to go to school.
368,Can I go with you?
369,"Love the enthusiasm, but it might not be the best idea."
370,Please?
371,Oh!
372,Rita ...go every single day.
373,I will believe it once I see it.
374,Hey!
375, Come here.
376, Hey!
377," Missed you, honey."
378, How was work?
379," It was really, really good. Yeah."
380, Good.
381,"Oh, h how was your night?"
382,"I never well Uh, pretty quiet."
383,I slept all night.
384, Oh.
385," Nnot only that, he woke up early to get a workout in this morning."
386,ARI Early worms are for the birds.
387,Shh! Sure is a great day...
388, ARI giggling  ...for learning.
389,"I'll meet you in the car, Dad."
390,This early?
391,"Oh, that was energetic."
392,I guess he must've had a blast last night.
393, Yeah.
394, Yeah.
395,Sr. Executive Why would you scrap a perfectly good robot?
396,All the time and money?
397,For what?
398,"The A.R.I. 9 was proving to be quite the liability, sir."
399,We could never successfully wake it from sleep mode.
400,"But it's not an entire loss, sir."
401,We're working with the X1.
402,The only thing that we need to build from scratch   is the internal processor.
403," The brain, if you will."
404,Do you hear yourselves?
405,A brainless robot is just about as useful to me as a washing machine.
406,"Why don't you pull the code you need from the brain of the nonfunctional A.R.I. 9,  stick it in the brain  for the X1?"
407,That just might work.
408,"Yeah, of course it will work."
409,There's a reason they pay me the big bucks.
410,"chuckles So the, uh, project X1 is a go then, sir?"
411,You have one week to deliver real results.
412," Otherwise, the board's gonna  pull your funding out  in the end."
413,"Braddock No, sir,  we won't let you down."
414," It's a new design,  one that is superior  to the A.R.I. 9 in every way."
415,"Uh, I'm, uh, afraid that it  It it appea  appears we have a Spit it out, Simon."
416,The A.R.I. 9 is gone.
417," What do you mean, ""gone""?"
418,"   After the last attempt, the A.R.I. 9 was placed on a cart  and stored right here  in the vault for dismantling."
419, And?
420, The cart the A.R.I. 9 was on is empty.
421,"Well, he didn't just get up and walk out."
422,Or did we do it?
423, Did it work?
424,  It's highly unlikely.
425,The A.R.I. 9 was unresponsive when we disconnected it from the flux array.
426,"Without some kind of external catalyst,  I don't see  how it's possible Why can't we just check the security footage and see what happened?"
427,"There's been a minor setback in the security department, sir."
428,"The power surge from the last attempt to wake the A.R.I. 9 resulted in a shock wave that terminated any electronic devices operating within Yes, all the video cameras went offline and did not record for several hours after the last attempt."
429, All of them?
430," Well, our wing, sir, and uh, the the entire facility, and three other buildings on the block."
431,The news has reported that it was an EMP and now we have a bunch of conspiracy bloggers on the Internet that think we are hiding aliens.
432,"sighs laughs If the A.R.I. 9 is causing this much chaos in sleep mode, perhaps we should take a hint and move on to something else."
433,"I've often thought the same thing myself Sir, I know how frustrating this is for you."
434,"A.R.I. 9 is very special, sir."
435,"And if it is out there fully operational in the real world, well, this could be a PR nightmare, sir."
436,The A.R.I. 9 is the only thing we have to show for all the millions they've poured into this program.
437,And a really healthy quarter would help us save face.
438,"All right, listen."
439,"You have two days to find that thing, get it back here."
440," If it's functional, great."
441," If not, pluck out the brain  and stick it in the X1."
442,"Oh, sir, that is a very smart strategy."
443,Would you like me to assemble a team and track this robot down?
444,Local police?
445,Former soldiers.
446,They would be more discreet.
447,Mercenaries?
448,"No, they prefer to be called ""security contractors,"" sir."
449,Â¶Â¶ You turned it on without me!
450,I woke up this morning and he was just walking around my room.
451,"At first, he was scared, and to be honest, so was I."
452," You keep saying ""he.""  He's alive, Bethany."
453,"scoffs ARI, this is Bethany."
454,She's my friend.
455,"Well, some would even say best friend."
456,"It's nice to meet you, ARI."
457,"It's very nice to meet you, Bethany."
458,ARI just said my name.
459,That is so cool!
460,What did your dad say?
461,"Um, he doesn't know about it yet."
462,I'm a secret!
463,"You're trying to keep him a secret, but you brought him here?"
464,I've always wanted to go to school.
465,He really wanted to come with me.
466,"I mean, what was I supposed to say?"
467,"Oh, good luck keeping this under wraps."
468,"Noah, why am I a secret?"
469,"Yeah, Noah."
470,Why is ARI a secret?
471,"Um, because..."
472,I sort of stole you.
473,"What? Noah, I thought we were friends."
474,We are.
475,I took you out of a bad place.
476,They were going to crush you and dismantle you.
477,So... you saved me.
478,"Yeah, um, guess I did. chuckles Thank you, Noah."
479,"Hey, you would do the same for me."
480,You bet I would.
481,But I don't understand.
482,Why would my Dad send me to be crushed and dismantled?
483,"Did you say ""Dad""?"
484,"How can, like  Who's who's your dad?"
485, Not sure yet.
486,It's a long story.
487,His memory is coming back to him a little bit at a time.
488,And we have to find it before next week or my batteries are gibberish snickering We have to be quiet.
489,Â¶Â¶ bell rings ARI beeping Shh! Don't make so much noise!
490,Mr. Stanny Good morning.
491,I hope everyone had a good night's sleep.
492,I want to remind you that your creative projects are due on Friday.
493, mechanical noise  Shh.
494," students chattering  Oh, hold on."
495,"However, today we're gonna resume our old essays."
496,Does anyone recall where we left off?
497,message sent tone plays Okay...
498,Um... Noah.
499,"Do you mind coming up and sharing your essay with the class, please?"
500," imitates fart  students laugh Zack, we don't need any of that today."
501,"It was Noah, Mr. Stanny."
502,Do both of you wanna go to the office?
503,"sighs Go ahead, Noah."
504,Ahem.
505,"""Friendship by Noah Haley."
506,"Sometimes in life there are these cosmic intersections of fates, people in time that channel pathways to friendships that will change your life."
507,"As people, as beings with intelligence, we understand that friendship can be something that makes us laugh, something that makes you cry, makes you wonder out loud."
508,"And if you're lucky, it can lead to a long and lasting friendship that goes on for decades."
509,Perhaps even forever.
510,Having a friend is a gift...
511,like a flower.
512,"You you have to give it attention, good nutrients."
513,And let your friend know how much you love them.
514,"With nearly 8 billion people on the planet, your friend chose to share their time with you."
515,Friendship is a gift.
516,It's not something to squander or waste.
517,Friendship is...
518,"something to protect, to hold close, and, uh, appreciate."" indistinct chatter Pass interference!"
519,Noah! Hey.
520,"Wherever that came from in there, you're on the right track, kid."
521,Thanks.
522,No problem.
523,"Keep it up, man."
524, Hey.
525, How did I do?
526,It was really touching.
527,It actually felt like you put some effort in the writing.
528,It was from the heart.
529,"Now put that in your Social Studies project, okay?"
530,Â¶Â¶ From downtown!
531,"Nothing but net, Noah!"
532,chuckles Coast is clear.
533,Where are we?
534,Just taking a little break.
535,I'm tired.
536,Tired?
537,"Yeah, like I'm recharging my batteries."
538,How do you recharge?
539, Like this.
540, That's it?
541,"Well, eventually, I have to eat food and drink water, stuff like that."
542, I can't do those things.
543," Good thing, 'cause if you're already heavy, I don't think I could carry you around."
544,"Hey, what are you trying to say?"
545,"Nothing, it's just..."
546,you're solid.
547,It's muscle mass.
548,Or II guess metal mass.
549,"All it means is, I really do need to work out more."
550,playing aerobics routine music Where's that stupid music coming from?
551,"Oh, no! It's those mean kids from class."
552, You can turn invisible?
553, Apparently.
554," chuckles  Oh, wow, this is so cool!"
555,"Look, it's Dorkus McBrainy playing all by himself."
556,"Look, guys, can we do this tomorrow?"
557,I gotta get home.
558,"Nice try, snot rag, but we got plans for you."
559,"That's sweet, but really you shshouldn't have."
560,"laughing He's a real comedian, isn't he?"
561, A real smart mouth.
562," grunts I don't like smart mouths, especially Hey, I'm talking to you!"
563,Didn't your mother ever teach you any manners?
564,We're just trying to have a friendly conversation.
565,And after you gave such a great speech on friendship I found it very moving.
566,What did I tell you?
567,Â¶Â¶  How are you doing that?
568, Zack Is he so smart that he has brain powers?
569,"grunts, groans You guys should probably go."
570,Zack I hate vegetables!
571,sighs chuckles That's incredible.
572,Glad I could help.
573,Are you all right?
574,I am now.
575,Let's get out of here.
576,"computer beeping Sir? Uh, Director Raddock?"
577,You may wanna see this.
578,This data set is coming in from a currently active A.R.I.
579,It says here that it's recompiling its memory and running various system repairs.
580,One of those repairs must have activated the mainframe uplink.
581,So this is coming in from the A.R.I. 9 now?
582," Yes, sir."
583," Well, can you talk to it?"
584,Can you tell it to come back?
585,"Unfortunately not, sir."
586,The A.R.I. 9 was designed as a completely independent processor.
587,It's supposed to think for itself.
588,What about this?
589,That would simply reboot it into combat mode.
590,It's an altered emergency state of consciousness that interprets everything as an incoming threat.
591,"It would still be autonomous, just much more aggressive."
592,"Wait, so, uh how can we use this to our advantage?"
593,I suppose I could reverse engineer a backdoor protocol and siphon data to pinpoint its location.
594,"Yes, yes, so you you can track it?"
595,"It may take some time, but yes, II think I can."
596,"chuckling Dr. Simon, you gifted little weasel, you!"
597,That's exactly what we needed!
598,"laughs Titan, assemble your team."
599,We have a job to do.
600,phone keys clacking Which one is your Social Studies project?
601,"Uh, they are all more like science projects."
602,"When it comes to Social Studies, I just get overwhelmed."
603,Overwhelmed?
604,Overloaded circuitry is a common problem.
605,"You should combine tasks, play to your strengths."
606,Make a scientific Social Studies project.
607,That's a really good idea.
608,What can I say?
609,"I'm pretty much a geniu Hi, my name is ARI."
610,Who are you?
611,"I get it, the silent type."
612,"You're shy, I respect that."
613,You didn't tell me you had this beautiful woman living here.
614,"Look, I'm new in town and I don't really know anybody."
615,Any chance we can go partsshopping sometime?
616," Hey, buddy, we need to have a talk."
617, Now?
618,I'll be right back.
619,My associate needs to have a quick word with me.
620,I didn't mean to break things up back there.
621, 'Cause you're my friend.
622, Yes.
623,"Because I'm your friend, I'm going to tell you something."
624,"I know you wanna find your special someone and Right, like you have Bethany."
625,"What? No, uh, Bethany and I are just friends."
626,Only friends.
627,Nothing else.
628,But she is special?
629,"Yes, she is special."
630,"But we're friends, only friends, and that's okay."
631,"Look, you're talking to a You're afraid I'm gonna get hurt."
632,I appreciate that.
633,"No, that's not what I was gonna say."
634,"Look, buddy, you're talking to a vacuum cleaner."
635,"Don't be like that, Noah!"
636,I don't care what her job is.
637,"Okay, I'm sorry."
