,dialog
0,YTS.MX Official YIFY movies site: YTS.MX Kaijyu Theatre Presents Regular Size Monsters Series Shinya Tsukamoto's Film Tomoroh Taguchi in TETSUO  THE IRON MAN Hello.
1,Are you okay?
2,"You know, ever since..."
3,I've felt very strange since the hitandrun accident.
4, Come on!
5, Don't.
6,Stop!
7,Hurts!
8,What are you doing?
9,"Hey, what's the matter?"
10,It's nothing.
11,"Don't ever leave me, okay?"
12,What is it?
13,Don't! Don't open the door!
14,This is too much to take.
15,Let me in.
16,Nothing much scares me.
17,Stay away!
18,What is going on here?
19,How the hell did this happen to me?
20,"C'mon, open up!"
21,No! You'll hate me!
22,I told you... I don't scare easily.
23,"Okay, you like what you see?"
24,I can't show you any more.
25,I'm being punished. That must be it.
26,I told you I could take it.
27,Don't leave me alone...
28,Nothing shocks me.
29,Damn! Damn it!
30,"You can take it, huh?"
31,Stop!
32,You want a taste of my sewage pipe?
33,What the fuck is this?
34,This is unbelievable!
35,How did you make it here?
36,There's a piece of metal stuck in your brain.
37,I can't believe you're still alive!
38,What genius inserted it?
39,You'll die if it's removed.
40,Think of it as jewellery.
41,It's repaired.
42,So you've done it again.
43,Don't bother to hang up.
44,I know all about you.
45,You can't escape me.
46,"Drop dead, you metal freak!"
47,Drop dead!
48,Are you alright? Are you...
49,"Hey, he's watching us!"
50,He's looking at us.
51,"Honey, he's... watching us."
52,Fantastic!
53,You didn't die!
54,Long time no see...
55,Soon even your brain will turn into metal.
56,Let me show you something wonderful.
57,A new world!
58,Come on!
59,"Hey, come on!"
60,Come on!
61,"Hey, boy..."
62,Stop it!
63,Don't!
64,Stop!
65,Come on!
66,You see all this rust on my body?
67,My first metal implant was already rusty...
68,before my cells began to assimilate it.
69,But your shaver was stainless steel!
70,I'll finish you!
71,Fuck you!
72,Don't you understand?
73,Your future is metal!
74,"Damn, you want to rust yourself to death?"
75,Stop resisting!
76,Ah... I feel great.
77,We can mutate the whole world into metal.
78,We can rust the world into the dust of the universe.
79,Let's do it.
80,Our love can destroy this whole fucking world.
81,Get 'em!
82,"Salaryman: Tomorah Taguchi Girlfriend: Kai Fujiwara Woman in Glasses: Nobo Kanaoka Fetishist: Shinya Tsukamoto Doctor: Naomasa Musaka Tramp: Renji Ishibashi Script / Art Direction / Lighting Editor / Special Effects: Shinya Tsukamoto Assistant Director / Wardrobe: Kai Fujiwara Photography: Shinya Tsukamoto and Kai Fujiwara Music: Chu Ishikawa Music Operator: Mitsuhiro Ozaki Insert Music: Akio Okusawa Recording: Asahi Sound Studio Production Assistants: Nobu Kanaoka, Hiroyuki Kobato, Tomoko Ishigami, Tomoko Kodaka Translation: Kiyo Joo & Tony Rayns A Kaijyu Theatre Production With the cooperation of: japan Home Video / K2 Spirit / S.E.N."
