,dialog
0,Subtitles by explosiveskull www.OpenSubtitles.org âª From the day we arrive âª On the planet âª And blinking Step into the sun âª There's more to see than can ever be seen âª More to do than can ever be done âª There's far too much to take in here âª More to find than can ever be found âª But the sun rolling high âª Through the sapphire sky âª Keeps great and small on the endless round âª It's the circle of life âª And it moves us all âª Through despair and hope âª Through faith and love âª Till we find our place âª On the path unwinding âª In the circle âª The circle of life âª It's the circle of life âª And it moves us all âª Through despair and hope âª Through faith and love âª Till we find our place âª On the path unwinding âª In the circle âª The circle of life âª Life's not fair...
1,"is it, my little friend?"
2,While some are born to feast...
3,"others spend their lives in the dark, begging for scraps."
4,The way I see it...
5,you and I are exactly the same.
6,We both want to find a way out.
7,The king approaches!
8,This is not a drill.
9,His Majesty has requested an audience.
10,"Upon his entrance, you will rise and genuflect."
11,Zazu...
12,you've made me lose my lunch.
13,You will answer to Mufasa for missing the ceremony this morning.
14,I answer to no one.
15,Scar? Scar. Scar.
16,"No, no."
17,Don't look at me like that.
18,"Are you hungry, Zazu?"
19,Perhaps we could have a bite together!
20,You can't eat me!
21,It is forbidden to eat a member of the king's court!
22,"Ow! No, please! Stop it!"
23,Scar!
24,"Well, look who's come down to mingle with the commoners."
25,Sarabi and I didn't see you at the presentation of Simba.
26,Was that today?
27,Must've slipped my mind.
28,Of course I meant no disrespect towards His Majesty or Sarabi.
29,"As you know, I have tremendous respect for the queen."
30,"As the king's brother, you should've been first in line."
31,I was first in line.
32,Or don't you remember?
33,"That is, until the precious prince arrived."
34,"Don't turn your back on me, Scar."
35,"Oh, no, Mufasa, perhaps you shouldn't turn your back on me."
36,Is that a challenge?
37,I wouldn't dream of challenging you again.
38,A wise decision.
39,You are no match for His Royalness.
40,"Well, as far as brains go, I got the lion's share."
41,"But when it comes to brute strength, I'm afraid my big brother..."
42,will always rule.
43,"Not always, Scar."
44,"One day, it'll be my son who rules."
45,Simba will be your king.
46,Then long live the king.
47, What am I gonna do with him?
48," Oh, come on."
49,We both know he should've been expelled from the Pride Lands long ago.
50,"He's my brother, Zazu."
51,This is his home.
52,"As long as I am king, that will never change."
53,"Well, there's one in every family, sire."
54,I had a cousin who thought he was a woodpecker.
55,"He slammed his head into trees, and our beaks aren't built for it."
56,He was concussed regularly.
57,"Oh, you've gone."
58,"Uh, sire, coming back!"
59,Simba.
60,"Dad, you awake?"
61,"Dad, wake up!"
62,Dad!
63,"Dad, Dad, Dad!"
64,Your son's awake.
65,"Before sunrise, he's your son."
66,"Come on, Dad, let's go."
67,You said I could patrol with you today.
68,And today has started.
69,You promised!
70,You up?
71,Let's do this!
72,Let's do this.
73,"So, what's first?"
74,Give orders for the hunt?
75,Chase away evil intruders?
76,Dad! You're going the wrong way!
77,Dad?
78,I'm not supposed to go up here.
79,"Look, Simba."
80,Everything the light touches is our kingdom.
81,You rule all of that?
82,Yes.
83,But a king's time as ruler...
84,rises and falls like the sun.
85,"One day, Simba..."
86,the sun will set on my time here...
87,and will rise with you as the new king.
88,All of this will belong to me?
89,"It belongs to no one, but will be yours to protect."
90,A great responsibility.
91,Everything the light touches?
92,Those trees?
93,And the watering hole?
94,And that mountain?
95,And beyond those shadows?
96,"You must not go there, Simba."
97,But I thought a king could do whatever he wants.
98,Take any territory.
99,While others search for what they can take...
100,a true king searches for what he can give.
101,Everything you see exists together in a delicate balance.
102,"As king, you need to understand that balance..."
103,and respect all the creatures...
104,from the crawling ant to the leaping antelope.
105,"But, Dad, don't we eat the antelope?"
106,"Yes, Simba."
107,But let me explain.
108,"When we die, our bodies become the grass..."
109,and the antelope eat the grass...
110,and so we are all connected in the great circle of life.
111, Sire!
112," Morning, Zazu."
113,Do you have the morning report?
114,"Yes, sire."
115,Ten flamingos are taking a stand.
116,Two giraffe were caught necking.
117,The buzz from the bees...
118,is that the leopards are in a bit of a spot.
119,Ready for some fun?
120,The birds are tweeting at 4:00 in the morning.
121,"I'm like, ""Birds, we get it."" Stay low to the ground."
122,I got this.
123,"Check the wind, the shadows..."
124,and wait for the perfect moment to pounce.
125,"The cheetahs stole the baboons' dinner, and now the baboons are going ape."
126,"Of course, as I say, cheetahs never prosper."
127,That's what I say.
128,Do you get...
129,I'll say it again.
130,Cheetahs never...
131,Come on! It's the news!
132,That's very good!
133,Sire!
134,Sire! Hyenas in the Pride Lands.
135,They're on the hunt!
136,Where's Sarabi?
137,She's leading the charge.
138,"Zazu, take Simba home."
139,"Dad, let me come! I can help."
140,"No, son. You stay with the other cubs."
141,I am not a cub.
142,Come on.
143,Let's go home.
144,Here we are.
145,Now you go along and play with the other cubs.
146,Great.
147,If you wish to kill something...
148,you might want to stay downwind.
149,"I know how to hunt, Uncle Scar."
150,"Well, let's hope we're never attacked by a beetle."
151,"Go back to your den, Simba."
152,I don't babysit.
153,Babysit? I'm gonna be the king of Pride Rock.
154,My dad showed me the whole kingdom.
155,Said I'm going to rule it all.
156,Is that so?
157,Think about it.
158,"When I'm king, I'll have to give you orders."
159,Tell you what to do.
160,How weird is that?
161,You've no idea.
162,"So, your dad showed you the whole kingdom?"
163,Did he show you the shadows beyond the northern borders?
164,No. He said I can't go there. Ever.
165,And he's absolutely right.
166,An elephant graveyard is no place for a young prince.
167,An elephant graveyard?
168,Whoa.
169,"Oh, dear."
170,I've said too much.
171,Though I suppose you'd have found out sooner or later...
172,you being king and all.
173,You've been there?
174,We've all been there.
175,And it's no place for a cub.
176,All those rotting bones...
177,and burning pools of oozing mud.
178,Rotting bones?
179,Oozing mud?
180,"Promise me you'll stay away, Simba."
181,"Now, you run along."
182,And remember...
183,it's our little secret...
184,Your Majesty.
185,Nala! Come on.
186,We have to go.
187, Where?
188, Watering hole.
189,"Simba, she's having her bath."
190,And it's time for yours.
191,"But, Mom..."
192,I can do it myself.
193,Hold still.
194,You're messing up my mane!
195,Come on.
196,Behind the ears.
197,"Come on, Mom!"
198,See? All clean. Can we go?
199,There's no hyenas.
200,You just chased them all off.
201,Just to the watering hole and no further.
202,And stay downwind.
203,And one more little thing.
204,Zazu will be going with you.
205,Zazu?
206,Zazu goes...
207,or you don't.
