,dialog
0,We come in peace for cats and mice everywhere.
1,"Hey, how you doing? Good to see you."
2,Thanks for coming out.
3,Itchy ... Itchy ...
4,Boring!
5,"Dad, we can't see the movie."
6,I can't believe we're paying to see something we get on TV for free.
7,"If you ask me, everybody in this theater is a giant sucker."
8,Especially you.
9,Especially you.
10,Movie on the big screen!
11,Excuse me. My heinie is dipping.
12,"All right, well, thanks a lot for coming."
13,We've been playing for three and a half hours.
14,Now we'd like just a minute of your time to say something about the environment.
15, You suck!
16, Shut up and play!
17, Preachy!
18, We're not being preachy.
19,"But the pollution in your lake, it's dissolving our barge."
20,I thought they touched on a vital issue.
21,I beg to differ.
22,"Gentlemen, it's been an honor playing with you tonight."
23,For the latest rock band to die in our town ...
24,"Lord, hear our prayer."
25,"Lord, hear our prayer."
26,I hate being late.
27,"Well, I hate going."
28,Why can't I worship the Lord in my own way ...
29,by praying like hell on my deathbed?
30,"Homer, they can hear you inside."
31,Relax. Those pious morons are too busy talking to their phonybaloney God.
32,How you doing? Peace be with you.
33,Praise Jebus.
34,Today I'd like to try something a little different.
35,I'm going to call on one of you!
36,"Now, the word of God dwells within everyone."
37,I want you to let that word out.
38,Let your spirit ...
39,"What is it, Ned?"
40,The good Lord is telling me to confess to something.
41,"Gay, gay, gay."
42,An immodest sense of pride in our community.
43,Somebody else?
44,Let the Lord's light shine upon you.
45,Feel the spirit.
46,Let it out!
47,"Horrible, horrible things are going to happen!"
48,And they're gonna happen to you!
49,And you! And you! And you.
50,"Whoa, nelly!"
51,"People of Springfield, heed this warning: Twisted tail!"
52,A thousand eyes!
53,Trapped forever!
54,"Dad, do something!"
55,This book doesn't have any answers!
56,Beware! Beware! Time is short!
57,Believe me! Believe me!
58,Thanks for listening.
59,"Okay, who wants waffles?"
60,"I do, I do, I do!"
61,Wait a minute. What about Grampa?
62, I want syrup!
63, I want strawberries!
64,Something happened to that man.
65,I'll tell you what happened to him.
66,A certain someone had a senior moment.
67,"But that's okay, because we love him and we got a free rug out of it."
68,What is the point of going to church every Sunday ...
69,"when if someone we love has a genuine religious experience, we ignore it?"
70,"Right, Grampa?"
71,I want bananas on my waffles.
72,I rest my case.
73,I'm not dropping this.
74,Wait a minute.
75,I'm still in the car.
76,"Oh, right."
77,"""Take out hornets' nest."" Check. ""Fix sinkhole."" Check."
78,"""Reshingle roof""?"
79,Steady.
80,Steady.
81,"Why, you little ...!"
82,I'll teach you to laugh at something that's funny!
83,"You know, we are on the roof."
84,We could have some fun.
85,What kind of fun?
86,How about a dare contest?
87,That sounds fun.
88,I dare you to ...
89,climb the TV antenna!
90, Piece of cake.
91, Earthquake!
92,Aftershock!
93,"Homer, I don't mean to be a Nervous Pervis ..."
94,"but if he falls, couldn't that make your boy a paraplegearino?"
95,"Shut up, Flanders."
96," Yeah, shut up, Flanders."
97," Well said, boy."
98,Steady. Steady.
99,Steady ...
100,Hello. Sorry to bother you on a Sunday ...
101,but I'm sure you're as worried about the pollution in Lake Springfield as I am.
102,Lake Springfield has higher levels of mercury than ev ...
103,"Why, it's the little girl who saved my cat."
104,Lake Springfield is ...
105,"Come on over, Lisa."
106,You can canvass me as long as you want.
107,"Milhouse, you don't care about the environment."
108,Hey. I am very passionate about the planet.
109,Say global warming is a myth.
110,It's a myth!
111,Further study is needed!
112,That's for selling out your beliefs.
113,"Oh, poor Milhouse."
114,Dream coming true.
115,Are you aware that a leaky faucet can waste over ...?
116,Two thousand gallons a year.
117, Turning off lights can save ...
118, Enough energy to power Pittsburgh.
119,And if we kept our thermostats at 68 in winter ...
120,We'd be free from our dependency on foreign oil in 17 years.
121,I'm Colin.
122,I haven't seen you at school.
123,Moved from Ireland.
124,My dad's a musician.
125, Is he ...?
126, He's not Bono.
127," I just thought, because you're Irish and ..."
128, He's not Bono.
129,Do you play?
130,"Just piano, guitar, trumpet, drums and bass."
131,He's pure gold.
132,"For once in your life, be cool."
133,So is your name as pretty as your face?
134,You okay there?
135,Twisted tail! A thousand eyes!
136,Trapped forever!
137,What could that be?
138,I believe it's the sound the Green Lantern made ...
139,when Sinestro threw him into a vat of acid.
140,Yeah. Thanks for coming over.
141,Thanks for giving me your pregnancy pants.
142,Never known comfort like this.
143,Why did I suggest this?
144,"All right, boy, time for the ultimate dare."
145,I dare you to skateboard to Krusty Burger and back ...
146,naked.
147, How naked?
148, Fourth base.
149,Girls might see my doodle.
150,"Oh, I see. Then I hereby declare you chicken for life."
151,"Every morning, you'll wake up to ""Good morning, chicken""."
152,"At your wedding, I'll sing: I like men now."
153,Don't look where I'm pointing!
154,Stop in the name of American squeamishness!
155,"Boys, before we eat, don't forget to thank the Lord for this bountiful ..."
156,Penis?!
157, Bountiful penis.
158, Bountiful penis.
159,Amen.
160,"Listen, kid, nobody likes wearing clothes in public, but, you know, it's the law."
161,Lunchtime!
162,You can't just leave me out here.
163,"Don't worry, we found a friend for you to play with."
164,"Nelson, honey, where have you been?"
165, Dad!
166," What seems to be the problem, officers?"
167,Tell him you dared me to do it.
168,"If that's true, then you should be taking the rap here, not your son."
169,And what happens to me if it's my fault?
170,You'll have to attend a onehour parenting class.
171,It was all his idea!
172,"He's out of control, I tell you!"
173,I'm at my wits' end.
174,It's so ...
175,"See you in court, kid."
176,"Okay, son, let's get some lunch."
177,Did you at least bring my clothes?
178,"Shirt, socks, everything you need."
179, You didn't bring my pants.
180," Who am I, Tommy Bahama?"
181,This is the worst day of my life.
182,The worst day of your life so far.
183," Say, Bart?"
184," What do you want, Flanders?"
185,"If you need pants, I carry an extra pair."
186,"You know how boys are, always praying through the knees."
187,Why are you helping me?
188,I'm not your kid.
189,We're neighbors. I'm sure your father would do the same for my boys.
190,Thank you.
191," Hey, what's with you?"
192, You really wanna know?
193,Of course I do.
194,What kind of a father wouldn't care about ...?
195,A pig wearing a hat!
196,Action.
197,"Hey, hey! It's your old pal Krusty, for my new pork sandwich, the Klogger."
198,"If you can find a greasier sandwich, you're in Mexico!"
199,And we're clear.
200,"Perfect. Cut, print, kill the pig."
201,What ...?! You can't kill him if he's wearing people clothes!
202,You're coming home with me.
203,"""A thousand eyes."" What could that be?"
204,I'm pretty sure a thousand is a number.
205,"Hey, Marge. Isn't it great being married to someone who's recklessly impulsive?"
206,"Actually, it's aged me horribly."
207,Then say hello to the newest Simpson.
208,Homer!
209,I believe what happened in church was a warning about precisely this.
210,"Please, get rid of that pig."
211,"Oh, you're gonna love him."
212,"Look, he does an impression of you."
213,You nailed her.
214,He also does me.
215,You smiled. I'm off the hook.
216,"Oh, you have so many looks."
217,So that's what snug is.
218,Who's a good pig?
219,Who's a good pig?
220,"Rough day, huh, son?"
221,"You don't know what rough is, sister."
222,"Bart, you know, whenever my boys bake up a batch of frownies ..."
223,I take them fishing.
224,Does your dad ever take you fishing?
225,"Dad, it's not fair to use a bug zapper to catch the fish."
226,"If you love fish like I do, you want them to die with dignity."
227,I think I have a nibble.
