,dialog
0,with genius IQs living in China than there are people of any kind living in the United States?
1, That can't possibly be true.
2, It is.
3,What would account for that?
4,"Well, first, an awful lot of people live in China, but here's my question."
5,How do you distinguish yourself in a population of people who all got 1600 on their SATs?
6, I didn't know they take SATs in China.
7, They don't.
8,"I wasn't talking about China anymore, I was talking about me."
9,You got a 1600?
10,"Yes. I could sing in an a Capella group, but I can't sing."
11,Does that mean you actually got nothing wrong?
12,I could row crew or invent a $25 PC.
13,Or you could get into a final club.
14,Or I get into a final club.
15,"You know, from a woman's perspective, sometimes not singing in an a Capella group is a good thing."
16,This is serious.
17,"On the other hand, I do like guys who row crew."
18,"Well, I can't do that."
19,I was kidding.
20,"And, yes, I got nothing wrong on the test."
21, Have you ever tried?
22, I'm trying right now.
23, To row crew?
24, To get into a final club.
25,To row crew? No.
26,"Are you, like, whatever, delusional?"
27,Maybe it's just sometimes you say two things at once.
28,I'm not sure which one I'm supposed to be aiming at.
29,"But you've seen guys who row crew, right?"
30,No.
31,"Okay, well, they're bigger than me."
32,They're worldclass athletes.
33,"And a second ago, you said you like guys who row crew so I assumed you had met one."
34,I guess I just meant I like the idea of it.
35,"You know, the way a girl likes cowboys."
36,Okay.
37,Should we get something to eat?
38,Would you like to talk about something else?
39,"No. It's just since the beginning of the conversation about finals club, I think I may have missed a birthday."
40,There are really more people in China with genius IQs than the entire population...
41,The Phoenix is the most diverse.
42,The Fly Club... Roosevelt punched the Porc.
43,Which one?
44,"The Porcellian, the Porc."
45,It's the best of the best.
46, Which Roosevelt?
47, Theodore.
48,Is it true that they send a bus around to pick up girls who want to party with the next Fed chairman?
49,So you can see why it's so important to get in.
50,"Okay, well, which is the easiest to get into?"
51, Why would you ask me that?
52, I was just asking.
53,None of them. That's the point.
54,"My friend Eduardo made $300,000 betting oil futures one summer and Eduardo won't come close to getting in."
55,The ability to make money doesn't impress anybody around here.
56,Must be nice.
57,"He made $300,000 in a summer?"
58, He likes meteorology.
59, You said it was oil futures.
60,"You can read the weather, you can predict the price of heating oil."
61,I think you asked me that because you think the final club that's easiest to get into is the one where I'll have the best chance.
62,I... What?
63,You asked me which one was the easiest to get into because you think that that's the one where I'll have the best chance.
64,The one that's the easiest to get into would be the one where anybody has the best chance.
65,"You didn't ask me which one was the best one, you asked me which one was the easiest one."
66,"I was honestly just asking, okay?"
67,I was just asking to ask.
68," Mark, I'm not speaking in code."
69, Erica.
70,You're obsessed with finals clubs.
71,You have finals clubs OCD and you need to see someone about it who will prescribe you some sort of medication.
72,You don't care if the side effects may include blindness.
73,"Final clubs. Not ""finals clubs."" And there's a difference between being obsessed and being motivated."
74,Yes. There is.
75,"Well, you do."
76,"That was cryptic, so you do speak in code."
77,I didn't mean to be cryptic.
78,I'm just saying I need to do something substantial in order to get the attention of the clubs.
79, Why?
80, Because they're exclusive.
81,"And fun, and they lead to a better life."
82,Teddy Roosevelt didn't get elected president because he was a member of the Phoenix Club.
83,"He was a member of the Porcellian, and yes, he did."
84,"Well, why don't you just concentrate on being the best you you can be?"
85,Did you really just say that?
86,I was kidding.
87,Just because something's trite doesn't make it less true.
88,I wanna try to be straightforward with you and tell you I think you might want to be a little more supportive.
89,"If I get in, I will be taking you to the events and the gatherings, and you'll be meeting a lot of people you wouldn't normally get to meet."
90,You would do that for me?
91,We're dating.
92,Okay.
93,"Well, I wanna try and be straightforward with you and let you know that we're not anymore."
94, What do you mean?
95, We're not dating anymore. I'm sorry.
96, Is this a joke?
97," No, it's not."
98,You're breaking up with me?
99,You're gonna introduce me to people I wouldn't normally have the chance to meet?
100,What the... What is that supposed to mean?
101," Wait, settle down."
102, What is it supposed to mean?
103,"Erica, the reason we're able to sit here and drink right now is 'cause you used to sleep with the door guy."
104,"""The door guy""? His name is Bobby."
105,I have not slept with the door guy.
106,"The door guy is a friend of mine, and he's a perfectly good class of people."
107,"And what part of Long Island are you from, Wimbledon?"
108," Wait. Wait, wait."
109, I'm going back to my dorm.
110, Is this real?
111, Yes.
112," Then wait, I apologize, okay?"
113, I have to go study.
114, Erica?
115, Yes?
116," I'm sorry, I mean it."
117," I appreciate that, but I have to go study."
118,"Come on, you don't have to study."
119,Let's just talk.
120, I can't.
121, Why?
122,Because it is exhausting.
123,Dating you is like dating a StairMaster.
124,All I meant is that you're not likely to...
125,Currently...
126,I wasn't making a comment on your appearance.
127,I was saying that you go to BU.
128,"I was stating a fact, that's all, and if it seemed rude, then I apologize."
129, I have to go study.
130, You don't have to study.
131,Why do you keep saying I don't have to study?
132,'Cause you go to BU.
133,Do you want to get some food?
134,I am sorry you are not sufficiently impressed with my education.
135,"And I'm sorry I don't have a rowboat, so we're even."
136, I think we should just be friends.
137, I don't want friends.
138,I was just being polite.
139,I have no intention of being friends with you.
140,"I'm under some pressure right now from my OS class and if we could just order some food, I think we should..."
141,"Okay, you are probably going to be a very successful computer person."
142,But you're gonna go through life thinking that girls don't like you because you're a nerd.
143,And I want you to know from the bottom of my heart that that won't be true.
144,It'll be because you're an asshole.
145,Erica Albright's a bitch.
146,"Do you think that's because her family changed their name from Albrecht, or do you think it's because all BU girls are bitches?"
147,"For the record, she may look like a 34C, but she's getting all kinds of help from our friends at Victoria's Secret."
148,"She's a 34B, as in barely anything there."
149,False advertising.
150,"The truth is, she has a nice face."
151,I need to do something to take my mind off her.
152,"Easy enough, except I need an idea."
153,"I'm a little intoxicated, I'm not gonna lie."
154,So what if it's not even 10:00 p.m.
155,And it's a Tuesday night?
156,Billy.
157,"The Kirkland facebook is open on my desktop, and some of these people have pretty horrendous facebook pics."
158,Billy Olson's sitting here and had the idea of putting some of the pictures next to pictures of farm animals and have people vote on who's hotter.
159,"Good call, Mr. Olson."
160,"Yeah, it's on."
161,"I'm not gonna do the farm animals, but I like the idea of comparing two people together."
162,"It gives the whole thing a very ""Turing"" feel since people's ratings of the pictures will be more implicit than, say, choosing a number to represent each person's hotness, like they do on hotornot. Com."
163,The first thing we're going to need is a lot of pictures.
164,"Unfortunately, Harvard doesn't keep a public centralized facebook, so I'm going to have to get all the images from the individual houses that people are in."
165,Let the hacking begin.
166,First up is Kirkland.
167,They keep everything open and allow indexes in their Apache configuration.
168,So a little Wget magic is all that's necessary to download the entire Kirkland facebook.
169,Kids' stuff.
170,Next is Eliot.
171,"They're also open, but with no indexes on Apache."
172,I can run an empty search and it returns all of the images in the database in a single page.
173,And I can save the page and Mozilla will save all the images for me.
174,Excellent. Moving right along.
175,Excuse me! Everybody!
176,"You are at one of the oldest, one of the most exclusive clubs, not just at Harvard, but in the world."
177,And I want to welcome you all to Phoenix Club's first party of the fall semester!
178,Lowell has some security.
