,dialog
0,PLAYS ON RADlO BOTH SlNGlNG DRlVER: What way? What way?
1,"DRlVER SlNGlNG: Boy, look at the clothes Oh, yeah."
2,TAPE SCRATCH lNG PASSENGER: l think your tape got eaten.
3,"DRlVER: Oh, Jesus."
4,Jesus. That was good.
5,"PASSENGER: Yeah. They're great, Creedence."
6,DRlVER: This thing's brandnew.
7,How about the radio?
8,DRlVER: Radio doesn't work.
9,You can't get anything out here.
10,No entertainment.
11,Now there's no entertainment.
12,Damn it!
13,"Well, guess we just have to talk to each other, huh?"
14,We talked to each other already.
15,"Yeah, l know where you're from."
16,"Hey, hey, hey."
17,Wanna see something real scary?
18,Sure.
19,"l love this, okay?"
20,"Yeah, what?"
21,"We're driving, right?"
22,Yeah.
23,lmagine not running out of gas.
24,"We have plenty of gas, all right?"
25,Yeah.
26,"Oh, my God."
27,What are those gravel beds up ahead?
28,They're gonna fly up and knock out our lights. Uhoh.
29,"PASSENGER: Hey, come on."
30,"DRlVER: Blackness. Oh, my goodness."
31,"Why, there could be nuns ahead."
32,We wouldn't even see them.
33,lsn't this amazing? Look.
34,PASSENGER: l don't know whether it's too safe DRlVER: l used to play chicken and see how far we could drive...
35,". ..without someone going, ""Stop."" PASSENGER: l don't know, l think you better DRlVER: Who's chicken, huh?"
36,"ls that a bear up there, huh?"
37,PASSENGER: Turn the lights on.
38,DRlVER LAUGHlNG Huh? Uhoh. More pebbles.
39,"Oh, my goodness."
40,"lt looks like they're out permanently this time. Ha, ha, ha."
41,PASSENGER: This is dangerous.
42,"DRlVER: No, the road's straight."
43,lt's kind of scary.
44,What is that up ahead?
45,"PASSENGER: Something might come up ahead DRlVER: A big, huge squirrel."
46,"Ha, ha, ha. Chicks love that."
47,That's scary enough.
48,"DRlVER: l know, l like it."
49,"Hey, you like trivia?"
50,Yeah.
51,"Okay, wanna play TV theme songs?"
52,PASSENGER: Sure.
53,You know how to play?
54,Well... .
55,l'll hum a theme song.
56,"lf you guess it, you get to hum one."
57,"lf l guess it, l get to have it back."
58,Okay.
59,"lf you get three in a row, you win."
60,"Okay, l'm good at that."
61,"Okay? Okay, l'll start."
62,HUMMlNG Wanna hint?
63,Sea Hunt.
64,"Sea Hunt, go."
65,All right.
66,HUMMlNG Perry Mason.
67,You got it.
68,HUMMlNG Bonanza. All right.
69,HUMMlNG Real McCoys.
70,No.
71,SlNGlNG Fred Gwynne was in it Beverly Hillbillies.
72,No.
73,Car 54.
74,That's it.
75,Thanks for the Fred Gwynne.
76,Absolutely.
77,How about this one?
78,HUMMlNG Know it?
79,SlNGlNG Look at that fossil It's stuck over there in the tar Look at that old man He looks like an old ape What is it?
80,l don't know.
81,DRlVER SlNGlNG: Look at that old bone It could be worth a bucks What is it?
82,l don't know.
83,"Look at those two apes This must be where they live Look at that city, let's continue to dig What is it?"
84,l don't know.
85,"It's National Geographic, National Geographic."
86,"Okay, all right."
87,"Okay, l got one for you."
88,DRlVER: Okay.
89,PASSENGER HUMMlNG BOTH HUMMlNG Yes.
90,What is it?
91,"l don't know, but you're doing it great."
92,DRlVER: Sounds like it was on CBS.
93,l don't know.
94,DRlVER: Give me a hint.
95,"Book him, Danno."
96,"Book him, Danno."
97,"DRlVER: Book him, Danno. Book him."
98,One more hint.
99,What was its locale?
100,PASSENGER: Surfboards.
101,Locale.
102,PASSENGER SlNGlNG: An island in the Pacific Ocean Gilligan's Island.
103,PASSENGER: With Jack Lord Hawaii Five0.
104,Yes.
105,"Oh, Jesus, l thought l was good at this."
106,Did you ever watch The Twilight Zone?
107,"HUMMlNG ""TWlLlGHT ZONE THEME"" Oh, God. Remember the Twilight Zone with Burgess Meredith?"
108,Remember? He loved to read.
109,And there was a nuclear war and he had no friends.
110,"He's in the library Oh, with the glasses."
111,"Yes. He was the last man, he broke his glasses."
112,Yeah.
113,Freaked me out.
114,"When l was 7, l bought another pair just in case that would happen."
115,"Oh, those shows. They were so good."
116,They were so scary.
117,"Yeah, they were great."
118,Remember where the guy had the stopwatch?
119,"Somebody gave him a stopwatch, he was this real obnoxious guy."
120,"He took the stopwatch, he hit it."
121,Everybody else in time froze but him.
122,That's an Outer Limits.
123,That was a Zone.
124,That's Outer Limits.
125,That was a Zone.
126,They had one about mannequins that turned into humans.
127,They were allowed to go out for two weeks.
128,One came back and it was over two weeks.
129,The other mannequins turned her into plastic.
130,"Boy, they were scary. They were great."
131,l loved it.
132,Hey.
133,You wanna see something really scary?
134,You bet.
135,Really?
136,Yeah.
137,"Okay, this is really, really scary, now."
138,l trust you.
139,"Okay, pull the car over."
140,Pull the car over? Oh.
141,You wanna see?
142,Show me while l driving.
143,l can't.
144,lt'll only take a couple of seconds.
145,"All right, two seconds, okay?"
146,Okay.
