,dialog
0,"and don't brag about it!:D There's a bunch of birds in the sky And some deers just went running by Oh, the snow's pure and white On the earth rich and brown Just another Sunday morning In my quiet mountain town The sun is shining And the grass is green Under the three feet of snow I mean This is the day When it's hard to wear a frown All the happy people stop To say hello  Out of my way!"
1," Even though the temperature's low It's a perfect Sunday morning In my quiet mountain town Well, good morning, Stan."
2," Mom, can I have $8 to see a movie?"
3, A movie?
4,It'll be the best movie ever.
5,A foreign film from Canada.
6, All right. But be back for supper.
7," Thanks, Mom."
8,"Oh, what a pictureperfect child Just like Jesus he's tender and mild He'd wear a smile While he wore a thorny crown What an angel with a heart So sweet and sure And a mind so open and pure Thank God we live In this quiet redneck mountain town Dude! Dude, wake up!"
9,"Kenny, come on!"
10,The Terrance and Phillip movie is out.
11,You wanna come?
12,Where do you think you're going?
13,You have to go to church!
14,"Well, fine."
15,Go ahead and miss church.
16,"When you die and go to hell, you can answer to Satan!"
17,You can see your breath Hanging in the air You see homeless people But you just don't care It's a sea of smiles In which we'd be glad to drown That's right!
18,"It's Sunday morning In our quiet little Whitebread redneck mountain town  Ready, Ike? Kick the baby!"
19, Don't kick the baby.
20,Kick the baby.
21,"Ike, you broke another window!"
22,That's a bad baby. Bad baby!
23,We're going to the Terrance and Phillip movie.
24,"Oh, my God!"
25,"Kyle, where are you going?"
26, We're going iceskating.
27, Take your brother.
28,He's not even my real brother.
29,He's adopted.
30,Do as I say!
31,"Okay, I'm sorry."
32,"Look at those frail and fragile boys It really gets me down The world is such a rotten place And city life's a complete disgrace That's why I moved to This redneck ""meshuggenah"" Quiet mountain town Ike! Bad baby!"
33,Brought to you by Snacky Smores...
34,...the fun of s'mores in a cookie.
35,"Mom, somebody's at the door!"
36," Coming, hon."
37, I can't see the TV!
38,It's been six weeks since Saddam Hussein was killed by wild boars...
39,...and the world is glad to be rid of him.
40,"Eric, it's your little friends."
41,What are you doing here?
42,"Sweet, dude. Yes!"
43,Off to the movies we shall go Where we learn everything That we know 'Cause the movies teach us What our parents don't have time to say And this movie's gonna Make our lives complete  'Cause Terrance and Phillip are sweet  Super sweet.
44,Thank God we live in the quiet little Redneck Podunk white trash U.S.A.
45,"Can I have five tickets to Terrance and Phillip ""Asses of Fire""?"
46,No.
47,What do you mean?
48,"""Asses of Fire"" is rated R by the Motion Picture Association of America."
49,You must be accompanied by a parent or guardian.
50, Why?
51, This movie has naughty language!
52,"Next, please."
53, This can't be happening.
54, We have to see it.
55,Screw it.
56,It probably isn't good anyway.
57,"Cartman, what do you mean?"
58,You love Terrance and Phillip.
59,But the animation's all crappy.
60,Wait. I've got an idea.
61,"Hi. I want six tickets to ""Asses of Fire""."
62,This movie may not be appropriate for the little ones.
63,He says this movie isn't appropriate for you.
64,"Mr. Homeless Guy, if you don't want $10..."
65,"...to buy a bottle of vodka, then be my guest."
66,"Six tickets, please."
67, Let me have some candy.
68, Let's see.
69,I don't have any Jewish candy.
70,"Like you need all that chocolate, fat boy!"
71,The movie's starting.
72,Hooray!
73,"Terrance, what did the Spanish priest say to the Iranian gynecologist?"
74,"I don't know, Phillip. What?"
75,Where do they find this stuff?
76,"You're such a pigfucker, Phillip."
77,What did he say?
78,Why'd you call me a pigfucker?
79,"Well, let's see."
80,"First of all, you fuck pigs."
81,"Oh, yeah."
82,"Well, fuck my ass and call me a bitch."
83,You shitfaced cockmaster.
84,"""Shitfaced cockmaster. "" You donkeyraping shiteater."
85,"""Donkeyraping shiteater. ""  You'd fuck your uncle!"
86, You'd fuck your uncle!
87,"Shut your fucking face Uncle fucker You're a cocksucking Asslicking unclefucker Yes, it's true Nobody fucks uncles quite like you Shut your fucking face Uncle fucker You're the one that fucked your uncle Uncle fucker You don't eat or mow the lawn You fuck your uncle all day long What's going on here?"
88, What garbage.
89, What do you expect? They're Canadian.
90,Shut your fucking face Uncle fucker You're a bonerbiting bastard Uncle fucker  You're an unclefucker I must say  You fucked your uncle yesterday Uncle fucker That's UNCLE fuck you Uncle fucker Suck my balls.
91, That movie was fucking sweet!
92, You bet your fucking ass it was!
93,"Fuck, I wanna be just like them."
94,"Wait, where's your guardian?"
95,"I knew it! You paid a homeless guy to get you in, didn't you?"
96,"Fuck off, you donkeyraping shiteater."
97,Shut your fucking face Uncle fucker You're an asslicking Ballsucking unclefucker Where have you been all day?
98,Nowhere. We just went to go see the Terrance and Phillip movie.
99,How'd you get in?
100,"Stop crowding us, shitfaced cockmasters!"
101,You're all assramming unclefuckers.
102,We've got to see this movie.
103,"Terrance and Phillip are Canadian, just like my brother."
104,There's the girl that I like Tell about when Terrance called Phillip a testicleshitting rectal wart.
105,"Now more than ever She gives me butterflies It makes my stomach queasy Every time she walks by Asshole, I'm talking to you."
106,I know I can be cool If I try Gross!
107,"Wendy, let us try to jump the hilly brush."
108,Who are you?
109,"Gregory. I transferred from Yardale, where I had a 4.0 grade point average."
110,Want to skate with us?
111,"We've been skating all morning, laughing and talking of memories past."
112,We saw the Terrance and Phillip movie.
113,"Try and catch me, Wendy."
114,"Bye, Stan."
115,I saw the Terrance and Phillip movie.
116,Who wants to touch me?
117,"I said, who wants to fucking touch me?"
118,We gotta see the Terrance and Phillip movie too.
119,"I hate you, Kenny."
120,"Shut your fucking face Uncle fucker You're a bonerbiting bastard Uncle fucker Okay, children, let's take our seats."
121,We have a lot to learn today.
122,"We sure do, Mr. Hat."
123,Let's start the day with a few new math problems.
124,What is five times two?
125,Don't be shy.
126,Just give it your best shot.
127," Yes, Clyde."
128, Twelve?
129,Now let's get an answer from someone who's not a complete retard.
130,"Anyone? Come on, don't be shy."
131,"I think I know the answer, Mr. Garrison."
132," Shut up, fat boy!"
133," Don't call me fat, you fucking Jew!"
134, Eric! Did you just say the Fword?
135," ""Jew""?"
136,"You can't say ""fuck"" in school, you fucking fat ass."
137,Why the fuck not?
138,"You said ""fuck"" again."
139,"What's the big deal? It doesn't hurt anybody. Fuck, fuckitty, fuck."
140,How would you like to go see the counselor?
141,How would you like to suck my balls?
142,What did you say?!
143,"I'm sorry, I'm sorry."
144,"Actually, what I said was..."
145,"...""How would you like to suck my balls, Mr. Garrison?"" Holy shit, dude."
146,I'm disappointed in you boys.
147,You should be ashamed of yourselves.
148,I've called in your mothers...
149, You called my mom?
150, That's right.
151,"Oh, no, dude!"
152," Mr. Mackey, can I ask a question?"
153," M'kay, what?"
154,What's the big fucking deal?
155,"I want to know where you heard these horrific obscenities, m'kay?"
156, Nowhere.
157, We heard them from Mr. Garrison before.
158,I seriously doubt that Mr. Garrison ever said...
159,"...""Eat penguin shit, you assspelunker. "" Sweet."
160,Thank you for coming on short notice.
161,"This isn't like you, Stanley."
162,"What did my son say, Mr. Mackey?"
163,Did he say the Sword?
164,"No, it was worse than that."
165,The Fword?
166,Here's a short list of the things they've been saying.
167," Oh, dear God."
168, What the heck is a rim job?
169,When you put your legs behind your head and have someone lick your ass.
170,Tell Mr. Mackey this instant where you heard all these horrible phrases!
171,We all swore ourselves to secrecy.
172, The Terrance and Phillip movie.
173, Dude!
174,I wanna get out of here.
175,Terrance and Phillip? Those Canadians?
176,Excuse me.
177,What is Terrance and Phillip?
178,Terrance and Phillip are two very untalented actors from Canada.
179,Nothing but foul language and toilet humor!
180,I'll send a warning to parents before more children see Terrance and Phillip.
181,Everybody's fucking seen it.
182,I can't help myself. That movie has warped my fragile little mind.
183,There's the girl that I like Over there laughing with that smart...
184,You're holding up the goddamn lunch line!
185,"Hello, there, children."
186," Hey, Chef."
187, How's it going?
188, Bad.
189, Why bad?
190,We got busted for swearing.
191,We can't ever see that movie again.
192,That's too bad.
193,You should've seen Kyle when his mom showed up. He was scared.
194," Shut up, Cartman!"
195, I'd be scared. Your mom's a bitch.
196,"Don't call her a bitch, you fat fuck!"
197,"Don't call me fat, you fucking son of a bitch!"
198,Where did you learn to talk like that?
199,"Pretty fucking sweet, huh?"
200,How do you make a woman like you more than any other guy?
201,That's easy.
202,You just gotta find the clitoris.
203,"What does ""find the clitoris"" mean?"
204,Forget I said anything.
205,Move along.
206,You're holding up the line.
207,Do you know where I can find the clitoris?
208, The what?
209, Is that like finding Jesus?
210,"Attention, students."
211,We are now enforcing a new dress code at South Park Elementary.
212,Terrance and Phillip shirts are not allowed in school.
213,Anyone wearing a Terrance and Phillip shirt is to be sent home immediately.
214,Hooray!
215,"The Canadian film ""Asses of Fire"" is number one at the box office."
216,Is the film destroying American youth?
217,Here with a special report is a midget in a bikini.
218,The effects of the Canadian comedy are farreaching indeed.
219,"All over America, children seem to be influenced, like at this spelling bee."
220,This is for the silver medal.
221,"Spell ""forensics""."
