,dialog
0,"BELL RINGS Either the shellpink gossamer muslin or the figured damask would be most becoming to your daughter, Mrs. Bennet."
1,"Eh, now, let me see."
2,"Yes. Yes, the pink suits you, Jane."
3,"And now we'll see whether the blue is becoming to you, Lizzy."
4,"Stand up, dear."
5,"Several young ladies have bought new gowns for the Assembly Ball, but none will be more modish than this muslin, madam."
6,Isn't silk brocade being very much worn?
7,"Mine is, Mama. It's been worn for three years."
8,"MAN LAUGHS Um, fashion decrees muslin this season, madam."
9,"That should be good enough, shouldn't it?"
10,JANE: Yes.
11,"Then, uh, pink for Miss Jane and blue for Miss Elizabeth."
12,I know exactly how I want mine cut.
13,I shall look very worldly.
14,How shall I look?
15,"Adorable, my love, as always."
16,"Oh, Lizzy."
17,Mmhm.
18,"Hey, Mr. Beck."
19,"Mr. Beck, look."
20,"DOGS BARKING Looksadaisy, what a commotion."
21,"Just look at that carriage, my love, and those exquisite young men."
22,They must've come straight from court.
23,"Oh, look, they're getting out."
24,Hhave you heard any of our neighbors say if they're expecting visitors?
25,"No, Mama."
26,Who do you suppose would be entertaining people of fashion like these?
27,"Mr. Beck, eh, send over to the inn and find out if they're stopping in the vicinity."
28,"Eh, slyly, of course."
29,"Oh, the hostler will tell us."
30,"La, here comes Aunt Philips as if something were after her."
31,"Looksadaisy, my sister's lost all sense of decorum."
32,"Aunt Philips, oh, why such haste?"
33,"Oh, you're out of breath."
34,I saw your carriage outside.
35,"My dear, such news."
36,Did you see them?
37,Of course we saw them.
38,"Who are they, sister?"
39,They're the new tenants of Netherfield Park.
40,Netherfield Park is let at last.
41,And to a young man of importance.
42,His name is Bingley.
43,Is the young woman Mrs. Bingley?
44,"No, dear. That's the pleasantest part of it."
45,She's his sister.
46,"She's his sister, Lizzy."
47,"Who's the other gentleman, Aunt Philips?"
48,"Oh, I don't know."
49,"Some friend, I suppose."
50,"Oh, but let me tell you about Mr. Bingley."
51,He's very rich.
52,He has 5000 pounds a year.
53,Five thousand pounds and unmarried.
54,That's the most heartening piece of news since the Battle of Waterloo.
55,You can see how handsome and elegant he is.
56,"Excuse me, madam, the second gentleman's name is Darcy."
57,The two carriages and the dogs are his.
58,The chaise belongs to Mr. Bingley.
59,"Two carriages and One, two, three, four, five."
60,six liveried servants.
61,"My word, this Mr. Darcy must also be rich."
62,I wonder if he's married.
63,"MRS. PHILIPS: Ah, Mrs. Bennet, I thought we'd find you here."
64,"Good morning, Mrs. Philips."
65,"Elizabeth, Jane."
66,I just had to come in and tell you the news.
67,"Dear Lady Lucas, you don't mean about, ah, the new tenants of Netherfield?"
68,"Ye Oh, you've heard it already?"
69,"Yes, dear."
70,Mr. Bingley has 5000 pounds a year.
71,Who is this Mr. Darcy?
72,He's Mr. Bingley's guest.
73,They're inseparable friends.
74,He's one of the Darcys of Pemberley.
75,"Oh, Mr. Darcy of Pemberley."
76,Is that all you know about him?
77,"What? Oh, you mean, is he married?"
78,"No, dear."
79,"No, he isn't married."
80,And he's even richer than Mr. Bingley.
81,"The Pemberley Estates alone are worth a clear 10,000 a year."
82,Ten thou?
83,Isn't it fortunate to have two eligible young men come into the neighborhood?
84,"Perhaps one of them will fall in love with you, Charlotte."
85,"Oh, not if he sees Jane or Lizzy first."
86,"You may not have beauty, my love, but you have character, and some men prefer it."
87,"How true, Lady Lucas."
88,That's why girls who have both are doubly fortunate.
89,"Come, my dears."
90,"The dressmaker will call for the muslin, Mr. Beck."
91,"Why such haste, Mama?"
92,Shh.
93,"Good morning, Lady Lucas."
94,"Oh, good morning, Mrs. Bennet."
95,"We shall meet at the Assembly Ball, of course."
96,"Yes, indeed."
97,"Goodbye, sister."
98,"You mustn't leave, Lady Lucas, till Mr. Beck has shown you that exquisite piece of flower damask. Haha!"
99,Goodbye.
100,Bye.
101,"JANE: Goodbye, Lady Lucas."
102,Goodbye.
103,ELIZABETH: Come over to Longbourn soon.
104,Mama.
105,"Heaven only knows where your sisters are, and we must get home at once."
106,"But, Mama, why?"
107,Your father must call on Mr. Bingley and Mr. Darcy this very afternoon.
108,"If he doesn't, the Lucases will."
109,"Now, there's no time to be lost."
110,"But the damask, milady."
111,"Oh, we'll choose the material some other time, Mr. Beck."
112,"Come, Charlotte."
113,"Hurry, my dear."
114,Where are those girls?
115,"Whenever I want them, I never can find them."
116,"There's Mary, Mama."
117,"Ye Oh, Mary."
118,Mary!
119,Isn't that just like the girl.
120,"Eh, eh, Mary."
121,Mar Eh.
122,Mary.
123,WHISPERS Come out.
124,"GROANS Look, Mama. I have just purchased Burke's essay on the sublime and beautiful."
125,You and your books.
126,No wonder you're compelled to wear disfiguring glasses.
127,"Oh, where are Kitty and Lydia?"
128,Look for an officer in a red coat and you'll find them.
129,"Y Officers, yes."
130,"Come, girls."
131,"PUPPETS SCREECHING Oh, yeah?"
132,"ALL LAUGH Is that the way you'd treat a wife, Mr. Wickham?"
133,"More likely to be the way she'd treat me, Miss Lydia."
134,"Oh, Mama, there they are."
135,STAMMERING Where?
136,There. Look.
137,"Kitty, there's Mama."
138,"MRS. BENNET: Kitty, Lydia."
139,"Eh, eh Come here."
140,Those two are getting sillier and sillier over officers.
141,"I don't know why you permit it, Mama."
142,I had a weakness for the military myself when I was young.
143,"Oh, Mama, do we have to go home so soon?"
144,We met the most fascinating new officer.
145,A Mr. Wickham. He's just joined the Blankshires. He's charming.
146,"Yes, that's very delightful."
147,"Oh, dear. Where is that coachman? Where is Jennings?"
148,"Oh, there he is. Now, come along, girls. Don't dawdle."
149,"CHATTERING Stay where you are, Jennings."
150,There's no time to lose.
151,"Would you take this, please?"
152,Thank you.
153,"Mama, can't we stay here?"
154,"ALL CHATTERING INDISTINCTLY âª Look, Mama, Lady Lucas' carriage."
155,"Pass them, Higgins."
156,Pass them.
157,"Overtake them, Jennings!"
158,Overtake them.
159,"That's it, Jennings."
160,That's it.
161,"Ah, that'll teach her a lesson. Haha!"
162,"Keep on going, Jennings."
163,I must tell your papa about this at once.
164,No time to lose.
165,"Uh, go in the drawing room, girls."
166,"Matthews, get the other parcels."
167,"Yes, ma'am."
168,Mr. Bennet. Mr. Bennet.
169,Mr. Bennet.
170,"Yes, my dear."
171,"Mr. Bennet, Netherfield Park has been let at last."
172,Mmhm.
173,Did you hear me?
174,Netherfield Park has been let at last.
175,"Indeed, Mrs. Bennet."
176,"Well, don't you want to hear who's taken it?"
177,"Well, you want to tell me."
178,I have no objection to hearing it.
179,"Mr. Bingley is his name, and it seems he's a young man of large fortune."
180,"And he's single, my dear."
181,Think of it.
182,What a fine thing for our girls.
183,Is it?
184,"Mr. Bennet, you know perfectly well what I mean."
185,I'm thinking of his marrying one of our daughters.
186,"Oh, is that his design in settling here?"
187,"How can you talk so, Mr. Bennet?"
188,This is a serious matter.
189,You must go and visit him at once.
190,You and the girls go.
191,"Or better still, send the girls by themselves."
192,"For you're as handsome as any of them, and Mr. Bingley may like you best of all."
193,"Oh, my dear, you flatter me."
194,"When a woman has five grownup daughters, she ought to give over thinking of her own beauty."
195,"Well, in most such cases, a woman hasn't much beauty to think of, my dear."
196,"Now, seriously, Mr. Bennet, you must go and see Mr. Bingley."
197,"If you don't, Sir William and Lady Lucas will get there before us. Hmhm!"
198,You should've seen her galloping her horses to beat me from the village just now.
199,Did she win?
200,Ha! Indeed she did not.
201,But she'd stop at nothing to get Mr. Bingley interested in her Charlotte.
202,"Well, I'll tell you what I'll do, my dear."
203,I'll write to assure him of my hearty consent to his marrying whichever he chooses of the girls.
204,Though I must throw in a good word for my Lizzy.
205,"Elizabeth is not one whit better than the others, but you always give her the preference."
206,"Oh, they're all silly and ignorant, like most girls."
207,GASPS But Lizzy has some glimmerings of sense.
208,"Mr. Bennet, how can you abuse your own children in such a way?"
209,VOICE BREAKING You take delight in vexing me.
210,You've no compassion on my poor nerves.
211,"SOBS Oh, you mistake me, my dear."
212,I have the highest respect for your nerves.
213,I have heard you mention them with consideration for the last 20 years.
214,How can you be so resigned to your daughters growing up to be penniless old maids?
215,"Leaving everything to that cousin of yours, that That odious Mr. Collins."
216,"Mrs. Bennet, for the thousandth time, this estate was entailed when I inherited it."
217,It must by law go to a male heir.
218,"A male heir, Mrs. Bennet."
219,"And as possibly you remember, we have no son."
220,PIANO PLAYING All the more reason why you should take some responsibility upon getting husbands for them. Hehheh!
221,"No, you escape into your unintelligible books and leave everything to me."
222,Look at them.
223,PIANO STOPS Five of them without dowries.
224,What's to become of them?
225,"Yes, what is to become of the wretched creatures?"
226,Perhaps we should've drowned some of them at birth.
227,Mr. Bennet.
228,"PIANO PLAYING RESUMES Hahaha! I'm glad you didn't drown me, Papa."
229,"Much too nice just being alive, even if I never had a husband."
230,"Well, I hope Mr. Bingley likes the hat."
231,COUGHS We are not in the way of knowing what Mr. Bingley likes since we're not to meet him.
232,"Mary, stop pecking."
233,"Don't keep on coughing, Kitty."
234,"Good heavens, have a little compassion on my poor nerves."
235,Kitty has no discretion in her coughs.
236,She times them ill.
237,"I don't cough for my own amusement, Mama."
238,"Mama, why aren't we to meet Mr. Bingley?"
239,Don't speak about Mr. Bingley.
240,I'm sick of him.
241,"Eh? Oh, I'm sorry to hear that, my dear."
242,"If I'd known that you'd feel like this, I shouldn't have gone out of my way to make his acquaintance last week."
243,DAUGHTERS GASP Papa!
244,"Oh, it's very unlucky."
245,I even gave him tickets to the Assembly Ball.
246,ALL GIGGLING And I believe he intends to make himself known to you there.
247,"Mr. Bennet, you've been acquainted with him all the time."
248,"Since he signed his lease at Netherfield, my dear."
249,"ALL CHATTERING Did you tell him that you had five daughters, Papa?"
250,"Well, I told him if he ran into five of the silliest girls in England, they would be my daughters."
251,LAUGHTER BALLROOM MUSIC PLAYING Do you suppose our neighbors from Netherfield are not coming?
252,"Very discourteous if they don't, considering Mr. Bennet gave them tickets."
253,Don't you think we dance beautifully together?
254,"I suspect you dance beautifully with anyone, Miss Lydia, and I know I don't."
255,"Tell me, who is the lovely creature in the blue dress?"
256,That lovely creature is my sister Elizabeth.
257,"Ah, then I'm in luck."
258,Please present me when the dance is over.
259,"Lizzy, this is Mr. Wickham."
260,He wants to meet you.
261,He thinks you're a lovely creature.
262,Someday I'll tell you what sort of a creature you are.
263,"After that introduction, I hardly know how to begin, Miss Elizabeth."
264,Shall I offer a remark on the weather?
265,If you can make it fit for a young lady's ears.
266,You're right.
267,The weather's too dangerous a subject.
268,"To be quite safe, I shall ask you how you like it here in Meryton."
269,"Ah, that's anything but safe."
270,I'm just discovering that I like it prodigiously.
271,"I hope you'll ask me when I began to like it so prodigiously, Miss Elizabeth."
272,I will.
273,When did you?
274,Uh The moment I saw you.
275,"Very pretty, sir."
276,Shall I tell you what I thought the moment I saw you?
277,Only if it's pleasant.
278,"It is. I thought You were going to say, Miss Elizabeth?"
279,"Oh, yes."
280,"I'm sorry, I forget."
281,"âª Ladies and gentlemen, Miss Bingley, Mr. Bingley and Mr. Darcy."
282,This is indeed an honor.
