,dialog
0,just not like the old days.
1,It's not.
2,Guys then they had charisma.
3,Style.
4,Used to call it panache.
5,"So, still play the ponies, Merle?"
6, Merle Panache?
7," Yeah, look."
8,You walk into a room full of shooters.
9,And you're calm.
10,I mean you got ice water in your veins calm.
11,And you think.
12,You don't react.
13,You think.
14,You're always gonna have the advantage.
15,"Now, bear with me here."
16,"Most people that pull a gun, they have no intention of killing."
17,They don't even aim.
18,"They point, pull the trigger and turn away."
19,That's because killing is against the most fundamental of human responses.
20,"When the stress is on and the shit really hits the fan and you're facing down bad guys, that's what it comes down to."
21,Fundamentals.
22,Comes down to panache.
23,You go in there coldminded.
24,Age don't matter.
25,Numbers don't matter.
26,You kill 'em all.
27, Merle Hope you got a hot tip for me.
28, Carmelita.
29,Spanish Angel.
30,She's a twoyearold thoroughbred out of Shreveport.
31,She's running at Santa Ana on the 5th.
32,You bet her to win.
33, Carmelita?
34,No shit.
35,"See you around, Teddy."
36," You look after yourself, Merle."
37, Man More important things to talk about.
38,I've always got five digs here in Hawaii.
39,We'll start off by going to the beach.
40,"Hey, Jackie."
41,A luau.
42,Jackie has the best luau.
43,She grills fish and everything.
44, Woman Wait till you eat it.
45, Man What do you mean?
46,There's nothing wrong with that.
47,It's part of their culture.
48, Owen Geiger.
49,Remember me?
50, Fuck!
51,Let's go.
52,"Fuck, man!"
53, Ow.
54," Look, I'm sorry it had to come down to this, but you know why I'm here."
55,You're not supposed to be operating on this side of the river.
56,"Murdoch needs you to keep it in the barrio, East LA."
57,"It's business, he understands what you gotta do but if we have to tell you again, you might not walk away."
58,A word to the wise.
59,"Lay low for a while, all right?"
60,"In fact, a word to the wiser, disappear."
61,Do we have an understanding?
62,Do we have an understanding?
63," Yeah, yeah."
64,"It's understood, bro."
65, Stay hungry kid.
66, Very well could be the dog hears things.
67,Could be I heard the big man jawing on you.
68, I work for him.
69, Yeah.
70,That's as is.
71,"But that cracker from Carolina, he's not hot for you, Butcher."
72,Nah.
73,Word on the street is that he's sniffing at your pension plan.
74, That's a good line.
75,It's also horse shit.
76," Woman Merle was a one time gun man, A some time prize fighter."
77,A man who now preferred a drink over a fight.
78,He'd had more chances in life than most but failed to see any of them through.
79,People liked Merle.
80,They just felt he should have amounted to more.
81," Hmm, the long goodbye."
82,"Maybe it's for the best, Carmelita."
83,Maybe it's for the best at that.
84," Good morning, Merle."
85," Good morning, Jackie."
86,You look ravishing as always.
87, Your friends are in the back.
88, I know.
89,You got any of that liquid tarmac for me?
90," No cream, no sugar?"
91," Merle No cream, no sugar."
92, Look like you haven't slept.
93, Because I haven't.
94,There's no softer pillow than a clean conscious.
95,So said my grandmother Beatrice.
96, Do you think it's true?
97, What you talking about?
98,Do you think we have a sell by date?
99,"Just seemed like so much was possible once and then slowly, steadily, it all went away."
100, Oh baby.
101,I have this technique.
102,"It's a way to get rid of all the bad, dark, bleak things in your life."
103,Visualize it.
104,Look at it.
105,See it.
106,Turn it into a two dimensional photograph.
107,Light a match and burn it.
108,Vaporize it.
109,Just get rid of it.
110,I find that it helps some times.
111,You're still young baby.
112,Enjoy yourself.
113, I can only imagine dealing with a guilty conscious that a man with the nickname The Butcher might have.
114," Oh, come on."
115,It's a nickname they gave me when I was a fighter.
116,But those were the old days.
117,Nobody remembers that anymore.
118, If it isn't young Merle.
119," Good morning, Pearl."
120," Join us, why don't you."
121, I'll do that.
122, Is it true what they say about him?
123, What do you mean?
124, That he fought with a real bear.
125," Yeah, that's true."
126,But it was a long time ago.
127, It's been 35 years since I come to this country.
128,Had $18 in my pocket and a dream in my head.
129,Saw what I wanted to do and did it.
130,And pity the man who tried to get in my way.
131,Found some rough souls among you.
132,"And gave you all a damn good life now, didn't I?"
133,Well those that could keep a simple rule or two.
134,Like Eddie here.
135,Now you all know Eddie Hellstrom.
136,Eddie's been watching my club investments since he was old enough to chisel an angle.
137,He's a pushy goddamned kid and I like him.
138,First time he tried to hustle me he wanted to run the old strip joint on Rampart.
139,"He told me, ""You see that Bentley?"
140,"""You let me run this club ""you'll have one in three months."" I asked him if he'd like to go for a ride in the trunk of my Cadillac."
141,I liked the kid straight off.
142,So here we are.
143,We all know Molo the Shank's retiring so I'm handing his duties over to Eddie here.
144,"It's a big day for you, kid."
145," Thank you, Murdoch."
146, Congratulations.
147,"Gentlemen, pay your respects to the kid."
148,You'll probably be taking orders from him in a few years.
149, Murdoch.
150," Merle ""The Butcher"" Hench."
151,You run that beaner spic Geiger off my Santa Fe project?
152, I wanted to talk to you about him.
153,Think he's a good kid.
154,"Maybe, maybe he could run an angle for you?"
155, Run an angle?
156, Merle Maybe.
157, Really?
158,That's interesting.
159,"By the way, ever meet my cousin Maguire?"
160, Merle Mmmm.
161, Ah.
162,Come on.
163,"Now, Merle, last night somebody was around here."
164,Geiger and this faggot jungle bunny tried to rob Maguire's liquor store on Alvarado.
165,Now my cousin's a bad motherfucker.
166,Did seven to ten up in Pelican Bay for armed assault.
167,So he beat the living crap out of the wetback before burying him alive in Bakersfield.
168,"Now it's a long drive out to Bakersfield, and these stupid fucking crackheads start talking like a pair of balling bingo bitches all the way there."
169, Geiger?
170," Now I don't specifically blame you, Merle."
171,"This punk would've found a piece somewhere, but he used the heater you let him keep."
172, You give me a hand with this cocksucker?
173, Quit breaking my balls.
174,Can't you see I'm eating my candy over here?
175," Man Come on, get out."
176,Get up.
177,Come on.
178," What, you got nothing else to say tough guy?"
179,You got nothing to say now?
180,Huh?
181,Punk?
182, Merle I took his bullets.
183,Told him to stay away from downtown.
184, Are you out of your fucking mind?
185, What?
186, Are you so goddamned ignorant of human nature?
187,"What kind of fucking enforcer, what kind of soldier lets a twobit punk have his gun back after a beating?"
188,What the fuck is wrong with you?
189, You're right.
190,You're right.
191," I don't know what happened to you, Merle."
192,"Think about retiring, huh?"
193,You know you should invest in some kind of strip joint or a club.
194,Your friend Manny's got two of them nudie mag stores.
195,The old boy never has to lift a finger.
196, I know.
197, Living life like he's on the red neck Riviera.
198, You don't gotta worry about me.
199,I have investments.
200,Real estate.
201, Start thinking about your retirement.
202,Let the young bloods move up.
203,Let them take the risks.
204,Be smart.
205, Yeah.
206," Anyways, I got a deal might work for you."
207, Hm?
208," I gotta go to this fundraiser, Commissioner Scobyn."
209,Just got honored by the Jewish Retirement Community.
210,Merle the fucking Butcher.
211,My cottontailed ass.
212,See yous later boys.
213, Later Murdoch.
214," Murdoch Merle, I'll call ya."
215, Merle Okay.
216," Gentle touch for an old prizefighter, Merle."
217,You stroke that glass like a mother might hold a baby's hand.
218,Ever tell you I saw you fight.
219, No.
220," Plaza de la Raza, East Los Angeles."
221,Barrio club fight.
222, Right.
223," Professionally rated, as I recall."
224, Yes it was.
225, You could have used it as a dollar ticket fight.
226,Take the don'ts and pay the line!
227,Plastered that plucky wetback.
228,Took him apart like a rank amateur.
229,Thought I was watching the making of a star.
230,"Used a quick hook, that kinda twisted as it made contact."
231,Lifted the little finger on the inside.
232,"His face looked so goddamned bad afterward, even his own mother would be hard pressed to recognize him."
233,"That left hand of yours, that left hand of yours could decapitate a grown man."
234," Would have been March 23rd, 1979."
235,"Soldier De Santos, 15 to zero on the pro circuit."
236,He was supposed to be bad.
237,It was a hell of a night.
238," We still got Paris, right?"
239," Oh, yeah."
240," You're about three and a half into the hole now, Merle."
241,That's why I had to come out myself.
242,"You come up spades, that winds your ticket up to 19 big ones."
243,"Now, I've been brotherly and not clamped down."
244,Had to see if your luck turned tail.
245,"Hasn't, and I ain't got time to wait."
246,You gotta come good by Thursday.
247, Mmhm?
248, Or my associates take over.
249,That shiny car of yours has to be worth a couple of Gs.
250,Sell it.
251,"Get straight with me, Merle."
252,"You know I like you, we'll do business again."
253,"But pay me by Thursday, Merle, or we got a problem."
254,Catch my drift?
255, Mmhm.
256, There you go babe.
257," Oh, man."
258," Lost its flavor, honey?"
259," Oh yeah, but just you watch me Rose, I shall rise triumphant from these fucking ashes."
260, Man You know I got Maybe I'll just leave.
261, It's a 1969 Dodge Charger with a 440 magnum big block and original Super Bee 4speed.
262,"Only made a couple hundred like this so, the price was 21,000 in cash when you arrived."
263,"The price is still  You know, we're wasting each other's time."
264,My card.
265,No bites.
266,"You wanna shift the wheels, you know, you come by and see me."
267,I'll give you a fair nickel.
268,I appreciate that.
269,Plus I'd like to use my Rolex as collateral for the other 60.
270," Real Submariner, thick pearl face."
271,"I'll stake you for it, Merle."
272,"Word in your shell, like a brother, never ever gamble when you are desperate."
273,It's liable to affect your judgment.
274," You want me to go home, Pete?"
275,I'm a big boy and I feel lucky tonight.
276," You must call, Merle."
277, All in.
278," Too rich for me, Merle."
279,Your luck has beaten mine like a redheaded stepchild.
280,night's work bro.
281,I'll come back tomorrow.
282,"I like you, always been fair."
283,I'd hate to see you lose your shirt when your vein pans out.
284,A little luck often proves more deadly then a flat out loss.
285,Be careful what you do with that moolah.
286," I won't be back, Pete."
287,"I've seen good luck, I've seen bad luck."
288,I know the difference.
289, I understand why they call you The Butcher.
290," Nobody calls me that anymore, Pete."
291,All right?
292," Oh, no!"
293,"Jesus, Merle, they're with me."
294,Oh!
295,Sweet mother of mercy!
296,Who do you think is going to pay the hospital bills?
297," Larry, what are you doing here?"
298, Pete's security was on alert to call if you turned up.
299,We've been here since one o'clock this morning.
300,"It's just business with me, Merle, you know that."
301,"I've got a family to feed, it's just business."
302," Larry, I did not recognize your boys."
303,I wouldn't make them look so bad if I knew who they were.
304,"How's that ankle, pal?"
305," Look, you got him in the boiler room man."
306,Still got a couple of moves for an old man.
307," Let me take you boys for breakfast, come on Larry."
308, I don't feel like eating breakfast.
309, Suck it up.
310,Everybody likes breakfast.
311,Get in the car.
312,Here you go.
313,You all right?
314,Here you go.
315," We're square, Merle."
316,I gotta be straight with you.
317,I hadn't foreseen this.
318,I mean but then again I can be a cynical son of a bitch.
319,Comes with the territory one would suppose.
320,"I hear things, you know."
321,Haven't heard anything good about you.
322,I'd have put money on your not having a winning streak now.
323," There's a horse running this afternoon, Carmelita, I got a hunch."
324,I want you to bet the whole bundle on her to place.
325, Sounded like you said you want me to put the whole bundle on a horse called Carmelita.
326, Mmhmm.
327," We'll be back where we started you know that, Merle."
328, Only if I lose.
329,"She's 15 to 1, Larry."
330,A long shot.
331," 19,000 on Carmelita, to win, Merle."
332," That's not what I said, Larry."
333," Take it or leave it, Merle."
334,That's the only way I'm covering you.
335, I'll take it.
336, Carmelita?
337,"That's the skin dancer from Reseda, A nightclub canary and a hellroaring drunk."
338,Shacked up with Dennis Tull.
339,Seem to remember she rolled with you for a while.
340, I married her.
341, Oh.
342,"Well, I hope for your sakes the bitch don't fuck you again."
343,"Sentiment's a hell of a luxury, Merle."
344, Yes it is.
345," Hello there, stranger."
346, Hi.
347, That looked like a serious conversation.
348, You look ravishing today.
349,When are you going to run away with me?
350," Don't be so sure I'm picky about who it is rescues me from this place, Merle."
351,Just think about how you ask me.
352,There's always that chance I might say yes.
353, Hmm.
354," You know, they say that the arrival of coffee and tobacco in Europe signaled the start of the industrial revolution."
355, Mmm.
356, Stimulated the brain.
357,I fucking hate you can't smoke in these goddamned places anymore.
358, Good morning Eddie.
359,What can I do for you?
360," Why don't you like me, tough guy?"
361,"We're a lot alike, you and I."
362,I boxed out of the old prison gym in Lincoln Heights.
363,It was kind of like one of those undecorated East Coast sweatshops from the movies.
364," You know, where you work the weights and get that fucking rust shit on your hands afterward."
365,"In our line of work Eddie, we have excuses for all kinds of bad behavior."
366,But a man's a man.
367,How he carries himself is all I'm concerned about.
368,"I don't judge people Eddie, I just don't like you."
369," It's okay, in Kentucky, when we've wronged a man, we recognize his privilege to resent it."
370,It's because I got that kid to take a dive.
371,The Puerto Rican puncher from Boyle Heights.
372,See.
373,That's what made me.
374,"Yeah, that was it."
375,He lost his title and the right to fight.
376,"That got to you, didn't it?"
377, Maybe.
378," It's no wonder why you never made it in this game, Merle."
379,You got a soft touch.
380,That's the kiss of death in our racket.
381,You gotta have the ferocity to pick a fight over five bucks and not give up.
382,"You just don't get that, do you?"
383,Murdoch wants you to run an errand.
384,There's a redneck prick.
385,"A fucking dog hick dick, we deal with, Doyle."
386,He has a titty bar.
387,"City of Industry, Spearmint Rhino."
388,"We need you to go by, and pick up a payment."
389,"He wants somebody who can handle themselves, and will be on time."
390,Four o'clock this afternoon.
391,"No earlier, cause that's when the money, everything will be ready."
392,Are we understood?
393,Am I understood?
394," Spearmint Rhino, four o'clock."
395,Got it.
396, Take care then.
397, Hmm.
398," 1915, Model .45."
399,Normally I wouldn't recommend it for a concealed carry but it's all I can give you.
400,It'll buck like a turpentine mule.
401,"If you plan on firing it, I suggest you grip it like a politician making election hay, can't hold it too tightly."
402,"This one supposedly belonged to Cherokee Tom Threepersons out of El Paso, but I doubt it."
403,Not as easy an iron to hide as your Colt's but it'll shoot clover leaves at 15 paces.
404,Want to see your babies before you leave?
405, Love to.
406, Boy!
407,Get them two gold .45s.
408,The one I was talking to you about.
409,I look at them myself once in a while.
410,Tiffany and company couldn't do better.
411, I know.
412," I wouldn't dare shoot them, be afraid to use them."
413,You won't catch me playing with them.
414,You're safe with me.
415," Thank you, Naylor."
416,I really appreciate it.
417,I'll be back real soon.
418," Look, you end up using that six gun, just lose it."
419,Don't bring it back here.
420," Thanks, pal."
421," See ya later, Merle."
422,"(""Sex and Candy"" by Marcy Playground) * And I've had so much time * To sit and think about myself * * And then there she was * Like double cherry pie * Yeah, there she was * Like disco Superfly * I smell sex and candy here  Hello, doll face."
423, What can I get ya?
424, Get me a bourbon on the rocks.
425, That's $11.
426," Make it a coke, sister."
427, Woman You got it.
428,"* Devious stares in my direction * * Mama, this surely is a dream  You look like a man on a mission."
429,How about a private dance?
430,I've been fired and rehired three times for too much personal contact.
431,"Oh Jesus, mister."
432,* Hangin' 'round * Downtown by myself  Buy the lovely ladies a drink?
433," No drink, no dance."
434,But thank you both.
435, You can have us both if you'd like.
436, No thanks.
437, Woman Oh.
438,You're gonna leave us hanging just like that?
439, Just like that.
440,* Like disco lemonade * I smell sex and candy here  I'd like to see Mr. Doyle.
441,Is he here?
442, I'll see what I can do.
443,* Who's that casting  You walk into a place asking for a man like me and then demand money.
444,"You're looking to commit suicide the hard way, Mr. Hench."
445," I asked, I did not demand."
446, I'll tell you.
447,I know Eddie and Murdoch.
448,They've been trying to buy me out for years.
449,I won't sell because I don't want to.
450,I'm not ready to move on yet.
451,"I'm fairly connected myself, I know certain people."
452,I can make a phone call or two.
453,Believe me when I say these are grim characters.
454,I run an expensive establishment that's hardly ever full.
455,Do the math.
456,I have other dealings.
457, There's obviously been a misunderstanding.
458,If I can use a telephone I'll clear all of this right up.
459,Do you have a telephone?
460, Use this one.
461, I'd like a little privacy.
462," In that case, use the one in the men's room."
463,It's down the stairs and to your right.
464,You should get a cell phone.
465, That's what they tell me.
466,Excuse me.
467,Thank you very much.
468,He's not?
469,Okay.
470,"Uh, tell him I'll call him back this afternoon."
471,I'm at the Spearmint Rhino Club right now.
472,"Yeah, Doyle's."
473,"Okay, tell him Doyle will call him this afternoon as well, all right?"
474,Thanks.
475,Okay.
476,Bye.
477,"Naylor, could you have found a bigger gun?"
478,* You may think it's just a stupid thing * * I've hurt you again and again *  Eddie Whooo!
479,Oh!
480,There you are Merle.
481,Nice of you to join the party.
482, Get out of the way!
483, Man Move!
484,Get down!
485, Eddie Good idea to rob the place.
486,Too bad you get shot in the process.
487," I may not live long Eddie, but I'm living longer than you."
488," Man Go, go, go!"
489, Son of a bitch.
490," Don't know what's going on, Mr. Hench."
491, They tried to set me up.
492, I run a laundering operation.
493,"We clean dirty money, mob money."
494,Murdoch has messed with a hornets nest the size and fury of which he has no comprehension.
495,You tell that bucko he has just signed his own death certificate.
496,I'm letting you leave on account of I believe you didn't know what was gonna go on.
497,Now tapping that pathetic piece of white trash did me a favor but that's as far as it goes.
