,dialog
0,"Thank you very much, sir."
1,You did a wonderful job. Wonderful.
2,Shh. Shh.
3,"We did it, Pete. We did it."
4," For a moment, we had our doubts."
5, Shh.
6,"To continue, you've listened to a long and complex case..."
7,murder in the first degree.
8,A premeditated murder is the most serious charge tried in our criminal courts.
9,You've listened to the testimony.
10,You've had the law read to you and interpreted as it applies in this case.
11,It's now your duty to sit down and try and separate the facts from the fancy.
12,One man is dead.
13,Another man's life is at stake.
14,If there's a reasonable doubt in your minds as to the guilt of the accused...
15,a reasonable doubt...
16,then you must bring me a verdict of not guilty.
17,"Now if, however, there's no reasonable doubt..."
18,then you must in good conscience find the accused guilty.
19,"However you decide, your verdict must be unanimous."
20,In the event that you find the accused guilty...
21,the bench will not entertain a recommendation for mercy.
22,The death sentence is mandatory in this case.
23,You're faced with a grave responsibility.
24,"Thank you, gentlemen."
25,The alternate jurors are excused.
26,The jury will now retire.
27,Try this one. See if I can get it...
28,It's a muggy day.
29,"Hey. Oh, oh."
30, Piece of gum?
31," No, thanks."
32,This thing is...
33, Huh?
34, ...move it.
35," Come on, I'll give you a hand."
36, Give me a hand with that.
37,That's it.
38, You know something?
39, Yeah?
40,I called the weather bureau this morning.
41,This is gonna be the hottest day of the year.
42,Could be.
43,"Boy, you'd think they'd at least aircondition these places."
44," What is your name, sir?"
45," Oh, it's, uh  That one, yeah."
46,Thank you very much.
47,"Okay, gentlemen, everybody's here."
48,"Now, if there's anything you want, I'll be right outside the door."
49, Just knock.
50," Okay, thanks. We will."
51,Good morning.
52,I never knew they locked the door.
53,Sure they lock the door.
54,What'd you think?
55,I don't know.
56,It just never occurred to me.
57,What's that for?
58,"Oh, I thought we might want to vote by ballot."
59,Great idea. Maybe we can get him elected senator.
60,"Just in case, you know."
61, Îow'd you like it?
62," Oh, I don't know."
63,It was pretty interesting.
64,Yeah? I almost fell asleep.
65,"I mean, I've never been on a jury before."
66,No? I've sat on many juries.
67,What gets me is the way those lawyers talk and talk and talk...
68,even when it's an openandshut case like this one.
69,Did you ever hear so much talk about nothin'?
70,"Well, I guess they're entitled."
71,Yeah. They're entitled.
72,"It's the system, but..."
73,"If you ask me, I'd slap those tough kids down before they start any trouble."
74,It would save us a lot of time and money.
75," Hey, let's get started, huh?"
76, That's a good idea.
77," Yeah, let's get goin', huh?"
78, We probably all got things to do here.
79,I figured we'd start out with a fiveminute break.
80,There's one gentleman in the bathroom.
81, Mr. Foreman.
82, Huh?
83," Are, uh  Are we gonna sit in order?"
84," Gee, I don't know."
85,"I, uh  Well, I guess so."
86,"Uh, you're in my seat."
87, Oh. Excuse me.
88, That's all right.
89,"Hey, that's not a bad view, huh?"
90,What did you think of the case?
91,"I mean, it had a lot of interest for me."
92,No real... dead spots.
93,You know what I mean?
94,"I tell you, we were lucky to get a murder case."
95,I figured us for an assault or burglary.
96,"Boy, they can be the dullest."
97,Hey.
98,That the Woolworth Building?
99,That's right.
100,Isn't that funny?
101,"You know, I've lived here all my life."
102,I've never been inside that.
103,If you had to sort out all that junk...
104,Like that thing with the movies.
105, Yeah. You can say that again.
106, And what about that business with the knife?
107,"I mean, asking grownup people to believe that kind of jazz, huh?"
108,"Well, I expected that."
109,You know what we're dealing with.
110,"Yeah, I guess so."
111,"Well, your horn works."
112,Now try your lights.
113," What do you got, a cold?"
114, And how.
115,These hotweather colds can kill you.
116,I can hardly touch my nose.
117,You know what I mean?
118,I sure do. I just got over one.
119,"Aw, come on. Mr."
120,"Foreman, let's go here, huh?"
121,"Well, that guy's still in the bathroom."
122,"Hey, what's new? I didn't get a chance to see a paper this morning."
123,Hmm?
124,I was only wondering how the market closed.
125,You got a seat on the Exchange?
126,I'm a broker.
127,I run a messenger service  the Beck and Call Company.
128,The name is my wife's idea.
129,Got 37 men working.
130,Started with nothing.
131,"Okay, men, let's take our seats, huh?"
132,"Yeah, we can all get outta here pretty quick, huh?"
133,"I don't know about the rest of you, but I happen to have tickets to that ball game tonight."
134,Yanks and Cleveland.
135,"Yeah, we got this kid, Modjelewski, in there."
136,"Ooh, he's a real bull, this kid."
137,You know  Phoom!
138,A real jug handle. You know?
139,Phoom!
140,"You're a real baseball fan, aren't you?"
141,Huh? Yeah.
142,Where do we sit here?
143,"Well, I thought we'd sit in order, you know, by jury numbers."
144,"One, two, three, four, five  so on, around the table."
145,If that's okay with you gentlemen.
146, Sure.
147, What's the difference?
148, I think it's reasonable to sit in order.
149, Let it be.
150, Number 12. Do I sit down here?
151, Yeah. That's 12. We go around...
152," We start with you. One, right?"
153," One, yeah. Two, three, four, five, six."
154,What was your impression of the prosecuting attorney?
155,Okay. Two. You're two.
156,I beg pardon?
157,"I thought he was really sharp, the way he handled all those points one by one."
158,Logical sequence.
159,I was very impressed.
160,I think he  he did an expert job.
161,"A lot of drive too, you know?"
162,Real drive.
163," Okay, fellas, can we hold it down a minute?"
164, Sure.
165,"Uh, fellas."
166,"Say, we'd like to get started."
167,Gentleman at the window.
168, We'd like to get started.
169," Oh, I'm sorry."
170,"Pretty tough to figure, isn't it?"
171,"Kid kills his father  bing, just like that."
172,"Aw, listen, you analyze the figures, you'll see it happens all the time."
173,They let those kids run wild up there.
174,"Well, maybe it serves 'em right."
175,You know what I mean?
176,Is  Is everyone here?
177,The old man is inside.
178,"Oh. Would you, uh, knock on the door for him?"
179,You a Yankee fan?
180,No. Baltimore.
181, Baltimore?
182, Yeah.
183,That's like being hit in the head with a crowbar once a day.
184,Who have they got?
185,"No, I mean, who have they got besides good groundskeepers?"
186,"Say, uh, we'd like to get started."
187,"Oh, forgive me, gentlemen."
188,I  I didn't mean to keep you waiting.
189,Baltimore?
190,"Okay, gentlemen, if I can have your attention."
191,You fellas can handle this thing any way that you want to.
192,"I'm, um  You know, I'm not gonna make any rules."
193,"Uh, we can, well, discuss it first and, uh, then vote on it."
194,"That's, of course, uh  That's, uh, one way."
195,"And, uh, well, we can vote on it right now, and..."
196,I think it's customary to take a preliminary vote.
197,"Yeah, let's  Let's vote. Who knows?"
198,"Maybe we all can get outta here, huh?"
199,Uhhuh.
200,"Okay, then I think that, uh..."
201,Of course you know that we have a firstdegree murder charge here...
202,and if we vote the accused guilty...
203,"uh, we've got to send him to the chair."
204," Um, that's mandatory."
205, I think we know that.
206, Let's see who's where.
207, We might as well.
208," Okay. Uh, anyone doesn't want to vote?"
209, All right with me.
210,"Okay. Then, uh, just remember that this has to be 12 to nothing either way."
211,"Um, that's the law."
212,"Okay, are we ready?"
213,"Now, all those voting guilty, please raise your hands."
214,"One, two, three, four, five, six, seven..."
215,"eight, nine, 10, 11."
216,Okay. That's 11 guilty.
217,Those voting not guilty.
218,One. Right.
219,That's 11 guilty. One not guilty.
220,"Well, now we know where we are."
221,"Boy, oh, boy. There's always one."
222,"So, what do we do now?"
223,"Well, I guess we talk."
224,"Boy, oh, boy."
225,You really think he's innocent?
226,I don't know.
227,"I mean, you sat in court with the rest of us."
228,You heard what we did.
229,The kid's a dangerous killer.
230,You could see it.
231,He's 18 years old.
232,"Well, that's old enough. Îe..."
233,He stabbed his own father four inches into the chest.
234,They proved it a dozen different ways in court.
235,Would you like me to list them for you?
236,No.
237,Then what do you want?
238, I just want to talk.
239, What's there to talk about?
240,Eleven men in here think he's guilty.
241,No one had to think about it twice except you.
242,I want to ask you something.
243,Do you believe his story?
244,I don't know whether I believe it or not.
245,Maybe I don't.
246,So how come you vote not guilty?
247,"Well, there were 11 votes for guilty."
248,It's not easy to raise my hand and send a boy off to die...
249,without talking about it first.
250," Well, now, who says it's easy?"
251, No one.
252,"What, just because I voted fast?"
253,I honestly think the guy's guilty.
254,You couldn't change my mind if you talked for a hundred years.
255,I'm not trying to change your mind.
256,It's just that...
257,We're talking about somebody's life here.
258,We can't decide it in five minutes.
259,Supposing we're wrong.
260,"""Supposing we're wrong."" Supposing this whole building should fall down on my head."
261, You can suppose anything.
262, That's right.
263,"Look, what's the difference how long it takes?"
264,Suppose we do it in five minutes.
265,So what?
266,Let's take an hour.
267,The ball game doesn't start till 8:00.
268,Hmm?
269,Who's got something to say?
270,I'm willing to sit for an hour.
271,Great. I heard a pretty good story last night.
272,That's not why we're sitting here.
273,"All right, then you tell me."
274,What are we sitting here for?
275,I don't know. Maybe no reason.
276,"Look, this kid's been kicked around all of his life..."
277,"you know, born in a slum, mother dead since he was nine."
278,He lived for a year and a half in an orphanage when his...
279,his father was serving a jail term for forgery.
280,It's not a very happy beginning.
281,"He's a  a wild, angry kid."
282,That's all he's ever been.
283,And you know why?
284,'Cause he's been hit on the head by somebody once a day every day.
285,He's had a  He's had a pretty miserable 18 years.
286,I  I just think we owe him a few words.
287,That's all.
288,"I don't mind telling you this, mister."
289,We don't owe him a thing.
290,"He got a fair trial, didn't he?"
291,What do you think that trial cost?
292, He's lucky he got it. You know what I mean?
293, You know it.
294,"Now, look, we're all grownups in here."
295,"We heard the facts, didn't we?"
296,"You're not gonna tell me that we're supposed to believe this kid, knowing what he is."
297,"Listen, I've lived among them all my life."
298,You can't believe a word they say.
299,You know that.
300,"I mean, they're born liars."
301, Only an ignorant man can believe that.
302, Now listen...
303,Do you think you were born with a monopoly on the truth?
304,I think certain things should be pointed out to this man.
305, Come on. This isn't Sunday.
306, We don't need a sermon.
307, Come on.
308, We have a job to do. Now let's do it.
309,Rice Pops.
310,It's a product I work on at the agency.
311,"""The breakfast with the builtin bounce.""  I wrote that line."
312, Very catchy.
313, Yeah.
314," Say, do you mind?"
315,"Oh, I'm sorry."
316,I have this habit of doodling.
317,Keeps me thinking clearly.
318,"Yeah, we have all this work to do."
319, There's no point staying here forever.
320, Sorry.
321,Okay. Um...
322,perhaps if the gentleman down there who's disagreeing with us...
323,"Well, perhaps you could tell us why."
324,"You know, let us know what you're thinking."
325,And we might be able to show you where you're mixed up.
326,"Well, look, maybe  Maybe this is an idea."
327,"Now, I haven't given it much thought, but it seems to me..."
328,that it's up to the group of us to convince this gentleman that he's wrong and we're right.
329,"Now, maybe if we each took a couple of minutes just to..."
330,"Well, it was just a quick idea."
331,"No, no, no. That's a good one."
332,"Uh, suppose we go once around the table."
333, I guess you're first.
334, Oh.
335,"Well, uh..."
336,"Well, itit's hard to put into words."
337,I just think he's guilty.
338,"I thought it was obvious from the word ""go."" I mean, nobody proved otherwise."
339,Nobody has to prove otherwise.
340,The burden of proof's on the prosecution.
341,The defendant doesn't even have to open his mouth.
342, That's in the Constitution.
343," Oh, well, sure, I know that."
344,"Uh, what I meant was, is..."
345,"Well, I just think he's guilty."
346,"II mean, somebody saw him do it."
347,"Okay. Uh, here's what I think, and I have no personal feelings about this."
348,I just want to talk about facts.
349,Number one.
350,The old man lived downstairs under the room where the killing took place.
351,At 10 minutes after 12:00 on the night of the killing...
352,"he heard loud noises, said it sounded like a fight."
353,"And he heard the kid yell out, ""I'm gonna kill ya."" A second later, he heard a body hit the floor."
354,"Ran to the door, opened it up..."
355,saw the kid running down the stairs and out of the house.
356,Called the police.
357,"They came in, found the old man with a knife in his chest."
358,The coroner fixed the time of death around midnight.
359,Now these are facts.
360,You can't refute facts.
361,The kid is guilty.
362,I'm just as sentimental as the next fella.
363,"I know he's only 18, but he's still gotta pay for what he did."
364,I'm with you.
365,Okay. Are you finished?
366, Yeah.
367, Right. Next.
368,"It is obvious, to me anyway, that the boy's entire story was flimsy."
369,He claimed he was at the movies during the time of the killing...
370,"and yet, one hour later, he couldn't remember the names of the films he saw..."
371, or who played in them.
372, That's right.
373,And no one saw him going in or out of the theater.
374,"Listen, what about the woman across the street?"
375,"If her testimony don't prove it, nothing does."
376,That's right. She was the one who actually saw the killing.
377," Now, fellas, please."
378," Let's go in order here, huh?"
379,Just a minute. Here's a woman...
380,Here's a woman who was lying in bed.
381,She can't sleep.
382,She's dying with the heat.
383,You know what I mean?
384,"Anyway, she looks out the window..."
385,and right across the street she sees the kid stick the knife into his father.
386,The time is 12:10 on the nose.
387,Everything fits.
388,"Look, she's known the kid all his life."
389,His window is right opposite hers across the el tracks...
390,and she swore she saw him do it.
391, Through the windows of the passing el train.
392, Right.
393,This el train had no passengers on it.
394,It was just being moved downtown.
395,"The lights were out, remember?"
396,"And they proved in court that, at night..."
397,you can look through the windows of an el train when the lights are out...
398,and see what's happening on the other side.
399, They proved it.
400, I'd like to ask you something.
401,You don't believe the boy's story.
402,How come you believe the woman's?
403,"She's one of them too, isn't she?"
404,"You're a pretty smart fella, aren't you?"
405," Okay, gentlemen."
406," Now, now."
407," Now, gentlemen."
408, Come on. Sit down. Sit down.
409,"Oh, what's he so wise about?"
410,I'm telling you.
411," Okay, now come on."
412, Now we're not gonna get anywhere fighting.
413,Whose turn is it next?
414,"Oh, uh, his. Number five."
415,"Okay, may I  Can I pass? It..."
416,"Well, uh, that's your privilege."
417,"Uh, how about the next gentleman?"
418,"Oh. Well, uh, I don't know."
419,"I started to be convinced, you know, very early in the case."
420,"You see, I was looking for a motive."
421,That's very important.
422,"Because if you don't have a motive, where's your case, right?"
423,"Anyway, that, uh, testimony from those people..."
424,in the apartment across the hall from the kid's apartment...
425,that was very powerful.
426,Didn't they say something about a  a fight and an argument...
427,"between the old man and his son around about, uh, 7:00 that night?"
428," I mean, I could be wrong, but I   It was 8:00."
429,It was 8:00. That's right.
430,They heard an argument.
431,They couldn't hear what it was about.
432,Then they heard the father hit the boy twice.
433,Finally they saw the boy run angrily out of the house.
434,What does that prove?
435,"Well, it don't exactly prove anything."
436,It's just part of the picture.
437,"Well, you said it provided a motive."
438,The prosecuting attorney said the same thing.
439,I don't think that was a very strong motive.
440,This boy's been hit so many times in his life that violence is practically a...
441,It's a normal state of affairs with him.
442,I just  I can't see two slaps in the face provoking him into committing murder.
443,It may have been two too many.
444,Everyone has a breaking point.
445,Anything else?
446, No.
447, Okay.
448,"Uh, how about you?"
449,I don't know. It's all been said.
450,You can talk here forever.
451,It's still the same thing.
452,This kid is five for 0.
453,"Well, look at his record."
454,"When he was 10, he was in children's court."
455,He threw a rock at a teacher.
456,"When he was 15, he was in reform school."
457,He stole a car.
458,He's been arrested for mugging.
459,He was picked up twice for knife fighting.
460,"Oh, yeah, they say he's real handy with a knife."
461,"Oh, this is a very fine boy."
462,"Ever since he was five years old, his father beat him up regularly."
463, He used his fists.
464," Well, so would I."
465,A kid like that?
466,"It's these kids, the way they are nowadays."
467,"When I was a kid, I used to call my father ""sir."" That's right. ""Sir."" Do you ever hear a kid call his father that any more?"
468,Fathers don't seem to think it's important any more.
469, You got any kids?
470, Three.
471,I got one.
472,Twentytwo years old.
473,"When he was nine years old, he ran away from a fight."
474,I saw it. I was so embarrassed I almost threw up.
475,"I said, ""I'm gonna make a man out of you if I have to break you in two trying."" Well, I made a man out of him."
476,"When he was 16, we had a fight."
477,Hit me in the jaw.
478,He was a big kid.
479,Haven't seen him for two years.
480,Kids.
481,Work your heart out.
482,"Well, let's get going."
483,I think we're missing the point here.
484,"This boy, let's say he's the product of a broken home and a filthy neighborhood."
485,We can't help that. We're here to decide whether he's innocent or guilty...
486,not to go into the reasons why he grew up the way he did.
487,He was born in a slum.
488,Slums are breeding grounds for criminals.
489,"I know it, and so do you."
490,It's no secret children from slum backgrounds are potential menaces to society.
491," Now I think   Brother, you can say that again."
492,The kids who crawl out of these places are real trash.
493, I don't want any part of them. I'm telling you.
494," Listen, mister. Listen."
495," I, uh  I've lived in a slum all my life."
496, Wait a minute.
497,"Please, I  I played in backyards that were filled with garbage."
498,"I mean, maybe you can still smell it on me."
499,"Now, listen, sonny."
500, Come on now.
501, There's nothing personal about this.
502," No, there was something personal."
503," Aw, come on, fella. He didn't mean you."
504,Let's not be so sensitive.
505,This sensitivity I can understand.
506,"Okay, look, let's stop the arguing."
507,"We're only wasting time, and..."
508,"Look, your turn down there."
509,Let's go.
510,"Oh, I didn't expect a turn. I thought you were all gonna try to convince me."
511, Wasn't that the idea?
512, Check. That was the idea.
513," Oh, I forgot about that. He's right."
514, What difference does it make?
515,He's the one who's keeping us in here.
516,Let's hear what he's got to say.
517,"Oh, now wait a minute."
518,We decided to do this a certain way.
519,I think we ought to stick to that way.
520,"Oh, stop being a kid, will you?"
521," What do you mean ""a kid""?"
522, What do you think I mean?
523,KID. Kid.
524,"What? Listen, just because I'm trying to keep this thing organized?"
525,"Here, you take it."
526,You take on the responsibility.
527,I'll just  I'll keep my mouth shut.
528,That's all.
529,What are you getting so hot about?
530,"Calm down, will you?"
531,Don't tell me to calm down.
532,"Here. You wanna take the chair, just take the chair. That's all."
533, Did you ever see such a thing?
534, See if you can keep it running.
535," Listen, you think it's funny or something?"
536," Hey, forget it, fella."
537,The whole thing's unimportant.
538,Come on.
539," Unimportant? Oh, here, you try it."
540," No, nobody wants to change."
541,You're doing a beautiful job.
542,Sit down.
543,"Yeah, you're doing great."
544,"Just great, fella."
545,You stay in there and pitch. You know?
546,All right. Let's hear from somebody.
547,"Well, if you want me to tell you how I feel about it, it's all right with me."
548,"Boy, I don't care what you do."
549,"All right, I don't have anything brilliant."
550,I only know as much as you do.
551,"According to the testimony, the boy looks guilty. Maybe he is."
552,I sat there in court for six days listening while the evidence built up.
553,"Everybody sounded so positive, you know?"
554,II began to get a peculiar feeling about this trial.
555,"I mean, nothing is that positive."
556,There are a lot of questions I'd have liked to ask.
557,"I don't know. Maybe they wouldn't have meant anything, but..."
558,I began to get the feeling that the defense counsel...
559,wasn't conducting a thoroughenough crossexamination.
560,"I mean, he  he let too many things go by, little things that..."
561,"What little things? Listen, when these fellas don't ask questions..."
562,it's because they know the answers already and they figure they'll be hurt.
563,"Maybe it's also possible for a lawyer to be just plain stupid, isn't it?"
564,I mean it's possible.
565,You sound like you met my brotherinlaw once.
566,I  I kept putting myself in the kid's place.
567,"I'd have asked for another lawyer, I think."
568,"I mean, if I was on trial for my life..."
569,"I'd want my lawyer to tear the prosecution witnesses to shreds, or at least try to."
570,"Look, there was one alleged eyewitness to this killing."
571,"Someone else claims he heard the killing, saw the boy run out afterwards."
572,And there was a lot of circumstantial evidence.
573,"But actually, those two witnesses were the entire case for the prosecution."
574,Supposing they're wrong.
575,What do you mean supposing they're wrong?
576,What's the point of having witnesses at all?
577, Could they be wrong?
578, What are you trying to say?
579,Those people sat on the stand under oath.
580,They're only people.
581,People make mistakes.
582,Could they be wrong?
583," Well, no, I don't think so."
584, Do you know so?
585,"Oh, come on."
586,Nobody can know a thing like that.
587,This isn't an exact science.
588,That's right. It isn't.
589,"Okay, let  Let's get to the point."
590,What about the switch knife they found in the old man's chest?
591,"Uh, waitwait a minute."
592,There's some people who haven't talked yet.
593, Shouldn't we go in order?
594, They'll get a chance to talk.
595,"Be quiet a second, will you?"
596,"What about it, this..."
597,the knife this fine upright boy admitted buying the night of the killing?
598,Let's talk about it.
599,"All right, let's talk about it."
600,Let's get it in here and look at it.
601,I'd like to see it again.
602,Mr. Foreman?
603, We all saw what it looks like.
604, Why do we have to see it again?
605,The gentleman has a right to see exhibits in evidence.
606,"Say, could you bring us the knife?"
607, Knife?
608, Yeah. Thank you.
609,"The knife and the way it was bought is pretty strong evidence, don't you think?"
610, I do.
611, Good.
612,"Now, suppose we take these facts one at a time."
613,One. The boy admitted going out of the house at 8:00 on the night of the murder...
614,after being slapped several times by his father.
615,"No, no. No, he didn't say ""slapped."" He said ""punched."" There's a difference between a slap and a punch."
616,After being hit several times by his father.
617,Two. He went directly to a neighborhood junk shop...
618, where he bought one of those   Switch knives.
619,Switchblade knives.
620,This wasn't what you'd call an ordinary knife.
621,It had a very unusual carved handle and blade.
622,The storekeeper who sold it to him...
623,said it was the only one of its kind he had ever had in stock.
624,Three. He met some friends of his in front of a tavern about 8:45.
625,Am I right so far?
626," Yes, you are."
627, You bet he is.
628,"He talked with his friends for about an hour, leaving them at 9:45."
629,"During this time, they saw the switch knife."
630,Four.
631,They identified the death weapon in court...
632,as that very same knife.
633,Five. Îe arrived home at about 10:00.
634,Now this is where the stories offered by the State and the boy...
635,begin to diverge slightly.
636,He claims that he went to a movie at about 11:30...
637,returning home at 3:10 to find his father dead and himself arrested.
638,He also claims that the two detectives who arrested him...
639,threw him down a half a flight of stairs.
640,"Now, what happened to the switch knife?"
641,He claims that it fell through a hole in his pocket on the way to the movies...
642,sometime between 11:30 and 3:10 and that he never saw it again.
643,"Now there's a tale, gentlemen."
