,dialog
0,"Fucking pervert, Dan."
1,What the fuck are you thinking?
2,There's a black guy outside breaking into your car.
3,How long's he been there?
4,I don't know.
5,What's going on?
6,"Not right now, honey. How many?"
7,"Danny, how many?"
8,"One, I think."
9,Is he strapped?
10,Does he have a gun?
11,I don'tfucking know.
12,Wait a second.
13,What the fuck is going on?
14,Stay right here and be quiet.
15,"Wait a second, Derek. Wait."
16,Stay right here.
17,I don't have a personal problem with him.
18,"Don't insult my intelligence, Murray."
19,"You hate this child, and I think I know why."
20,Dr. Sweeney's office.
21,I went outwith his mother afew times.
22,Thatwas three years ago.
23,Itwas nothing.
24,Nothing. Really?
25,That paper...
26,"Bob, it's a travesty."
27,Arguingfor Hitler as a civil rights hero.
28,You've got to draw the line.
29,"Murray, you actually did this to yourself."
30,You told them to do a report...
31,on any book that related to the struggle for civil rights...
32,in plain English.
33,I am not disputing the fact that the child is confused...
34,and harbours some sick ideas...
35,but I am not ready to give up on him yet.
36,His brother probably put him up to it.
37,I guarantee you 100%...
38,his brother did not put him up to this.
39,Lfind that hard to believe.
40,I know he was a good kid...
41,"and it's a shame what he's been through, but that's dangerous."
42,Dangerous in whatway?
43,That goes too far.
44,"This racist propaganda, ""Mein Kampf"" psychobabble..."
45,"he learned this nonsense, and he can unlearn it, too."
46,I will not give up on this child yet.
47,I knew itwas you.
48,"Danny, get in here."
49,I said get in here!
50,Get in here!
51,"Five, four, three,two..."
52,Shut the door!
53,"What's it gonna be, Danny?"
54,What's what gonna be?
55,This petty crap you're pulling.
56,I don't know.
57,Have a seat.
58,How are you doing?
59,Fine.
60,Things at home OK?
61,"Derek got out this morning, did he not?"
62,"Yeah, he did."
63,He was one of my students.
64,"You knew that, right?"
65,Honours English.
66,He was a brilliant student like you...
67,but he hung out with simplemindedfools...
68,also like you.
69,Did you bring me in here to talk about Derek?
70,What happened to him has nothing to do with me.
71,Everything you do right now has something to do with Derek.
72,Ifollowed directions.
73,"I wrote an ""A"" Paper."
74,"""Mein Kampf""?"
75,I should expel you.
76,Go ahead. You don't think I could handle it?
77,No. I think the street would kill you.
78,Your rhetoric and your propaganda...
79,aren't going to save you out there.
80,So here's the drill.
81,I'm your history teacher from now on.
82,We will discuss current events.
83,We will call this class...
84,American History X.
85,We meet once a day.
86,All right.
87,Yourfirst assignment...
88,is to prepare for me a new paper due tomorrow.
89,"Come on, Sweeney. It took me a week to read ""Mein Kampf."" What do you want me to do it on?"
90,Your brother.
91,"Oh, God, man."
92,Please tell me you're joking.
93,No. I'm not kidding.
94,I want you to analyse and interpret all the events...
95,surrounding Derek's incarceration.
96,How these events helped shape your present perspective...
97,concerning life in contemporary America.
98,"The impact on your life, yourfamily's."
99,"Whatever you want to say, Danny."
100,I'll be the only one reading it.
101,But if it's not on my desk tomorrow morning...
102,you are a ghost at Venice Beach High.
103,You clear?
104,"Yeah, I'm clear."
105,Telling teacher I'm fuckin' cheatin'!
106,Is thatwhat's happening?
107,I never cheated in my life.
108,Beat his mo'fuckin' ass.
109,I didn't say anything!
110,Why you trippin' on me?
111,Now why you all kicking it like that?
112,"What's up, man?"
113,What you scaredfor?
114,I ain't gonna do nothing.
115,What's up?
116,"Want some, too, bitch?"
117,"Punk, what's wrong with you?"
118,You want to die?
119,Punkass white boy.
120,You lucky I gotta go to class.
121,He ain't gonna do nothing.
122,He don'twanna see me and the heater.
123,Lucky the bell rung.
124,I would have clocked thatwhite boy.
125,Punkass motherfucker.
126,Should smoke thatfool.
127,You gottafucking stand up for yourself.
128,We got a whole file on skinheads here.
129,Part of the same gang?
130,Venice Beach gang.
131,"Actually, he's done a stretch at Y.A."
132,"This guy C. C., is that him?"
133,"Yeah, that's him right there."
134,"This morning we have a guest, and there he is."
135,Good morning.
136,"Morning, sir."
137,Good to see you.
138,Good morning.
139,This here is Dr. Bob Sweeney.
140,He's principal over at Venice Beach High.
141,"For some time now, he's been doing outreach work..."
142,with gangs both in and out of the can.
143,"Three years ago, a local kid named Derek Vinyard..."
144,was sent upfor murdering a couple of Crips...
145,who were trying to jack his car.
146,"Bob taught Vinyard, and he's followed this case closely."
147,"He was a skinhead, right?"
148,"He was more like ""the"" skinhead..."
149,the protégé of Cameron Alexander.
150, Who?
151, Cameron Alexander.
152,Here you go. Have a looksee.
153,"Cameron Alexander, well, he's a Venice Beach landmark."
154,He's the biggest distributor and writer...
155,of White Power literature and videos in L.A. County.
156,"He promotes White Power bands, he writes reviews..."
157,"and in his spare time, this guy even writes hate columns."
158, Does he have a record?
159, He's pretty clean.
160,"Been trying to pin something to him, but it doesn'twork."
161,Trust me.
162,He's behind all of it.
163,He runs everything out of his house by the beach.
164,There were no white gangs in Venice Beach...
165,before Cameron Alexander and Derek Vinyard hooked up.
166,Alexanderfound in Derek his shining prince.
167,"Essentially, he used Derek to recruit..."
168,"a slew of insecure, frustrated, and impressionable kids."
169,"This kid Vinyard, he's got a lot of baggage..."
170,as you'll see on this tape we've gotten courtesy of NBC.
171,"Earliertoday, L.A. County firefighter Dennis Vinyard..."
172,was shot and killed battling a blaze...
173,at a suspected Compton drug den.
