,dialog
0,Hello!
1,"Yes, this is Harold Angel."
2,"Yes, initial R, like in the phone book."
3,Excuse me?
4,Winesap.
5,"Herman Winesap, Winesap & Mackintosh?"
6,Hold on a second!
7,Winesap from Winesap &...
8,Mackintosh. I've got it!
9,Of course I know what an attorney is.
10,"It's like a lawyer, only the bills are bigger."
11,"Sure, I'll hold."
12,Asshole!
13,"Hello, Mr. Winesap? Harold Angel."
14,"Yeah, I could be free."
15,Would this be with your firm?
16,Gimme that again.
17,Louis... how do you spell that?
18,Cyphre... okay.
19,What is it... foreign?
20,Is your client a foreigner?
21,"Mr. Winesap, could you give me a few more details?"
22,"Okay, I know the place."
23,"It's a long way up, but I can be there."
24,Hallelujah!
25,Show right now how much you love God!
26,I want you to show! It's your time!
27,Open up your hearts and open up your wallets!
28,Open your purses!
29,Open your pockets!
30,And give it up! Praise the Lord!
31,Somebody has been talking about me riding around in a Cadillac.
32,"If you love me and want to give to me, then I should be in a RollsRoyce!"
33,"Would you come with me, please?"
34,An unfortunate husband of one of Pastor John's flock took a gun to his head. Most unpleasant.
35,Mr. Angel? Please?
36,"Allow me to introduce my client, Monsieur Louis Cyphre."
37,"Hi, Harry Angel."
38," Pleased to meet you, Mr. Angel."
39,"I don't want to appear impolite, but do you have any I. D.?"
40, Sure! Here...
41,How's that?
42,GU N PERM IT Nothing personal.
43,I'm a little overcautious.
44,You know how these things are.
45, I know. So...
46,How did you hear about me?
47,I guess you guys just looked in the phone book.
48,"Usually that's what happens. Because my name is ""Angel"", it's under ""A""..."
49,People are lazy.
50,They see the first name and...
51, Johnny Favorite.
52,Excuse me?
53,Do you by chance remember the name Johnny Favorite?
54,Johnny...
55,"No, I don't think so."
56,You never knew him?
57, Am I supposed to?
58,"He was a crooner before the war, quite famous in his way."
59,"Well, I tell you, Mr. Cyphre..."
60,I'm sorry!
61,"I usually don't get involved in anything very heavy. I usually handle insurance jobs, divorces, things of that nature."
62,If I'm lucky sometimes I handle people. But I don't know no crooners or anybody famous.
63, His real name was Liebling.
64,"I don't know any Liebling, either."
65,What do you want from me?
66,Does this man owe you money?
67, Not quite.
68,I helped Johnny at the beginning of his career.
69,You were like... his agent?
70,No!
71,Nothing so...
72,Monsieur Cyphre has a contract.
73,Certain collateral was to be forfeited in the event of his death.
74,You're talking about a guy that's dead?
75," He was drafted in '43, North Africa."
76,"""Special Entertainment Services""."
77,"There was an attack, and his head and face was badly injured."
78,He had...
79, Amnesia. I think you call it...
80,Shell shock.
81, Exactly!  I know how that feels.
82,Why? Were you in the services?
83, I was in for a short time.
84,But I got a little fucked up.
